# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.30
metadata : {}


# id : NWRW1800000022.30.1.1
● 올해 본격 도입 '입학사정관제' 분석 해보니…개천에서 용 봤다;가정환경·잠재력·진실성 평가특정분야 우수자도 대거 뽑아선발인원 내년에는 9배 늘려

●	●/SW
최근엔 아버지가 간암에 걸려 형편이 더 어려워졌지만 이군은 학교에서 줄곧 상위권 성적을 유지했고 학생회 활동에도 적극 참여했다.

최근엔	최근/NNG+에/JKB+ㄴ/JX
아버지가	아버지/NNG+가/JKS
간암에	간암/NNG+에/JKB
걸려	걸리/VV+어/EC
형편이	형편/NNG+이/JKS
더	더/MAG
어려워졌지만	어렵/VA+어/EC+지/VX+었/EP+지만/EC
이군은	이/NNP+군/NNB+은/JX
학교에서	학교/NNG+에서/JKB
줄곧	줄곧/MAG
상위권	상위/NNG+권/XSN
성적을	성적/NNG+을/JKO
유지했고	유지/NNG+하/XSV+았/EP+고/EC
학생회	학생회/NNG
활동에도	활동/NNG+에/JKB+도/JX
적극	적극/NNG
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.4.1
서울대는 "어려운 환경에 굴하지 않고 혼자 힘으로 열심히 공부한 이군의 성실성과 가능성을 높이 평가했다"고 밝혔다.

서울대는	서울대/NNP+는/JX
"어려운	"/SS+어렵/VA+ㄴ/ETM
환경에	환경/NNG+에/JKB
굴하지	굴하/VV+지/EC
않고	않/VX+고/EC
혼자	혼자/NNG
힘으로	힘/NNG+으로/JKB
열심히	열심히/MAG
공부한	공부/NNG+하/XSV+ㄴ/ETM
이군의	이/NNP+군/NNB+의/JKG
성실성과	성실/NNG+성/XSN+과/JC
가능성을	가능/NNG+성/XSN+을/JKO
높이	높이/MAG
평가했다"고	평가/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.30.4.2
이군이 서울대에 들어갈 수 있었던 것은 올 입시부터 본격 도입된 입학사정관제 덕분이었다.

이군이	이/NNP+군/NNB+이/JKS
서울대에	서울대/NNP+에/JKB
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
올	올/NNG
입시부터	입시/NNG+부터/JX
본격	본격/NNG
도입된	도입/NNG+되/XSV+ㄴ/ETM
입학사정관제	입학/NNG+사정관/NNG+제/XSN
덕분이었다.	덕분/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.30.5.1
◆잠재력과 진실성을 보여라

◆잠재력과	◆/SW+잠재력/NNG+과/JC
진실성을	진실/NNG+성/XSN+을/JKO
보여라	보이/VV+어라/EF


# id : NWRW1800000022.30.6.1
올 입시부터 본격 도입된 입학사정관제는 내신이나 수능·논술점수를 감안하면서 입학사정관(Admissions Officer)의 '정성적(定性的) 평가'로 합격·불합격을 가르는 선발 방식이다.

올	올/NNG
입시부터	입시/NNG+부터/JX
본격	본격/NNG
도입된	도입/NNG+되/XSV+ㄴ/ETM
입학사정관제는	입학/NNG+사정관/NNG+제/XSN+는/JX
내신이나	내신/NNG+이나/JC
수능·논술점수를	수능/NNG+·/SP+논술/NNG+점수/NNG+를/JKO
감안하면서	감안/NNG+하/XSV+면서/EC
입학사정관(Admissions	입학/NNG+사정관/NNG+(/SS+Admissions/SL
Officer)의	Officer/SL+)/SS+의/JKG
'정성적(定性的)	'/SS+정성/NNG+적/XSN+(/SS+定性的/SL+)/SS
평가'로	평가/NNG+'/SS+로/JKB
합격·불합격을	합격/NNG+·/SP+불/XPN+합격/NNG+을/JKO
가르는	가르/VV+는/ETM
선발	선발/NNG
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.30.7.1
2009학년 입시의 경우 서울대 등 17개 대학에서 567명의 신입생을 입학사정관제로 뽑았다.

2009학년	2009/SN+학년/NNG
입시의	입시/NNG+의/JKG
경우	경우/NNG
서울대	서울대/NNP
등	등/NNB
17개	17/SN+개/NNB
대학에서	대학/NNG+에서/JKB
567명의	567/SN+명/NNB+의/JKG
신입생을	신입/NNG+생/XSN+을/JKO
입학사정관제로	입학/NNG+사정관/NNG+제/XSN+로/JKB
뽑았다.	뽑/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.7.2
이들이 입학사정관들에 의해 선발된 비결은 무얼까.

이들이	이/NP+들/XSN+이/JKS
입학사정관들에	입학/NNG+사정관/NNG+들/XSN+에/JKB
의해	의하/VV+아/EC
선발된	선발/NNG+되/XSV+ㄴ/ETM
비결은	비결/NNG+은/JX
무얼까.	무어/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000022.30.7.3
각 대학에 문의한 결과 학생의 '잠재력'과 '진실성' '뚜렷한 장점' 등이 주요 평가요소로 적용된 것으로 나타났다.

각	각/MMD
대학에	대학/NNG+에/JKB
문의한	문의/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
학생의	학생/NNG+의/JKG
'잠재력'과	'/SS+잠재력/NNG+'/SS+과/JC
'진실성'	'/SS+진실/NNG+성/XSN+'/SS
'뚜렷한	'/SS+뚜렷하/VA+ㄴ/ETM
장점'	장점/NNG+'/SS
등이	등/NNB+이/JKS
주요	주요/NNG
평가요소로	평가/NNG+요소/NNG+로/JKB
적용된	적용/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.8.1
수시모집에서 서울대에 합격한 A학생은 충남 소도시 고교에 다니면서 '가정형편이 어려워 사교육을 한 번도 받지 못했다'고 자기소개서에 썼다.

수시모집에서	수시/NNG+모집/NNG+에서/JKB
서울대에	서울대/NNP+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
A학생은	A/SL+학생/NNG+은/JX
충남	충남/NNP
소도시	소/XPN+도시/NNG
고교에	고교/NNG+에/JKB
다니면서	다니/VV+면서/EC
'가정형편이	'/SS+가정/NNG+형편/NNG+이/JKS
어려워	어렵/VA+어/EC
사교육을	사교육/NNG+을/JKO
한	한/MMN
번도	번/NNB+도/JX
받지	받/VV+지/EC
못했다'고	못하/VX+았/EP+다/EF+'/SS+고/JKQ
자기소개서에	자기소개서/NNG+에/JKB
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.30.8.2
반에선 상위권이었지만 전교 상위권은 아니었다.

반에선	반/NNG+에서/JKB+ㄴ/JX
상위권이었지만	상위/NNG+권/XSN+이/VCP+었/EP+지만/EC
전교	전교/NNG
상위권은	상위/NNG+권/XSN+은/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000022.30.8.3
현장 답사까지 한 서울대 입시사정관은 "동료에 비해 불리한 교육여건에서도 A군이 잘 성장했다고 판단했다"고 밝혔다.

현장	현장/NNG
답사까지	답사/NNG+까지/JX
한	하/VV+ㄴ/ETM
서울대	서울대/NNP
입시사정관은	입시/NNG+사정관/NNG+은/JX
"동료에	"/SS+동료/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
불리한	불리/NNG+하/XSA+ㄴ/ETM
교육여건에서도	교육/NNG+여건/NNG+에서/JKB+도/JX
A군이	A/SL+군/NNB+이/JKS
잘	잘/MAG
성장했다고	성장/NNG+하/XSV+았/EP+다고/EC
판단했다"고	판단/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.30.9.1
건국대 자기 추천 전형에 합격한 B학생은 1박2일간의 심층면접에서 "중학교 때부터 생물반 활동을 하며 탐구일지를 썼다"고 말한 것이 입학사정관에게 깊은 인상을 줬다.

건국대	건국대/NNP
자기	자기/NNG
추천	추천/NNG
전형에	전형/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
B학생은	B/SL+학생/NNG+은/JX
1박2일간의	1/SN+박/NNB+2/SN+일/NNB+간/XSN+의/JKG
심층면접에서	심층/NNG+면접/NNG+에서/JKB
"중학교	"/SS+중학교/NNG
때부터	때/NNG+부터/JX
생물반	생물/NNG+반/NNG
활동을	활동/NNG+을/JKO
하며	하/VV+며/EC
탐구일지를	탐구/NNG+일지/NNG+를/JKO
썼다"고	쓰/VV+었/EP+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
입학사정관에게	입학/NNG+사정관/NNG+에게/JKB
깊은	깊/VA+은/ETM
인상을	인상/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.30.9.2
건국대 김택형 사정관은 "B학생이 다른 과목은 몰라도 생물학을 정말 좋아하고 공부하고 싶어한다는 것을 확인했다"고 합격 이유를 설명했다.

건국대	건국대/NNP
김택형	김택형/NNP
사정관은	사정관/NNG+은/JX
"B학생이	"/SS+B/SL+학생/NNG+이/JKS
다른	다른/MMD
과목은	과목/NNG+은/JX
몰라도	모르/VV+아도/EC
생물학을	생물학/NNG+을/JKO
정말	정말/MAG
좋아하고	좋아하/VV+고/EC
공부하고	공부/NNG+하/XSV+고/EC
싶어한다는	싶/VX+어/EC+하/VX+ㄴ다는/ETM
것을	것/NNB+을/JKO
확인했다"고	확인/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
합격	합격/NNG
이유를	이유/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.10.1
인하대 공대에 합격한 C학생은 자신이 직접 만든 컴퓨터 프로그램을 면접 때 제출했다.

인하대	인하대/NNP
공대에	공대/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
C학생은	C/SL+학생/NNG+은/JX
자신이	자신/NNG+이/JKS
직접	직접/MAG
만든	만들/VV+ㄴ/ETM
컴퓨터	컴퓨터/NNG
프로그램을	프로그램/NNG+을/JKO
면접	면접/NNG
때	때/NNG
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.10.2
대안학교에 재학 중인 C학생은 "컴퓨터만은 누구보다 잘할 수 있다"고 이야기한 것이 학교측에 좋은 인상을 줬다.

대안학교에	대안/NNG+학교/NNG+에/JKB
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
C학생은	C/SL+학생/NNG+은/JX
"컴퓨터만은	"/SS+컴퓨터/NNG+만/JX+은/JX
누구보다	누구/NP+보다/JKB
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
이야기한	이야기/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
학교측에	학교/NNG+측/NNB+에/JKB
좋은	좋/VA+은/ETM
인상을	인상/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.30.11.1
◆내년 선발인원은 4500명

◆내년	◆/SW+내년/NNG
선발인원은	선발/NNG+인원/NNG+은/JX
4500명	4500/SN+명/NNB


# id : NWRW1800000022.30.12.1
이화여대 '특수재능 우수자' 전형에 합격한 D양은 고교 시절 인도 빈민촌에서 어린 학생들을 가르치고 태국·버마·인도 등지에서 인권운동 캠프와 프로젝트에 참가한 경험이 있다는 것을 자기소개서에서 밝혔다.

이화여대	이화여대/NNP
'특수재능	'/SS+특수/NNG+재능/NNG
우수자'	우수자/NNG+'/SS
전형에	전형/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
D양은	D/SL+양/NNB+은/JX
고교	고교/NNG
시절	시절/NNG
인도	인도/NNP
빈민촌에서	빈민촌/NNG+에서/JKB
어린	어리/VA+ㄴ/ETM
학생들을	학생/NNG+들/XSN+을/JKO
가르치고	가르치/VV+고/EC
태국·버마·인도	태국/NNP+·/SP+버마/NNP+·/SP+인도/NNP
등지에서	등지/NNB+에서/JKB
인권운동	인권/NNG+운동/NNG
캠프와	캠프/NNG+와/JC
프로젝트에	프로젝트/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
자기소개서에서	자기소개서/NNG+에서/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.30.12.2
이화여대 배성아 입학사정관은 "D양은 '기획력'이 자신의 특수 재능이라고 했는데, 그의 다양한 경험이 이양의 능력을 충분히 증명해줬다"고 말했다.

이화여대	이화여대/NNP
배성아	배성아/NNP
입학사정관은	입학/NNG+사정관/NNG+은/JX
"D양은	"/SS+D/SL+양/NNB+은/JX
'기획력'이	'/SS+기획력/NNG+'/SS+이/JKS
자신의	자신/NNG+의/JKG
특수	특수/NNG
재능이라고	재능/NNG+이/VCP+라고/EC
했는데,	하/VV+았/EP+는데/EC+,/SP
그의	그/NP+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
경험이	경험/NNG+이/JKS
이양의	이/NNP+양/NNB+의/JKG
능력을	능력/NNG+을/JKO
충분히	충분히/MAG
증명해줬다"고	증명/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.13.1
입학사정관들은 당락을 가르기 위해 수험생들이 제출한 '자기소개서'와 '활동보고서' '추천서' '면접' 등을 활용한다.

입학사정관들은	입학/NNG+사정관/NNG+들/XSN+은/JX
당락을	당락/NNG+을/JKO
가르기	가르/VV+기/ETN
위해	위하/VV+아/EC
수험생들이	수험/NNG+생/XSN+들/XSN+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
'자기소개서'와	'/SS+자기소개서/NNG+'/SS+와/JC
'활동보고서'	'/SS+활동/NNG+보고서/NNG+'/SS
'추천서'	'/SS+추천서/NNG+'/SS
'면접'	'/SS+면접/NNG+'/SS
등을	등/NNB+을/JKO
활용한다.	활용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.30.13.2
수험생이 거짓 정보를 제출한 게 확인되면 바로 불합격 처리된다.

수험생이	수험/NNG+생/XSN+이/JKS
거짓	거짓/NNG
정보를	정보/NNG+를/JKO
제출한	제출/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
확인되면	확인/NNG+되/XSV+면/EC
바로	바로/MAG
불합격	불/XPN+합격/NNG
처리된다.	처리/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.30.14.1
인하대 박제남 입학처장은 "면접을 통해 학생이 얼마나 진실되게 자기소개서를 썼는지를 관심 있게 봤다"며 "그래도 의심이 가면 직접 학교를 찾아가 학생의 학창생활에 대해 알아봤다"고 말했다.

인하대	인하대/NNP
박제남	박제남/NNP
입학처장은	입학처장/NNG+은/JX
"면접을	"/SS+면접/NNG+을/JKO
통해	통하/VV+아/EC
학생이	학생/NNG+이/JKS
얼마나	얼마나/MAG
진실되게	진실/NNG+되/XSA+게/EC
자기소개서를	자기소개서/NNG+를/JKO
썼는지를	쓰/VV+었/EP+는지/EF+를/JKO
관심	관심/NNG
있게	있/VA+게/EC
봤다"며	보/VV+았/EP+다/EF+"/SS+며/EC
"그래도	"/SS+그래도/MAJ
의심이	의심/NNG+이/JKS
가면	가/VV+면/EC
직접	직접/MAG
학교를	학교/NNG+를/JKO
찾아가	찾아가/VV+아/EC
학생의	학생/NNG+의/JKG
학창생활에	학창/NNG+생활/NNG+에/JKB
대해	대하/VV+아/EC
알아봤다"고	알아보/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.15.1
서울대 김경범 연구교수는 "종종 남이 '자기소개서'를 써주는 경우도 있다"며 "모를 것 같지만 면접을 하면 거짓 소개서는 대부분 들통이 난다"고 말했다.

서울대	서울대/NNP
김경범	김경범/NNP
연구교수는	연구/NNG+교수/NNG+는/JX
"종종	"/SS+종종/MAG
남이	남/NNG+이/JKS
'자기소개서'를	'/SS+자기소개서/NNG+'/SS+를/JKO
써주는	쓰/VV+어/EC+주/VX+는/ETM
경우도	경우/NNG+도/JX
있다"며	있/VA+다/EF+"/SS+며/EC
"모를	"/SS+모르/VV+ㄹ/ETM
것	것/NNB
같지만	같/VA+지만/EC
면접을	면접/NNG+을/JKO
하면	하/VV+면/EC
거짓	거짓/NNG
소개서는	소개서/NNG+는/JX
대부분	대/XPN+부분/NNG
들통이	들통/NNG+이/JKS
난다"고	나/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.16.1
서강대 김영수 입학처장은 "자기 장점이 최대한 부각되도록 소개서를 쓰는 게 유리하다"며 "수학을 특별히 잘하는 학생이라면 '다른 과목에 비해 수학을 얼마나 잘하고 그에 따른 성과가 무엇이며, 이를 앞으로 어떻게 이어나갈지'를 구체적으로 소개서에 쓴 학생이 좋은 평가를 받았다"고 말했다.

서강대	서강대/NNP
김영수	김영수/NNP
입학처장은	입학처장/NNG+은/JX
"자기	"/SS+자기/NNG
장점이	장점/NNG+이/JKS
최대한	최대한/MAG
부각되도록	부각/NNG+되/XSV+도록/EC
소개서를	소개서/NNG+를/JKO
쓰는	쓰/VV+는/ETM
게	거/NNB+이/JKS
유리하다"며	유리/NNG+하/XSA+다/EF+"/SS+며/EC
"수학을	"/SS+수학/NNG+을/JKO
특별히	특별히/MAG
잘하는	잘/MAG+하/XSV+는/ETM
학생이라면	학생/NNG+이/VCP+라면/EC
'다른	'/SS+다른/MMD
과목에	과목/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
수학을	수학/NNG+을/JKO
얼마나	얼마나/MAG
잘하고	잘/MAG+하/XSV+고/EC
그에	그/NP+에/JKB
따른	따르/VV+ㄴ/ETM
성과가	성과/NNG+가/JKS
무엇이며,	무엇/NP+이/VCP+며/EC+,/SP
이를	이/NP+를/JKO
앞으로	앞/NNG+으로/JKB
어떻게	어떻/VA+게/EC
이어나갈지'를	잇/VV+어/EC+나가/VX+ㄹ지/EF+'/SS+를/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
소개서에	소개서/NNG+에/JKB
쓴	쓰/VV+ㄴ/ETM
학생이	학생/NNG+이/JKS
좋은	좋/VA+은/ETM
평가를	평가/NNG+를/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.30.17.1
입학사정관 전형이라도, 실제 대학에서 불리는 전형 이름은 다양하다.

입학사정관	입학/NNG+사정관/NNG
전형이라도,	전형/NNG+이/VCP+라도/EC+,/SP
실제	실제/NNG
대학에서	대학/NNG+에서/JKB
불리는	불리/VV+는/ETM
전형	전형/NNG
이름은	이름/NNG+은/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.30.17.2
서울대는 기회균형선발·농어촌 학생 전형·특수교육대상자 전형이 여기에 해당된다.

서울대는	서울대/NNP+는/JX
기회균형선발·농어촌	기회/NNG+균형/NNG+선발/NNG+·/SP+농어촌/NNG
학생	학생/NNG
전형·특수교육대상자	전형/NNG+·/SP+특수/NNG+교육/NNG+대상자/NNG
전형이	전형/NNG+이/JKS
여기에	여기/NP+에/JKB
해당된다.	해당/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.30.17.3
주로 저소득층이나 사회적 약자를 대상으로 한 전형이다.

주로	주로/MAG
저소득층이나	저/XPN+소득/NNG+층/XSN+이나/JC
사회적	사회/NNG+적/XSN
약자를	약자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
전형이다.	전형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.30.17.4
반면 경북대 글로벌비즈니스리더 전형, 경희대 과학인재특기자전형, 숙명여대 리더십우수자 전형, 인하대 21C 글로벌 리더 전형은 한 분야에서 뛰어난 학생들을 선발하는 입학사정관 전형이다.

반면	반면/NNG
경북대	경북대/NNP
글로벌비즈니스리더	글로벌비즈니스리더/NNG
전형,	전형/NNG+,/SP
경희대	경희대/NNP
과학인재특기자전형,	과학/NNG+인재/NNG+특기자/NNG+전형/NNG+,/SP
숙명여대	숙명여대/NNP
리더십우수자	리더십/NNG+우수자/NNG
인하대	인하대/NNP
21C	21/SN+C/SL
글로벌	글로벌/NNG
리더	리더/NNG
전형은	전형/NNG+은/JX
한	한/MMN
분야에서	분야/NNG+에서/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
학생들을	학생/NNG+들/XSN+을/JKO
선발하는	선발/NNG+하/XSV+는/ETM
입학사정관	입학/NNG+사정관/NNG
전형이다.	전형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.30.18.1
올해 고3이 치를 2010학년도 입시에는 입학사정관제 전형이 50여개 대학, 4500여명으로 약 9배 늘어난다.

올해	올해/NNG
고3이	고/NNG+3/SN+이/JKS
치를	치르/VV+ㄹ/ETM
2010학년도	2010/SN+학년도/NNG
입시에는	입시/NNG+에/JKB+는/JX
입학사정관제	입학/NNG+사정관/NNG+제/XSN
전형이	전형/NNG+이/JKS
50여개	50/SN+여/XSN+개/NNB
대학,	대학/NNG+,/SP
4500여명으로	4500/SN+여/XSN+명/NNB+으로/JKB
약	약/MMA
9배	9/SN+배/NNG
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.30.18.2
특히 포스텍은 정원 300명 전원을 입학사정관제로 뽑겠다고 발표했다.

특히	특히/MAG
포스텍은	포스텍/NNP+은/JX
정원	정원/NNG
300명	300/SN+명/NNB
전원을	전원/NNG+을/JKO
입학사정관제로	입학/NNG+사정관/NNG+제/XSN+로/JKB
뽑겠다고	뽑/VV+겠/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


