# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.123
metadata : {}


# id : NWRW1800000045.123.1.1
채널A ‘나는 몸신이다’… 나트륨 중독 피하는 법, 25일 오후 11시 방영

채널A	채널A/NNP
명예교수(싱겁게	명예/NNG+교수/NNG+(/SS+싱겁/VA+게/EC
먹기	먹/VV+기/ETN
실천	실천/NNG
연구회	연구회/NNG
이사)가	이사/NNG+)/SS+가/JKS
고안했다.	고안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.123.6.3
가장 싱거운 1단계부터 가장 짠 8단계까지 각기 다른 염도로 만들어진 사과를 먹으면서 자신의 입맛을 점검할 수 있다.

가장	가장/MAG
싱거운	싱겁/VA+ㄴ/ETM
1단계부터	1/SN+단계/NNG+부터/JX
짠	짜/VV+ㄴ/ETM
8단계까지	8/SN+단계/NNG+까지/JX
각기	각기/MAG
다른	다른/MMD
염도로	염도/NNG+로/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
사과를	사과/NNG+를/JKO
먹으면서	먹/VV+으면서/EC
자신의	자신/NNG+의/JKG
입맛을	입맛/NNG+을/JKO
점검할	점검/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.123.7.1
나트륨 중독은 최악의 경우 사망에 이를 정도로 심각하다.

나트륨	나트륨/NNG
중독은	중독/NNG+은/JX
최악의	최악/NNG+의/JKG
경우	경우/NNG
사망에	사망/NNG+에/JKB
이를	이르/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
심각하다.	심각하/VA+다/EF+./SF


# id : NWRW1800000045.123.7.2
실제로 2년 전 충격적인 사건 하나가 있었다.

실제로	실제로/MAG
2년	2/SN+년/NNB
전	전/NNG
충격적인	충격/NNG+적/XSN+이/VCP+ㄴ/ETM
사건	사건/NNG
하나가	하나/NR+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.123.7.3
시댁과 갈등을 빚던 계모가 화풀이로 의붓딸에게 소금이 과다하게 들어간 음식을 먹여 ‘나트륨 중독’으로 숨지게 한 것이다.

시댁과	시댁/NNG+과/JC
갈등을	갈등/NNG+을/JKO
빚던	빚/VV+던/ETM
계모가	계모/NNG+가/JKS
화풀이로	화풀이/NNG+로/JKB
의붓딸에게	의붓딸/NNG+에게/JKB
소금이	소금/NNG+이/JKS
과다하게	과다/NNG+하/XSA+게/EC
들어간	들어가/VV+ㄴ/ETM
음식을	음식/NNG+을/JKO
먹여	먹이/VV+어/EC
‘나트륨	‘/SS+나트륨/NNG
중독’으로	중독/NNG+’/SS+으로/JKB
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.123.8.1
이 사건이 알려지자 ‘소금을 많이 먹어도 죽나?’, ‘얼마나?’라는 의문이 끊이질 않았다.

이	이/MMD
사건이	사건/NNG+이/JKS
알려지자	알려지/VV+자/EC
‘소금을	‘/SS+소금/NNG+을/JKO
많이	많이/MAG
먹어도	먹/VV+어도/EC
죽나?’,	죽/VV+나/EF+?/SF+’/SS+,/SP
‘얼마나?’라는	‘/SS+얼마나/MAG+?/SF+’/SS+이/VCP+라는/ETM
의문이	의문/NNG+이/JKS
끊이질	끊이/VV+지/EC+ㄹ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.123.9.1
경찰 조사 결과 계모인 양 씨는 숨지기 전날까지 피해자에게 소금이 과하게 들어간 밥과 국수를 강제로 먹이고 숨지기 전 폭행까지 한 것으로 드러났다.

경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
계모인	계모/NNG+이/VCP+ㄴ/ETM
양	양/NNP
씨는	씨/NNB+는/JX
숨지기	숨지/VV+기/ETN
전날까지	전날/NNG+까지/JX
피해자에게	피해자/NNG+에게/JKB
소금이	소금/NNG+이/JKS
과하게	과하/VA+게/EC
들어간	들어가/VV+ㄴ/ETM
밥과	밥/NNG+과/JC
국수를	국수/NNG+를/JKO
강제로	강제/NNG+로/JKB
먹이고	먹이/VV+고/EC
전	전/NNG
폭행까지	폭행/NNG+까지/JX
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.123.9.2
경찰은 국립과학수사연구원에 정 양의 시신에 대한 부검을 의뢰했고 부검 결과 혈장 나트륨 농도가 L당 181meq에 달해 나트륨중독에 의해 쇼크를 일으켜 숨진 것으로 보고 있다.

경찰은	경찰/NNG+은/JX
국립과학수사연구원에	국립과학수사연구원/NNP+에/JKB
정	정/NNP
양의	양/NNB+의/JKG
시신에	시신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부검을	부검/NNG+을/JKO
의뢰했고	의뢰/NNG+하/XSV+았/EP+고/EC
부검	부검/NNG
결과	결과/NNG
혈장	혈장/NNG
나트륨	나트륨/NNG
농도가	농도/NNG+가/JKS
L당	L/SW+당/XSN
181meq에	181/SN+meq/SW+에/JKB
달해	달하/VV+아/EC
나트륨중독에	나트륨/NNG+중독/NNG+에/JKB
의해	의하/VV+아/EC
쇼크를	쇼크/NNG+를/JKO
일으켜	일으키/VV+어/EC
숨진	숨지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.123.9.3
국내 성인 중 나트륨중독 사망으로 추정되는 16명 중 14명의 나트륨 농도는 L당 153∼246meq에 해당된다는 연구 결과가 나와 있다.

국내	국내/NNG
성인	성인/NNG
중	중/NNB
나트륨중독	나트륨/NNG+중독/NNG
사망으로	사망/NNG+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
16명	16/SN+명/NNB
14명의	14/SN+명/NNB+의/JKG
나트륨	나트륨/NNG
농도는	농도/NNG+는/JX
L당	L/SW+당/XSN
153∼246meq에	153/SN+∼/SO+246/SN+meq/SW+에/JKB
해당된다는	해당/NNG+되/XSV+ㄴ다는/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.123.10.1
나트륨 중독을 피하려면 일상적인 노력을 해야 한다.

나트륨	나트륨/NNG
중독을	중독/NNG+을/JKO
피하려면	피하/VV+려면/EC
일상적인	일상/NNG+적/XSN+이/VCP+ㄴ/ETM
노력을	노력/NNG+을/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.123.11.1
일단 신맛과 단맛을 적절히 첨가하면 적은 양의 소금으로도 음식의 풍미를 살릴 수 있다.

일단	일단/MAG
신맛과	신맛/NNG+과/JKB
단맛을	단맛/NNG+을/JKO
적절히	적절히/MAG
첨가하면	첨가/NNG+하/XSV+면/EC
적은	적/VA+은/ETM
양의	양/NNG+의/JKG
소금으로도	소금/NNG+으로/JKB+도/JX
음식의	음식/NNG+의/JKG
풍미를	풍미/NNG+를/JKO
살릴	살리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.123.11.2
또한 염분 섭취를 적게 하는 방법으로 소금을 적게 넣고 후춧가루, 고춧가루, 파, 마늘, 생강 등을 이용해 맛을 낸다.

또한	또한/MAG
염분	염분/NNG
섭취를	섭취/NNG+를/JKO
적게	적/VA+게/EC
하는	하/VX+는/ETM
방법으로	방법/NNG+으로/JKB
소금을	소금/NNG+을/JKO
넣고	넣/VV+고/EC
후춧가루,	후춧가루/NNG+,/SP
고춧가루,	고춧가루/NNG+,/SP
파,	파/NNG+,/SP
마늘,	마늘/NNG+,/SP
생강	생강/NNG
등을	등/NNB+을/JKO
이용해	이용/NNG+하/XSV+아/EC
맛을	맛/NNG+을/JKO
낸다.	내/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.123.12.1
버섯이나 파슬리와 같이 식품 자체의 향미가 독특한 채소를 첨가해 조리하는 것도 도움이 된다.

버섯이나	버섯/NNG+이나/JC
파슬리와	파슬리/NNG+와/JKB
같이	같이/MAG
식품	식품/NNG
자체의	자체/NNG+의/JKG
향미가	향미/NNG+가/JKS
독특한	독특/NNG+하/XSA+ㄴ/ETM
채소를	채소/NNG+를/JKO
첨가해	첨가/NNG+하/XSV+아/EC
조리하는	조리/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.123.12.2
양념이 재료 속까지 배는 조림이나 찜보다는 데치거나 굽는 조리법을 활용하는 것도 좋다.

양념이	양념/NNG+이/JKS
재료	재료/NNG
속까지	속/NNG+까지/JX
배는	배/VV+는/ETM
조림이나	조림/NNG+이나/JC
찜보다는	찜/NNG+보다/JKB+는/JX
데치거나	데치/VV+거나/EC
굽는	굽/VV+는/ETM
조리법을	조리법/NNG+을/JKO
활용하는	활용/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000045.123.12.3
천일염을 사용하는 것도 방법이다.

천일염을	천일염/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
방법이다.	방법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.123.12.4
천일염이 일반 가공염에 비해 미네랄도 풍부하고 나트륨도 적게 함유돼 있다.

천일염이	천일염/NNG+이/JKS
일반	일반/NNG
가공염에	가공/NNG+염/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
미네랄도	미네랄/NNG+도/JX
풍부하고	풍부하/VA+고/EC
나트륨도	나트륨/NNG+도/JX
적게	적/VA+게/EC
함유돼	함유/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


