# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.58
metadata : {}


# id : NWRW1800000038.58.1.1
[둘리 30년, 뽀로로 10년… 2013 '날아라 K애니'] (하) 올해 해외 상영될 한국 애니메이션

[둘리	[/SS+둘리/NNP
지구촌에	지구촌/NNG+에/JKB
선보일	선보이/VV+ㄹ/ETM
국산	국산/NNG
애니메이션	애니메이션/NNG
작품만	작품/NNG+만/JX
10여건.	10/SN+여/XSN+건/NNB+./SF


# id : NWRW1800000038.58.4.5
전문가들이 "올해가 사실상 'K애니의 원년(元年)'"이라며 "올해의 성과가 K애니의 앞날을 좌우할 것"이라고 하는 건 이런 배경에서다.

전문가들이	전문가/NNG+들/XSN+이/JKS
"올해가	"/SS+올해/NNG+가/JKS
사실상	사실/NNG+상/XSN
'K애니의	'/SS+K/SL+애니/NNG+의/JKG
원년(元年)'"이라며	원년/NNG+(/SS+元年/SH+)/SS+'/SS+"/SS+이/VCP+라며/EC
"올해의	"/SS+올해/NNG+의/JKG
성과가	성과/NNG+가/JKS
K애니의	K/SL+애니/NNG+의/JKG
앞날을	앞날/NNG+을/JKO
좌우할	좌우/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
이런	이런/MMD
배경에서다.	배경/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000038.58.5.1
◇애니 양대 강국 미국과 일본을 노린다

◇애니	◇/SW+애니/NNG
양대	양대/MMA
강국	강국/NNG
미국과	미국/NNP+과/JC
일본을	일본/NNP+을/JKO
노린다	노리/VV+ㄴ다/EF


# id : NWRW1800000038.58.6.1
우선 눈에 띄는 것은 미주에서 '픽사' '드림웍스' 등 세계적 애니메이션업체들의 아성에 도전하는 작품들.

우선	우선/MAG
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
것은	것/NNB+은/JX
미주에서	미주/NNP+에서/JKB
'픽사'	'/SS+픽사/NNP+'/SS
'드림웍스'	'/SS+드림웍스/NNP+'/SS
등	등/NNB
세계적	세계/NNG+적/XSN
애니메이션업체들의	애니메이션/NNG+업체/NNG+들/XSN+의/JKG
아성에	아성/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
작품들.	작품/NNG+들/XSN+./SF


# id : NWRW1800000038.58.6.2
올 상반기 북미 2500여 개 극장에서 개봉할 예정인 '다이노타임'(제작 토이온)은 백악기로 시간 여행을 떠난 어린아이들이 자신들을 새끼로 착각한 어미 육식 공룡 '타이라'와 함께 모험을 펼친다는 3D 애니메이션이다.

올	올/NNG
상반기	상반기/NNG
북미	북미/NNP
2500여	2500/SN+여/XSN
개	개/NNB
극장에서	극장/NNG+에서/JKB
개봉할	개봉/NNG+하/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
'다이노타임'(제작	'/SS+다이노타임/NNP+'/SS+(/SS+제작/NNG
토이온)은	토이온/NNP+)/SS+은/JX
백악기로	백악기/NNG+로/JKB
시간	시간/NNG
여행을	여행/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
어린아이들이	어린아이/NNG+들/XSN+이/JKS
자신들을	자신/NNG+들/XSN+을/JKO
새끼로	새끼/NNG+로/JKB
착각한	착각/NNG+하/XSV+ㄴ/ETM
어미	어미/NNG
육식	육식/NNG
공룡	공룡/NNG
'타이라'와	'/SS+타이라/NNP+'/SS+와/JKB
함께	함께/MAG
모험을	모험/NNG+을/JKO
펼친다는	펼치/VV+ㄴ다는/ETM
3D	3/SN+D/SL
애니메이션이다.	애니메이션/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.58.6.3
제작비 168억원.

제작비	제작비/NNG
168억원.	168/SN+억/NR+원/NNB+./SF


# id : NWRW1800000038.58.6.4
'타이라'역의 멜라니 그리피스 등 할리우드 톱스타들이 목소리 연기를 맡아 화제다.

'타이라'역의	'/SS+타이라/NNP+'/SS+역/NNG+의/JKG
멜라니	멜라니/NNP
그리피스	그리피스/NNP
등	등/NNB
할리우드	할리우드/NNP
톱스타들이	톱스타/NNG+들/XSN+이/JKS
목소리	목소리/NNG
연기를	연기/NNG+를/JKO
맡아	맡/VV+아/EC
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.58.6.5
미국 영화 배급사 클라리우스가 북미 지역 배급을 맡았다.

미국	미국/NNP
영화	영화/NNG
배급사	배급사/NNG
클라리우스가	클라리우스/NNP+가/JKS
북미	북미/NNP
지역	지역/NNG
배급을	배급/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.58.6.6
이 영화는 중국·유럽·중동 등 20여개국에서도 상영된다.

이	이/MMD
영화는	영화/NNG+는/JX
중국·유럽·중동	중국/NNP+·/SP+유럽/NNP+·/SP+중동/NNP
등	등/NNB
20여개국에서도	20/SN+여/XSN+개국/NNB+에서/JKB+도/JX
상영된다.	상영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.58.7.1
여름방학이나 추수감사절 시즌 북미 개봉이 예정된 '넛잡'(제작 레드로버) 역시 제작비만 500억원이 소요된 블록버스터급 애니메이션.

여름방학이나	여름/NNG+방학/NNG+이나/JC
추수감사절	추수/NNG+감사절/NNG
시즌	시즌/NNG
북미	북미/NNP
개봉이	개봉/NNG+이/JKS
예정된	예정/NNG+되/XSV+ㄴ/ETM
'넛잡'(제작	'/SS+넛잡/NNP+'/SS+(/SS+제작/NNG
레드로버)	레드로버/NNP+)/SS
역시	역시/MAG
제작비만	제작비/NNG+만/JX
500억원이	500/SN+억/NR+원/NNB+이/JKS
소요된	소요/NNG+되/XSV+ㄴ/ETM
블록버스터급	블록버스터급/NNG
애니메이션.	애니메이션/NNG+./SF


# id : NWRW1800000038.58.7.2
작은 동물들의 삶터인 '리버티 공원'에서 악당 설치류들이 겨울 식량창고인 참나무를 불태워버린 죄로 추방당한 뒤 인간 은행 강도들과 얽히며 벌어지는 소동을 그렸다.

작은	작/VA+은/ETM
동물들의	동물/NNG+들/XSN+의/JKG
삶터인	삶터/NNG+이/VCP+ㄴ/ETM
'리버티	'/SS+리버티/NNG
공원'에서	공원/NNG+'/SS+에서/JKB
악당	악당/NNG
설치류들이	설치류/NNG+들/XSN+이/JKS
겨울	겨울/NNG
식량창고인	식량/NNG+창고/NNG+이/VCP+ㄴ/ETM
참나무를	참나무/NNG+를/JKO
불태워버린	불태우/VV+어/EC+버리/VX+ㄴ/ETM
죄로	죄/NNG+로/JKB
추방당한	추방/NNG+당하/XSV+ㄴ/ETM
뒤	뒤/NNG
인간	인간/NNG
은행	은행/NNG
강도들과	강도/NNG+들/XSN+과/JKB
얽히며	얽히/VV+며/EC
벌어지는	벌어지/VV+는/ETM
소동을	소동/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.58.7.3
역시 영화 '미이라'의 브랜든 프레이저 등 인기 배우들이 목소리 연기를 한다.

역시	역시/MAG
영화	영화/NNG
'미이라'의	'/SS+미이라/NNP+'/SS+의/JKG
브랜든	브랜든/NNP
프레이저	프레이저/NNP
등	등/NNB
인기	인기/NNG
배우들이	배우/NNG+들/XSN+이/JKS
목소리	목소리/NNG
연기를	연기/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.58.8.1
한국과 일본 TV에서 방영될 '카라 더 애니메이션'(제작 SBS바이아컴·DSP미디어·동우A&E)은 'K팝'과 'K애니'가 만난 작품.

한국과	한국/NNP+과/JC
일본	일본/NNP
TV에서	TV/SL+에서/JKB
방영될	방영/NNG+되/XSV+ㄹ/ETM
'카라	'/SS+카라/NNP
더	더/NNG
애니메이션'(제작	애니메이션/NNG+'/SS+(/SS+제작/NNG
SBS바이아컴·DSP미디어·동우A&E)은	SBS바이아컴/NNP+·/SP+DSP미디어/NNP+·/SP+동우A&E/SL+)/SS+은/JX
'K팝'과	'/SS+K/SL+팝/NNG+'/SS+과/JC
'K애니'가	'/SS+K/SL+애니/NNG+'/SS+가/JKS
만난	만나/VV+ㄴ/ETM
작품.	작품/NNG+./SF


# id : NWRW1800000038.58.8.2
인기 걸그룹 카라의 멤버 5명이 애니메이션 캐릭터로 변신하는 것은 물론 목소리 연기와 주제가까지 맡았다.

인기	인기/NNG
걸그룹	걸그룹/NNG
카라의	카라/NNP+의/JKG
멤버	멤버/NNG
5명이	5/SN+명/NNB+이/JKS
애니메이션	애니메이션/NNG
캐릭터로	캐릭터/NNG+로/JKB
변신하는	변신/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
목소리	목소리/NNG
연기와	연기/NNG+와/JC
주제가까지	주제가/NNG+까지/JX
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.58.8.3
일본어 더빙 대신 한글 자막을 넣는 것도 특징.

일본어	일본어/NNP
더빙	더빙/NNG
대신	대신/NNG
한글	한글/NNG
자막을	자막/NNG+을/JKO
넣는	넣/VV+는/ETM
것도	것/NNB+도/JX
특징.	특징/NNG+./SF


# id : NWRW1800000038.58.9.1
사고뭉치 공룡의 이야기를 다룬 '곤(제작 대원미디어)'은 '애니메이션계의 올드보이' 같은 작품.

사고뭉치	사고뭉치/NNG
공룡의	공룡/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
'곤(제작	'/SS+곤/NNP+(/SS+제작/NNG
대원미디어)'은	대원미디어/NNP+)/SS+'/SS+은/JX
'애니메이션계의	'/SS+애니메이션/NNG+계/XSN+의/JKG
올드보이'	올드보이/NNP+'/SS
같은	같/VA+은/ETM
작품.	작품/NNG+./SF


# id : NWRW1800000038.58.9.2
1990년대 일본 원작만화를 한국 제작사가 애니메이션으로 만들어 일본을 제외한 세계 판권을 확보했다.

1990년대	1990/SN+년대/NNB
일본	일본/NNP
원작만화를	원작/NNG+만화/NNG+를/JKO
한국	한국/NNP
제작사가	제작사/NNG+가/JKS
애니메이션으로	애니메이션/NNG+으로/JKB
만들어	만들/VV+어/EC
일본을	일본/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
판권을	판권/NNG+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.58.9.3
100억원을 들인 90부작 TV 애니메이션은 올 상반기부터 호주·뉴질랜드·인도 등에서 방영되며, 시즌2와 극장판도 나올 예정이다.

100억원을	100/SN+억/NR+원/NNB+을/JKO
들인	들이/VV+ㄴ/ETM
90부작	90부작/NNG
TV	TV/SL
애니메이션은	애니메이션/NNG+은/JX
올	올/NNG
상반기부터	상반기/NNG+부터/JX
호주·뉴질랜드·인도	호주/NNP+·/SP+뉴질랜드/NNP+·/SP+인도/NNP
등에서	등/NNB+에서/JKB
방영되며,	방영/NNG+되/XSV+며/EC+,/SP
시즌2와	시즌/NNG+2/SN+와/JC
극장판도	극장판/NNG+도/JX
나올	나오/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.58.10.1
◇세계 최대 시장, 중국의 벽을 넘어라

◇세계	◇/SW+세계/NNG
최대	최대/NNG
시장,	시장/NNG+,/SP
중국의	중국/NNP+의/JKG
벽을	벽/NNG+을/JKO
넘어라	넘/VV+어라/EF


# id : NWRW1800000038.58.11.1
2010년 국내에 유아용 TV 애니메이션으로 선보인 '뛰뛰빵빵 구조대'(제작 빅스크리에이티브)는 2008년부터 중국 차이나필름그룹과 진행된 한·중 합작의 결과물.

2010년	2010/SN+년/NNB
국내에	국내/NNG+에/JKB
유아용	유아/NNG+용/XSN
TV	TV/SL
애니메이션으로	애니메이션/NNG+으로/JKB
선보인	선보이/VV+ㄴ/ETM
'뛰뛰빵빵	'/SS+뛰뛰빵빵/NNG
구조대'(제작	구조대/NNG+'/SS+(/SS+제작/NNG
빅스크리에이티브)는	빅스크리에이티브/NNP+)/SS+는/JX
2008년부터	2008/SN+년/NNB+부터/JX
중국	중국/NNP
차이나필름그룹과	차이나필름그룹/NNP+과/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
한·중	한·중/NNP
합작의	합작/NNG+의/JKG
결과물.	결과물/NNG+./SF


# id : NWRW1800000038.58.11.2
올해엔 눈높이를 어린이·청소년에 맞춰 제작한 시즌2와 극장판이 여름방학을 전후해 한·중 두 나라의 TV와 극장에서 상영된다.

올해엔	올해/NNG+에/JKB+ㄴ/JX
눈높이를	눈높이/NNG+를/JKO
어린이·청소년에	어린이/NNG+·/SP+청소년/NNG+에/JKB
맞춰	맞추/VV+어/EC
제작한	제작/NNG+하/XSV+ㄴ/ETM
시즌2와	시즌/NNG+2/SN+와/JC
극장판이	극장판/NNG+이/JKS
여름방학을	여름/NNG+방학/NNG+을/JKO
전후해	전후/NNG+하/XSV+아/EC
한·중	한·중/NNP
두	두/MMN
나라의	나라/NNG+의/JKG
TV와	TV/SL+와/JC
극장에서	극장/NNG+에서/JKB
상영된다.	상영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.58.11.3
시즌1(38억원)·시즌2(30억원)·극장판(35억원) 제작 비용은 한국과 중국이 4대 6 비율로 부담했다.

시즌1(38억원)·시즌2(30억원)·극장판(35억원)	시즌/NNG+1/SN+(/SS+38/SN+억/NR+원/NNB+)/SS+·/SP+시즌/NNG+2/SN+(/SS+30/SN+억/NR+원/NNB+)/SS+·/SP+극장판/NNG+(/SS+35/SN+억/NR+원/NNB+)/SS
제작	제작/NNG
비용은	비용/NNG+은/JX
한국과	한국/NNP+과/JC
중국이	중국/NNP+이/JKS
4대	4/SN+대/NNB
6	6/SN
비율로	비율/NNG+로/JKB
부담했다.	부담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.58.11.4
빅스크리에이티브 방형우 대표는 "중국 진출은 다른 나라보다 제작비가 절감되고 무궁무진한 시장을 확보한다는 효과가 있다"고 했다.

빅스크리에이티브	빅스크리에이티브/NNP
방형우	방형우/NNP
대표는	대표/NNG+는/JX
"중국	"/SS+중국/NNP
진출은	진출/NNG+은/JX
다른	다른/MMD
나라보다	나라/NNG+보다/JKB
제작비가	제작비/NNG+가/JKS
절감되고	절감/NNG+되/XSV+고/EC
무궁무진한	무궁무진/NNG+하/XSA+ㄴ/ETM
시장을	시장/NNG+을/JKO
확보한다는	확보/NNG+하/XSV+ㄴ다는/ETM
효과가	효과/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.58.11.5
호기심 많은 소녀가 장난감 친구들과 겪는 모험을 그려 지난해 5월 상하이 TV 페스티벌 애니메이션 부문 최고상을 받았던 '키오카(제작 골디락스 스튜디오)', 공항 비행기들을 귀엽게 의인화한 작품으로 지난해 11월 대만에 먼저 선보인 '두리둥실 뭉게공항(제작 dps)'도 중국과 합작을 통해 올해 현지 TV에 방영될 예정이다.

호기심	호기심/NNG
많은	많/VA+은/ETM
소녀가	소녀/NNG+가/JKS
장난감	장난감/NNG
친구들과	친구/NNG+들/XSN+과/JKB
겪는	겪/VV+는/ETM
모험을	모험/NNG+을/JKO
그려	그리/VV+어/EC
지난해	지난해/NNG
5월	5/SN+월/NNB
상하이	상하이/NNP
TV	TV/SL
페스티벌	페스티벌/NNG
애니메이션	애니메이션/NNG
부문	부문/NNG
최고상을	최고상/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
'키오카(제작	'/SS+키오카/NNG+(/SS+제작/NNG
골디락스	골디락스/NNP
스튜디오)',	스튜디오/NNG+)/SS+'/SS+,/SP
공항	공항/NNG
비행기들을	비행기/NNG+들/XSN+을/JKO
귀엽게	귀엽/VA+게/EC
의인화한	의인/NNG+화/XSN+하/XSV+ㄴ/ETM
작품으로	작품/NNG+으로/JKB
11월	11/SN+월/NNB
대만에	대만/NNP+에/JKB
먼저	먼저/MAG
선보인	선보이/VV+ㄴ/ETM
'두리둥실	'/SS+두리둥실/MAG
뭉게공항(제작	뭉게/XR+공항/NNG+(/SS+제작/NNG
dps)'도	dps/SL+)/SS+'/SS+도/JX
중국과	중국/NNP+과/JKB
합작을	합작/NNG+을/JKO
통해	통하/VV+아/EC
올해	올해/NNG
현지	현지/NNG
TV에	TV/SL+에/JKB
방영될	방영/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.58.12.1
어른들에게도 익숙한 장수 토종 캐릭터들의 해외 진출도 주목된다.

어른들에게도	어른/NNG+들/XSN+에게/JKB+도/JX
익숙한	익숙하/VA+ㄴ/ETM
장수	장수/NNG
토종	토종/NNG
캐릭터들의	캐릭터/NNG+들/XSN+의/JKG
해외	해외/NNG
진출도	진출/NNG+도/JX
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.58.12.2
이두호 작가의 만화로 유명한 TV 애니메이션 '머털도사'는 23년 만의 리메이크판(제작 꽃다지)에 대해 중국 CCTV가 관심을 보이면서 수출 협상이 진행 중이다.

이두호	이두호/NNP
작가의	작가/NNG+의/JKG
만화로	만화/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
TV	TV/SL
애니메이션	애니메이션/NNG
'머털도사'는	'/SS+머털도사/NNG+'/SS+는/JX
23년	23/SN+년/NNB
만의	만/NNB+의/JKG
리메이크판(제작	리메이크판/NNG+(/SS+제작/NNG
꽃다지)에	꽃다지/NNP+)/SS+에/JKB
대해	대하/VV+아/EC
중국	중국/NNP
CCTV가	CCTV/SL+가/JKS
관심을	관심/NNG+을/JKO
보이면서	보이/VV+면서/EC
수출	수출/NNG
협상이	협상/NNG+이/JKS
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.58.12.3
1970~80년대를 배경으로 한 이빈 작가의 '안녕 자두야(제작 투니버스)'도 올해 싱가포르·홍콩·광둥·대만 등의 디즈니 채널에 진출한다.

1970~80년대를	1970/SN+~/SO+80/SN+년대/NNB+를/JKO
배경으로	배경/NNG+으로/JKB
한	하/VV+ㄴ/ETM
이빈	이빈/NNP
작가의	작가/NNG+의/JKG
'안녕	'/SS+안녕/NNG
자두야(제작	자두/NNP+야/JKV+(/SS+제작/NNG
투니버스)'도	투니버스/NNP+)/SS+'/SS+도/JX
올해	올해/NNG
싱가포르·홍콩·광둥·대만	싱가포르/NNP+·/SP+홍콩/NNP+·/SP+광둥/NNP+·/SP+대만/NNP
등의	등/NNB+의/JKG
디즈니	디즈니/NNP
채널에	채널/NNG+에/JKB
진출한다.	진출/NNG+하/XSV+ㄴ다/EF+./SF


