# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.236
metadata : {}


# id : NWRW1800000056.236.1.1
‘이재용 선고’ 25일 방청 경쟁률 15대1

‘이재용	‘/SS+이재용/NNP
응모하려는	응모/NNG+하/XSV+려는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
법원	법원/NNG
앞에	앞/NNG+에/JKB
긴	길/VA+ㄴ/ETM
줄을	줄/NNG+을/JKO
서는	서/VV+는/ETM
등	등/NNB
454명이나	454/SN+명/NNB+이나/JX
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.236.4.4
이 부회장 재판에 대한 관심은 과거에도 뜨거웠다.

이	이/NNP
부회장	부회장/NNG
재판에	재판/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심은	관심/NNG+은/JX
과거에도	과거/NNG+에/JKB+도/JX
뜨거웠다.	뜨겁/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.236.4.5
선착순으로 방청석을 나눠줬던 지난 7일 이 부회장의 결심 때는 법정에 들어가려는 사람들이 전날인 6일부터 문도 열지 않은 서울중앙지법 앞에 줄을 서거나 노숙을 하기도 했다.

선착순으로	선착순/NNG+으로/JKB
방청석을	방청석/NNG+을/JKO
나눠줬던	나누/VV+어/EC+주/VX+었/EP+던/ETM
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
이	이/NNP
부회장의	부회장/NNG+의/JKG
결심	결심/NNG
때는	때/NNG+는/JX
법정에	법정/NNG+에/JKB
들어가려는	들어가/VV+려는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
전날인	전날/NNG+이/VCP+ㄴ/ETM
6일부터	6/SN+일/NNB+부터/JX
문도	문/NNG+도/JX
열지	열/VV+지/EC
않은	않/VX+은/ETM
서울중앙지법	서울중앙지법/NNP
앞에	앞/NNG+에/JKB
줄을	줄/NNG+을/JKO
서거나	서/VV+거나/EC
노숙을	노숙/NNG+을/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.236.5.1
박근혜 전 대통령의 5월23일 첫 재판 때는 방청석 68석 추첨에 525명이 몰려 7.7대1의 경쟁률을 기록했다.

박근혜	박근혜/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
5월23일	5/SN+월/NNB+23/SN+일/NNB
첫	첫/MMN
재판	재판/NNG
때는	때/NNG+는/JX
방청석	방청석/NNG
68석	68/SN+석/NNB
추첨에	추첨/NNG+에/JKB
525명이	525/SN+명/NNB+이/JKS
몰려	몰리/VV+어/EC
7.7대1의	7/SN+./SP+7/SN+대/NNB+1/SN+의/JKG
경쟁률을	경쟁/NNG+률/XSN+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.236.5.2
지난 3월10일 헌법재판소의 탄핵심판 선고 때는 방청석 24석 추첨에 1만9096명이 몰려 경쟁률이 800대1까지 치솟았다.

지난	지나/VV+ㄴ/ETM
3월10일	3/SN+월/NNB+10/SN+일/NNB
헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
탄핵심판	탄핵/NNG+심판/NNG
선고	선고/NNG
때는	때/NNG+는/JX
방청석	방청석/NNG
24석	24/SN+석/NNB
추첨에	추첨/NNG+에/JKB
1만9096명이	1/SN+만/NR+9096/SN+명/NNB+이/JKS
몰려	몰리/VV+어/EC
경쟁률이	경쟁/NNG+률/XSN+이/JKS
800대1까지	800/SN+대/NNB+1/SN+까지/JX
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.236.5.3
이 부회장의 선고 방청석 경쟁률에서 드러나듯 국정농단 재판에 대한 국민들의 관심은 지금도 계속되고 있다.

이	이/NNP
부회장의	부회장/NNG+의/JKG
선고	선고/NNG
방청석	방청석/NNG
경쟁률에서	경쟁/NNG+률/XSN+에서/JKB
드러나듯	드러나/VV+듯/EC
국정농단	국정/NNG+농단/NNG
재판에	재판/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민들의	국민/NNG+들/XSN+의/JKG
관심은	관심/NNG+은/JX
지금도	지금/NNG+도/JX
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.236.5.4
한편 이 부회장의 사건을 심리하는 서울중앙지법 형사27부(재판장 김진동)는 이날까지 선고 생중계 여부를 결정하지 않았다.

한편	한편/MAG
이	이/NNP
부회장의	부회장/NNG+의/JKG
사건을	사건/NNG+을/JKO
심리하는	심리/NNG+하/XSV+는/ETM
서울중앙지법	서울중앙지법/NNP
형사27부(재판장	형사/NNG+27/SN+부/NNG+(/SS+재판장/NNG
김진동)는	김진동/NNP+)/SS+는/JX
이날까지	이날/NNG+까지/JX
선고	선고/NNG
생중계	생/XPN+중계/NNG
여부를	여부/NNG+를/JKO
결정하지	결정/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


