# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.307
metadata : {}


# id : NWRW1800000022.307.1.1
"시장·버스안에서 찔렸다"… 독극물 공포;中 신장자치구 '주사기 테러' 소요사태

"시장·버스안에서	"/SS+시장/NNG+·/SP+버스/NNG+안/NNG+에서/JKB
신장 지역엔 한족(39.3%) 외에도 위구르족(46.1%)과 카자흐족(7.1%), 후이족(4.5%), 키르기스족(0.9%) 등 13개 소수민족이 거주하고 있다.

신장	신장/NNP
지역엔	지역/NNG+에/JKB+ㄴ/JX
한족(39.3%)	한족/NNP+(/SS+39/SN+./SP+3/SN+%/SW+)/SS
외에도	외/NNB+에/JKB+도/JX
위구르족(46.1%)과	위구르족/NNP+(/SS+46/SN+./SP+1/SN+%/SW+)/SS+과/JC
카자흐족(7.1%),	카자흐족/NNP+(/SS+7/SN+./SP+1/SN+%/SW+)/SS+,/SP
후이족(4.5%),	후이족/NNP+(/SS+4/SN+./SP+5/SN+%/SW+)/SS+,/SP
키르기스족(0.9%)	키르기스족/NNP+(/SS+0/SN+./SP+9/SN+%/SW+)/SS
등	등/NNB
13개	13/SN+개/NNB
소수민족이	소수/NNG+민족/NNG+이/JKS
거주하고	거주/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.307.6.1
◆분노하는 한족

◆분노하는	◆/SW+분노/NNG+하/XSV+는/ETM
한족	한족/NNP


# id : NWRW1800000022.307.7.1
주사기 테러의 공포에 떨던 한족들은 지난 2일 오후부터 시위를 시작됐다.

주사기	주사기/NNG
테러의	테러/NNG+의/JKG
공포에	공포/NNG+에/JKB
떨던	떨/VV+던/ETM
한족들은	한족/NNP+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
오후부터	오후/NNG+부터/JX
시위를	시위/NNG+를/JKO
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.307.7.2
시내 상가지역인 샤오시먼(小西門)에서 상점 주인과 행인들이 주사기 테러 용의자 1명을 붙잡아 근처 파출소에 넘겼는데 경찰은 증거 부족을 이유로 그를 석방했다.

시내	시내/NNG
상가지역인	상가/NNG+지역/NNG+이/VCP+ㄴ/ETM
샤오시먼(小西門)에서	샤오시먼/NNP+(/SS+小西門/SH+)/SS+에서/JKB
상점	상점/NNG
주인과	주인/NNG+과/JC
행인들이	행인/NNG+들/XSN+이/JKS
주사기	주사기/NNG
테러	테러/NNG
용의자	용의자/NNG
1명을	1/SN+명/NNB+을/JKO
붙잡아	붙잡/VV+아/EC
근처	근처/NNG
파출소에	파출소/NNG+에/JKB
넘겼는데	넘기/VV+었/EP+는데/EC
경찰은	경찰/NNG+은/JX
증거	증거/NNG
부족을	부족/NNG+을/JKO
이유로	이유/NNG+로/JKB
그를	그/NP+를/JKO
석방했다.	석방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.7.3
이에 현지 상인 수백명이 들고 일어나 1시간여 동안 항의시위를 벌였다고 신화통신은 보도했다.

이에	이/NP+에/JKB
현지	현지/NNG
상인	상인/NNG
수백명이	수백/NR+명/NNB+이/JKS
들고	들/VV+고/EC
일어나	일어나/VV+아/EC
1시간여	1/SN+시간/NNB+여/XSN
동안	동안/NNG
항의시위를	항의/NNG+시위/NNG+를/JKO
벌였다고	벌이/VV+었/EP+다고/EC
신화통신은	신화통신/NNP+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.8.1
시위는 3일에도 이어져 샤오시먼 일대와 베이위안춘(北園春) 농산물도매시장 등지에서 1000명 이상의 한족 시위대가 산발적으로 시위를 벌였다.

시위는	시위/NNG+는/JX
3일에도	3/SN+일/NNB+에/JKB+도/JX
이어져	이어지/VV+어/EC
샤오시먼	샤오시먼/NNP
일대와	일대/NNG+와/JC
베이위안춘(北園春)	베이위안춘/NNP+(/SS+北園春/SH+)/SS
농산물도매시장	농산물/NNG+도매/NNG+시장/NNG
등지에서	등지/NNB+에서/JKB
1000명	1000/SN+명/NNB
이상의	이상/NNG+의/JKG
한족	한족/NNP
시위대가	시위대/NNG+가/JKS
산발적으로	산발/NNG+적/XSN+으로/JKB
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.307.8.2
베이위안춘에서는 5세 여아가 주사기 테러를 당했다는 소식이 전해지면서 사람들이 몰려들기 시작했다고 관영 차이나데일리가 4일 보도했다.

베이위안춘에서는	베이위안춘/NNP+에서/JKB+는/JX
5세	5/SN+세/NNB
여아가	여아/NNG+가/JKS
주사기	주사기/NNG
테러를	테러/NNG+를/JKO
당했다는	당하/VV+았/EP+다는/ETM
소식이	소식/NNG+이/JKS
전해지면서	전하/VV+아/EC+지/VX+면서/EC
사람들이	사람/NNG+들/XSN+이/JKS
몰려들기	몰려들/VV+기/ETN
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
관영	관영/NNG
차이나데일리가	차이나데일리/NNP+가/JKS
4일	4/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.9.1
오후 들어 시위대가 시 정부 청사가 있는 런민(人民)광장으로 집결하면서 시위대 숫자는 수만명으로 불어났다.

오후	오후/NNG
들어	들/VV+어/EC
시위대가	시위대/NNG+가/JKS
시	시/NNG
정부	정부/NNG
청사가	청사/NNG+가/JKS
있는	있/VA+는/ETM
런민(人民)광장으로	런민/NNP+(/SS+人民/SH+)/SS+광장/NNG+으로/JKB
집결하면서	집결/NNG+하/XSV+면서/EC
시위대	시위대/NNG
숫자는	숫자/NNG+는/JX
수만명으로	수만/NR+명/NNB+으로/JKB
불어났다.	불어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.9.2
시위 자체도 반정부적 성격이 강해졌다.

시위	시위/NNG
자체도	자체/NNG+도/JX
반정부적	반/XPN+정부/NNG+적/XSN
성격이	성격/NNG+이/JKS
강해졌다.	강하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.307.9.3
시위대는 자치구 정부가 있는 난후(南湖)광장과 런민영화관, 국제박람센터 등지로 이동하며 "정부는 시민의 안전을 보장하라" "왕러취안(王樂泉) 공산당 서기 물러나라"는 등의 구호를 외쳤고, 정부 당국자 면담을 요구하기도 했다.

시위대는	시위대/NNG+는/JX
자치구	자치구/NNG
정부가	정부/NNG+가/JKS
있는	있/VA+는/ETM
난후(南湖)광장과	난후/NNP+(/SS+南湖/SH+)/SS+광장/NNG+과/JC
런민영화관,	런민영화관/NNP+,/SP
국제박람센터	국제/NNG+박람/NNG+센터/NNG
등지로	등지/NNB+로/JKB
이동하며	이동/NNG+하/XSV+며/EC
"정부는	"/SS+정부/NNG+는/JX
시민의	시민/NNG+의/JKG
안전을	안전/NNG+을/JKO
보장하라"	보장/NNG+하/XSV+라/EF+"/SS
"왕러취안(王樂泉)	"/SS+왕러취안/NNP+(/SS+王樂泉/SH+)/SS
공산당	공산당/NNP
서기	서기/NNG
물러나라"는	물러나/VV+아라/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
구호를	구호/NNG+를/JKO
외쳤고,	외치/VV+었/EP+고/EC+,/SP
정부	정부/NNG
당국자	당국자/NNG
면담을	면담/NNG+을/JKO
요구하기도	요구/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.307.9.4
뒤늦게 2층 집무실 베란다로 나온 왕러취안 서기가 "정부를 믿고 냉정을 찾아 달라"고 호소했지만, 군중 사이에서 물병과 우산이 날아들었다고 홍콩 언론은 보도했다.

뒤늦게	뒤늦/VA+게/EC
2층	2/SN+층/NNG
집무실	집무실/NNG
베란다로	베란다/NNG+로/JKB
나온	나오/VV+ㄴ/ETM
왕러취안	왕러취안/NNP
서기가	서기/NNG+가/JKS
"정부를	"/SS+정부/NNG+를/JKO
믿고	믿/VV+고/EC
냉정을	냉정/NNG+을/JKO
찾아	찾/VV+아/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
호소했지만,	호소/NNG+하/XSV+았/EP+지만/EC+,/SP
군중	군중/NNG
사이에서	사이/NNG+에서/JKB
물병과	물병/NNG+과/JC
우산이	우산/NNG+이/JKS
날아들었다고	날아들/VV+었/EP+다고/EC
홍콩	홍콩/NNP
언론은	언론/NNG+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.9.5
한 현지 기업인은 "지난달 하순 후진타오 주석이 방문했을 때 위구르족만 집중적으로 만나 위로하고 간 것에 대해서도 한족 주민의 불만이 크다"고 말했다.

한	한/MMN
현지	현지/NNG
기업인은	기업인/NNG+은/JX
"지난달	"/SS+지난달/NNG
하순	하순/NNG
후진타오	후진타오/NNP
주석이	주석/NNG+이/JKS
방문했을	방문/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
위구르족만	위구르족/NNP+만/JX
집중적으로	집중/NNG+적/XSN+으로/JKB
만나	만나/VV+아/EC
위로하고	위로/NNG+하/XSV+고/EC
간	가/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
한족	한족/NNP
주민의	주민/NNG+의/JKG
불만이	불만/NNG+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.10.1
◆휴교령에 상가도 대거 철시

◆휴교령에	◆/SW+휴교령/NNG+에/JKB
상가도	상가/NNG+도/JX
대거	대거/MAG
철시	철시/NNG


# id : NWRW1800000022.307.11.1
시위대는 또 얼다오차오(二道橋) 등 도시 동남부 위구르족 밀집 거주지역으로 몰려가 위구르족과 투석전을 벌였고, 지나가는 차량에서 위구르족을 끌어내 집단 폭행을 가하기도 했다.

시위대는	시위대/NNG+는/JX
또	또/MAG
얼다오차오(二道橋)	얼다오차오/NNP+(/SS+二道橋/SH+)/SS
등	등/NNB
도시	도시/NNG
동남부	동남부/NNG
위구르족	위구르족/NNP
밀집	밀집/NNG
거주지역으로	거주/NNG+지역/NNG+으로/JKB
몰려가	몰려가/VV+아/EC
위구르족과	위구르족/NNP+과/JKB
투석전을	투석전/NNG+을/JKO
벌였고,	벌이/VV+었/EP+고/EC+,/SP
지나가는	지나가/VV+는/ETM
차량에서	차량/NNG+에서/JKB
위구르족을	위구르족/NNP+을/JKO
끌어내	끌어내/VV+어/EC
집단	집단/NNG
폭행을	폭행/NNG+을/JKO
가하기도	가하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.307.11.2
한 소식통은 "성난 시위대가 승용차를 타고 가던 위구르인 남자 2명을 차에서 끌어내 발가벗긴 뒤 1시간 동안 폭행했으며, 이들은 모두 사망했다"고 말했으나 확인되지 않았다.

한	한/MMN
소식통은	소식통/NNG+은/JX
"성난	"/SS+성나/VV+ㄴ/ETM
시위대가	시위대/NNG+가/JKS
승용차를	승용차/NNG+를/JKO
타고	타/VV+고/EC
가던	가/VV+던/ETM
위구르인	위구르인/NNG
남자	남자/NNG
2명을	2/SN+명/NNB+을/JKO
차에서	차/NNG+에서/JKB
끌어내	끌어내/VV+어/EC
발가벗긴	발가벗기/VV+ㄴ/ETM
뒤	뒤/NNG
1시간	1/SN+시간/NNB
동안	동안/NNG
폭행했으며,	폭행/NNG+하/XSV+았/EP+으며/EC+,/SP
이들은	이/NP+들/XSN+은/JX
모두	모두/MAG
사망했다"고	사망/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했으나	말/NNG+하/XSV+았/EP+으나/EC
확인되지	확인/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.307.12.1
현지 정부는 시위가 격화되자 3일 오후 불법 집회와 시위 금지령을 내렸다.

현지	현지/NNG
정부는	정부/NNG+는/JX
시위가	시위/NNG+가/JKS
격화되자	격화/NNG+되/XSV+자/EC
3일	3/SN+일/NNB
오후	오후/NNG
불법	불법/NNG
집회와	집회/NNG+와/JC
시위	시위/NNG
금지령을	금지령/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.307.12.2
집으로 귀가할 것을 종용하는 선무방송도 계속됐다고 한다.

집으로	집/NNG+으로/JKB
귀가할	귀가/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
종용하는	종용/NNG+하/XSV+는/ETM
선무방송도	선무/NNG+방송/NNG+도/JX
계속됐다고	계속/NNG+되/XSV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.307.12.3
4일에는 각급 학교에 휴교령이 내려졌고, 시내 전역에 걸쳐 교통 통제도 실시됐다.

4일에는	4/SN+일/NNB+에/JKB+는/JX
각급	각급/NNG
학교에	학교/NNG+에/JKB
휴교령이	휴교령/NNG+이/JKS
내려졌고,	내려지/VV+었/EP+고/EC+,/SP
시내	시내/NNG
전역에	전역/NNG+에/JKB
걸쳐	걸치/VV+어/EC
교통	교통/NNG
통제도	통제/NNG+도/JX
실시됐다.	실시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.307.12.4
우루무치 최대 도매시장인 화링(華凌)시장은 상가 절반이 철시했다고 시장 관계자가 말했다.

우루무치	우루무치/NNP
최대	최대/NNG
도매시장인	도매/NNG+시장/NNG+이/VCP+ㄴ/ETM
화링(華凌)시장은	화링/NNP+(/SS+華凌/SH+)/SS+시장/NNG+은/JX
상가	상가/NNG
절반이	절반/NNG+이/JKS
철시했다고	철시/NNG+하/XSV+았/EP+다고/EC
시장	시장/NNG
관계자가	관계자/NNG+가/JKS
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.13.1
신장위구르자치구는 현재 국제전화와 인터넷은 물론, 휴대폰 문자메시지 발신도 차단돼 있다.

신장위구르자치구는	신장위구르자치구/NNP+는/JX
현재	현재/MAG
국제전화와	국제/NNG+전화/NNG+와/JC
인터넷은	인터넷/NNG+은/JX
물론,	물론/MAG+,/SP
휴대폰	휴대폰/NNG
문자메시지	문자/NNG+메시지/NNG
발신도	발신/NNG+도/JX
차단돼	차단/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.307.13.2
한 외국 기업인은 "국제전화는 싱가포르를 통해 연결하고 팩스로 문서를 주고받는 등 완전히 과거로 돌아가 업무를 보고 있다"며 "위구르족 유동인구가 많은 지역은 상권이 완전히 죽어 한족 상인들의 불만이 쌓일 대로 쌓여 있다"고 말했다.

한	한/MMN
외국	외국/NNG
기업인은	기업인/NNG+은/JX
"국제전화는	"/SS+국제/NNG+전화/NNG+는/JX
싱가포르를	싱가포르/NNP+를/JKO
통해	통하/VV+아/EC
연결하고	연결/NNG+하/XSV+고/EC
팩스로	팩스/NNG+로/JKB
문서를	문서/NNG+를/JKO
주고받는	주고받/VV+는/ETM
등	등/NNB
완전히	완전히/MAG
과거로	과거/NNG+로/JKB
돌아가	돌아가/VV+아/EC
업무를	업무/NNG+를/JKO
보고	보/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"위구르족	"/SS+위구르족/NNP
유동인구가	유동/NNG+인구/NNG+가/JKS
많은	많/VA+은/ETM
지역은	지역/NNG+은/JX
상권이	상권/NNG+이/JKS
죽어	죽/VV+어/EC
한족	한족/NNP
상인들의	상인/NNG+들/XSN+의/JKG
불만이	불만/NNG+이/JKS
쌓일	쌓이/VV+ㄹ/ETM
대로	대로/NNB
쌓여	쌓이/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.307.14.1
위구르족

위구르족	위구르족/NNP


# id : NWRW1800000022.307.15.1
위구르족은 한국과 중국에서 '흉노(匈奴)'로 불렸던 중앙아시아의 튀르크계 민족.

위구르족은	위구르족/NNP+은/JX
한국과	한국/NNP+과/JC
중국에서	중국/NNP+에서/JKB
'흉노(匈奴)'로	'/SS+흉노/NNP+(/SS+匈奴/SH+)/SS+'/SS+로/JKB
불렸던	불리/VV+었/EP+던/ETM
중앙아시아의	중앙아시아/NNP+의/JKG
튀르크계	튀르크/NNP+계/XSN
민족.	민족/NNG+./SF


# id : NWRW1800000022.307.15.2
중국 55개 소수민족 중 3번째로 인구가 많다.

중국	중국/NNP
55개	55/SN+개/NNB
소수민족	소수/NNG+민족/NNG
중	중/NNB
3번째로	3/SN+번/NNB+째/XSN+로/JKB
인구가	인구/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000022.307.15.3
이슬람교를 믿으며 주로 중국 신장위구르자치구와 중앙아시아에 거주한다.

이슬람교를	이슬람교/NNG+를/JKO
믿으며	믿/VV+으며/EC
주로	주로/MAG
중국	중국/NNP
신장위구르자치구와	신장위구르자치구/NNP+와/JC
중앙아시아에	중앙아시아/NNP+에/JKB
거주한다.	거주/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.307.15.4
중국 위구르족은 한족에 비해 대부분 가난하며 한족에게 억압받는다고 생각한다.

중국	중국/NNP
위구르족은	위구르족/NNP+은/JX
한족에	한족/NNP+에/JKB
비해	비/NNG+하/XSV+아/EC
대부분	대/XPN+부분/NNG
가난하며	가난/NNG+하/XSA+며/EC
한족에게	한족/NNP+에게/JKB
억압받는다고	억압/NNG+받/XSV+는다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.307.15.5
지난 7월 신장위구르자치구에서 벌어진 대규모 유혈시위사태도 한족에 대한 위구르인들의 뿌리 깊은 반감이 한 요인이 됐다.

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
신장위구르자치구에서	신장위구르자치구/NNP+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
유혈시위사태도	유혈/NNG+시위/NNG+사태/NNG+도/JX
한족에	한족/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
위구르인들의	위구르인/NNG+들/XSN+의/JKG
뿌리	뿌리/NNG
깊은	깊/VA+은/ETM
반감이	반감/NNG+이/JKS
한	한/MMN
요인이	요인/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


