# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.202
metadata : {}


# id : NWRW1800000040.202.1.1
삼성전자, 불산 민관조사단 현장조사 거부

삼성전자,	삼성전자/NNP+,/SP
쪽이	쪽/NNB+이/JKS
경비원	경비원/NNG
20여명을	20/SN+여/XSN+명/NNB+을/JKO
동원해	동원/NNG+하/XSV+아/EC
저지했다.	저지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.202.5.2
2시간 남짓 대치하다 민관조사단이 공장 내 식물시료 채취를 시도했으나 삼성전자 쪽이 거부해 무산됐다.

2시간	2/SN+시간/NNB
남짓	남짓/NNB
대치하다	대치/NNG+하/XSV+다/EC
민관조사단이	민관/NNG+조사단/NNG+이/JKS
공장	공장/NNG
내	내/NNB
식물시료	식물/NNG+시료/NNG
채취를	채취/NNG+를/JKO
시도했으나	시도/NNG+하/XSV+았/EP+으나/EC
삼성전자	삼성전자/NNP
쪽이	쪽/NNB+이/JKS
거부해	거부/NNG+하/XSV+아/EC
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.202.6.1
조사단은 ‘삼성전자 쪽이 주민설명회에서 주민 대표 등 민관조사단의 현장 조사에 협력하겠다고 약속해놓고 이를 뒤집느냐’고 항의했다.

조사단은	조사단/NNG+은/JX
‘삼성전자	‘/SS+삼성전자/NNP
쪽이	쪽/NNB+이/JKS
주민설명회에서	주민/NNG+설명회/NNG+에서/JKB
주민	주민/NNG
대표	대표/NNG
등	등/NNB
민관조사단의	민관/NNG+조사단/NNG+의/JKG
현장	현장/NNG
조사에	조사/NNG+에/JKB
협력하겠다고	협력/NNG+하/XSV+겠/EP+다고/EC
약속해놓고	약속/NNG+하/XSV+아/EC+놓/VX+고/EC
이를	이/NP+를/JKO
뒤집느냐’고	뒤집/VV+느냐/EF+’/SS+고/JKQ
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.202.6.2
삼성전자는 지난달 30일 동탄주민센터에서 열린 주민설명회에서 “주민들이 원하는 장소 어느 곳에서도 불산가스 검출 검사를 하겠다”고 밝힌 바 있다.

삼성전자는	삼성전자/NNP+는/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
동탄주민센터에서	동탄주민센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
주민설명회에서	주민/NNG+설명회/NNG+에서/JKB
“주민들이	“/SS+주민/NNG+들/XSN+이/JKS
원하는	원/NNG+하/XSV+는/ETM
장소	장소/NNG
어느	어느/MMD
곳에서도	곳/NNG+에서/JKB+도/JX
불산가스	불산/NNG+가스/NNG
검출	검출/NNG
검사를	검사/NNG+를/JKO
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.202.7.1
이에 삼성전자 쪽은 “고용노동부 특별감독, 경찰 수사가 진행중이므로 조만간 진상이 규명될 것이다.

이에	이/NP+에/JKB
삼성전자	삼성전자/NNP
쪽은	쪽/NNB+은/JX
“고용노동부	“/SS+고용/NNG+노동부/NNG
특별감독,	특별/NNG+감독/NNG+,/SP
경찰	경찰/NNG
수사가	수사/NNG+가/JKS
진행중이므로	진행/NNG+중/NNB+이/VCP+므로/EC
조만간	조만간/MAG
진상이	진상/NNG+이/JKS
규명될	규명/NNG+되/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.202.7.2
조사가 다발적으로 이뤄지면 회사 쪽의 대응 인력도 심각하게 부족해진다”고 현장 조사 거부 이유를 밝혔다.

조사가	조사/NNG+가/JKS
다발적으로	다발/NNG+적/XSN+으로/JKB
이뤄지면	이뤄지/VV+면/EC
회사	회사/NNG
쪽의	쪽/NNB+의/JKG
대응	대응/NNG
인력도	인력/NNG+도/JX
심각하게	심각하/VA+게/EC
부족해진다”고	부족/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+”/SS+고/JKQ
현장	현장/NNG
조사	조사/NNG
거부	거부/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.202.8.1
경기도의회 양근서 의원(민주통합당)은 “주민들이 삼성 쪽의 발표와 정부의 조사를 불신하며 불안해하고 있어 이를 해소하려는 취지다.

경기도의회	경기도의회/NNP
양근서	양근서/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
“주민들이	“/SS+주민/NNG+들/XSN+이/JKS
삼성	삼성/NNP
쪽의	쪽/NNB+의/JKG
발표와	발표/NNG+와/JC
정부의	정부/NNG+의/JKG
조사를	조사/NNG+를/JKO
불신하며	불신/NNG+하/XSV+며/EC
불안해하고	불안/NNG+하/XSA+아/EC+하/VX+고/EC
있어	있/VX+어/EC
이를	이/NP+를/JKO
해소하려는	해소/NNG+하/XSV+려는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.202.8.2
그런데도 이를 막는 처사를 이해할 수 없다”고 말했다.

그런데도	그런데/MAJ+도/JX
이를	이/NP+를/JKO
막는	막/VV+는/ETM
처사를	처사/NNG+를/JKO
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.202.9.1
민관조사단은 앞서 삼성전자에 공정안전보고서 등의 자료를 요청했지만 경찰 수사를 이유로 상당수 자료를 받지 못했다.

민관조사단은	민관/NNG+조사단/NNG+은/JX
앞서	앞서/MAG
삼성전자에	삼성전자/NNP+에/JKB
공정안전보고서	공정/NNG+안전/NNG+보고서/NNG
등의	등/NNB+의/JKG
자료를	자료/NNG+를/JKO
요청했지만	요청/NNG+하/XSV+았/EP+지만/EC
경찰	경찰/NNG
수사를	수사/NNG+를/JKO
이유로	이유/NNG+로/JKB
상당수	상당수/NNG
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.202.10.1
불산 누출사고로 숨진 박아무개(35)씨의 직접 사망 원인은 ‘불화수소산(불산) 중독사’로 확인됐다고 경기지방경찰청이 국립과학수사연구원 부검 결과를 인용해 밝혔다.

불산	불산/NNG
누출사고로	누출/NNG+사고/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
박아무개(35)씨의	박/NNP+아무개/NP+(/SS+35/SN+)/SS+씨/NNB+의/JKG
직접	직접/NNG
사망	사망/NNG
원인은	원인/NNG+은/JX
‘불화수소산(불산)	‘/SS+불화/NNG+수소산/NNG+(/SS+불산/NNG+)/SS
중독사’로	중독사/NNG+’/SS+로/JKB
확인됐다고	확인/NNG+되/XSV+었/EP+다고/EC
경기지방경찰청이	경기지방경찰청/NNP+이/JKS
국립과학수사연구원	국립과학수사연구원/NNP
부검	부검/NNG
결과를	결과/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.202.10.2
경찰은 부검 결과와 불산 누출량, 사고 경위 등을 분석한 뒤 오는 26일께 중간 수사 결과를 발표할 예정이다.

경찰은	경찰/NNG+은/JX
부검	부검/NNG
결과와	결과/NNG+와/JC
불산	불산/NNG
누출량,	누출량/NNG+,/SP
사고	사고/NNG
경위	경위/NNG
등을	등/NNB+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
오는	오/VV+는/ETM
26일께	26/SN+일/NNB+께/XSN
중간	중간/NNG
수사	수사/NNG
결과를	결과/NNG+를/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


