# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.351
metadata : {}


# id : NWRW1800000040.351.1.1
[아침 햇발] 양치기 소년의 빙의 / 정영무

[아침	[/SS+아침/NNG
경제민주화는 할 만큼 했다며 손을 털고 경제 활성화의 깃발을 드는 것은, 개복을 해보니 수술해야 할 곳이 여기저긴데 한두 군데 시늉만 내고 그냥 덮겠다고 하는 격이다.

경제민주화는	경제/NNG+민주/NNG+화/XSN+는/JX
할	하/VX+ㄹ/ETM
만큼	만큼/NNB
했다며	하/VV+았/EP+다며/EC
손을	손/NNG+을/JKO
털고	털/VV+고/EC
경제	경제/NNG
활성화의	활성/NNG+화/XSN+의/JKG
깃발을	깃발/NNG+을/JKO
드는	들/VV+는/ETM
것은,	것/NNB+은/JX+,/SP
개복을	개복/NNG+을/JKO
해보니	하/VV+아/EC+보/VX+니/EC
수술해야	수술/NNG+하/XSV+아야/EC
곳이	곳/NNG+이/JKS
여기저긴데	여기저기/NNG+이/VCP+ㄴ데/EC
한두	한두/MMN
군데	군데/NNB
시늉만	시늉/NNG+만/JX
내고	내/VV+고/EC
그냥	그냥/MAG
덮겠다고	덮/VV+겠/EP+다고/EC
하는	하/VV+는/ETM
격이다.	격/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.8.1
경제를 위한 정치는 예측 가능하고 공정해야 한다.

경제를	경제/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
정치는	정치/NNG+는/JX
예측	예측/NNG
가능하고	가능/NNG+하/XSA+고/EC
공정해야	공정/NNG+하/XSA+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.351.8.2
공약을 빛 좋은 개살구로 만들고 헌법 질서를 어지럽힌 세력을 비호하는 정부라면 경제에 골칫거리다.

공약을	공약/NNG+을/JKO
빛	빛/NNG
좋은	좋/VA+은/ETM
개살구로	개살구/NNG+로/JKB
만들고	만들/VV+고/EC
헌법	헌법/NNG
질서를	질서/NNG+를/JKO
어지럽힌	어지럽히/VV+ㄴ/ETM
세력을	세력/NNG+을/JKO
비호하는	비호/NNG+하/XSV+는/ETM
정부라면	정부/NNG+이/VCP+라면/EC
경제에	경제/NNG+에/JKB
골칫거리다.	골칫거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.351.8.3
경제위기라는 늑대는 없고 무능하거나 나쁜 정부와 정치가 있을 뿐이다.

경제위기라는	경제/NNG+위기/NNG+이/VCP+라는/ETM
늑대는	늑대/NNG+는/JX
없고	없/VA+고/EC
무능하거나	무능/NNG+하/XSA+거나/EC
나쁜	나쁘/VA+ㄴ/ETM
정부와	정부/NNG+와/JC
정치가	정치/NNG+가/JKS
있을	있/VA+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


