# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.395
metadata : {}


# id : NWRW1800000046.395.1.1
"메르스 끝났는데 왜 막냐"… 아무때나 病室 찾아

"메르스	"/SS+메르스/NNG
세브란스병원은	세브란스병원/NNP+은/JX
환자가	환자/NNG+가/JKS
입원할	입원/NNG+하/XSV+ㄹ/ETM
때	때/NNG
안내	안내/NNG
교육을	교육/NNG+을/JKO
통해	통하/VV+아/EC
보호자는	보호자/NNG+는/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
1명만	1/SN+명/NNB+만/JX
허용하고	허용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.395.4.2
보호자 명찰이 없으면 병동 출입이 제한된다.

보호자	보호자/NNG
명찰이	명찰/NNG+이/JKS
없으면	없/VA+으면/EC
병동	병동/NNG
출입이	출입/NNG+이/JKS
제한된다.	제한/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.395.4.3
서울아산병원도 면회 제한 안내문을 병원 곳곳에 게시하고, 주요 출입문과 엘리베이터 앞에서 내원객들에게 입원실 방문 자제를 안내하고 있다.

서울아산병원도	서울아산병원/NNP+도/JX
면회	면회/NNG
제한	제한/NNG
안내문을	안내문/NNG+을/JKO
병원	병원/NNG
곳곳에	곳곳/NNG+에/JKB
게시하고,	게시/NNG+하/XSV+고/EC+,/SP
주요	주요/NNG
출입문과	출입문/NNG+과/JC
엘리베이터	엘리베이터/NNG
앞에서	앞/NNG+에서/JKB
내원객들에게	내원객/NNG+들/XSN+에게/JKB
입원실	입원실/NNG
방문	방문/NNG
자제를	자제/NNG+를/JKO
안내하고	안내/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.395.4.4
이를 위해 보안 직원 10여 명을 충원했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
보안	보안/NNG
직원	직원/NNG
10여	10/SN+여/XSN
명을	명/NNB+을/JKO
충원했다.	충원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.395.4.5
입원 환자 1명당 보호자는 1명만 허용하고 출입증이 있어야만 병실에 머물 수 있게 했다.

입원	입원/NNG
환자	환자/NNG
1명당	1/SN+명/NNB+당/XSN
보호자는	보호자/NNG+는/JX
1명만	1/SN+명/NNB+만/JX
허용하고	허용/NNG+하/XSV+고/EC
출입증이	출입증/NNG+이/JKS
있어야만	있/VA+어야/EC+만/JX
병실에	병실/NNG+에/JKB
머물	머물/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.395.4.6
또 문안객이 2명을 넘을 때는 가급적 병실이 아닌 1층 로비에서 환자 보호자와 만나도록 안내하고 있다.

또	또/MAG
문안객이	문안객/NNG+이/JKS
2명을	2/SN+명/NNB+을/JKO
넘을	넘/VV+을/ETM
때는	때/NNG+는/JX
가급적	가급적/MAG
병실이	병실/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
1층	1/SN+층/NNG
로비에서	로비/NNG+에서/JKB
환자	환자/NNG
보호자와	보호자/NNG+와/JKB
만나도록	만나/VV+도록/EC
안내하고	안내/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.395.4.7
이 병원 관계자는 그러나 "문병을 강력 제한할 근거가 없기 때문에 방문객과 환자 가족들을 안내하고 설득하는 수준"이라며 "나름의 노력에도 메르스 사태 이전에 비해 문병객이 눈에 띄게 줄었다고 보긴 힘들다"고 말했다.

이	이/MMD
병원	병원/NNG
관계자는	관계자/NNG+는/JX
그러나	그러나/MAJ
"문병을	"/SS+문병/NNG+을/JKO
강력	강력/NNG
제한할	제한/NNG+하/XSV+ㄹ/ETM
근거가	근거/NNG+가/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
방문객과	방문객/NNG+과/JC
환자	환자/NNG
가족들을	가족/NNG+들/XSN+을/JKO
안내하고	안내/NNG+하/XSV+고/EC
설득하는	설득/NNG+하/XSV+는/ETM
수준"이라며	수준/NNG+"/SS+이/VCP+라며/EC
"나름의	"/SS+나름/NNB+의/JKG
노력에도	노력/NNG+에/JKB+도/JX
메르스	메르스/NNG
사태	사태/NNG
이전에	이전/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
문병객이	문병객/NNG+이/JKS
눈에	눈/NNG+에/JKB
띄게	띄/VV+게/EC
줄었다고	줄/VV+었/EP+다고/EC
보긴	보/VV+기/ETN+ㄴ/JX
힘들다"고	힘들/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.395.5.1
삼성서울병원은 입원 환자 1명당 보호자 1명만 허용하고 있으며, 문병객은 가급적 병실보다는 각 병동에 마련된 로비에서 만나도록 안내하고 있다.

삼성서울병원은	삼성서울병원/NNP+은/JX
입원	입원/NNG
환자	환자/NNG
1명당	1/SN+명/NNB+당/XSN
보호자	보호자/NNG
1명만	1/SN+명/NNB+만/JX
허용하고	허용/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
문병객은	문병객/NNG+은/JX
가급적	가급적/MAG
병실보다는	병실/NNG+보다/JKB+는/JX
각	각/MMD
병동에	병동/NNG+에/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
로비에서	로비/NNG+에서/JKB
만나도록	만나/VV+도록/EC
안내하고	안내/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.395.5.2
서울대병원은 평일 오후 4~9시까지던 평일 면회 시간을 오후 7시까지로 2시간 줄이고, 문병 자제 안내 방송을 하는 수준이다.

서울대병원은	서울대병원/NNP+은/JX
평일	평일/NNG
오후	오후/NNG
4~9시까지던	4/SN+~/SO+9/SN+시/NNB+까지/JX+이/VCP+던/ETM
면회	면회/NNG
시간을	시간/NNG+을/JKO
7시까지로	7/SN+시/NNB+까지/JX+로/JKB
2시간	2/SN+시간/NNB
줄이고,	줄이/VV+고/EC+,/SP
문병	문병/NNG
자제	자제/NNG
안내	안내/NNG
방송을	방송/NNG+을/JKO
하는	하/VV+는/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.395.6.1
하지만 다수의 병원 관계자들은 "메르스가 다 끝났는데 왜 막느냐"며 화를 내고 욕설까지 내뱉는 문병객들을 저지하기란 현실적으로 어렵다는 반응이다.

하지만	하지만/MAJ
다수의	다수/NNG+의/JKG
병원	병원/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"메르스가	"/SS+메르스/NNG+가/JKS
다	다/MAG
끝났는데	끝나/VV+았/EP+는데/EC
왜	왜/MAG
막느냐"며	막/VV+느냐/EF+"/SS+며/EC
화를	화/NNG+를/JKO
내고	내/VV+고/EC
욕설까지	욕설/NNG+까지/JX
내뱉는	내뱉/VV+는/ETM
문병객들을	문병객/NNG+들/XSN+을/JKO
저지하기란	저지/NNG+하/XSV+기/ETN+란/JX
현실적으로	현실/NNG+적/XSN+으로/JKB
어렵다는	어렵/VA+다는/ETM
반응이다.	반응/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.395.6.2
한 관계자는 "전국 환자들이 집중되는 대형병원의 특성상 내원객도 하루 수천 명"이라며 "특히 지방에서 올라온 환자를 면회하러 오는 문병객은 사실상 막을 방도가 없다"고 말했다.

한	한/MMN
관계자는	관계자/NNG+는/JX
"전국	"/SS+전국/NNG
환자들이	환자/NNG+들/XSN+이/JKS
집중되는	집중/NNG+되/XSV+는/ETM
대형병원의	대형/NNG+병원/NNG+의/JKG
특성상	특성/NNG+상/XSN
내원객도	내원객/NNG+도/JX
하루	하루/NNG
수천	수천/NR
명"이라며	명/NNB+"/SS+이/VCP+라며/EC
"특히	"/SS+특히/MAG
지방에서	지방/NNG+에서/JKB
올라온	올라오/VV+ㄴ/ETM
환자를	환자/NNG+를/JKO
면회하러	면회/NNG+하/XSV+러/EC
오는	오/VV+는/ETM
문병객은	문병객/NNG+은/JX
사실상	사실/NNG+상/XSN
막을	막/VV+을/ETM
방도가	방도/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.395.7.1
정부와 의료계가 '메르스 사태'를 기회 삼아 병문안 줄이기 대국민 캠페인이라도 벌였어야 했는데, 한발 늦었다는 지적도 많다.

정부와	정부/NNG+와/JC
의료계가	의료/NNG+계/XSN+가/JKS
'메르스	'/SS+메르스/NNG
사태'를	사태/NNG+'/SS+를/JKO
기회	기회/NNG
삼아	삼/VV+아/EC
병문안	병문안/NNG
줄이기	줄이/VV+기/ETN
대국민	대국민/NNG
캠페인이라도	캠페인/NNG+이/VCP+라도/EC
벌였어야	벌이/VV+었/EP+어야/EC
했는데,	하/VX+았/EP+는데/EC+,/SP
한발	한발/MAG
늦었다는	늦/VA+었/EP+다는/ETM
지적도	지적/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.395.7.2
한 대학병원 병원장은 "한 병원만 노력한다고 되는 일이 아니다"며 "국민이 쉽게 이해할 수 있도록 전국적으로 일관된 면회 시간을 정하고, 문병 전후에는 반드시 손을 씻게 하는 등의 교육이 절실하다"고 말했다.

한	한/MMN
대학병원	대학/NNG+병원/NNG
병원장은	병원장/NNG+은/JX
"한	"/SS+한/MMN
병원만	병원/NNG+만/JX
노력한다고	노력/NNG+하/XSV+ㄴ다고/EC
되는	되/VV+는/ETM
일이	일/NNG+이/JKC
아니다"며	아니/VCN+다/EF+"/SS+며/EC
"국민이	"/SS+국민/NNG+이/JKS
쉽게	쉽/VA+게/EC
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
전국적으로	전국/NNG+적/XSN+으로/JKB
일관된	일관/NNG+되/XSV+ㄴ/ETM
면회	면회/NNG
시간을	시간/NNG+을/JKO
정하고,	정하/VV+고/EC+,/SP
문병	문병/NNG
전후에는	전후/NNG+에/JKB+는/JX
반드시	반드시/MAG
손을	손/NNG+을/JKO
씻게	씻/VV+게/EC
하는	하/VX+는/ETM
등의	등/NNB+의/JKG
교육이	교육/NNG+이/JKS
절실하다"고	절실하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.395.7.3
대한의사협회 강청희 부회장은 "감염 위험이 높은 병원을 직접 찾아가기보다 문자나 영상 통화 등을 적극 활용하도록 홍보할 필요가 있다"고 말했다.

대한의사협회	대한의사협회/NNP
강청희	강청희/NNP
부회장은	부회장/NNG+은/JX
"감염	"/SS+감염/NNG
위험이	위험/NNG+이/JKS
높은	높/VA+은/ETM
병원을	병원/NNG+을/JKO
직접	직접/MAG
찾아가기보다	찾아가/VV+기/ETN+보다/JKB
문자나	문자/NNG+나/JC
영상	영상/NNG
통화	통화/NNG
등을	등/NNB+을/JKO
적극	적극/NNG
활용하도록	활용/NNG+하/XSV+도록/EC
홍보할	홍보/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.395.8.1
메르스 사태 이후 "병원 내 감염 관리를 강화하기 위해 병문안을 제한하고 모든 방문객에게 방명록을 작성하게 하는 등 기본 수칙을 마련하겠다"고 발표한 보건복지부는 아직까지 구체적인 대책을 내놓지 않고 있다.

메르스	메르스/NNG
사태	사태/NNG
이후	이후/NNG
"병원	"/SS+병원/NNG
내	내/NNB
감염	감염/NNG
관리를	관리/NNG+를/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
병문안을	병문안/NNG+을/JKO
제한하고	제한/NNG+하/XSV+고/EC
모든	모든/MMN
방문객에게	방문객/NNG+에게/JKB
방명록을	방명록/NNG+을/JKO
작성하게	작성/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
등	등/NNB
기본	기본/NNG
수칙을	수칙/NNG+을/JKO
마련하겠다"고	마련/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
발표한	발표/NNG+하/XSV+ㄴ/ETM
보건복지부는	보건/NNG+복지부/NNG+는/JX
아직까지	아직/MAG+까지/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
내놓지	내놓/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


