# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.414
metadata : {}


# id : NWRW1800000024.414.1.1
“대안입찰 방식으로 2조원 낭비”

“대안입찰	“/SS+대안/NNG+입찰/NNG
경실련은 “가격경쟁입찰을 채택했을 때 낙찰금액은 애초 예정금액의 60% 선에서 결정되는 반면, 대안입찰은 약 85~90% 선에서 낙찰되는 것으로 드러났다”고 밝혔다.

경실련은	경실련/NNP+은/JX
“가격경쟁입찰을	“/SS+가격/NNG+경쟁/NNG+입찰/NNG+을/JKO
채택했을	채택/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
낙찰금액은	낙찰/NNG+금액/NNG+은/JX
애초	애초/NNG
예정금액의	예정/NNG+금액/NNG+의/JKG
60%	60/SN+%/SW
선에서	선/NNG+에서/JKB
결정되는	결정/NNG+되/XSV+는/ETM
반면,	반면/NNG+,/SP
대안입찰은	대안/NNG+입찰/NNG+은/JX
약	약/MMA
85~90%	85/SN+~/SO+90/SN+%/SW
낙찰되는	낙찰/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
드러났다”고	드러나/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.414.5.1
대안입찰 규모를 기관별로 보면, 한국도로공사(10건·2조2700억원)가 가장 많았으며, 대구 도시철도건설본부(8건·7900억원), 한국토지공사(5건·7100억원), 부산 건설본부(5건·5500억원) 등이 뒤를 이었다.

대안입찰	대안/NNG+입찰/NNG
규모를	규모/NNG+를/JKO
기관별로	기관/NNG+별/XSN+로/JKB
보면,	보/VV+면/EC+,/SP
한국도로공사(10건·2조2700억원)가	한국도로공사/NNP+(/SS+10/SN+건/NNB+·/SP+2/SN+조/NR+2700/SN+억/NR+원/NNB+)/SS+가/JKS
가장	가장/MAG
많았으며,	많/VA+았/EP+으며/EC+,/SP
대구	대구/NNP
도시철도건설본부(8건·7900억원),	도시/NNG+철도/NNG+건설/NNG+본부/NNG+(/SS+8/SN+건/NNB+·/SP+7900/SN+억/NR+원/NNB+)/SS+,/SP
한국토지공사(5건·7100억원),	한국토지공사/NNP+(/SS+5/SN+건/NNB+·/SP+7100/SN+억/NR+원/NNB+)/SS+,/SP
부산	부산/NNP
건설본부(5건·5500억원)	건설/NNG+본부/NNG+(/SS+5/SN+건/NNB+·/SP+5500/SN+억/NR+원/NNB+)/SS
등이	등/NNB+이/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.414.5.2
경실련은 조달청 공개자료와 정보공개청구 등을 통해 2005년 1월부터 올해 6월까지 발주된 대안입찰 사업을 조사했다.

경실련은	경실련/NNP+은/JX
조달청	조달청/NNG
공개자료와	공개/NNG+자료/NNG+와/JC
정보공개청구	정보/NNG+공개/NNG+청구/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
2005년	2005/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
올해	올해/NNG
6월까지	6/SN+월/NNB+까지/JX
발주된	발주/NNG+되/XSV+ㄴ/ETM
대안입찰	대안/NNG+입찰/NNG
사업을	사업/NNG+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.414.6.1
대안입찰 방식은 발주기관의 기존 설계와 별도로 다시 설계비용이 들어 예산을 낭비하는 문제도 있다.

대안입찰	대안/NNG+입찰/NNG
방식은	방식/NNG+은/JX
발주기관의	발주/NNG+기관/NNG+의/JKG
기존	기존/NNG
설계와	설계/NNG+와/JKB
별도로	별도/NNG+로/JKB
다시	다시/MAG
설계비용이	설계/NNG+비용/NNG+이/JKS
들어	들/VV+어/EC
예산을	예산/NNG+을/JKO
낭비하는	낭비/NNG+하/XSV+는/ETM
문제도	문제/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.414.6.2
중복설계로 낭비된 설계예산만도 2219억여원(이명박 정부 1043억원·47%)에 이른다고 경실련은 밝혔다.

중복설계로	중복/NNG+설계/NNG+로/JKB
낭비된	낭비/NNG+되/XSV+ㄴ/ETM
설계예산만도	설계/NNG+예산/NNG+만/JX+도/JX
2219억여원(이명박	2219/SN+억/NR+여/XSN+원/NNB+(/SS+이명박/NNP
정부	정부/NNG
1043억원·47%)에	1043/SN+억/NR+원/NNB+·/SP+47/SN+%/SW+)/SS+에/JKB
이른다고	이르/VV+ㄴ다고/EC
경실련은	경실련/NNP+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.414.7.1
윤순철 경실련 시민감시국장은 “대안입찰은 참여 업체 수가 적어 가격담합이 쉽다”며 “정부는 대안입찰 발주제를 폐지하고 가격경쟁입찰제도를 확대해야 한다”고 주장했다.

윤순철	윤순철/NNP
경실련	경실련/NNP
시민감시국장은	시민/NNG+감시국장/NNG+은/JX
“대안입찰은	“/SS+대안/NNG+입찰/NNG+은/JX
참여	참여/NNG
업체	업체/NNG
수가	수/NNG+가/JKS
적어	적/VA+어/EC
가격담합이	가격/NNG+담합/NNG+이/JKS
쉽다”며	쉽/VA+다/EF+”/SS+며/EC
“정부는	“/SS+정부/NNG+는/JX
대안입찰	대안/NNG+입찰/NNG
발주제를	발주/NNG+제/XSN+를/JKO
폐지하고	폐지/NNG+하/XSV+고/EC
가격경쟁입찰제도를	가격/NNG+경쟁/NNG+입찰/NNG+제도/NNG+를/JKO
확대해야	확대/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


