# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.271
metadata : {}


# id : NWRW1800000021.271.1.1
“이산상봉 금강산서 100명씩” 남북 의견일치

“이산상봉	“/SS+이산/NNG+상봉/NNG
반면 북측은 10월 3∼5일(남측 상봉단 100명), 6∼8일(북측 상봉단 100명) 금강산호텔에서 열자고 제안했다.

반면	반면/NNG
북측은	북측/NNG+은/JX
10월	10/SN+월/NNB
3∼5일(남측	3/SN+∼/SO+5/SN+일/NNB+(/SS+남측/NNG
상봉단	상봉단/NNG
100명),	100/SN+명/NNB+)/SS+,/SP
6∼8일(북측	6/SN+∼/SO+8/SN+일/NNB+(/SS+북측/NNG
100명)	100/SN+명/NNB+)/SS
금강산호텔에서	금강산호텔/NNP+에서/JKB
열자고	열/VV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.271.4.1
남측은 기조발언을 통해 △이산가족 교류사업은 어떤 정치적 상황에서도 추진돼야 하고 △일회성 상봉이 아닌 전면적 생사 확인과 상시 상봉, 고향 방문 등을 통해 근본적으로 해결해야 하며 △납북자와 국군포로 문제 해결을 위해서도 상호 협력해야 한다는 3대 원칙을 제시했다.

남측은	남측/NNG+은/JX
기조발언을	기조/NNG+발언/NNG+을/JKO
통해	통하/VV+아/EC
△이산가족	△/SW+이산가족/NNG
교류사업은	교류/NNG+사업/NNG+은/JX
어떤	어떤/MMD
정치적	정치/NNG+적/XSN
상황에서도	상황/NNG+에서/JKB+도/JX
추진돼야	추진/NNG+되/XSV+어야/EC
하고	하/VX+고/EC
△일회성	△/SW+일회/NNG+성/XSN
상봉이	상봉/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
전면적	전면/NNG+적/XSN
생사	생사/NNG
확인과	확인/NNG+과/JC
상시	상시/NNG
상봉,	상봉/NNG+,/SP
고향	고향/NNG
방문	방문/NNG
등을	등/NNB+을/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
해결해야	해결/NNG+하/XSV+아야/EC
하며	하/VX+며/EC
△납북자와	△/SW+납북자/NNG+와/JC
국군포로	국군/NNG+포로/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
위해서도	위하/VV+아서/EC+도/JX
상호	상호/MAG
협력해야	협력/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
3대	3/SN+대/NNG
원칙을	원칙/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.271.5.1
정부가 납북자와 국군포로 문제 해결을 북한 당국에 공식 제기한 것은 이명박 정부 들어 처음이다.

정부가	정부/NNG+가/JKS
납북자와	납북자/NNG+와/JC
국군포로	국군/NNG+포로/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
북한	북한/NNP
당국에	당국/NNG+에/JKB
공식	공식/NNG
제기한	제기/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이명박	이명박/NNP
정부	정부/NNG
들어	들/VV+어/EC
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.271.5.2
통일부는 지난해 청와대 업무보고에서 국군포로와 납북자 송환 문제를 근본적으로 해결하기 위해 노력하겠다고 밝힌 바 있다.

통일부는	통일부/NNG+는/JX
지난해	지난해/NNG
청와대	청와대/NNP
업무보고에서	업무/NNG+보고/NNG+에서/JKB
국군포로와	국군/NNG+포로/NNG+와/JC
납북자	납북자/NNG
송환	송환/NNG
문제를	문제/NNG+를/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
노력하겠다고	노력/NNG+하/XSV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.271.6.1
이 같은 원칙에 따라 남측은 올해 11월과 내년 설에도 이산가족 상봉 행사를 개최할 것을 북측에 제의했다.

이	이/NP
같은	같/VA+은/ETM
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
남측은	남측/NNG+은/JX
올해	올해/NNG
11월과	11/SN+월/NNB+과/JC
내년	내년/NNG
설에도	설/NNG+에/JKB+도/JX
이산가족	이산가족/NNG
상봉	상봉/NNG
행사를	행사/NNG+를/JKO
개최할	개최/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
북측에	북측/NNG+에/JKB
제의했다.	제의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.271.6.2
반면 북측은 이날 회의에서 추석 이산가족 상봉 이외에 다른 제의를 하지 않았다.

반면	반면/NNG
북측은	북측/NNG+은/JX
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
추석	추석/NNG
이산가족	이산가족/NNG
상봉	상봉/NNG
이외에	이외/NNG+에/JKB
다른	다른/MMD
제의를	제의/NNG+를/JKO
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.271.6.3
남북은 27일 대표 간 실무접촉을 통해 상봉 행사 일정을 논의한다.

남북은	남북/NNP+은/JX
27일	27/SN+일/NNB
대표	대표/NNG
간	간/NNB
실무접촉을	실무/NNG+접촉/NNG+을/JKO
통해	통하/VV+아/EC
상봉	상봉/NNG
행사	행사/NNG
일정을	일정/NNG+을/JKO
논의한다.	논의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.271.7.1
남측 수석대표인 김영철 대한적십자사 사무총장은 회의가 끝난 뒤 “3대 원칙을 제시한 것은 앞으로 이 문제에 대해 (남북이) 일관되게 일을 해 나가자는 뜻”이라며 “그러나 북측은 추석 상봉에만 의미를 두는 것 같았다”고 말했다.

남측	남측/NNG
수석대표인	수석대표/NNG+이/VCP+ㄴ/ETM
김영철	김영철/NNP
대한적십자사	대한적십자사/NNP
사무총장은	사무총장/NNG+은/JX
회의가	회의/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
“3대	“/SS+3/SN+대/NNG
원칙을	원칙/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
앞으로	앞/NNG+으로/JKB
이	이/MMD
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
(남북이)	(/SS+남북/NNP+이/JKS+)/SS
일관되게	일관/NNG+되/XSV+게/EC
일을	일/NNG+을/JKO
해	하/VV+아/EC
나가자는	나가/VX+자는/ETM
뜻”이라며	뜻/NNG+”/SS+이/VCP+라며/EC
“그러나	“/SS+그러나/MAJ
북측은	북측/NNG+은/JX
추석	추석/NNG
상봉에만	상봉/NNG+에/JKB+만/JX
의미를	의미/NNG+를/JKO
두는	두/VV+는/ETM
것	것/NNB
같았다”고	같/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.271.7.2
김 총장은 남측이 제기한 상봉 행사 일정에 대해 “추석 명절과 북한 노동당 창건기념일(10월 10일)을 피해 잡았다”고 설명했다.

김	김/NNP
총장은	총장/NNG+은/JX
남측이	남측/NNG+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
상봉	상봉/NNG
행사	행사/NNG
일정에	일정/NNG+에/JKB
대해	대하/VV+아/EC
“추석	“/SS+추석/NNG
명절과	명절/NNG+과/JC
북한	북한/NNP
노동당	노동당/NNP
창건기념일(10월	창건/NNG+기념일/NNG+(/SS+10/SN+월/NNB
10일)을	10/SN+일/NNB+)/SS+을/JKO
피해	피하/VV+아/EC
잡았다”고	잡/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.271.8.1
김 총장은 또 북측이 상봉 장소로 금강산면회소를 꺼리는 것에 대해 “(지난해 7월 완공 이후 사용되지 않았기 때문에) 곰팡이가 생기고 시멘트가 무너진 부분이 있다고 한다”며 “면회소를 남북이 함께 실사하는 것을 의논할 계획”이라고 말했다.

김	김/NNP
총장은	총장/NNG+은/JX
또	또/MAG
북측이	북측/NNG+이/JKS
상봉	상봉/NNG
장소로	장소/NNG+로/JKB
금강산면회소를	금강산면회소/NNP+를/JKO
꺼리는	꺼리/VV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
“(지난해	“/SS+(/SS+지난해/NNG
7월	7/SN+월/NNB
완공	완공/NNG
이후	이후/NNG
사용되지	사용/NNG+되/XSV+지/EC
않았기	않/VX+았/EP+기/ETN
때문에)	때문/NNB+에/JKB+)/SS
곰팡이가	곰팡이/NNG+가/JKS
생기고	생기/VV+고/EC
시멘트가	시멘트/NNG+가/JKS
무너진	무너지/VV+ㄴ/ETM
부분이	부분/NNG+이/JKS
있다고	있/VA+다고/EC
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“면회소를	“/SS+면회소/NNG+를/JKO
남북이	남북/NNP+이/JKS
함께	함께/MAG
실사하는	실사/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
의논할	의논/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.271.9.1
이에 앞서 남측 대표단은 이날 3시 20분경 금강산호텔에 도착했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
남측	남측/NNG
대표단은	대표단/NNG+은/JX
이날	이날/NNG
3시	3/SN+시/NNB
20분경	20/SN+분/NNB+경/XSN
금강산호텔에	금강산호텔/NNP+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.271.9.2
북측 단장인 최성익 조선적십자회 중앙위원회 부위원장 등 북측 인사 10여 명이 남측 대표단을 맞았다.

북측	북측/NNG
단장인	단장/NNG+이/VCP+ㄴ/ETM
최성익	최성익/NNP
조선적십자회	조선적십자회/NNP
중앙위원회	중앙/NNG+위원회/NNG
부위원장	부위원장/NNG
등	등/NNB
인사	인사/NNG
10여	10/SN+여/XSN
명이	명/NNB+이/JKS
남측	남측/NNG
대표단을	대표단/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.271.9.3
북측 기자들은 김대중 전 대통령 국장 때 서울을 방문한 북한 조문단에 대한 남측의 반응에 큰 관심을 나타냈다.

북측	북측/NNG
기자들은	기자/NNG+들/XSN+은/JX
김대중	김대중/NNP
전	전/MMD
대통령	대통령/NNG
국장	국장/NNG
때	때/NNG
서울을	서울/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
북한	북한/NNP
조문단에	조문단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
남측의	남측/NNG+의/JKG
반응에	반응/NNG+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.271.10.1
남측 대표단은 회의 시작에 앞서 지난해 7월 금강산 관광객 피격 사망 사건 이후 중단된 남북 직통전화를 연결하려 했다.

남측	남측/NNG
대표단은	대표단/NNG+은/JX
회의	회의/NNG
시작에	시작/NNG+에/JKB
앞서	앞서/VV+어/EC
지난해	지난해/NNG
7월	7/SN+월/NNB
금강산	금강산/NNP
관광객	관광객/NNG
피격	피격/NNG
사망	사망/NNG
사건	사건/NNG
이후	이후/NNG
중단된	중단/NNG+되/XSV+ㄴ/ETM
남북	남북/NNP
직통전화를	직통/NNG+전화/NNG+를/JKO
연결하려	연결/NNG+하/XSV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.271.10.2
그러나 전화를 오래 사용하지 않은 탓에 연결되지 않아 회의가 예정보다 40분 늦게 시작됐다.

그러나	그러나/MAJ
전화를	전화/NNG+를/JKO
오래	오래/MAG
사용하지	사용/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
탓에	탓/NNG+에/JKB
연결되지	연결/NNG+되/XSV+지/EC
않아	않/VX+아/EC
회의가	회의/NNG+가/JKS
예정보다	예정/NNG+보다/JKB
40분	40/SN+분/NNB
늦게	늦/VA+게/EC
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.271.10.3
남북적십자회담이 열린 것은 2007년 11월 9차 회담을 마지막으로 중단된 이래 1년 9개월 만이다.

남북적십자회담이	남북/NNP+적십자/NNP+회담/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
것은	것/NNB+은/JX
2007년	2007/SN+년/NNB
11월	11/SN+월/NNB
9차	9/SN+차/NNB
회담을	회담/NNG+을/JKO
마지막으로	마지막/NNG+으로/JKB
중단된	중단/NNG+되/XSV+ㄴ/ETM
이래	이래/NNB
1년	1/SN+년/NNB
9개월	9/SN+개월/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


