# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.372
metadata : {}


# id : NWRW1800000028.372.1.1
아이 예방접종 ‘알림문자’ 보내드려요

아이	아이/NNG
국가부담사업에	국가/NNG+부담/NNG+사업/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
병·의원	병·의원/NNG
및	및/MAG
보건소에서	보건소/NNG+에서/JKB
접종한	접종/NNG+하/XSV+ㄴ/ETM
경우	경우/NNG
다음	다음/NNG
일정을	일정/NNG+을/JKO
문자서비스로	문자/NNG+서비스/NNG+로/JKB
통보받을	통보/NNG+받/XSV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
돼	되/VV+어/EC
있으나,	있/VX+으나/EC+,/SP
활용도가	활용도/NNG+가/JKS
떨어져	떨어지/VV+어/EC
문자	문자/NNG
발송이	발송/NNG+이/JKS
누락되는	누락/NNG+되/XSV+는/ETM
경우가	경우/NNG+가/JKS
잦았다.	잦/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.372.5.2
지난해 예방접종 사전알림서비스 발송 건수는 70여만건으로 전체 예방접종의 6.9%에 그쳤다.

지난해	지난해/NNG
예방접종	예방/NNG+접종/NNG
사전알림서비스	사전/NNG+알림/NNG+서비스/NNG
발송	발송/NNG
건수는	건수/NNG+는/JX
70여만건으로	70/SN+여/XSN+만/NR+건/NNB+으로/JKB
전체	전체/NNG
예방접종의	예방/NNG+접종/NNG+의/JKG
6.9%에	6/SN+./SP+9/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


