# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.113
metadata : {}


# id : NWRW1800000033.113.1.1
[공연 리뷰] 한 편의 영화 보는 듯… 슬픔과 고독 밀려와

[공연	[/SS+공연/NNG
음악회이기도	음악회/NNG+이/VCP+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.113.6.2
연주가 끝난 뒤 열린 훈장 수여식에서 한스울리히 자이트 주한 독일대사는 “오랜 기간 음악에 온전히 헌신해온 두 음악가에게 경의를 표한다”고 말했다.

연주가	연주/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
열린	열리/VV+ㄴ/ETM
훈장	훈장/NNG
수여식에서	수여식/NNG+에서/JKB
한스울리히	한스울리히/NNP
자이트	자이트/NNP
주한	주한/NNG
독일대사는	독일/NNP+대사/NNG+는/JX
“오랜	“/SS+오랜/MMA
기간	기간/NNG
음악에	음악/NNG+에/JKB
온전히	온전히/MAG
헌신해온	헌신/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
두	두/MMN
음악가에게	음악가/NNG+에게/JKB
경의를	경의/NNG+를/JKO
표한다”고	표/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.113.6.3
붉은 십자훈장을 단 이들이 준비한 앙코르곡은 슈베르트의 ‘음악에’였다.

붉은	붉/VA+은/ETM
십자훈장을	십자/NNG+훈장/NNG+을/JKO
단	달/VV+ㄴ/ETM
이들이	이/NP+들/XSN+이/JKS
준비한	준비/NNG+하/XSV+ㄴ/ETM
앙코르곡은	앙코르곡/NNG+은/JX
슈베르트의	슈베르트/NNP+의/JKG
‘음악에’였다.	‘/SS+음악/NNG+에/JKB+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.113.6.4
“사랑스러운 그대 아름다운 예술이여, 그대에게 감사드릴 뿐입니다.”

“사랑스러운	“/SS+사랑/NNG+스럽/XSA+ㄴ/ETM
그대	그대/NP
아름다운	아름답/VA+ㄴ/ETM
예술이여,	예술/NNG+이여/JKV+,/SP
그대에게	그대/NP+에게/JKB
감사드릴	감사/NNG+드리/VV+ㄹ/ETM
뿐입니다.”	뿐/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000033.113.6.5
두 음악가의 마음이 노래에 고스란히 담겨 있었다.

두	두/MMN
음악가의	음악가/NNG+의/JKG
마음이	마음/NNG+이/JKS
노래에	노래/NNG+에/JKB
고스란히	고스란히/MAG
담겨	담기/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


