# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.88
metadata : {}


# id : NWRW1800000052.88.1.1
[르포] 공화당 전당대회 앞둔 삼엄한 클리블랜드

[르포]	[/SS+르포/NNG+]/SS
최적의	최적/NNG+의/JKG
시위	시위/NNG
장소로	장소/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.88.7.1
퀴큰론스 아레나 주변 1.7마일(2.73㎞)의 ‘전대 구역’에서도 총기 소유가 허용된데다, 프랑스 니스 테러와 배턴 루지 경찰 피격 사망소식까지 이어지면서 클리블랜드 시 경찰 노동조합은 이날 존 케이식 오하이오 주지사에게 전당대회 기간 동안 만이라도 총기 소유를 금지해달라고 요청하기도 했다.

퀴큰론스	퀴큰론스/NNP
아레나	아레나/NNP
주변	주변/NNG
1.7마일(2.73㎞)의	1/SN+./SP+7/SN+마일/NNB+(/SS+2/SN+./SP+73/SN+㎞/SW+)/SS+의/JKG
‘전대	‘/SS+전대/NNG
구역’에서도	구역/NNG+’/SS+에서/JKB+도/JX
총기	총기/NNG
소유가	소유/NNG+가/JKS
허용된데다,	허용/NNG+되/XSV+ㄴ/ETM+데/NNB+다/JX+,/SP
프랑스	프랑스/NNP
니스	니스/NNP
테러와	테러/NNG+와/JC
배턴	배턴/NNP
루지	루지/NNP
경찰	경찰/NNG
피격	피격/NNG
사망소식까지	사망/NNG+소식/NNG+까지/JX
이어지면서	이어지/VV+면서/EC
클리블랜드	클리블랜드/NNP
시	시/NNG
노동조합은	노동조합/NNG+은/JX
이날	이날/NNG
존	존/NNP
케이식	케이식/NNP
오하이오	오하이오/NNP
주지사에게	주지사/NNG+에게/JKB
전당대회	전당/NNG+대회/NNG
기간	기간/NNG
동안	동안/NNG
만이라도	만/NNB+이/VCP+라도/EC
소유를	소유/NNG+를/JKO
금지해달라고	금지/NNG+하/XSV+아/EC+달/VX+라고/EC
요청하기도	요청/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.88.7.2
오하이오 주법은 공식적으로 총기 소유를 허용하고 있다.

오하이오	오하이오/NNP
주법은	주법/NNG+은/JX
공식적으로	공식/NNG+적/XSN+으로/JKB
총기	총기/NNG
소유를	소유/NNG+를/JKO
허용하고	허용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.88.7.3
그러나, 케이식 주지사는 대변인을 통해 “경찰관에 대한 공격을 다시 목격하게 돼 슬픔을 금할 수 없다”면서도 “주지사가 주 법률을 자의적으로 중단시킬 수는 없다”고 밝혔다.

그러나,	그러나/MAJ+,/SP
케이식	케이식/NNP
주지사는	주지사/NNG+는/JX
대변인을	대변인/NNG+을/JKO
통해	통하/VV+아/EC
“경찰관에	“/SS+경찰관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공격을	공격/NNG+을/JKO
다시	다시/MAG
목격하게	목격/NNG+하/XSV+게/EC
돼	되/VV+어/EC
슬픔을	슬픔/NNG+을/JKO
금할	금하/VV+ㄹ/ETM
수	수/NNB
없다”면서도	없/VA+다/EF+”/SS+면서/EC+도/JX
“주지사가	“/SS+주지사/NNG+가/JKS
주	주/NNG
법률을	법률/NNG+을/JKO
자의적으로	자의/NNG+적/XSN+으로/JKB
중단시킬	중단/NNG+시키/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.88.8.1
해안경비대와 주 방위군 투입뿐 아니라 이날 오후부터는 클리블랜드 상공에 대한 비행금지 조처도 내려졌다.

해안경비대와	해안/NNG+경비대/NNG+와/JC
주	주/NNG
방위군	방위군/NNG
투입뿐	투입/NNG+뿐/JX
아니라	아니/VCN+라/EC
이날	이날/NNG
오후부터는	오후/NNG+부터/JX+는/JX
클리블랜드	클리블랜드/NNP
상공에	상공/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비행금지	비행/NNG+금지/NNG
조처도	조처/NNG+도/JX
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.88.8.2
시내 곳곳엔 철제 펜스와 콘크리트 차단벽이 설치됐으며, 전대장이나 프레스센터에 가기 위해선 2~3중의 검문검색을 통과해야 했다.

시내	시내/NNG
곳곳엔	곳곳/NNG+에/JKB+ㄴ/JX
철제	철제/NNG
펜스와	펜스/NNG+와/JC
콘크리트	콘크리트/NNG
차단벽이	차단벽/NNG+이/JKS
설치됐으며,	설치/NNG+되/XSV+었/EP+으며/EC+,/SP
전대장이나	전대/NNG+장/NNG+이나/JC
프레스센터에	프레스센터/NNP+에/JKB
가기	가/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
2~3중의	2/SN+~/SO+3중/NNG+의/JKG
검문검색을	검문검색/NNG+을/JKO
통과해야	통과/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.88.8.3
1968년 반전시위가 최고조에 이르렀을 때 이후로 가장 강화된 경계라는 평가도 나온다.

1968년	1968/SN+년/NNB
반전시위가	반전/NNG+시위/NNG+가/JKS
최고조에	최/XPN+고조/NNG+에/JKB
이르렀을	이르/VV+었/EP+을/ETM
때	때/NNG
이후로	이후/NNG+로/JKB
가장	가장/MAG
강화된	강화/NNG+되/XSV+ㄴ/ETM
경계라는	경계/NNG+이/VCP+라는/ETM
평가도	평가/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.88.9.1
지난 금요일과 토요일 절정에 이르렀던 ‘트럼프 저지’ 시위대는 이날은 일요일인 탓인지 비교적 소강상태를 보였다.

지난	지나/VV+ㄴ/ETM
금요일과	금요일/NNG+과/JC
토요일	토요일/NNG
절정에	절정/NNG+에/JKB
이르렀던	이르/VV+었/EP+던/ETM
‘트럼프	‘/SS+트럼프/NNP
저지’	저지/NNG+’/SS
시위대는	시위대/NNG+는/JX
이날은	이날/NNG+은/JX
일요일인	일요일/NNG+이/VCP+ㄴ/ETM
탓인지	탓/NNG+이/VCP+ㄴ지/EC
비교적	비교/NNG+적/XSN
소강상태를	소강상태/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.88.9.2
그러나 이날 오후 200여명의 젊은이들이 시내 중심가에서 출발해 윌러드공원까지 “미국은 결코 위대한 적이 없다”, “흑인의 생명도 소중하다”, “인민이 단결하면 결코 패배하지 않는다” 등의 구호를 외치며 ‘반 트럼프’ 행진을 벌였다.

그러나	그러나/MAJ
이날	이날/NNG
오후	오후/NNG
200여명의	200/SN+여/XSN+명/NNB+의/JKG
젊은이들이	젊은이/NNG+들/XSN+이/JKS
시내	시내/NNG
중심가에서	중심가/NNG+에서/JKB
출발해	출발/NNG+하/XSV+아/EC
윌러드공원까지	윌러드공원/NNP+까지/JX
“미국은	“/SS+미국/NNP+은/JX
결코	결코/MAG
위대한	위대하/VA+ㄴ/ETM
적이	적/NNB+이/JKS
없다”,	없/VA+다/EF+”/SS+,/SP
“흑인의	“/SS+흑인/NNG+의/JKG
생명도	생명/NNG+도/JX
소중하다”,	소중하/VA+다/EF+”/SS+,/SP
“인민이	“/SS+인민/NNG+이/JKS
단결하면	단결/NNG+하/XSV+면/EC
패배하지	패배/NNG+하/XSV+지/EC
않는다”	않/VX+는다/EF+”/SS
등의	등/NNB+의/JKG
구호를	구호/NNG+를/JKO
외치며	외치/VV+며/EC
‘반	‘/SS+반/XPN
트럼프’	트럼프/NNP+’/SS
행진을	행진/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.88.10.1
‘911 긴급의료서비스팀’이 충돌 등 만약의 사태에 대비해 공원 한쪽에서 대기하고 있었지만, 다행히 불상사는 없었다.

‘911	‘/SS+911/SN
긴급의료서비스팀’이	긴급/NNG+의료/NNG+서비스/NNG+팀/NNG+’/SS+이/JKS
충돌	충돌/NNG
등	등/NNB
만약의	만약/NNG+의/JKG
사태에	사태/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
공원	공원/NNG
한쪽에서	한쪽/NNG+에서/JKB
대기하고	대기/NNG+하/XSV+고/EC
있었지만,	있/VX+었/EP+지만/EC+,/SP
다행히	다행히/MAG
불상사는	불상사/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.88.10.2
폭력적 시위가 벌어질 경우 적극적으로 개입해 비폭력 평화적 시위로 바꾸는 활동을 해온 비영리단체 ‘메타 피스 팀’의 현장활동가 엘리콧 애덤스는 “폭력 사태 없이 시위가 잘 끝나서 다행”이라며 웃음을 지어보였다.

폭력적	폭력/NNG+적/XSN
시위가	시위/NNG+가/JKS
벌어질	벌어지/VV+ㄹ/ETM
경우	경우/NNG
적극적으로	적극/NNG+적/XSN+으로/JKB
개입해	개입/NNG+하/XSV+아/EC
비폭력	비/XPN+폭력/NNG
평화적	평화/NNG+적/XSN
시위로	시위/NNG+로/JKB
바꾸는	바꾸/VV+는/ETM
활동을	활동/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
비영리단체	비/XPN+영리/NNG+단체/NNG
‘메타	‘/SS+메타/NNG
피스	피스/NNG
팀’의	팀/NNG+’/SS+의/JKG
현장활동가	현장/NNG+활동가/NNG
엘리콧	엘리콧/NNP
애덤스는	애덤스/NNP+는/JX
“폭력	“/SS+폭력/NNG
사태	사태/NNG
없이	없이/MAG
잘	잘/MAG
끝나서	끝나/VV+아서/EC
다행”이라며	다행/NNG+”/SS+이/VCP+라며/EC
웃음을	웃음/NNG+을/JKO
지어보였다.	짓/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.88.10.3
애덤스는 “미시건과 워싱턴에서 20여명이 클리블랜드로 왔다.

애덤스는	애덤스/NNP+는/JX
“미시건과	“/SS+미시건/NNP+과/JC
워싱턴에서	워싱턴/NNP+에서/JKB
20여명이	20/SN+여/XSN+명/NNB+이/JKS
클리블랜드로	클리블랜드/NNP+로/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.88.10.4
전당대회가 끝날 때까지 머무를 예정”이라며 “나에게 분노를 쏟아내라며 그들의 말을 들어주면 대부분 진정된다”고 말했다.

전당대회가	전당/NNG+대회/NNG+가/JKS
끝날	끝나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
머무를	머무르/VV+ㄹ/ETM
예정”이라며	예정/NNG+”/SS+이/VCP+라며/EC
“나에게	“/SS+나/NP+에게/JKB
분노를	분노/NNG+를/JKO
쏟아내라며	쏟/VV+아/EC+내/VX+라며/EC
그들의	그/NP+들/XSN+의/JKG
말을	말/NNG+을/JKO
들어주면	듣/VV+어/EC+주/VX+면/EC
대부분	대/XPN+부분/NNG
진정된다”고	진정/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.88.11.1
클리블랜드의 불안한 치안이 언론에 계속 부각되는 게 신경이 쓰이는 듯 자신의 이름을 에버레트라고 소개한 한 시민은 “클리블랜드가 그렇게 위험한 도시는 아니다.

클리블랜드의	클리블랜드/NNP+의/JKG
불안한	불안/NNG+하/XSA+ㄴ/ETM
치안이	치안/NNG+이/JKS
언론에	언론/NNG+에/JKB
계속	계속/MAG
부각되는	부각/NNG+되/XSV+는/ETM
게	거/NNB+이/JKS
신경이	신경/NNG+이/JKS
쓰이는	쓰이/VV+는/ETM
듯	듯/NNB
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
에버레트라고	에버레트/NNP+이/VCP+라고/EC
소개한	소개/NNG+하/XSV+ㄴ/ETM
한	한/MMN
시민은	시민/NNG+은/JX
“클리블랜드가	“/SS+클리블랜드/NNP+가/JKS
그렇게	그렇/VA+게/EC
위험한	위험/NNG+하/XSA+ㄴ/ETM
도시는	도시/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000052.88.11.2
걱정말고 마음껏 즐기라”며 안심을 시켜주기도 했다.

걱정말고	걱정/NNG+말/VV+고/EC
마음껏	마음껏/MAG
즐기라”며	즐기/VV+라/EF+”/SS+며/EC
안심을	안심/NNG+을/JKO
시켜주기도	시키/VV+어/EC+주/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.88.11.3
경찰들도 긴장된 표정으로 삼엄한 경비를 서다가도 방문객들의 사진 촬영 요청에 친절히 응대하며 외부인들의 불안감을 해소시키려 애를 썼다.

경찰들도	경찰/NNG+들/XSN+도/JX
긴장된	긴장/NNG+되/XSV+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
삼엄한	삼엄하/VA+ㄴ/ETM
경비를	경비/NNG+를/JKO
서다가도	서/VV+다가/EC+아도/EC
방문객들의	방문객/NNG+들/XSN+의/JKG
사진	사진/NNG
촬영	촬영/NNG
요청에	요청/NNG+에/JKB
친절히	친절히/MAG
응대하며	응대/NNG+하/XSV+며/EC
외부인들의	외부인/NNG+들/XSN+의/JKG
불안감을	불안감/NNG+을/JKO
해소시키려	해소/NNG+시키/XSV+려/EC
애를	애/NNG+를/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


