# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.126
metadata : {}


# id : NWRW1800000028.126.1.1
“실종자 주검 못찾으면 산화자 처리”

“실종자	“/SS+실종자/NNG
후	후/NNG
수색작업이	수색/NNG+작업/NNG+이/JKS
종료되는	종료/NNG+되/XSV+는/ETM
시점에서도	시점/NNG+에서/JKB+도/JX
발견되지	발견/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
일부	일부/NNG
실종자는	실종자/NNG+는/JX
산화자로	산화자/NNG+로/JKB
처리할	처리/NNG+하/XSV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.126.3.2
가족협의회는 여러 정황상 천안함이 군사적 무기에 의한 피습으로 침몰했을 것으로 잠정 결론을 내린 상황이다.

가족협의회는	가족/NNG+협의회/NNG+는/JX
여러	여러/MMN
정황상	정황/NNG+상/XSN
천안함이	천안함/NNP+이/JKS
군사적	군사/NNG+적/XSN
무기에	무기/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
피습으로	피습/NNG+으로/JKB
침몰했을	침몰/NNG+하/XSV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
잠정	잠정/NNG
결론을	결론/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.126.3.3
이에 따라 폭발 지점에 있던 장병의 주검은 이미 흔적도 없이 사라졌을 가능성이 크다고 보고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
폭발	폭발/NNG
지점에	지점/NNG+에/JKB
있던	있/VA+던/ETM
장병의	장병/NNG+의/JKG
주검은	주검/NNG+은/JX
이미	이미/MAG
흔적도	흔적/NNG+도/JX
없이	없이/MAG
사라졌을	사라지/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.126.4.1
이 대표는 “산화자로 확정짓는 기준은 함수, 함미에 대해 모든 수색이 끝나는 시점이 될 것”이라며 “이에 따라 미발견 장병들에 대한 추가 수색작업을 요청하지 않는 방안을 두고 가족들의 동의를 구하고 있다”고 말했다.

이	이/NNP
대표는	대표/NNG+는/JX
“산화자로	“/SS+산화자/NNG+로/JKB
확정짓는	확정/NNG+짓/VV+는/ETM
기준은	기준/NNG+은/JX
함수,	함수/NNG+,/SP
함미에	함미/NNG+에/JKB
대해	대하/VV+아/EC
모든	모든/MMN
수색이	수색/NNG+이/JKS
끝나는	끝나/VV+는/ETM
시점이	시점/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이에	“/SS+이/NP+에/JKB
따라	따르/VV+아/EC
미발견	미/XPN+발견/NNG
장병들에	장병/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
추가	추가/NNG
수색작업을	수색/NNG+작업/NNG+을/JKO
요청하지	요청/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
방안을	방안/NNG+을/JKO
두고	두/VV+고/EC
가족들의	가족/NNG+들/XSN+의/JKG
동의를	동의/NNG+를/JKO
구하고	구하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.126.5.1
가족협의회 일각에선 실종자 가운데 7~10명이 피폭 지점에서 산화됐을 가능성이 있다는 의견도 나왔다.

가족협의회	가족/NNG+협의회/NNG
일각에선	일각/NNG+에서/JKB+ㄴ/JX
실종자	실종자/NNG
가운데	가운데/NNG
7~10명이	7/SN+~/SO+10/SN+명/NNB+이/JKS
피폭	피폭/NNG
지점에서	지점/NNG+에서/JKB
산화됐을	산화/NNG+되/XSV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
의견도	의견/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.126.5.2
특히 절단면에 해당하거나 이와 가까운 기관조종실과 가스터빈실, 원·상사식당, 디젤기관실 등에 있던 실종자들이 직접적인 폭발 피해를 당했을 가능성이 거론된다.

특히	특히/MAG
절단면에	절단면/NNG+에/JKB
해당하거나	해당/NNG+하/XSV+거나/EC
이와	이/NP+와/JKB
가까운	가깝/VA+ㄴ/ETM
기관조종실과	기관/NNG+조종실/NNG+과/JC
가스터빈실,	가스/NNG+터빈실/NNG+,/SP
원·상사식당,	원·상사/NNG+식당/NNG+,/SP
디젤기관실	디젤/NNG+기관실/NNG
등에	등/NNB+에/JKB
있던	있/VA+던/ETM
실종자들이	실종자/NNG+들/XSN+이/JKS
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
폭발	폭발/NNG
피해를	피해/NNG+를/JKO
당했을	당하/VV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.126.5.3
일부 가족들은 “13일 공개된 함미 절단면 사진을 보니 기관조종실과 가스터빈실 등이 심하게 파괴됐다”며 “이 지점 근무자들은 찾지 못할 수 있다”고 말했다.

일부	일부/NNG
가족들은	가족/NNG+들/XSN+은/JX
“13일	“/SS+13/SN+일/NNB
공개된	공개/NNG+되/XSV+ㄴ/ETM
함미	함미/NNG
절단면	절단면/NNG
사진을	사진/NNG+을/JKO
보니	보/VV+니/EC
기관조종실과	기관/NNG+조종실/NNG+과/JC
가스터빈실	가스/NNG+터빈실/NNG
등이	등/NNB+이/JKS
심하게	심하/VA+게/EC
파괴됐다”며	파괴/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
지점	지점/NNG
근무자들은	근무자/NNG+들/XSN+은/JX
찾지	찾/VV+지/EC
못할	못하/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.126.6.1
침몰 과정에서 빠른 물살에 떠밀려 일부 실종자들이 유실됐을 수 있다는 견해도 여전히 있다.

침몰	침몰/NNG
과정에서	과정/NNG+에서/JKB
빠른	빠르/VA+ㄴ/ETM
물살에	물살/NNG+에/JKB
떠밀려	떠밀리/VV+어/EC
일부	일부/NNG
실종자들이	실종자/NNG+들/XSN+이/JKS
유실됐을	유실/NNG+되/XSV+었/EP+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
견해도	견해/NNG+도/JX
여전히	여전히/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.126.6.2
함체가 둘로 찢긴 쪽에 있던 기관조정실과 가스터빈실 등에서 근무하던 실종자들은 해수 유입을 차단하는 격벽의 파손으로 처음부터 조류에 휩쓸려 나갔을 가능성이 있다는 것이다.

함체가	함체/NNG+가/JKS
둘로	둘/NR+로/JKB
찢긴	찢기/VV+ㄴ/ETM
쪽에	쪽/NNB+에/JKB
있던	있/VA+던/ETM
기관조정실과	기관/NNG+조정실/NNG+과/JC
가스터빈실	가스/NNG+터빈실/NNG
등에서	등/NNB+에서/JKB
근무하던	근무/NNG+하/XSV+던/ETM
실종자들은	실종자/NNG+들/XSN+은/JX
해수	해수/NNG
유입을	유입/NNG+을/JKO
차단하는	차단/NNG+하/XSV+는/ETM
격벽의	격벽/NNG+의/JKG
파손으로	파손/NNG+으로/JKB
처음부터	처음/NNG+부터/JX
조류에	조류/NNG+에/JKB
휩쓸려	휩쓸리/VV+어/EC
나갔을	나가/VX+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.126.6.3
침몰 당시의 강한 충격으로 일부 인원이 튕겨져 나갔을 가능성도 배제할 수 없다.

침몰	침몰/NNG
당시의	당시/NNG+의/JKG
강한	강하/VA+ㄴ/ETM
충격으로	충격/NNG+으로/JKB
일부	일부/NNG
인원이	인원/NNG+이/JKS
튕겨져	튕기/VV+어/EC+지/VX+어/EC
나갔을	나가/VX+았/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.126.6.4
천안함에 가해진 충격은 일부 중화기들도 바닷속으로 떨어뜨릴 만큼 강했다.

천안함에	천안함/NNP+에/JKB
가해진	가하/VV+아/EC+지/VX+ㄴ/ETM
충격은	충격/NNG+은/JX
일부	일부/NNG
중화기들도	중화기/NNG+들/XSN+도/JX
바닷속으로	바닷속/NNG+으로/JKB
떨어뜨릴	떨어뜨리/VV+ㄹ/ETM
만큼	만큼/NNB
강했다.	강하/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.126.6.5
김태영 국방부 장관도 “배가 분리되는 과정에서 일부 인원이 유실됐을 수 있다”고 우려를 표시한 바 있다.

김태영	김태영/NNP
국방부	국방부/NNG
장관도	장관/NNG+도/JX
“배가	“/SS+배/NNG+가/JKS
분리되는	분리/NNG+되/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
일부	일부/NNG
인원이	인원/NNG+이/JKS
유실됐을	유실/NNG+되/XSV+었/EP+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
우려를	우려/NNG+를/JKO
표시한	표시/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.126.6.6
그러나 실종자 가족들이 이들을 모두 산화자로 처리하는 데 동의할 경우, 주검을 찾기 위한 별도의 수색작업은 이뤄지지 않을 것으로 보인다.

그러나	그러나/MAJ
실종자	실종자/NNG
가족들이	가족/NNG+들/XSN+이/JKS
이들을	이/NP+들/XSN+을/JKO
모두	모두/MAG
산화자로	산화자/NNG+로/JKB
처리하는	처리/NNG+하/XSV+는/ETM
데	데/NNB
동의할	동의/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
주검을	주검/NNG+을/JKO
찾기	찾/VV+기/ETN
위한	위하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
수색작업은	수색/NNG+작업/NNG+은/JX
이뤄지지	이뤄지/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


