# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.269
metadata : {}


# id : NWRW1800000022.269.1.1
[뉴스 블로그] 변하지 않는 윤증현 장관의 신중론, 왜?

[뉴스	[/SS+뉴스/NNG
봄이	봄/NNG+이/JKS
온	오/VV+ㄴ/ETM
것이다"(취임	것/NNB+이/VCP+다/EF+"/SS+(/SS+취임/NNG
100일	100/SN+일/NNB
기자간담회)	기자/NNG+간담회/NNG+)/SS
등의	등/NNB+의/JKG
표현을	표현/NNG+을/JKO
써가며	쓰/VV+어/EC+가/VX+며/EC
줄곧	줄곧/MAG
신중론을	신중/NNG+론/XSN+을/JKO
펴왔습니다.	펴/VV+어/EC+오/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000022.269.4.2
자신의 경기 전망에 대해 "매우 조심스럽게 낙관적인 시각"이라고 밝힙니다.

자신의	자신/NNG+의/JKG
경기	경기/NNG
전망에	전망/NNG+에/JKB
대해	대하/VV+아/EC
"매우	"/SS+매우/MAG
조심스럽게	조심/NNG+스럽/XSA+게/EC
낙관적인	낙관/NNG+적/XSN+이/VCP+ㄴ/ETM
시각"이라고	시각/NNG+"/SS+이라고/JKQ
밝힙니다.	밝히/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.269.4.3
실물 경제 위기가 진정되고 있을 뿐, 여전히 진행되고 있다는 입장입니다.

실물	실물/NNG
경제	경제/NNG
위기가	위기/NNG+가/JKS
진정되고	진정/NNG+되/XSV+고/EC
있을	있/VX+을/ETM
뿐,	뿐/NNB+,/SP
여전히	여전히/MAG
진행되고	진행/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
입장입니다.	입장/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.269.5.1
전임 장관들과는 사뭇 대조적입니다.

전임	전임/NNG
장관들과는	장관/NNG+들/XSN+과/JKB+는/JX
사뭇	사뭇/MAG
대조적입니다.	대조/NNG+적/XSN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.269.5.2
과거 장관들은 한 개의 경제 지표만 좋아져도 이를 과장해 홍보하려고 애쓰는 경향이 강했습니다.

과거	과거/NNG
장관들은	장관/NNG+들/XSN+은/JX
한	한/MMN
개의	개/NNB+의/JKG
경제	경제/NNG
지표만	지표/NNG+만/JX
좋아져도	좋/VA+아/EC+지/VX+어도/EC
이를	이/NP+를/JKO
과장해	과장/NNG+하/XSV+아/EC
홍보하려고	홍보/NNG+하/XSV+려고/EC
애쓰는	애쓰/VV+는/ETM
경향이	경향/NNG+이/JKS
강했습니다.	강하/VA+았/EP+습니다/EF+./SF


# id : NWRW1800000022.269.6.1
윤 장관의 신중론에 대해 기획재정부 관료들은 윤 장관의 다양한 정책 의지가 담겨 있다고 전합니다.

윤	윤/NNP
장관의	장관/NNG+의/JKG
신중론에	신중/NNG+론/XSN+에/JKB
대해	대하/VV+아/EC
기획재정부	기획/NNG+재정부/NNG
관료들은	관료/NNG+들/XSN+은/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
정책	정책/NNG
의지가	의지/NNG+가/JKS
담겨	담기/VV+어/EC
있다고	있/VX+다고/EC
전합니다.	전하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.269.6.2
윤 장관은 각종 강연이나 사석에서 "과거에 샴페인을 너무 일찍 터뜨려 신용카드 대란이나 IT(정보기술) 버블을 가져왔다. 자원이 부족한 나라에서는 돌다리도 두드리고 또 두드려서 건너야 한다"고 말해왔습니다.

윤	윤/NNP
장관은	장관/NNG+은/JX
각종	각종/NNG
강연이나	강연/NNG+이나/JC
사석에서	사석/NNG+에서/JKB
"과거에	"/SS+과거/NNG+에/JKB
샴페인을	샴페인/NNG+을/JKO
너무	너무/MAG
일찍	일찍/MAG
터뜨려	터뜨리/VV+어/EC
신용카드	신용/NNG+카드/NNG
대란이나	대란/NNG+이나/JC
IT(정보기술)	IT/SL+(/SS+정보/NNG+기술/NNG+)/SS
버블을	버블/NNG+을/JKO
가져왔다.	가져오/VV+았/EP+다/EF+./SF
자원이	자원/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
나라에서는	나라/NNG+에서/JKB+는/JX
돌다리도	돌다리/NNG+도/JX
두드리고	두드리/VV+고/EC
또	또/MAG
두드려서	두드리/VV+어서/EC
건너야	건너/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말해왔습니다.	말/NNG+하/XSV+아/EC+오/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000022.269.7.1
기획재정부 A국장은 "대외의존도가 높은 우리나라는 세계 경기가 뒷받침 안 될 경우 갑자기 외환위기 때처럼 심각한 상황으로 되돌아갈 수도 있다고 윤 장관은 우려한다"고 말했습니다.

기획재정부	기획/NNG+재정부/NNG
A국장은	A/SL+국장/NNG+은/JX
"대외의존도가	"/SS+대외/NNG+의존도/NNG+가/JKS
높은	높/VA+은/ETM
우리나라는	우리나라/NNG+는/JX
세계	세계/NNG
경기가	경기/NNG+가/JKS
뒷받침	뒷받침/NNG
안	안/MAG
될	되/VV+ㄹ/ETM
경우	경우/NNG
갑자기	갑자기/MAG
외환위기	외환/NNG+위기/NNG
때처럼	때/NNG+처럼/JKB
심각한	심각하/VA+ㄴ/ETM
상황으로	상황/NNG+으로/JKB
되돌아갈	되돌아가/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
윤	윤/NNP
장관은	장관/NNG+은/JX
우려한다"고	우려/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했습니다.	말/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.269.7.2
섣부른 경기 회복 기대감에 들떠 민간 기업들이 구조조정 노력을 게을리할 수 있다는 판단도 깔려 있습니다.

섣부른	섣부르/VA+ㄴ/ETM
경기	경기/NNG
회복	회복/NNG
기대감에	기대감/NNG+에/JKB
들떠	들뜨/VV+어/EC
민간	민간/NNG
기업들이	기업/NNG+들/XSN+이/JKS
구조조정	구조/NNG+조정/NNG
노력을	노력/NNG+을/JKO
게을리할	게을리/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단도	판단/NNG+도/JX
깔려	깔리/VV+어/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000022.269.8.1
윤 장관의 신중론은 국회나 여론에 대한 전략적 계산도 내포돼 있습니다.

윤	윤/NNP
장관의	장관/NNG+의/JKG
신중론은	신중/NNG+론/XSN+은/JX
국회나	국회/NNG+나/JC
여론에	여론/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전략적	전략/NNG+적/XSN
계산도	계산/NNG+도/JX
내포돼	내포/NNG+되/XSV+어/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000022.269.8.2
경기 회복을 공식화하면, 법인세 등 각종 감세 정책이나 재정 확장 정책에 변화를 가져와야 한다고 주장하는 목소리가 더 커질 수 있기 때문입니다.

경기	경기/NNG
회복을	회복/NNG+을/JKO
공식화하면,	공식/NNG+화/XSN+하/XSV+면/EC+,/SP
법인세	법인세/NNG
등	등/NNB
각종	각종/NNG
감세	감세/NNG
정책이나	정책/NNG+이나/JC
재정	재정/NNG
확장	확장/NNG
정책에	정책/NNG+에/JKB
변화를	변화/NNG+를/JKO
가져와야	가져오/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
목소리가	목소리/NNG+가/JKS
더	더/MAG
커질	커지/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문입니다.	때문/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.269.9.1
기획재정부 B국장은 "경기가 나쁠 때 개혁이나 구조조정에 대한 공감대도 높아져 정부가 쓸 수 있는 정책 수단도 더 많다"고 했습니다.

기획재정부	기획/NNG+재정부/NNG
B국장은	B/SL+국장/NNG+은/JX
"경기가	"/SS+경기/NNG+가/JKS
나쁠	나쁘/VA+ㄹ/ETM
때	때/NNG
개혁이나	개혁/NNG+이나/JC
구조조정에	구조/NNG+조정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공감대도	공감대/NNG+도/JX
높아져	높아지/VV+어/EC
정부가	정부/NNG+가/JKS
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
정책	정책/NNG
수단도	수단/NNG+도/JX
더	더/MAG
많다"고	많/VA+다/EF+"/SS+고/JKQ
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.269.10.1
어찌 됐건 신중론자인 윤 장관도 "내년 초에는 진짜 봄을 맞을 수 있을 것"이라고 말합니다.

어찌	어찌/MAG
됐건	되/VV+었/EP+건/EC
신중론자인	신중론자/NNG+이/VCP+ㄴ/ETM
윤	윤/NNP
장관도	장관/NNG+도/JX
"내년	"/SS+내년/NNG
초에는	초/NNB+에/JKB+는/JX
진짜	진짜/NNG
봄을	봄/NNG+을/JKO
맞을	맞/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말합니다.	말/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000022.269.10.2
그의 말이 적중해 내년 초 우리 경제에 호(好)시절이 찾아오길 바랍니다.

그의	그/NP+의/JKG
말이	말/NNG+이/JKS
적중해	적중/NNG+하/XSV+아/EC
내년	내년/NNG
초	초/NNB
우리	우리/NP
경제에	경제/NNG+에/JKB
호(好)시절이	호/NNG+(/SS+好/SH+)/SS+시절/NNG+이/JKS
찾아오길	찾아오/VV+기/ETN+ㄹ/JKO
바랍니다.	바라/VV+ㅂ니다/EF+./SF


