# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.403
metadata : {}


# id : NWRW1800000030.403.1.1
[서울] "태풍 시속 70㎞로 북상 중"(26일 오전 4시)… "2단계 비상근무령"(오전 7시 20분)… "상황 끝"(오후 4시 30분)

[서울]	[/SS+서울/NNP+]/SS
서울시는 기상 상황에 따라 기민하게 대처하기 위해 1시간마다 강수량을 예보하는 케이웨더라는 민간 기상업체와 계약을 맺고 있다.

서울시는	서울시/NNP+는/JX
기상	기상/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
기민하게	기민하/VA+게/EC
대처하기	대처/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
1시간마다	1/SN+시간/NNB+마다/JX
강수량을	강수량/NNG+을/JKO
예보하는	예보/NNG+하/XSV+는/ETM
케이웨더라는	케이웨더/NNP+이/VCP+라는/ETM
민간	민간/NNG
기상업체와	기상/NNG+업체/NNG+와/JKB
계약을	계약/NNG+을/JKO
맺고	맺/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.403.6.1
오후 4시 기상청이 태풍주의보를 해제했고, 30분 뒤 비상 근무령이 해제되자 상황실 직원들은 가슴을 쓸어내렸다.

오후	오후/NNG
4시	4/SN+시/NNB
기상청이	기상청/NNG+이/JKS
태풍주의보를	태풍/NNG+주의보/NNG+를/JKO
해제했고,	해제/NNG+하/XSV+았/EP+고/EC+,/SP
30분	30/SN+분/NNB
뒤	뒤/NNG
비상	비상/NNG
근무령이	근무령/NNG+이/JKS
해제되자	해제/NNG+되/XSV+자/EC
상황실	상황실/NNG
직원들은	직원/NNG+들/XSN+은/JX
가슴을	가슴/NNG+을/JKO
쓸어내렸다.	쓸어내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.403.6.2
이인근 본부장은 "중형급 태풍 메아리가 올라온다는 예보에 모든 직원이 초긴장했다"며 "다행히 태풍 진로가 바뀌어 큰 피해가 없었다"고 말했다.

이인근	이인근/NNP
본부장은	본부장/NNG+은/JX
"중형급	"/SS+중형급/NNG
태풍	태풍/NNG
메아리가	메아리/NNG+가/JKS
올라온다는	올라오/VV+ㄴ다는/ETM
예보에	예보/NNG+에/JKB
모든	모든/MMN
직원이	직원/NNG+이/JKS
초긴장했다"며	초/XPN+긴장/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"다행히	"/SS+다행히/MAG
진로가	진로/NNG+가/JKS
바뀌어	바뀌/VV+어/EC
큰	크/VA+ㄴ/ETM
피해가	피해/NNG+가/JKS
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.7.1
비상 상황은 해제됐지만 상황실 전광판에는 '6월 22일 00시 00분'이라는 글자가 고정돼 있다.

비상	비상/NNG
상황은	상황/NNG+은/JX
해제됐지만	해제/NNG+되/XSV+었/EP+지만/EC
상황실	상황실/NNG
전광판에는	전광판/NNG+에/JKB+는/JX
'6월	'/SS+6/SN+월/NNB
22일	22/SN+일/NNB
00시	00/SN+시/NNB
00분'이라는	00/SN+분/NNB+'/SS+이/VCP+라는/ETM
글자가	글자/NNG+가/JKS
고정돼	고정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.403.7.2
상황실 관계자는 "'6월 22일 00시 00분'은 장마와 태풍으로 비가 내리기 시작한 시점을 나타낸다"며 "사실상 올해의 수방 대책이 시작되는 걸 나타내는 상징적인 숫자"라고 설명했다.

상황실	상황실/NNG
관계자는	관계자/NNG+는/JX
"'6월	"/SS+'/SS+6/SN+월/NNB
22일	22/SN+일/NNB
00시	00/SN+시/NNB
00분'은	00/SN+분/NNB+'/SS+은/JX
장마와	장마/NNG+와/JC
태풍으로	태풍/NNG+으로/JKB
비가	비/NNG+가/JKS
내리기	내리/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
시점을	시점/NNG+을/JKO
나타낸다"며	나타내/VV+ㄴ다/EF+"/SS+며/EC
"사실상	"/SS+사실/NNG+상/XSN
올해의	올해/NNG+의/JKG
수방	수방/NNG
대책이	대책/NNG+이/JKS
시작되는	시작/NNG+되/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
나타내는	나타내/VV+는/ETM
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
숫자"라고	숫자/NNG+"/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.8.1
예년과 달리 서울시가 장마 초반부터 비상 근무에 돌입한 것은 작년 9월 21일 '광화문 기습 폭우'가 교훈을 줬기 때문이다.

예년과	예년/NNG+과/JKB
달리	달리/MAG
서울시가	서울시/NNP+가/JKS
장마	장마/NNG
초반부터	초반/NNG+부터/JX
비상	비상/NNG
근무에	근무/NNG+에/JKB
돌입한	돌입/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
작년	작년/NNG
9월	9/SN+월/NNB
21일	21/SN+일/NNB
'광화문	'/SS+광화문/NNP
기습	기습/NNG
폭우'가	폭우/NNG+'/SS+가/JKS
교훈을	교훈/NNG+을/JKO
줬기	주/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.403.9.1
2000년 만들어진 재난안전대책본부 상황실은 서울 전역에 설치된 610개 CCTV(일반도로 588개, 하천 등 수방용 22개)와 강우계가 연결돼 있어 "서울에 내리는 비에 대해선 모든 것을 알 수 있다"고 자신해왔다.

2000년	2000/SN+년/NNB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
재난안전대책본부	재난/NNG+안전/NNG+대책/NNG+본부/NNG
상황실은	상황실/NNG+은/JX
서울	서울/NNP
전역에	전역/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
610개	610/SN+개/NNB
CCTV(일반도로	CCTV/SL+(/SS+일반/NNG+도로/NNG
588개,	588/SN+개/NNB+,/SP
하천	하천/NNG
등	등/NNB
수방용	수방/NNG+용/XSN
22개)와	22/SN+개/NNB+)/SS+와/JC
강우계가	강우계/NNG+가/JKS
연결돼	연결/NNG+되/XSV+어/EC
있어	있/VX+어/EC
"서울에	"/SS+서울/NNP+에/JKB
내리는	내리/VV+는/ETM
비에	비/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
모든	모든/MMN
것을	것/NNB+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
자신해왔다.	자신/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.403.9.2
막상 작년 도심에 기습 폭우가 내리자 '지하 벙커(재난안전대책본부 종합상황실)'에서는 실상을 정확하게 파악하지 못했다.

막상	막상/MAG
작년	작년/NNG
도심에	도심/NNG+에/JKB
기습	기습/NNG
폭우가	폭우/NNG+가/JKS
내리자	내리/VV+자/EC
'지하	'/SS+지하/NNG
벙커(재난안전대책본부	벙커/NNG+(/SS+재난/NNG+안전/NNG+대책/NNG+본부/NNG
종합상황실)'에서는	종합/NNG+상황실/NNG+)/SS+'/SS+에서/JKB+는/JX
실상을	실상/NNG+을/JKO
정확하게	정확/NNG+하/XSA+게/EC
파악하지	파악/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.403.9.3
당시 상황실 직원들은 시간당 100㎜ 넘게 퍼부은 기습 폭우로 광화문이 침수된 사실을 TV 뉴스 중계 화면을 보고야 알았다.

당시	당시/NNG
상황실	상황실/NNG
직원들은	직원/NNG+들/XSN+은/JX
시간당	시간/NNG+당/XSN
100㎜	100/SN+㎜/SW
넘게	넘/VV+게/EC
퍼부은	퍼붓/VV+은/ETM
기습	기습/NNG
폭우로	폭우/NNG+로/JKB
광화문이	광화문/NNP+이/JKS
침수된	침수/NNG+되/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
TV	TV/SL
뉴스	뉴스/NNG
중계	중계/NNG
화면을	화면/NNG+을/JKO
보고야	보/VV+고/EC+야/JX
알았다.	알/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.403.9.4
당시는 공교롭게도 추석 연휴라 현장에 출동할 공무원도 없었다.

당시는	당시/NNG+는/JX
공교롭게도	공교롭/VA+게/EC+도/JX
추석	추석/NNG
연휴라	연휴/NNG+이/VCP+라/EC
현장에	현장/NNG+에/JKB
출동할	출동/NNG+하/XSV+ㄹ/ETM
공무원도	공무원/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.403.9.5
서울시가 자랑하던 수방 시스템이 무너지는 순간이었다.

서울시가	서울시/NNP+가/JKS
자랑하던	자랑/NNG+하/XSV+던/ETM
수방	수방/NNG
시스템이	시스템/NNG+이/JKS
무너지는	무너지/VV+는/ETM
순간이었다.	순간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.403.10.1
'광화문 기습 폭우' 이후 서울시는 종합 치수대책을 내놓으면서 '현장기동반'을 꾸렸다.

'광화문	'/SS+광화문/NNP
기습	기습/NNG
폭우'	폭우/NNG+'/SS
이후	이후/NNG
서울시는	서울시/NNP+는/JX
종합	종합/NNG
치수대책을	치수/NNG+대책/NNG+을/JKO
내놓으면서	내놓/VV+으면서/EC
'현장기동반'을	'/SS+현장/NNG+기동반/NNG+'/SS+을/JKO
꾸렸다.	꾸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.403.10.2
서울 내 상습침수지역 35곳을 선정해 시설직 사무관이 현장에 나가 강수 상황을 스마트폰 동영상으로 찍어 전송하는 것이다.

서울	서울/NNP
내	내/NNB
상습침수지역	상습/NNG+침수/NNG+지역/NNG
35곳을	35/SN+곳/NNG+을/JKO
선정해	선정/NNG+하/XSV+아/EC
시설직	시설/NNG+직/NNG
사무관이	사무관/NNG+이/JKS
현장에	현장/NNG+에/JKB
나가	나가/VV+아/EC
강수	강수/NNG
상황을	상황/NNG+을/JKO
스마트폰	스마트폰/NNG
동영상으로	동영상/NNG+으로/JKB
찍어	찍/VV+어/EC
전송하는	전송/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.403.10.3
시간당 비가 30㎜ 이상 내리기 시작하면 현장기동반이 투입된다.

시간당	시간/NNG+당/XSN
비가	비/NNG+가/JKS
30㎜	30/SN+㎜/SW
이상	이상/NNG
내리기	내리/VV+기/ETN
시작하면	시작/NNG+하/XSV+면/EC
현장기동반이	현장/NNG+기동반/NNG+이/JKS
투입된다.	투입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.403.10.4
양천구 신월동 등 저지대 지역과 광화문 사거리가 포함됐다.

양천구	양천구/NNP
신월동	신월동/NNP
등	등/NNB
저지대	저/XPN+지대/NNG
지역과	지역/NNG+과/JC
광화문	광화문/NNP
사거리가	사거리/NNG+가/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.403.10.5
상황실에서는 이 동영상들을 취합해 실시간으로 대책을 마련하고 있다.

상황실에서는	상황실/NNG+에서/JKB+는/JX
이	이/MMD
동영상들을	동영상/NNG+들/XSN+을/JKO
취합해	취합/NNG+하/XSV+아/EC
실시간으로	실시간/NNG+으로/JKB
대책을	대책/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.403.11.1
이인근 본부장은 "예전의 수방 대책은 비가 내리거나 그친 후에 나서는 '사후(事後)'대책이었다"며 "예방 시스템을 촘촘하게 갖춰 피해를 최소화하는 데 힘을 쏟고 있다"고 밝혔다.

이인근	이인근/NNP
본부장은	본부장/NNG+은/JX
"예전의	"/SS+예전/NNG+의/JKG
수방	수방/NNG
대책은	대책/NNG+은/JX
비가	비/NNG+가/JKS
내리거나	내리/VV+거나/EC
그친	그치/VV+ㄴ/ETM
후에	후/NNG+에/JKB
나서는	나서/VV+는/ETM
'사후(事後)'대책이었다"며	'/SS+사후/NNG+(/SS+事後/SH+)/SS+'/SS+대책/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
"예방	"/SS+예방/NNG
시스템을	시스템/NNG+을/JKO
촘촘하게	촘촘하/VA+게/EC
갖춰	갖추/VV+어/EC
피해를	피해/NNG+를/JKO
최소화하는	최소/NNG+화/XSN+하/XSV+는/ETM
데	데/NNB
힘을	힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


