# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.107
metadata : {}


# id : NWRW1800000049.107.1.1
테마전시로… 연극동화로… 책 밖으로 나온 이야기들

테마전시로…	테마/NNG+전시/NNG+로/JKB+…/SE
커다란 종이가방으로 옷을 만들어 입고 사진을 찍어 소셜네트워크서비스(SNS)에 전송하는 ‘어린이 페이퍼백 캐릭터 공모전’도 함께 진행한다.

커다란	커다랗/VA+ㄴ/ETM
종이가방으로	종이/NNG+가방/NNG+으로/JKB
옷을	옷/NNG+을/JKO
만들어	만들/VV+어/EC
입고	입/VV+고/EC
사진을	사진/NNG+을/JKO
찍어	찍/VV+어/EC
소셜네트워크서비스(SNS)에	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+에/JKB
전송하는	전송/NNG+하/XSV+는/ETM
‘어린이	‘/SS+어린이/NNG
페이퍼백	페이퍼백/NNG
캐릭터	캐릭터/NNG
공모전’도	공모전/NNG+’/SS+도/JX
함께	함께/MAG
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.107.7.1
연극 극단과 출판사가 기획한 ‘연극동화’는 책의 캐릭터로 분장한 배우들이 아이들과 함께 책을 읽으며 연기하는 과정을 보여준다.

연극	연극/NNG
극단과	극단/NNG+과/JC
출판사가	출판사/NNG+가/JKS
기획한	기획/NNG+하/XSV+ㄴ/ETM
‘연극동화’는	‘/SS+연극/NNG+동화/NNG+’/SS+는/JX
책의	책/NNG+의/JKG
캐릭터로	캐릭터/NNG+로/JKB
분장한	분장/NNG+하/XSV+ㄴ/ETM
배우들이	배우/NNG+들/XSN+이/JKS
아이들과	아이/NNG+들/XSN+과/JKB
함께	함께/MAG
책을	책/NNG+을/JKO
읽으며	읽/VV+으며/EC
연기하는	연기/NNG+하/XSV+는/ETM
과정을	과정/NNG+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.107.7.2
온몸으로 책읽기의 즐거움을 체험할 수 있다.

온몸으로	온몸/NNG+으로/JKB
책읽기의	책/NNG+읽/VV+기/ETN+의/JKG
즐거움을	즐거움/NNG+을/JKO
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.107.7.3
명필름은 애니메이션 ‘마당을 나온 암탉’, ‘어린 왕자’, ‘고녀석 맛나겠다’를 상영하고 명필름아트센터 견학도 실시한다.

명필름은	명필름/NNP+은/JX
애니메이션	애니메이션/NNG
‘마당을	‘/SS+마당/NNG+을/JKO
나온	나오/VV+ㄴ/ETM
암탉’,	암탉/NNG+’/SS+,/SP
‘어린	‘/SS+어리/VA+ㄴ/ETM
왕자’,	왕자/NNG+’/SS+,/SP
‘고녀석	‘/SS+고/MMD+녀석/NNB
맛나겠다’를	맛나/VA+겠/EP+다/EF+’/SS+를/JKO
상영하고	상영/NNG+하/XSV+고/EC
명필름아트센터	명필름아트센터/NNP
견학도	견학/NNG+도/JX
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.107.8.1
구텐베르크 특별전에서는 독일 장인이 15세기 인쇄술을 시연하는 시간도 마련했다.

구텐베르크	구텐베르크/NNP
특별전에서는	특별전/NNG+에서/JKB+는/JX
독일	독일/NNP
장인이	장인/NNG+이/JKS
15세기	15/SN+세기/NNG
인쇄술을	인쇄술/NNG+을/JKO
시연하는	시연/NNG+하/XSV+는/ETM
시간도	시간/NNG+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.107.8.2
100여 개의 부스로 구성된 ‘야외 북마켓’에서는 어린이책, 독서 관련 가구, 문구류를 함께 판매한다.

100여	100/SN+여/XSN
개의	개/NNB+의/JKG
부스로	부스/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘야외	‘/SS+야외/NNG
북마켓’에서는	북마켓/NNG+’/SS+에서/JKB+는/JX
어린이책,	어린이/NNG+책/NNG+,/SP
독서	독서/NNG
관련	관련/NNG
가구,	가구/NNG+,/SP
문구류를	문구/NNG+류/XSN+를/JKO
함께	함께/MAG
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.107.9.1
프로그램 가운데 일부는 사전 신청해야 한다.

프로그램	프로그램/NNG
가운데	가운데/NNG
일부는	일부/NNG+는/JX
사전	사전/NNG
신청해야	신청/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.107.9.2
홈페이지(www.pajubfc.org), 031-955-0055

홈페이지(www.pajubfc.org),	홈페이지/NNG+(/SS+www/SL+./SP+pajubfc/SL+./SP+org/SL+)/SS+,/SP
031-955-0055	031/SN+-/SO+955/SN+-/SO+0055/SN


