# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.95
metadata : {}


# id : NWRW1800000046.95.1.1
20년간 폐품 모아 고스란히 이웃 도와

20년간	20/SN+년/NNB+간/XSN
되는데,	되/VV+는데/EC+,/SP
어려운	어렵/VA+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
돕는	돕/VV+는/ETM
데	데/NNB
쓰면	쓰/VV+면/EC
좋겠다'고	좋/VA+겠/EP+다/EF+'/SS+고/JKQ
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.95.5.1
박씨는 1996년 1월부터 일과 후 하루 네댓 시간씩 매주 세 번 이상 폐품 모으기에 나섰다.

박씨는	박/NNP+씨/NNB+는/JX
1996년	1996/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
일과	일과/NNG
후	후/NNG
하루	하루/NNG
네댓	네댓/NR
시간씩	시간/NNB+씩/XSN
매주	매주/MAG
세	세/MMN
번	번/NNB
이상	이상/NNG
폐품	폐품/NNG
모으기에	모으/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.95.5.2
그렇게 일하니 한 달에 20만원가량 벌 수 있었다.

그렇게	그렇/VA+게/EC
일하니	일/NNG+하/XSV+니/EC
한	한/MMN
달에	달/NNB+에/JKB
20만원가량	20/SN+만/NR+원/NNB+가량/XSN
벌	벌/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.95.5.3
부족한 금액은 개인 돈을 얹어 매달 30만원을 맞춰 기부했다.

부족한	부족/NNG+하/XSA+ㄴ/ETM
금액은	금액/NNG+은/JX
개인	개인/NNG
돈을	돈/NNG+을/JKO
얹어	얹/VV+어/EC
매달	매달/MAG
30만원을	30/SN+만/NR+원/NNB+을/JKO
맞춰	맞추/VV+어/EC
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.95.5.4
하루에 1만원은 기부하자는 생각에서다.

하루에	하루/NNG+에/JKB
1만원은	1/SN+만/NR+원/NNB+은/JX
기부하자는	기부/NNG+하/XSV+자는/ETM
생각에서다.	생각/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000046.95.6.1
이렇게 박씨가 기부해온 금액이 총 8000만원을 넘어섰다.

이렇게	이렇/VA+게/EC
박씨가	박/NNP+씨/NNB+가/JKS
기부해온	기부/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
금액이	금액/NNG+이/JKS
총	총/MMA
8000만원을	8000/SN+만/NR+원/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.95.6.2
이 돈은 그동안 성북구의 기초생활수급자, 차상위계층 등 10명의 냉·난방비로 사용돼 왔다.

이	이/MMD
돈은	돈/NNG+은/JX
그동안	그동안/NNG
성북구의	성북구/NNP+의/JKG
기초생활수급자,	기초/NNG+생활/NNG+수급자/NNG+,/SP
차상위계층	차상위/NNG+계층/NNG
등	등/NNB
10명의	10/SN+명/NNB+의/JKG
냉·난방비로	냉·난방비/NNG+로/JKB
사용돼	사용/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.95.6.3
박씨는 "내가 발품을 좀 팔아서 어려운 분들을 도울 수 있으니 행복한 일 아니냐"면서 "이제는 나이가 들어서 가족들이 내 건강을 걱정하지만 큰일이 생기지 않는 한 계속할 것"이라고 했다.

박씨는	박/NNP+씨/NNB+는/JX
"내가	"/SS+내/NP+가/JKS
발품을	발품/NNG+을/JKO
좀	좀/MAG
팔아서	팔/VV+아서/EC
어려운	어렵/VA+ㄴ/ETM
분들을	분/NNB+들/XSN+을/JKO
도울	돕/VV+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
행복한	행복/NNG+하/XSA+ㄴ/ETM
일	일/NNG
아니냐"면서	아니/VCN+냐/EF+"/SS+면서/EC
"이제는	"/SS+이제/NNG+는/JX
나이가	나이/NNG+가/JKS
들어서	들/VV+어서/EC
가족들이	가족/NNG+들/XSN+이/JKS
내	나/NP+의/JKG
건강을	건강/NNG+을/JKO
걱정하지만	걱정/NNG+하/XSV+지만/EC
큰일이	큰일/NNG+이/JKS
생기지	생기/VV+지/EC
않는	않/VX+는/ETM
한	한/NNG
계속할	계속/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.95.7.1
박씨는 오랫동안 자신의 선행을 밝히기를 꺼렸다.

박씨는	박/NNP+씨/NNB+는/JX
오랫동안	오랫동안/NNG
자신의	자신/NNG+의/JKG
선행을	선행/NNG+을/JKO
밝히기를	밝히/VV+기/ETN+를/JKO
꺼렸다.	꺼리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.95.7.2
대단한 일은 아니라는 생각에서였다.

대단한	대단하/VA+ㄴ/ETM
일은	일/NNG+은/JX
아니라는	아니/VCN+라는/ETM
생각에서였다.	생각/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.95.7.3
그러나 작년 동선동 주민센터가 '우리 동네 아름다운 사람들'이라는 '명예의 전당' 코너를 만들어 소개하겠다고 제안했을 때 생각이 달라졌다고 한다.

그러나	그러나/MAJ
작년	작년/NNG
동선동	동선동/NNP
주민센터가	주민/NNG+센터/NNG+가/JKS
'우리	'/SS+우리/NP
동네	동네/NNG
아름다운	아름답/VA+ㄴ/ETM
사람들'이라는	사람/NNG+들/XSN+'/SS+이/VCP+라는/ETM
'명예의	'/SS+명예/NNG+의/JKG
전당'	전당/NNG+'/SS
코너를	코너/NNG+를/JKO
만들어	만들/VV+어/EC
소개하겠다고	소개/NNG+하/XSV+겠/EP+다고/EC
제안했을	제안/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
생각이	생각/NNG+이/JKS
달라졌다고	달라지/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.95.7.4
박씨는 "나의 활동을 계기로 더 많은 분이 기부를 시작하면 좋겠다는 생각에 이름을 밝히기로 했다"면서 "다 함께 베푸는 삶을 살았으면 좋겠다"고 했다.

박씨는	박/NNP+씨/NNB+는/JX
"나의	"/SS+나/NP+의/JKG
활동을	활동/NNG+을/JKO
계기로	계기/NNG+로/JKB
더	더/MAG
많은	많/VA+은/ETM
분이	분/NNB+이/JKS
기부를	기부/NNG+를/JKO
시작하면	시작/NNG+하/XSV+면/EC
좋겠다는	좋/VA+겠/EP+다는/ETM
생각에	생각/NNG+에/JKB
이름을	이름/NNG+을/JKO
밝히기로	밝히/VV+기/ETN+로/JKB
했다"면서	하/VV+았/EP+다/EF+"/SS+면서/EC
"다	"/SS+다/MAG
함께	함께/MAG
베푸는	베풀/VV+는/ETM
삶을	삶/NNG+을/JKO
살았으면	살/VV+았/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


