# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.37
metadata : {}


# id : NWRW1800000045.37.1.1
[화제의 분양현장]송산그린시티

[화제의	[/SS+화제/NNG+의/JKG
연결돼	연결/NNG+되/XSV+어/EC
송산신도시와	송산신도시/NNP+와/JC
안산	안산/NNP
생활프리미엄을	생활/NNG+프리미엄/NNG+을/JKO
동시에	동시/NNG+에/JKB
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.37.4.3
또 현재 안산지역의 경우 노후화된 아파트들이 많아 재건축, 재개발로 인해 시세가 상승하고, 전세금 폭등으로 인한 주거환경 불안 때문에 상대적으로 안산생활권임에도 안산 전세가로 신축 아파트를 구매할 수 있다.

또	또/MAG
현재	현재/MAG
안산지역의	안산지역/NNP+의/JKG
경우	경우/NNG
노후화된	노후/NNG+화/XSN+되/XSV+ㄴ/ETM
아파트들이	아파트/NNG+들/XSN+이/JKS
많아	많/VA+아/EC
재건축,	재/XPN+건축/NNG+,/SP
재개발로	재/XPN+개발/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
시세가	시세/NNG+가/JKS
상승하고,	상승/NNG+하/XSV+고/EC+,/SP
전세금	전세금/NNG
폭등으로	폭등/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
주거환경	주거/NNG+환경/NNG
불안	불안/NNG
때문에	때문/NNB+에/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
안산생활권임에도	안산/NNP+생활/NNG+권/XSN+이/VCP+ㅁ/ETN+에/JKB+도/JX
안산	안산/NNP
전세가로	전세/NNG+가/XSN+로/JKB
신축	신축/NNG
아파트를	아파트/NNG+를/JKO
구매할	구매/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.37.4.4
신도시 프리미엄까지 있다는 입소문이 나면서 최근 많은 실수요자들의 관심을 끌고 있다.

신도시	신/XPN+도시/NNG
프리미엄까지	프리미엄/NNG+까지/JX
있다는	있/VA+다는/ETM
입소문이	입소문/NNG+이/JKS
나면서	나/VV+면서/EC
최근	최근/MAG
많은	많/VA+은/ETM
실수요자들의	실수요자/NNG+들/XSN+의/JKG
관심을	관심/NNG+을/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.37.5.1
투자자와 실수요자 모두에게 매력적인 송산신도시에 브랜드 타운을 형성하게 될 대방 노블랜드가 첫 단지를 11월 19일에 오픈해 다시 한번 주변 부동산시장의 관심이 커지고 있다.

투자자와	투자자/NNG+와/JC
실수요자	실수요자/NNG
모두에게	모두/NNG+에게/JKB
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
송산신도시에	송산신도시/NNP+에/JKB
브랜드	브랜드/NNG
타운을	타운/NNG+을/JKO
형성하게	형성/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
대방	대방/NNP
노블랜드가	노블랜드/NNP+가/JKS
첫	첫/MMN
단지를	단지/NNG+를/JKO
11월	11/SN+월/NNB
19일에	19/SN+일/NNB+에/JKB
오픈해	오픈/NNG+하/XSV+아/EC
다시	다시/MAG
한번	한번/NNG
주변	주변/NNG
부동산시장의	부동산/NNG+시장/NNG+의/JKG
관심이	관심/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.37.5.2
2015년 도급 순위 49위인 대방건설㈜이 ‘노블랜드’라는 자사 프리미엄 브랜드로 분양하는 송산신도시 대방 노블랜드 1차는 총 5개 필지로, 6차 현장을 분양예정인 필지 중에서 첫 번째로 공급하는 단지이다.

2015년	2015/SN+년/NNB
도급	도급/NNG
순위	순위/NNG
49위인	49/SN+위/NNB+이/VCP+ㄴ/ETM
대방건설㈜이	대방건설/NNP+㈜/SW+이/JKS
‘노블랜드’라는	‘/SS+노블랜드/NNP+’/SS+이/VCP+라는/ETM
자사	자사/NNG
프리미엄	프리미엄/NNG
브랜드로	브랜드/NNG+로/JKB
분양하는	분양/NNG+하/XSV+는/ETM
송산신도시	송산신도시/NNP
대방	대방/NNP
노블랜드	노블랜드/NNP
1차는	1/SN+차/NNB+는/JX
총	총/MMA
5개	5/SN+개/NNB
필지로,	필지/NNG+로/JKB+,/SP
6차	6/SN+차/NNB
현장을	현장/NNG+을/JKO
분양예정인	분양/NNG+예정/NNG+이/VCP+ㄴ/ETM
필지	필지/NNG
중에서	중/NNB+에서/JKB
첫	첫/MMN
번째로	번/NNB+째/XSN+로/JKB
공급하는	공급/NNG+하/XSV+는/ETM
단지이다.	단지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.37.5.3
전용 84m² 타입으로 총 731채가 공급되는 1차 현장은 안산과 바로 연결되는 다리(2017년 말 예정)와 인접하여 안산 접근성이 우수하다.

전용	전용/NNG
84m²	84/SN+m²/SW
타입으로	타입/NNG+으로/JKB
총	총/MMA
731채가	731/SN+채/NNB+가/JKS
공급되는	공급/NNG+되/XSV+는/ETM
1차	1/SN+차/NNB
현장은	현장/NNG+은/JX
안산과	안산/NNP+과/JKB
바로	바로/MAG
연결되는	연결/NNG+되/XSV+는/ETM
다리(2017년	다리/NNG+(/SS+2017/SN+년/NNB
말	말/NNB
예정)와	예정/NNG+)/SS+와/JKB
인접하여	인접/NNG+하/XSV+아/EC
안산	안산/NNP
접근성이	접근/NNG+성/XSN+이/JKS
우수하다.	우수/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.37.5.4
단지 바로 앞 중심상업지구가 있어 생활의 편리성도 갖추고 있다.

단지	단지/NNG
바로	바로/MAG
앞	앞/NNG
중심상업지구가	중심/NNG+상업/NNG+지구/NNG+가/JKS
있어	있/VA+어/EC
생활의	생활/NNG+의/JKG
편리성도	편리/NNG+성/XSN+도/JX
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.37.5.5
또한 송산신도시 자체가 시화호 습지공원을 배경으로 개발되는 관계로 녹지율 49%의 친환경적인 신도시가 구성되어 환경 여건 또한 우수하다는 평가이다.

또한	또한/MAG
송산신도시	송산신도시/NNP
자체가	자체/NNG+가/JKS
시화호	시화호/NNP
습지공원을	습지/NNG+공원/NNG+을/JKO
배경으로	배경/NNG+으로/JKB
개발되는	개발/NNG+되/XSV+는/ETM
관계로	관계/NNG+로/JKB
녹지율	녹지/NNG+율/XSN
49%의	49/SN+%/SW+의/JKG
친환경적인	친/XPN+환경/NNG+적/XSN+이/VCP+ㄴ/ETM
신도시가	신/XPN+도시/NNG+가/JKS
구성되어	구성/NNG+되/XSV+어/EC
환경	환경/NNG
여건	여건/NNG
우수하다는	우수/NNG+하/XSA+다는/ETM
평가이다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.37.6.1
혁신적인 평면과 송산신도시의 새로운 랜드마크가 될 브랜드 타운 조성을 계획하고 있는 대방 노블랜드의 첫 단지는 11월 19일에 오픈하였으며, 모델하우스는 안산시 단원구 고잔동 724-3이다.

혁신적인	혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
평면과	평면/NNG+과/JC
송산신도시의	송산신도시/NNP+의/JKG
새로운	새롭/VA+ㄴ/ETM
랜드마크가	랜드마크/NNG+가/JKC
될	되/VV+ㄹ/ETM
브랜드	브랜드/NNG
타운	타운/NNG
조성을	조성/NNG+을/JKO
계획하고	계획/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
대방	대방/NNP
노블랜드의	노블랜드/NNP+의/JKG
첫	첫/MMN
단지는	단지/NNG+는/JX
11월	11/SN+월/NNB
19일에	19/SN+일/NNB+에/JKB
오픈하였으며,	오픈/NNG+하/XSV+았/EP+으며/EC+,/SP
모델하우스는	모델하우스/NNG+는/JX
안산시	안산시/NNP
단원구	단원구/NNP
고잔동	고잔동/NNP
724-3이다.	724/SN+-/SO+3/SN+이/VCP+다/EF+./SF


# id : NWRW1800000045.37.6.2
문의 1688-9700

문의	문의/NNG
1688-9700	1688/SN+-/SO+9700/SN


