# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.30
metadata : {}


# id : NWRW1800000028.30.1.1
‘4대강’ 건설현장 가보니/달성보 가물막이 둑 안에 ‘시커먼 진흙덩이’

‘4대강’	‘/SS+4/SN+대/NNG+강/NNG+’/SS
침전물,	침전물/NNG+,/SP
슬러지)층이	슬러지/NNG+)/SS+층/XSN+이/JKS
눈에	눈/NNG+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.30.2.3
육안으로 봐도 이런 오니층이 전체 공사 현장의 약 30% 정도를 차지했다.

육안으로	육안/NNG+으로/JKB
봐도	보/VV+아도/EC
이런	이런/MMD
오니층이	오니/NNG+층/XSN+이/JKS
전체	전체/NNG
공사	공사/NNG
현장의	현장/NNG+의/JKG
약	약/MMA
30%	30/SN+%/SW
정도를	정도/NNG+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.30.2.4
공사 현장을 찾은 생태보전시민모임 생명그물 이준경 정책실장은 “상주보 등 낙동강 유역 다른 보 현장에서는 이런 두께의 오니층을 보지 못했다”고 말했다.

공사	공사/NNG
현장을	현장/NNG+을/JKO
찾은	찾/VV+은/ETM
생태보전시민모임	생태보전시민모임/NNP
생명그물	생명그물/NNP
이준경	이준경/NNP
정책실장은	정책실장/NNG+은/JX
“상주보	“/SS+상주보/NNP
등	등/NNB
낙동강	낙동강/NNP
유역	유역/NNG
다른	다른/MMD
보	보/NNG
현장에서는	현장/NNG+에서/JKB+는/JX
이런	이런/MMD
두께의	두께/NNG+의/JKG
오니층을	오니/NNG+층/XSN+을/JKO
보지	보/VV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.30.2.5
부산가톨릭대 김좌관 교수(환경공학)는 “특히 달성보 구간은 예전에 오염도가 심각했던 금호강 하류에 위치해 오니층에 중금속이 기준치 이상으로 포함됐을 가능성이 있어 면밀한 조사가 필요하다”고 말했다.

부산가톨릭대	부산가톨릭대/NNP
김좌관	김좌관/NNP
교수(환경공학)는	교수/NNG+(/SS+환경/NNG+공학/NNG+)/SS+는/JX
“특히	“/SS+특히/MAG
달성보	달성보/NNP
구간은	구간/NNG+은/JX
예전에	예전/NNG+에/JKB
오염도가	오염도/NNG+가/JKS
심각했던	심각하/VA+았/EP+던/ETM
금호강	금호강/NNP
하류에	하류/NNG+에/JKB
위치해	위치/NNG+하/XSV+아/EC
오니층에	오니/NNG+층/XSN+에/JKB
중금속이	중금속/NNG+이/JKS
기준치	기준/NNG+치/XSN
이상으로	이상/NNG+으로/JKB
포함됐을	포함/NNG+되/XSV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있어	있/VA+어/EC
면밀한	면밀하/VA+ㄴ/ETM
조사가	조사/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.30.3.1
이날 민주노동당 홍희덕 의원과 낙동강지키기 부산·경남·대구운동본부 회원, 김좌관 교수와 안동대 김영훈 교수(환경공학) 등 10여명이 달성보 공사 현장을 찾아 실태조사를 벌였다.

이날	이날/NNG
민주노동당	민주노동당/NNP
홍희덕	홍희덕/NNP
의원과	의원/NNG+과/JC
낙동강지키기	낙동강/NNP+지키/VV+기/ETN
부산·경남·대구운동본부	부산/NNP+·/SP+경남/NNP+·/SP+대구/NNP+운동/NNG+본부/NNG
회원,	회원/NNG+,/SP
김좌관	김좌관/NNP
교수와	교수/NNG+와/JC
안동대	안동대/NNP
김영훈	김영훈/NNP
교수(환경공학)	교수/NNG+(/SS+환경/NNG+공학/NNG+)/SS
등	등/NNB
10여명이	10/SN+여/XSN+명/NNB+이/JKS
달성보	달성보/NNP
공사	공사/NNG
현장을	현장/NNG+을/JKO
찾아	찾/VV+아/EC
실태조사를	실태/NNG+조사/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.30.4.1
낙동강지키기본부 쪽은 “가물막이 외에도 조만간 시작될 달성보 사업구역의 준설토 2270만㎥ 가운데서도 이런 오니층이 많을 가능성이 있다”며 “준설 과정에서 오니토에 중금속이 포함돼 있거나 오염항목이 적법 항목을 초과한다면 하천 생태계에 큰 영향을 끼치게 된다”고 주장했다.

낙동강지키기본부	낙동강지키기본부/NNP
쪽은	쪽/NNB+은/JX
“가물막이	“/SS+가/XPN+물막이/NNG
외에도	외/NNB+에/JKB+도/JX
조만간	조만간/MAG
시작될	시작/NNG+되/XSV+ㄹ/ETM
달성보	달성보/NNP
사업구역의	사업/NNG+구역/NNG+의/JKG
준설토	준설토/NNG
2270만㎥	2270/SN+만/NR+㎥/SW
가운데서도	가운데/NNG+서/JKB+도/JX
이런	이런/MMD
오니층이	오니/NNG+층/XSN+이/JKS
많을	많/VA+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“준설	“/SS+준설/NNG
과정에서	과정/NNG+에서/JKB
오니토에	오니토/NNG+에/JKB
중금속이	중금속/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있거나	있/VX+거나/EC
오염항목이	오염/NNG+항목/NNG+이/JKS
적법	적법/NNG
항목을	항목/NNG+을/JKO
초과한다면	초과/NNG+하/XSV+ㄴ다면/EC
하천	하천/NNG
생태계에	생태/NNG+계/XSN+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼치게	끼치/VV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.30.4.2
낙동강지키기본부 쪽은 또 달성보 사업 구간 내 준설토는 공공토목사업이나 농경지 리모델링 등에 사용될 계획인데 만약 오염됐으면 2차오염 가능성도 있다고 우려했다.

낙동강지키기본부	낙동강지키기본부/NNP
쪽은	쪽/NNB+은/JX
또	또/MAG
달성보	달성보/NNP
사업	사업/NNG
구간	구간/NNG
내	내/NNB
준설토는	준설토/NNG+는/JX
공공토목사업이나	공공/NNG+토목/NNG+사업/NNG+이나/JC
농경지	농경지/NNG
리모델링	리모델링/NNG
등에	등/NNB+에/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
계획인데	계획/NNG+이/VCP+ㄴ데/EC
만약	만약/MAG
오염됐으면	오염/NNG+되/XSV+었/EP+으면/EC
2차오염	2/SN+차/NNB+오염/NNG
가능성도	가능/NNG+성/XSN+도/JX
있다고	있/VA+다고/EC
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.30.5.1
이에 대해 한국수자원공사 쪽은 “자체 조사 결과 오니의 오염도가 기준치를 넘지 않았다”며 한때 시료 채취를 거부해 채취를 요구하는 홍 의원 일행과 실랑이를 벌이기도 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
한국수자원공사	한국수자원공사/NNP
쪽은	쪽/NNB+은/JX
“자체	“/SS+자체/NNG
조사	조사/NNG
결과	결과/NNG
오니의	오니/NNG+의/JKG
오염도가	오염도/NNG+가/JKS
기준치를	기준/NNG+치/XSN+를/JKO
넘지	넘/VV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
한때	한때/MAG
시료	시료/NNG
채취를	채취/NNG+를/JKO
거부해	거부/NNG+하/XSV+아/EC
요구하는	요구/NNG+하/XSV+는/ETM
홍	홍/NNP
의원	의원/NNG
일행과	일행/NNG+과/JKB
실랑이를	실랑이/NNG+를/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.30.5.2
안동대 김 교수는 “변색된 토양이 발견되면 정밀조사가 필요한데 시공자 쪽 자체 조사가 불충분한 듯하다”고 지적했다.

안동대	안동대/NNP
김	김/NNP
교수는	교수/NNG+는/JX
“변색된	“/SS+변색/NNG+되/XSV+ㄴ/ETM
토양이	토양/NNG+이/JKS
발견되면	발견/NNG+되/XSV+면/EC
정밀조사가	정밀/NNG+조사/NNG+가/JKS
필요한데	필요/NNG+하/XSA+ㄴ데/EC
시공자	시공자/NNG
쪽	쪽/NNB
자체	자체/NNG
조사가	조사/NNG+가/JKS
불충분한	불충분/NNG+하/XSA+ㄴ/ETM
듯하다”고	듯/NNB+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.30.6.1
낙동강지키기본부와 홍희덕 의원 쪽은 이날 채취한 시료를 공인검사기관에 맡겨 분석한 뒤 결과를 다음주 안에 발표할 예정이다.

낙동강지키기본부와	낙동강지키기본부/NNP+와/JC
홍희덕	홍희덕/NNP
의원	의원/NNG
쪽은	쪽/NNB+은/JX
이날	이날/NNG
채취한	채취/NNG+하/XSV+ㄴ/ETM
시료를	시료/NNG+를/JKO
공인검사기관에	공인/NNG+검사/NNG+기관/NNG+에/JKB
맡겨	맡기/VV+어/EC
분석한	분석/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
결과를	결과/NNG+를/JKO
다음주	다음/NNG+주/NNG
안에	안/NNG+에/JKB
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


