# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.31
metadata : {}


# id : NWRW1800000028.31.1.1
“훈련보다 삽질 때문에” 군인들은 괴로워

“훈련보다	“/SS+훈련/NNG+보다/JKB
이에 비해 ‘강도높은 훈련’이 힘들다는 답변은 9.0%에 그쳤다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
‘강도높은	‘/SS+강도/NNG+높/VA+은/ETM
훈련’이	훈련/NNG+’/SS+이/JKS
힘들다는	힘들/VA+다는/ETM
답변은	답변/NNG+은/JX
9.0%에	9/SN+./SP+0/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.31.4.1
군 관계자는 “군은 일상적으로 주둔지 부대 초소와 울타리 정비를 하고 봄·가을에는 진지 보강공사, 겨울에는 눈 치우기, 여름에는 잡초 제거 등의 일을 한다”며 “농번기나 물난리, 폭설이 내리면 민간 지원까지 나가기 때문에 작업이 잦을 수 밖에 없다”고 말했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
“군은	“/SS+군/NNG+은/JX
일상적으로	일상/NNG+적/XSN+으로/JKB
주둔지	주둔지/NNG
부대	부대/NNG
초소와	초소/NNG+와/JC
울타리	울타리/NNG
정비를	정비/NNG+를/JKO
하고	하/VV+고/EC
봄·가을에는	봄/NNG+·/SP+가을/NNG+에/JKB+는/JX
진지	진지/NNG
보강공사,	보강/NNG+공사/NNG+,/SP
겨울에는	겨울/NNG+에/JKB+는/JX
눈	눈/NNG
치우기,	치우/VV+기/ETN+,/SP
여름에는	여름/NNG+에/JKB+는/JX
잡초	잡초/NNG
제거	제거/NNG
등의	등/NNB+의/JKG
일을	일/NNG+을/JKO
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“농번기나	“/SS+농번기/NNG+나/JC
물난리,	물난리/NNG+,/SP
폭설이	폭설/NNG+이/JKS
내리면	내리/VV+면/EC
민간	민간/NNG
지원까지	지원/NNG+까지/JX
나가기	나가/VV+기/ETN
때문에	때문/NNB+에/JKB
작업이	작업/NNG+이/JKS
잦을	잦/VA+을/ETM
수	수/NNB
밖에	밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


