# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.135
metadata : {}


# id : NWRW1800000048.135.1.1
터키, 영공 침범한 항공기 격추

터키,	터키/NNP+,/SP
내보냈다.	내보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.135.6.2
앞서 지난 5일 터키는 러시아 전투기들이 자국 영공을 침범하자 러시아 대사를 소환하는 등 강력히 항의하고 향후 재발 땐 격추하겠다고 경고한 바 있다.

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
터키는	터키/NNP+는/JX
러시아	러시아/NNP
전투기들이	전투기/NNG+들/XSN+이/JKS
자국	자국/NNG
영공을	영공/NNG+을/JKO
침범하자	침범/NNG+하/XSV+자/EC
대사를	대사/NNG+를/JKO
소환하는	소환/NNG+하/XSV+는/ETM
등	등/NNB
강력히	강력히/MAG
항의하고	항의/NNG+하/XSV+고/EC
향후	향후/NNG
재발	재발/NNG
땐	때/NNG+ㄴ/JX
격추하겠다고	격추/NNG+하/XSV+겠/EP+다고/EC
경고한	경고/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.135.7.1
러시아 국방부는 이날 터키의 항공기 격추 성명이 나온 뒤 <리아 노보스티> 통신에 “시리아에 있는 모든 군용기가 현지 기지에 무사히 귀환했으며 모든 무인기도 계획대로 작전중”이라고 밝혔다.

러시아	러시아/NNP
국방부는	국방부/NNG+는/JX
이날	이날/NNG
터키의	터키/NNP+의/JKG
항공기	항공기/NNG
격추	격추/NNG
성명이	성명/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
<리아	</SS+리아/NNP
노보스티>	노보스티/NNP+>/SS
통신에	통신/NNG+에/JKB
“시리아에	“/SS+시리아/NNP+에/JKB
있는	있/VA+는/ETM
모든	모든/MMN
군용기가	군용기/NNG+가/JKS
현지	현지/NNG
기지에	기지/NNG+에/JKB
무사히	무사히/MAG
귀환했으며	귀환/NNG+하/XSV+았/EP+으며/EC
무인기도	무인기/NNG+도/JX
계획대로	계획/NNG+대로/JX
작전중”이라고	작전/NNG+중/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.135.7.2
그러나 <로이터> 통신은 “미국의 한 관리가 피격 비행체는 러시아 무인기라고 의심한다고 말했지만 자세한 언급은 거부했다”고 전했다.

그러나	그러나/MAJ
<로이터>	</SS+로이터/NNP+>/SS
통신은	통신/NNG+은/JX
“미국의	“/SS+미국/NNP+의/JKG
한	한/MMN
관리가	관리/NNG+가/JKS
피격	피격/NNG
비행체는	비행체/NNG+는/JX
러시아	러시아/NNP
무인기라고	무인기/NNG+이/VCP+라고/EC
의심한다고	의심/NNG+하/XSV+ㄴ다고/EC
말했지만	말/NNG+하/XSV+았/EP+지만/EC
자세한	자세하/VA+ㄴ/ETM
언급은	언급/NNG+은/JX
거부했다”고	거부/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.135.8.1
터키와 나토는 시리아 내전에서 바샤르 아사드 정권에 대항하는 반군을 지원하고 있는 반면, 러시아는 이슬람 극단주의 무장세력인 이슬람국가(IS) 격퇴가 우선이라는 명분으로 아사드 정권을 지원하고 있다.

터키와	터키/NNP+와/JC
나토는	나토/NNP+는/JX
시리아	시리아/NNP
내전에서	내전/NNG+에서/JKB
바샤르	바샤르/NNP
아사드	아사드/NNP
정권에	정권/NNG+에/JKB
대항하는	대항/NNG+하/XSV+는/ETM
반군을	반군/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
반면,	반면/NNG+,/SP
러시아는	러시아/NNP+는/JX
이슬람	이슬람/NNG
극단주의	극단주의/NNG
무장세력인	무장/NNG+세력/NNG+이/VCP+ㄴ/ETM
이슬람국가(IS)	이슬람국가/NNP+(/SS+IS/SL+)/SS
격퇴가	격퇴/NNG+가/JKS
우선이라는	우선/NNG+이/VCP+라는/ETM
명분으로	명분/NNG+으로/JKB
정권을	정권/NNG+을/JKO
있다.	있/VX+다/EF+./SF


