# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.436
metadata : {}


# id : NWRW1800000022.436.1.1
[수도권Ⅲ] [이슈 앤 현장] 용인시 아동보육환경 적극 개선;"자녀 걱정하지 말고 생업 열중하세요"

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SW+]/SS
예솔어린이집,	예솔어린이집/NNP+,/SP
군	군/NNG
관사	관사/NNG
어린이집	어린이집/NNG
등	등/NNB
3곳이	3/SN+곳/NNG+이/JKS
개원할	개원/NNG+하/XSV+ㄹ/ETM
예정으로,	예정/NNG+으로/JKB+,/SP
시립어린이집은	시립/NNG+어린이집/NNG+은/JX
총	총/MMA
22곳으로	22/SN+곳/NNG+으로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.436.11.3
이후 2011~2013년에 10곳을 추가로 확충해 총 32곳의 어린이집을 시(市)가 운영하게 된다.

이후	이후/NNG
2011~2013년에	2011/SN+~/SO+2013/SN+년/NNB+에/JKB
10곳을	10/SN+곳/NNG+을/JKO
추가로	추가/NNG+로/JKB
확충해	확충/NNG+하/XSV+아/EC
총	총/MMA
32곳의	32/SN+곳/NNG+의/JKG
어린이집을	어린이집/NNG+을/JKO
시(市)가	시/NNG+(/SS+市/SH+)/SS+가/JKS
운영하게	운영/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.436.11.4
시는 맞벌이 부부의 경우 퇴근시간과 보육시설 운영시간이 맞지 않아 불편을 겪는 것을 고려해, 현재 47곳인 시간연장 운영 보육시설도 2010년에는 70곳으로 늘릴 계획이다.

시는	시/NNG+는/JX
맞벌이	맞벌이/NNG
부부의	부부/NNG+의/JKG
경우	경우/NNG
퇴근시간과	퇴근/NNG+시간/NNG+과/JC
보육시설	보육/NNG+시설/NNG
운영시간이	운영/NNG+시간/NNG+이/JKS
맞지	맞/VV+지/EC
않아	않/VX+아/EC
불편을	불편/NNG+을/JKO
겪는	겪/VV+는/ETM
것을	것/NNB+을/JKO
고려해,	고려/NNG+하/XSV+아/EC+,/SP
현재	현재/MAG
47곳인	47/SN+곳/NNG+이/VCP+ㄴ/ETM
시간연장	시간/NNG+연장/NNG
운영	운영/NNG
보육시설도	보육/NNG+시설/NNG+도/JX
2010년에는	2010/SN+년/NNB+에/JKB+는/JX
70곳으로	70/SN+곳/NNG+으로/JKB
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.12.1
◆시 예산으로 아동센터 종사자 교육

◆시	◆/SW+시/NNG
예산으로	예산/NNG+으로/JKB
아동센터	아동/NNG+센터/NNG
종사자	종사자/NNG
교육	교육/NNG


# id : NWRW1800000022.436.13.1
시설 확충뿐 아니라 보육비 지원과 보육 관련 프로그램도 강화하고 있다.

시설	시설/NNG
확충뿐	확충/NNG+뿐/JX
아니라	아니/VCN+라/EC
보육비	보육비/NNG
지원과	지원/NNG+과/JC
보육	보육/NNG
관련	관련/NNG
프로그램도	프로그램/NNG+도/JX
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.436.14.1
시는 내년에 셋째자녀 이상 아동을 위한 보육·교육비로 55억원의 예산을 편성했다.

시는	시/NNG+는/JX
내년에	내년/NNG+에/JKB
셋째자녀	셋째/NR+자녀/NNG
이상	이상/NNG
아동을	아동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
보육·교육비로	보육/NNG+·/SP+교육비/NNG+로/JKB
55억원의	55/SN+억/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
편성했다.	편성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.436.14.2
보육시설과 유치원을 이용하는 취학 전 만5세까지의 셋째 자녀 이상 아동에 대해 보육료를 지원하는 사업이다.

보육시설과	보육/NNG+시설/NNG+과/JC
유치원을	유치원/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
취학	취학/NNG
전	전/NNG
만5세까지의	만/MMA+5/SN+세/NNB+까지/JX+의/JKG
셋째	셋째/NR
자녀	자녀/NNG
이상	이상/NNG
아동에	아동/NNG+에/JKB
대해	대하/VV+아/EC
보육료를	보육료/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.15.1
용인시청 이명화 가족여성과장은 "1년 평균 2500여명씩 지급해 3년여간 총 129억원을 지원했다"며 "경기도에서 가장 많은 예산을 지원하고 있다"고 말했다.

용인시청	용인시청/NNP
이명화	이명화/NNP
가족여성과장은	가족/NNG+여성과장/NNG+은/JX
"1년	"/SS+1/SN+년/NNB
평균	평균/NNG
2500여명씩	2500/SN+여/XSN+명/NNB+씩/XSN
지급해	지급/NNG+하/XSV+아/EC
3년여간	3/SN+년/NNB+여/XSN+간/XSN
총	총/MMA
129억원을	129/SN+억/NR+원/NNB+을/JKO
지원했다"며	지원/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"경기도에서	"/SS+경기도/NNP+에서/JKB
가장	가장/MAG
많은	많/VA+은/ETM
예산을	예산/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.436.16.1
용인시는 올해 도내에서 처음으로 입양 아동에 대한 보육료 지원을 시작해 주목 받기도 했다.

용인시는	용인시/NNP+는/JX
올해	올해/NNG
도내에서	도내/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
입양	입양/NNG
아동에	아동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보육료	보육료/NNG
지원을	지원/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
주목	주목/NNG
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.436.16.2
입양 가정의 경제적 부담을 덜어주기 위한 것이다.

입양	입양/NNG
가정의	가정/NNG+의/JKG
경제적	경제/NNG+적/XSN
부담을	부담/NNG+을/JKO
덜어주기	덜/VV+어/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.16.3
부모 중 1인 이상과 입양아동이 용인시에 6개월 이상 주민등록을 두고 있으면서 용인시 관내 보육시설이나 유치원을 이용하는 경우 연령에 따라 17만3000~38만6000원을 지원받았다.

부모	부모/NNG
중	중/NNB
1인	1/SN+인/NNG
이상과	이상/NNG+과/JC
입양아동이	입양/NNG+아동/NNG+이/JKS
용인시에	용인시/NNP+에/JKB
6개월	6/SN+개월/NNB
이상	이상/NNG
주민등록을	주민/NNG+등록/NNG+을/JKO
두고	두/VV+고/EC
있으면서	있/VX+으면서/EC
용인시	용인시/NNP
관내	관내/NNG
보육시설이나	보육/NNG+시설/NNG+이나/JC
유치원을	유치원/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
경우	경우/NNG
연령에	연령/NNG+에/JKB
따라	따르/VV+아/EC
17만3000~38만6000원을	17/SN+만/NR+3000/SN+~/SO+38/SN+만/NR+6000/SN+원/NNB+을/JKO
지원받았다.	지원/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.436.17.1
전액 시비(市費)로 지원하는 지역아동센터 종사자와 어린이를 대상으로 한 프로그램도 개발하고 있다.

전액	전액/NNG
시비(市費)로	시비/NNG+(/SS+市費/SH+)/SS+로/JKB
지원하는	지원/NNG+하/XSV+는/ETM
지역아동센터	지역/NNG+아동/NNG+센터/NNG
종사자와	종사자/NNG+와/JC
어린이를	어린이/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
프로그램도	프로그램/NNG+도/JX
개발하고	개발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.436.17.2
지난 4월 양지파인리조트에서 지역아동센터 시설장과 종사자 60여명을 대상으로 1박2일의 연찬회를 개최하고, 여름철에 지역아동센터 아동 200여명을 초대해 1박2일 여름야영캠프를 개최한 것이 대표적이다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
양지파인리조트에서	양지파인리조트/NNP+에서/JKB
지역아동센터	지역/NNG+아동/NNG+센터/NNG
시설장과	시설장/NNG+과/JC
종사자	종사자/NNG
60여명을	60/SN+여/XSN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
1박2일의	1/SN+박/NNB+2/SN+일/NNB+의/JKG
연찬회를	연찬회/NNG+를/JKO
개최하고,	개최/NNG+하/XSV+고/EC+,/SP
여름철에	여름철/NNG+에/JKB
아동	아동/NNG
200여명을	200/SN+여/XSN+명/NNB+을/JKO
초대해	초대/NNG+하/XSV+아/EC
1박2일	1/SN+박/NNB+2/SN+일/NNB
여름야영캠프를	여름/NNG+야영/NNG+캠프/NNG+를/JKO
개최한	개최/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.18.1
아동별 맞춤형 바우처 운영도 큰 호응을 얻고 있다.

아동별	아동/NNG+별/XSN
맞춤형	맞춤/NNG+형/XSN
바우처	바우처/NNG
운영도	운영/NNG+도/JX
큰	크/VA+ㄴ/ETM
호응을	호응/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.436.18.2
건강관리(비만) 서비스 등을 시행하는 아동 바우처 사업은 올해 3200명의 아동에 대해 14억원 규모의 바우처를 제공했다.

건강관리(비만)	건강/NNG+관리/NNG+(/SS+비만/NNG+)/SS
서비스	서비스/NNG
등을	등/NNB+을/JKO
시행하는	시행/NNG+하/XSV+는/ETM
아동	아동/NNG
바우처	바우처/NNG
사업은	사업/NNG+은/JX
올해	올해/NNG
3200명의	3200/SN+명/NNB+의/JKG
아동에	아동/NNG+에/JKB
대해	대하/VV+아/EC
14억원	14/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
바우처를	바우처/NNG+를/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.436.19.1
또 평균소득 이하 가구의 취학 전 아동을 대상으로 한 독서도우미 파견, 건전아동 육성을 위한 결식아동 급식비 지원 등도 추진할 계획이다.

또	또/MAG
평균소득	평균/NNG+소득/NNG
이하	이하/NNG
가구의	가구/NNG+의/JKG
취학	취학/NNG
전	전/NNG
아동을	아동/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
독서도우미	독서/NNG+도우미/NNG
파견,	파견/NNG+,/SP
건전아동	건전/NNG+아동/NNG
육성을	육성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
결식아동	결식아동/NNG
급식비	급식비/NNG
지원	지원/NNG
등도	등/NNB+도/JX
추진할	추진/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.436.20.1
서정석 용인시장은 "어린이가 행복한 도시를 만들기 위해 양질의 아동보육시설을 확충하고 교육 프로그램 개발 등 많은 노력을 기울일 계획"이라고 말했다.

서정석	서정석/NNP
용인시장은	용인시장/NNG+은/JX
"어린이가	"/SS+어린이/NNG+가/JKS
행복한	행복/NNG+하/XSA+ㄴ/ETM
도시를	도시/NNG+를/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
양질의	양질/NNG+의/JKG
아동보육시설을	아동/NNG+보육/NNG+시설/NNG+을/JKO
확충하고	확충/NNG+하/XSV+고/EC
교육	교육/NNG
프로그램	프로그램/NNG
개발	개발/NNG
등	등/NNB
많은	많/VA+은/ETM
노력을	노력/NNG+을/JKO
기울일	기울이/VV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


