# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.222
metadata : {}


# id : NWRW1800000022.222.1.1
佛 대통령, 161년 만에 의회 연설;나폴레옹 3세 이후 국가원수론 처음… 야당 "제왕적 이미지 강화" 참석 거부

佛	佛/SH
프랑스	프랑스/NNP
민영TV	민영TV/NNP
TF1이	TF/SL+1/SN+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.222.5.1
사르코지 대통령은 이날 연설에서 글로벌 경제 위기 이후 프랑스가 채택해야 할 새로운 국가발전 모델을 제안하고 경제위기로 악화되고 있는 재정 적자 문제 해결방안, 노년연금 개혁방안 등 향후 정책 방향도 함께 제시했다.

사르코지	사르코지/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
연설에서	연설/NNG+에서/JKB
글로벌	글로벌/NNG
경제	경제/NNG
위기	위기/NNG
이후	이후/NNG
프랑스가	프랑스/NNP+가/JKS
채택해야	채택/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
새로운	새롭/VA+ㄴ/ETM
국가발전	국가/NNG+발전/NNG
모델을	모델/NNG+을/JKO
제안하고	제안/NNG+하/XSV+고/EC
경제위기로	경제/NNG+위기/NNG+로/JKB
악화되고	악화/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
재정	재정/NNG
적자	적자/NNG
문제	문제/NNG
해결방안,	해결/NNG+방안/NNG+,/SP
노년연금	노년/NNG+연금/NNG
개혁방안	개혁/NNG+방안/NNG
등	등/NNB
향후	향후/NNG
정책	정책/NNG
방향도	방향/NNG+도/JX
함께	함께/MAG
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.222.5.2
사르코지는 개혁정책의 지속적인 추진을 약속하고, 이번 주 중 개각도 단행할 예정이다.

사르코지는	사르코지/NNP+는/JX
개혁정책의	개혁/NNG+정책/NNG+의/JKG
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
추진을	추진/NNG+을/JKO
약속하고,	약속/NNG+하/XSV+고/EC+,/SP
이번	이번/NNG
주	주/NNG
중	중/NNB
개각도	개각/NNG+도/JX
단행할	단행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.222.6.1
하지만 프랑스 야당들은 헌법 개정에 따른 대통령의 국정연설 부활에 못마땅한 표정이다.

하지만	하지만/MAJ
프랑스	프랑스/NNP
야당들은	야당/NNG+들/XSN+은/JX
헌법	헌법/NNG
개정에	개정/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
대통령의	대통령/NNG+의/JKG
국정연설	국정/NNG+연설/NNG
부활에	부활/NNG+에/JKB
못마땅한	못마땅하/VA+ㄴ/ETM
표정이다.	표정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.222.6.2
대통령의 국정연설이 대통령의 제왕적 이미지를 더 강화하는 결과로 이어질 것을 우려하기 때문이다.

대통령의	대통령/NNG+의/JKG
국정연설이	국정/NNG+연설/NNG+이/JKS
제왕적	제왕/NNG+적/XSN
이미지를	이미지/NNG+를/JKO
더	더/MAG
강화하는	강화/NNG+하/XSV+는/ETM
결과로	결과/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려하기	우려/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.222.6.3
녹색당과 공산당은 이날 "사르코지 대통령이 새로운 '태양왕(루이 14세)'이 되는 데 들러리를 설 수 없다"면서 회의 참석을 거부했다.

녹색당과	녹색당/NNP+과/JC
공산당은	공산당/NNP+은/JX
이날	이날/NNG
"사르코지	"/SS+사르코지/NNP
대통령이	대통령/NNG+이/JKS
새로운	새롭/VA+ㄴ/ETM
'태양왕(루이	'/SS+태양왕/NNP+(/SS+루이/NNP
14세)'이	14/SN+세/NNB+)/SS+'/SS+이/JKC
되는	되/VV+는/ETM
데	데/NNB
들러리를	들러리/NNG+를/JKO
설	서/VV+ㄹ/ETM
수	수/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
회의	회의/NNG
참석을	참석/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


