# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.39
metadata : {}


# id : NWRW1800000033.39.1.1
[Hidden Champion]진공증착용 코팅약품 개발-생산 ‘쎄코’

[Hidden	[/SS+Hidden/SL
같은	같/VA+은/ETM
대학(단국대),	대학/NNG+(/SS+단국대/NNP+)/SS+,/SP
학과(화학공학)에서	학과/NNG+(/SS+화학/NNG+공학/NNG+)/SS+에서/JKB
공부한	공부/NNG+하/XSV+ㄴ/ETM
‘절친’이다.	‘/SS+절친/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.7.2
가나다순으로 정하는 학번도 바로 앞뒤 번호였던 둘은 함께 대학원에 진학했고 박사학위를 땄다.

가나다순으로	가나다순/NNG+으로/JKB
정하는	정하/VV+는/ETM
학번도	학번/NNG+도/JX
바로	바로/MAG
앞뒤	앞뒤/NNG
번호였던	번호/NNG+이/VCP+었/EP+던/ETM
둘은	둘/NR+은/JX
함께	함께/MAG
대학원에	대학원/NNG+에/JKB
진학했고	진학/NNG+하/XSV+았/EP+고/EC
박사학위를	박사/NNG+학위/NNG+를/JKO
땄다.	따/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.7.3
세부전공으로 전기화학을 택한 그들은 도금을 연구하며 자연스럽게 물질의 표면에 관심을 갖게 됐다.

세부전공으로	세부/NNG+전공/NNG+으로/JKB
전기화학을	전기/NNG+화학/NNG+을/JKO
택한	택하/VV+ㄴ/ETM
그들은	그/NP+들/XSN+은/JX
도금을	도금/NNG+을/JKO
연구하며	연구/NNG+하/XSV+며/EC
자연스럽게	자연/NNG+스럽/XSA+게/EC
물질의	물질/NNG+의/JKG
표면에	표면/NNG+에/JKB
관심을	관심/NNG+을/JKO
갖게	갖/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.39.8.1
각자 연구소로 흩어져 따로 생활한 지 3년.

각자	각자/MAG
연구소로	연구소/NNG+로/JKB
흩어져	흩어지/VV+어/EC
따로	따로/MAG
생활한	생활/NNG+하/XSV+ㄴ/ETM
지	지/NNB
3년.	3/SN+년/NNB+./SF


# id : NWRW1800000033.39.8.2
두 사람은 코팅약품 사업을 위해 다시 뭉쳤다.

두	두/MMN
사람은	사람/NNG+은/JX
코팅약품	코팅/NNG+약품/NNG
사업을	사업/NNG+을/JKO
위해	위하/VV+아/EC
다시	다시/MAG
뭉쳤다.	뭉치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.39.8.3
자본금 2억 원, 직원 둘로 시작한 사업이었지만 마음만은 늘 당당했다.

자본금	자본금/NNG
2억	2/SN+억/NR
원,	원/NNB+,/SP
직원	직원/NNG
둘로	둘/NR+로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
사업이었지만	사업/NNG+이/VCP+었/EP+지만/EC
마음만은	마음/NNG+만/JX+은/JX
늘	늘/MAG
당당했다.	당당/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000033.39.8.4
창조(Creation)와 열정(Enthusiasm)에 대한민국(KOREA)을 더해 회사 이름을 쎄코(CEKO)라고 지었다.

창조(Creation)와	창조/NNG+(/SS+Creation/SL+)/SS+와/JC
열정(Enthusiasm)에	열정/NNG+(/SS+Enthusiasm/SL+)/SS+에/JKB
대한민국(KOREA)을	대한민국/NNP+(/SS+KOREA/SL+)/SS+을/JKO
더해	더/MAG+하/XSV+아/EC
회사	회사/NNG
이름을	이름/NNG+을/JKO
쎄코(CEKO)라고	쎄코/NNP+(/SS+CEKO/SL+)/SS+이/VCP+라고/EC
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.39.8.5
언젠가 한국을 대표하는 기업이 되겠다는 의지였다.

언젠가	언젠가/MAG
한국을	한국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
기업이	기업/NNG+이/JKC
되겠다는	되/VV+겠/EP+다는/ETM
의지였다.	의지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.39.9.1
2년여 만에 쎄코는 안경렌즈용 코팅약품을 만드는 데 성공했다.

2년여	2/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
쎄코는	쎄코/NNP+는/JX
안경렌즈용	안경/NNG+렌즈/NNG+용/XSN
코팅약품을	코팅/NNG+약품/NNG+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.9.2
그러나 문제는 영업이었다.

그러나	그러나/MAJ
문제는	문제/NNG+는/JX
영업이었다.	영업/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.39.9.3
평생 연구실에서만 살았던 두 사람은 직접 빔 프로젝터와 유인물을 들고 잠재적인 거래처들을 찾아다녔지만 역부족이었다.

평생	평생/NNG
연구실에서만	연구실/NNG+에서/JKB+만/JX
살았던	살/VV+았/EP+던/ETM
두	두/MMN
사람은	사람/NNG+은/JX
직접	직접/MAG
빔	빔/NNG
프로젝터와	프로젝터/NNG+와/JC
유인물을	유인물/NNG+을/JKO
들고	들/VV+고/EC
잠재적인	잠재/NNG+적/XSN+이/VCP+ㄴ/ETM
거래처들을	거래처/NNG+들/XSN+을/JKO
찾아다녔지만	찾아다니/VV+었/EP+지만/EC
역부족이었다.	역부족/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.39.9.4
더구나 안경렌즈 사업은 제품 혁신이랄 게 그다지 없어 후발주자에게는 불리한 구조였다.

더구나	더구나/MAG
안경렌즈	안경/NNG+렌즈/NNG
사업은	사업/NNG+은/JX
제품	제품/NNG
혁신이랄	혁신/NNG+이/VCP+랄/ETM
게	거/NNB+이/JKS
그다지	그다지/MAG
없어	없/VA+어/EC
후발주자에게는	후발/NNG+주자/NNG+에게/JKB+는/JX
불리한	불리/NNG+하/XSA+ㄴ/ETM
구조였다.	구조/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.39.10.1
새로운 활로를 찾기로 결심한 그들의 눈에 띈 것이 휴대전화 코팅이었다.

새로운	새롭/VA+ㄴ/ETM
활로를	활로/NNG+를/JKO
찾기로	찾/VV+기/ETN+로/JKB
결심한	결심/NNG+하/XSV+ㄴ/ETM
그들의	그/NP+들/XSN+의/JKG
눈에	눈/NNG+에/JKB
띈	띄/VV+ㄴ/ETM
것이	것/NNB+이/JKS
휴대전화	휴대/NNG+전화/NNG
코팅이었다.	코팅/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.39.10.2
휴대전화는 안경렌즈와 달리 제품 트렌드가 자주 바뀌어 가능성이 있다고 생각했다.

휴대전화는	휴대/NNG+전화/NNG+는/JX
안경렌즈와	안경/NNG+렌즈/NNG+와/JKB
달리	달리/MAG
제품	제품/NNG
트렌드가	트렌드/NNG+가/JKS
자주	자주/MAG
바뀌어	바뀌/VV+어/EC
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.10.3
그리고 예상은 적중했다.

그리고	그리고/MAJ
예상은	예상/NNG+은/JX
적중했다.	적중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.10.4
쎄코는 휴대전화 부품업체를 상대로 거래처를 늘려갔다.

쎄코는	쎄코/NNP+는/JX
휴대전화	휴대/NNG+전화/NNG
부품업체를	부품업체/NNG+를/JKO
상대로	상대/NNG+로/JKB
거래처를	거래처/NNG+를/JKO
늘려갔다.	늘리/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.39.10.5
특히 2009년 시작된 스마트폰 열풍은 성장의 발판이 됐고, 쎄코는 삼성전자의 3차 협력업체가 됐다.

특히	특히/MAG
2009년	2009/SN+년/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
스마트폰	스마트폰/NNG
열풍은	열풍/NNG+은/JX
성장의	성장/NNG+의/JKG
발판이	발판/NNG+이/JKC
됐고,	되/VV+었/EP+고/EC+,/SP
쎄코는	쎄코/NNP+는/JX
삼성전자의	삼성전자/NNP+의/JKG
3차	3/SN+차/NNB
협력업체가	협력/NNG+업체/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.39.11.1
김현중 대표는 “어려운 상황에서도 사업 전환을 시도했던 것이 결정적인 역할을 했다”고 말했다.

김현중	김현중/NNP
대표는	대표/NNG+는/JX
“어려운	“/SS+어렵/VA+ㄴ/ETM
상황에서도	상황/NNG+에서/JKB+도/JX
사업	사업/NNG
전환을	전환/NNG+을/JKO
시도했던	시도/NNG+하/XSV+았/EP+던/ETM
것이	것/NNB+이/JKS
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.11.2
이후 스마트폰 강화유리 코팅사업에 주력한 쎄코의 매출은 2009년 6억 원에서 지난해 122억 원으로 급성장했다.

이후	이후/NNG
스마트폰	스마트폰/NNG
강화유리	강화/NNG+유리/NNG
코팅사업에	코팅/NNG+사업/NNG+에/JKB
주력한	주력/NNG+하/XSV+ㄴ/ETM
쎄코의	쎄코/NNP+의/JKG
매출은	매출/NNG+은/JX
2009년	2009/SN+년/NNB
6억	6/SN+억/NR
원에서	원/NNB+에서/JKB
지난해	지난해/NNG
122억	122/SN+억/NR
원으로	원/NNB+으로/JKB
급성장했다.	급성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.11.3
직원도 4명에서 어느새 45명으로 늘었다.

직원도	직원/NNG+도/JX
4명에서	4/SN+명/NNB+에서/JKB
어느새	어느새/MAG
45명으로	45/SN+명/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.39.12.1
○ 고객 만족 기업

○	○/SW
고객	고객/NNG
만족	만족/NNG
기업	기업/NNG


# id : NWRW1800000033.39.13.1
쎄코의 다음 과제는 고객 만족이다.

쎄코의	쎄코/NNP+의/JKG
다음	다음/NNG
과제는	과제/NNG+는/JX
고객	고객/NNG
만족이다.	만족/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.13.2
2010년 11월 세운 제2 연구개발센터는 이런 노력의 결과물이다.

2010년	2010/SN+년/NNB
11월	11/SN+월/NNB
세운	세우/VV+ㄴ/ETM
제2	제/XPN+2/SN
연구개발센터는	연구/NNG+개발/NNG+센터/NNG+는/JX
이런	이런/MMD
노력의	노력/NNG+의/JKG
결과물이다.	결과물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.13.3
여기에는 약품으로 직접 코팅을 하는 업체에서나 볼 수 있는 제품 세척·코팅기기 등이 설치돼 있다.

여기에는	여기/NP+에/JKB+는/JX
약품으로	약품/NNG+으로/JKB
직접	직접/MAG
코팅을	코팅/NNG+을/JKO
하는	하/VV+는/ETM
업체에서나	업체/NNG+에서/JKB+나/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제품	제품/NNG
세척·코팅기기	세척/NNG+·/SP+코팅/NNG+기기/NNG
등이	등/NNB+이/JKS
설치돼	설치/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.39.14.1
김홍철 대표는 “코팅약품을 만드는 우리에게는 필요 없는 기기일 수도 있지만 고객들에게 더 잘 맞는 제품을 생산하기 위한 것”이라고 말했다.

김홍철	김홍철/NNP
대표는	대표/NNG+는/JX
“코팅약품을	“/SS+코팅/NNG+약품/NNG+을/JKO
만드는	만들/VV+는/ETM
우리에게는	우리/NP+에게/JKB+는/JX
필요	필요/NNG
없는	없/VA+는/ETM
기기일	기기/NNG+이/VCP+ㄹ/ETM
수도	수/NNB+도/JX
있지만	있/VA+지만/EC
고객들에게	고객/NNG+들/XSN+에게/JKB
더	더/MAG
잘	잘/MAG
맞는	맞/VV+는/ETM
제품을	제품/NNG+을/JKO
생산하기	생산/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.14.2
자체 개발한 전자빔 가열식 약품 외에 기존 전기 가열식 약품을 지난해부터 만드는 것도 마찬가지다.

자체	자체/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
전자빔	전자/NNG+빔/NNG
가열식	가열식/NNG
약품	약품/NNG
외에	외/NNB+에/JKB
기존	기존/NNG
전기	전기/NNG
약품을	약품/NNG+을/JKO
지난해부터	지난해/NNG+부터/JX
만드는	만들/VV+는/ETM
것도	것/NNB+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.14.3
그는 “고객들의 요청에 따라 기술을 역행한 셈”이라고 설명했다.

그는	그/NP+는/JX
“고객들의	“/SS+고객/NNG+들/XSN+의/JKG
요청에	요청/NNG+에/JKB
따라	따르/VV+아/EC
기술을	기술/NNG+을/JKO
역행한	역행/NNG+하/XSV+ㄴ/ETM
셈”이라고	셈/NNB+”/SS+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.15.1
홍보에도 더욱 적극적으로 나설 계획이다.

홍보에도	홍보/NNG+에/JKB+도/JX
더욱	더욱/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
나설	나서/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.15.2
2010년부터 일본 나노테크 전시회에 참가한 데 이어 올 6월에는 미국 캘리포니아 주에서 열린 나노전시회 ‘테크커넥트 월드’에도 참가했다.

2010년부터	2010/SN+년/NNB+부터/JX
일본	일본/NNP
나노테크	나노/NNG+테크/NNG
전시회에	전시회/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
올	올/NNG
6월에는	6/SN+월/NNB+에/JKB+는/JX
미국	미국/NNP
캘리포니아	캘리포니아/NNP
주에서	주/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
나노전시회	나노/NNG+전시회/NNG
‘테크커넥트	‘/SS+테크커넥트/NNG
월드’에도	월드/NNG+’/SS+에/JKB+도/JX
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.15.3
쎄코를 업계에 알리는 동시에 혹독한 평가도 받아 보겠다는 계산이다.

쎄코를	쎄코/NNP+를/JKO
업계에	업계/NNG+에/JKB
알리는	알리/VV+는/ETM
동시에	동시/NNG+에/JKB
혹독한	혹독하/VA+ㄴ/ETM
평가도	평가/NNG+도/JX
받아	받/VV+아/EC
보겠다는	보/VX+겠/EP+다는/ETM
계산이다.	계산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.16.1
김홍철 대표는 사업하는 데 가장 어려운 것이 고급인력 충원이라고 했다.

김홍철	김홍철/NNP
대표는	대표/NNG+는/JX
사업하는	사업/NNG+하/XSV+는/ETM
데	데/NNB
가장	가장/MAG
어려운	어렵/VA+ㄴ/ETM
것이	것/NNB+이/JKS
고급인력	고급/NNG+인력/NNG
충원이라고	충원/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.16.2
연구개발을 맡을 석·박사급 고급인력이 절실하지만 생각만큼 쉽지 않다는 것이다.

연구개발을	연구/NNG+개발/NNG+을/JKO
맡을	맡/VV+을/ETM
석·박사급	석·박사급/NNG
고급인력이	고급/NNG+인력/NNG+이/JKS
절실하지만	절실하/VA+지만/EC
생각만큼	생각/NNG+만큼/JKB
쉽지	쉽/VA+지/EC
않다는	않/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.16.3
김 대표는 “아직 회사규모가 크지 않은 데다 접근성이 떨어져 인재들을 많이 놓치고 있다”고 말했다.

김	김/NNP
대표는	대표/NNG+는/JX
“아직	“/SS+아직/MAG
회사규모가	회사/NNG+규모/NNG+가/JKS
크지	크/VA+지/EC
않은	않/VX+은/ETM
데다	데/NNB+다/JX
접근성이	접근/NNG+성/XSN+이/JKS
떨어져	떨어지/VV+어/EC
인재들을	인재/NNG+들/XSN+을/JKO
많이	많이/MAG
놓치고	놓치/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.39.16.4
이를 해결하기 위해 쎄코는 이달 중순 경기도, 중소기업은행 등이 주관하는 채용설명회에 참가해 우수한 인재들에게 회사를 알릴 계획이다.

이를	이/NP+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
쎄코는	쎄코/NNP+는/JX
이달	이달/NNG
중순	중순/NNG
경기도,	경기도/NNP+,/SP
중소기업은행	중소기업/NNG+은행/NNG
등이	등/NNB+이/JKS
주관하는	주관/NNG+하/XSV+는/ETM
채용설명회에	채용/NNG+설명회/NNG+에/JKB
참가해	참가/NNG+하/XSV+아/EC
우수한	우수/NNG+하/XSA+ㄴ/ETM
인재들에게	인재/NNG+들/XSN+에게/JKB
회사를	회사/NNG+를/JKO
알릴	알리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.17.1
쎄코의 다음 목표는 지속적인 성장을 위해 유리 벽면, 자동차 앞유리 등 스마트폰 이후의 이익 창출원을 찾아내는 것이다.

쎄코의	쎄코/NNP+의/JKG
다음	다음/NNG
목표는	목표/NNG+는/JX
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
성장을	성장/NNG+을/JKO
위해	위하/VV+아/EC
유리	유리/NNG
벽면,	벽면/NNG+,/SP
자동차	자동차/NNG
앞유리	앞/NNG+유리/NNG
등	등/NNB
스마트폰	스마트폰/NNG
이후의	이후/NNG+의/JKG
이익	이익/NNG
창출원을	창출원/NNG+을/JKO
찾아내는	찾아내/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.39.17.2
김현중 대표는 “어떤 표면이든 ‘코팅약품 하면 쎄코’라는 등식을 만들어내는 것이 우리의 목표”라고 말했다.

김현중	김현중/NNP
대표는	대표/NNG+는/JX
“어떤	“/SS+어떤/MMD
표면이든	표면/NNG+이/VCP+든/EC
‘코팅약품	‘/SS+코팅/NNG+약품/NNG
하면	하/VV+면/EC
쎄코’라는	쎄코/NNP+’/SS+이/VCP+라는/ETM
등식을	등식/NNG+을/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
것이	것/NNB+이/JKS
우리의	우리/NP+의/JKG
목표”라고	목표/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


