# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.250
metadata : {}


# id : NWRW1800000033.250.1.1
태극마크 제공, 출전수당 보장, 브라질 동행… ‘수비 급구’

태극마크	태극/NNG+마크/NNG
뜻이	뜻/NNG+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.250.5.3
최 감독은 “곽태휘와 이정수가 대표팀 수비의 중심이었지만 내년 월드컵 최종 예선을 넘어 본선까지 보면 젊은 선수가 필요하다”고 말했다.

최	최/NNP
감독은	감독/NNG+은/JX
“곽태휘와	“/SS+곽태휘/NNP+와/JC
이정수가	이정수/NNP+가/JKS
대표팀	대표/NNG+팀/NNG
수비의	수비/NNG+의/JKG
중심이었지만	중심/NNG+이/VCP+었/EP+지만/EC
내년	내년/NNG
월드컵	월드컵/NNG
최종	최종/NNG
예선을	예선/NNG+을/JKO
넘어	넘/VV+어/EC
본선까지	본선/NNG+까지/JX
보면	보/VV+면/EC
젊은	젊/VA+은/ETM
선수가	선수/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.250.5.4
최 감독은 최근 우즈베키스탄(2-2 무승부) 이란(0-1 패)과의 월드컵 예선에서 측면 수비와 중앙 수비가 동시에 집중력을 잃어 승리를 놓쳤다고 보고 있다.

최	최/NNP
감독은	감독/NNG+은/JX
최근	최근/NNG
우즈베키스탄(2-2	우즈베키스탄/NNP+(/SS+2/SN+-/SO+2/SN
무승부)	무/XPN+승부/NNG+)/SS
이란(0-1	이란/NNP+(/SS+0/SN+-/SO+1/SN
패)과의	패/NNG+)/SS+과/JKB+의/JKG
월드컵	월드컵/NNG
예선에서	예선/NNG+에서/JKB
측면	측면/NNG
수비와	수비/NNG+와/JC
중앙	중앙/NNG
수비가	수비/NNG+가/JKS
동시에	동시/NNG+에/JKB
집중력을	집중력/NNG+을/JKO
잃어	잃/VV+어/EC
승리를	승리/NNG+를/JKO
놓쳤다고	놓치/VV+었/EP+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.250.6.1
최 감독은 중앙 수비수 자원으로 김영권(22·광저우 헝다)과 정인환(26·인천), 황석호(23·히로시마 산프레체), 김기희(23·알 사일리아) 등을 발탁했다.

최	최/NNP
감독은	감독/NNG+은/JX
중앙	중앙/NNG
수비수	수비수/NNG
자원으로	자원/NNG+으로/JKB
김영권(22·광저우	김영권/NNP+(/SS+22/SN+·/SP+광저우/NNP
헝다)과	헝다/NNP+)/SS+과/JC
정인환(26·인천),	정인환/NNP+(/SS+26/SN+·/SP+인천/NNP+)/SS+,/SP
황석호(23·히로시마	황석호/NNP+(/SS+23/SN+·/SP+히로시마/NNP
산프레체),	산프레체/NNP+)/SS+,/SP
김기희(23·알	김기희/NNP+(/SS+23/SN+·/SP+알/NNP
사일리아)	사일리아/NNP+)/SS
등을	등/NNB+을/JKO
발탁했다.	발탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.250.6.2
황석호와 김기희는 그동안 한 차례도 A매치를 경험하지 못했다.

황석호와	황석호/NNP+와/JC
김기희는	김기희/NNP+는/JX
그동안	그동안/NNG
한	한/MMN
차례도	차례/NNG+도/JX
A매치를	A/SL+매치/NNG+를/JKO
경험하지	경험/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.250.6.3
정인환도 두 차례밖에 안 된다.

정인환도	정인환/NNP+도/JX
두	두/MMN
차례밖에	차례/NNG+밖에/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.250.6.4
김영권만 A매치에서 일곱 번 뛰었다.

김영권만	김영권/NNP+만/JX
A매치에서	A/SL+매치/NNG+에서/JKB
일곱	일곱/NR
번	번/NNB
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.250.6.5
최 감독으로선 사실상 신예 수비수들을 점검하는 셈이다.

최	최/NNP
감독으로선	감독/NNG+으로서/JKB+ㄴ/JX
사실상	사실/NNG+상/XSN
신예	신예/NNG
수비수들을	수비수/NNG+들/XSN+을/JKO
점검하는	점검/NNG+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.250.7.1
좌우 백도 불안하다.

좌우	좌우/NNG
백도	백/NNG+도/JX
불안하다.	불안/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.250.7.2
아직 최 감독을 만족시킨 좌우 수비수가 없다.

아직	아직/MAG
최	최/NNP
감독을	감독/NNG+을/JKO
만족시킨	만족/NNG+시키/XSV+ㄴ/ETM
좌우	좌우/NNG
수비수가	수비수/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.250.7.3
그동안 중앙 수비수 김영권과 미드필더 김재성(29·상주)까지 좌우 수비수로 테스트받기도 했다.

그동안	그동안/NNG
중앙	중앙/NNG
수비수	수비수/NNG
김영권과	김영권/NNP+과/JC
미드필더	미드필더/NNG
김재성(29·상주)까지	김재성/NNP+(/SS+29/SN+·/SP+상주/NNP+)/SS+까지/JX
좌우	좌우/NNG
수비수로	수비수/NNG+로/JKB
테스트받기도	테스트/NNG+받/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.250.7.4
특히 오른쪽 수비수를 찾는 게 최 감독의 최대 난제다.

특히	특히/MAG
오른쪽	오른쪽/NNG
수비수를	수비수/NNG+를/JKO
찾는	찾/VV+는/ETM
게	거/NNB+이/JKS
최	최/NNP
감독의	감독/NNG+의/JKG
최대	최대/NNG
난제다.	난제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.250.7.5
오범석(28·수원), 최효진(29) 고요한(24·이상 서울) 등을 번갈아 기용했으나 높은 점수를 받지 못했다.

오범석(28·수원),	오범석/NNP+(/SS+28/SN+·/SP+수원/NNP+)/SS+,/SP
최효진(29)	최효진/NNP+(/SS+29/SN+)/SS
고요한(24·이상	고요한/NNP+(/SS+24/SN+·/SP+이상/NNG
서울)	서울/NNP+)/SS
등을	등/NNB+을/JKO
번갈아	번갈/VV+아/EC
기용했으나	기용/NNG+하/XSV+았/EP+으나/EC
높은	높/VA+은/ETM
점수를	점수/NNG+를/JKO
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.250.7.6
왼쪽 백으로는 박원재(28·전북) 윤석영(22·전남)이 최근까지 시험을 받았으나 둘 다 다쳐 빠지게 됐다.

왼쪽	왼쪽/NNG
백으로는	백/NNG+으로/JKB+는/JX
박원재(28·전북)	박원재/NNP+(/SS+28/SN+·/SP+전북/NNP+)/SS
윤석영(22·전남)이	윤석영/NNP+(/SS+22/SN+·/SP+전남/NNP+)/SS+이/JKS
최근까지	최근/NNG+까지/JX
시험을	시험/NNG+을/JKO
받았으나	받/VV+았/EP+으나/EC
둘	둘/NR
다	다/MAG
다쳐	다치/VV+어/EC
빠지게	빠지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.250.7.7
이번엔 왼쪽에 최재수(29·수원), 오른쪽에는 김창수(27·부산)와 신광훈(25·포항)을 불렀다.

이번엔	이번/NNG+에/JKB+ㄴ/JX
왼쪽에	왼쪽/NNG+에/JKB
최재수(29·수원),	최재수/NNP+(/SS+29/SN+·/SP+수원/NNP+)/SS+,/SP
오른쪽에는	오른쪽/NNG+에/JKB+는/JX
김창수(27·부산)와	김창수/NNP+(/SS+27/SN+·/SP+부산/NNP+)/SS+와/JC
신광훈(25·포항)을	신광훈/NNP+(/SS+25/SN+·/SP+포항/NNP+)/SS+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.250.7.8
최 감독은 “호주경기에서 수비수들의 경기력을 평가해 남은 월드컵 최종예선 네 경기에 나설 수비진 조합을 결정하겠다”고 밝혔다.

최	최/NNP
감독은	감독/NNG+은/JX
“호주경기에서	“/SS+호주/NNP+경기/NNG+에서/JKB
수비수들의	수비수/NNG+들/XSN+의/JKG
경기력을	경기력/NNG+을/JKO
평가해	평가/NNG+하/XSV+아/EC
남은	남/VV+은/ETM
월드컵	월드컵/NNG
최종예선	최종/NNG+예선/NNG
네	네/MMN
경기에	경기/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
수비진	수비진/NNG
조합을	조합/NNG+을/JKO
결정하겠다”고	결정/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.250.8.1
한편 최 감독은 13일 기자회견에서 “승패를 떠나 개별 선수의 역량을 봐 달라”고 주문했다.

한편	한편/MAG
최	최/NNP
감독은	감독/NNG+은/JX
13일	13/SN+일/NNB
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“승패를	“/SS+승패/NNG+를/JKO
떠나	떠나/VV+아/EC
개별	개별/NNG
선수의	선수/NNG+의/JKG
역량을	역량/NNG+을/JKO
봐	보/VV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.250.8.2
그는 “그간 대표팀에 소집됐으나 경기를 많이 뛰지 못한 선수, 수비라인에 새로 선발된 선수나 젊은 선수들이 좋은 능력을 보여줄 것”이라고 말했다.

그는	그/NP+는/JX
“그간	“/SS+그/NP+간/XSN
대표팀에	대표/NNG+팀/NNG+에/JKB
소집됐으나	소집/NNG+되/XSV+었/EP+으나/EC
경기를	경기/NNG+를/JKO
많이	많이/MAG
뛰지	뛰/VV+지/EC
못한	못하/VX+ㄴ/ETM
선수,	선수/NNG+,/SP
수비라인에	수비/NNG+라인/NNG+에/JKB
새로	새로/MAG
선발된	선발/NNG+되/XSV+ㄴ/ETM
선수나	선수/NNG+나/JC
젊은	젊/VA+은/ETM
선수들이	선수/NNG+들/XSN+이/JKS
좋은	좋/VA+은/ETM
능력을	능력/NNG+을/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


