# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.289
metadata : {}


# id : NWRW1800000033.289.1.1
[오늘과 내일/정성희]일본, 원전 포기의 이상과 현실

[오늘과	[/SS+오늘/NNG+과/JC
폐로(閉爐)’	폐로/NNG+(/SS+閉爐/SH+)/SS+’/SS
원칙을	원칙/NNG+을/JKO
엄격히	엄격히/MAG
적용하는	적용/NNG+하/XSV+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.289.3.1
‘5일천하’로 끝난 원전제로 비전

‘5일천하’로	‘/SS+5/SN+일/NNB+천하/NNG+’/SS+로/JKB
끝난	끝나/VV+ㄴ/ETM
원전제로	원전/NNG+제로/NNG
비전	비전/NNG


# id : NWRW1800000033.289.4.1
지난해 후쿠시마 사고에서 원자력의 가공할 위험성을 지켜본 일부 국가는 원자력 정책을 수정했다.

지난해	지난해/NNG
후쿠시마	후쿠시마/NNP
사고에서	사고/NNG+에서/JKB
원자력의	원자력/NNG+의/JKG
가공할	가공/NNG+하/XSV+ㄹ/ETM
위험성을	위험/NNG+성/XSN+을/JKO
지켜본	지켜보/VV+ㄴ/ETM
일부	일부/NNG
국가는	국가/NNG+는/JX
원자력	원자력/NNG
정책을	정책/NNG+을/JKO
수정했다.	수정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.289.4.2
먼저 움직인 것은 스위스다.

먼저	먼저/MAG
움직인	움직이/VV+ㄴ/ETM
것은	것/NNB+은/JX
스위스다.	스위스/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000033.289.4.3
지난해 5월 2034년까지 순차적으로 폐로 방침을 발표했고 이어 독일이 원전 완전폐지 법안을 의결했다.

지난해	지난해/NNG
5월	5/SN+월/NNB
2034년까지	2034/SN+년/NNB+까지/JX
순차적으로	순차/NNG+적/XSN+으로/JKB
폐로	폐로/NNG
방침을	방침/NNG+을/JKO
발표했고	발표/NNG+하/XSV+았/EP+고/EC
이어	이어/MAG
독일이	독일/NNP+이/JKS
원전	원전/NNG
완전폐지	완전/NNG+폐지/NNG
법안을	법안/NNG+을/JKO
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.289.4.4
이탈리아는 국민투표로 원전 신설 금지를 통과시켰다.

이탈리아는	이탈리아/NNP+는/JX
국민투표로	국민/NNG+투표/NNG+로/JKB
원전	원전/NNG
신설	신설/NNG
금지를	금지/NNG+를/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.289.4.5
물론 꿈쩍도 않는 나라도 있다.

물론	물론/MAG
꿈쩍도	꿈쩍/MAG+도/JX
않는	않/VV+는/ETM
나라도	나라/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.289.4.6
프랑스에서 좌우파 간 단결이 가장 잘되는 이슈가 바로 원자력이다.

프랑스에서	프랑스/NNP+에서/JKB
좌우파	좌우파/NNG
간	간/NNB
단결이	단결/NNG+이/JKS
가장	가장/MAG
잘되는	잘/MAG+되/XSV+는/ETM
이슈가	이슈/NNG+가/JKS
바로	바로/MAG
원자력이다.	원자력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.289.4.7
미국의 정책에도 변화가 없다.

미국의	미국/NNP+의/JKG
정책에도	정책/NNG+에/JKB+도/JX
변화가	변화/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.289.4.8
그런 상황에서 예상을 뛰어넘는 일본의 탈핵 비전에 세계 원자력업계가 요동친 것은 당연했다.

그런	그런/MMD
상황에서	상황/NNG+에서/JKB
예상을	예상/NNG+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
일본의	일본/NNP+의/JKG
탈핵	탈핵/NNG
비전에	비전/NNG+에/JKB
세계	세계/NNG
원자력업계가	원자력/NNG+업계/NNG+가/JKS
요동친	요동치/VV+ㄴ/ETM
것은	것/NNB+은/JX
당연했다.	당연/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000033.289.5.1
그러나 일본의 원전 제로 비전은 5일을 넘기지 못했다.

그러나	그러나/MAJ
일본의	일본/NNP+의/JKG
원전	원전/NNG
제로	제로/NNG
비전은	비전/NNG+은/JX
5일을	5/SN+일/NNB+을/JKO
넘기지	넘기/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.289.5.2
원전 제로를 천명한 이튿날 에다노 유키오 경제산업상은 후쿠시마 사고 이후 공사가 중단된 오마 원전(아오모리 현)과 시마네 원전3호(시마네 현)의 건설 재개와 가동을 승인하겠다고 밝혀 탈핵(脫核) 비전에 김을 뺐다.

원전	원전/NNG
제로를	제로/NNG+를/JKO
천명한	천명/NNG+하/XSV+ㄴ/ETM
이튿날	이튿날/NNG
에다노	에다노/NNP
유키오	유키오/NNP
경제산업상은	경제/NNG+산업상/NNG+은/JX
후쿠시마	후쿠시마/NNP
사고	사고/NNG
이후	이후/NNG
공사가	공사/NNG+가/JKS
중단된	중단/NNG+되/XSV+ㄴ/ETM
오마	오마/NNP
원전(아오모리	원전/NNG+(/SS+아오모리/NNP
현)과	현/NNG+)/SS+과/JC
시마네	시마네/NNP
원전3호(시마네	원전/NNG+3/SN+호/NNB+(/SS+시마네/NNP
현)의	현/NNG+)/SS+의/JKG
건설	건설/NNG
재개와	재개/NNG+와/JC
가동을	가동/NNG+을/JKO
승인하겠다고	승인/NNG+하/XSV+겠/EP+다고/EC
밝혀	밝히/VV+어/EC
탈핵(脫核)	탈핵/NNG+(/SS+脫核/SH+)/SS
비전에	비전/NNG+에/JKB
김을	김/NNG+을/JKO
뺐다.	빼/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.289.5.3
오마 원전의 공사 진척률은 38%, 시마네 원전은 완공 단계다.

오마	오마/NNP
원전의	원전/NNG+의/JKG
공사	공사/NNG
진척률은	진척/NNG+률/XSN+은/JX
38%,	38/SN+%/SW+,/SP
시마네	시마네/NNP
원전은	원전/NNG+은/JX
완공	완공/NNG
단계다.	단계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.289.5.4
이런 상반된 행보는 탈핵에 대한 일본의 이상과 현실의 괴리가 심각함을 보여준다.

이런	이런/MMD
상반된	상반/NNG+되/XSV+ㄴ/ETM
행보는	행보/NNG+는/JX
탈핵에	탈핵/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
일본의	일본/NNP+의/JKG
이상과	이상/NNG+과/JC
현실의	현실/NNG+의/JKG
괴리가	괴리/NNG+가/JKS
심각함을	심각하/VA+ㅁ/ETN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.289.6.1
54기 가운데 지금처럼 2기만 가동할 경우 2013년도 전력 생산을 위한 화석연료 비용은 6조8000억 엔이 소요될 것으로 예측된다.

54기	54/SN+기/NNB
가운데	가운데/NNG
지금처럼	지금/NNG+처럼/JKB
2기만	2/SN+기/NNB+만/JX
가동할	가동/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
2013년도	2013/SN+년도/NNB
전력	전력/NNG
생산을	생산/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
화석연료	화석/NNG+연료/NNG
비용은	비용/NNG+은/JX
6조8000억	6/SN+조/NR+8000/SN+억/NR
엔이	엔/NNB+이/JKS
소요될	소요/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측된다.	예측/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.289.6.2
일본의 국내총생산(GDP)이 500조 엔이다.

일본의	일본/NNP+의/JKG
국내총생산(GDP)이	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+이/JKS
500조	500/SN+조/NR
엔이다.	엔/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.289.6.3
전력요금 상승에 따른 가계부담 증가와 산업경쟁력 위축은 그렇지 않아도 침체의 늪에 빠진 일본 경제를 회복 불능으로 만들 수 있다는 경고가 잇따랐다.

전력요금	전력/NNG+요금/NNG
상승에	상승/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
가계부담	가계/NNG+부담/NNG
증가와	증가/NNG+와/JC
산업경쟁력	산업/NNG+경쟁력/NNG
위축은	위축/NNG+은/JX
그렇지	그렇/VA+지/EC
않아도	않/VX+아도/EC
침체의	침체/NNG+의/JKG
늪에	늪/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
일본	일본/NNP
경제를	경제/NNG+를/JKO
회복	회복/NNG
불능으로	불능/NNG+으로/JKB
만들	만들/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
경고가	경고/NNG+가/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.289.6.4
시나리오에 따르면 원전 제로 달성 시 일본 GDP는 7% 감소가 예상된다.

시나리오에	시나리오/NNG+에/JKB
따르면	따르/VV+면/EC
원전	원전/NNG
제로	제로/NNG
달성	달성/NNG
시	시/NNB
일본	일본/NNP
GDP는	GDP/SL+는/JX
7%	7/SN+%/SW
감소가	감소/NNG+가/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.289.6.5
원전을 15%로 유지해도 현재(2010년) kWh당 17엔인 전력요금은 32∼34엔으로 배가량 오르고 원전 제로를 달성할 경우 이는 2배 이상 폭등하리란 전망이 나온다.

원전을	원전/NNG+을/JKO
15%로	15/SN+%/SW+로/JKB
유지해도	유지/NNG+하/XSV+아도/EC
현재(2010년)	현재/MAG+(/SS+2010/SN+년/NNB+)/SS
kWh당	kWh/SW+당/XSN
17엔인	17/SN+엔/NNB+이/VCP+ㄴ/ETM
전력요금은	전력/NNG+요금/NNG+은/JX
32∼34엔으로	32/SN+∼/SO+34/SN+엔/NNB+으로/JKB
배가량	배/NNG+가량/XSN
오르고	오르/VV+고/EC
원전	원전/NNG
제로를	제로/NNG+를/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
이는	이/NP+는/JX
2배	2/SN+배/NNG
이상	이상/NNG
폭등하리란	폭등/NNG+하/XSV+리란/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.289.6.6
지금도 비싼 전력요금 때문에 일본산업의 해외 탈출이 잇따르는 상황에서 “공장을 돌리지 말라는 말이냐”는 재계의 비명이 엄살은 아니다.

지금도	지금/NNG+도/JX
비싼	비싸/VA+ㄴ/ETM
전력요금	전력/NNG+요금/NNG
때문에	때문/NNB+에/JKB
일본산업의	일본/NNP+산업/NNG+의/JKG
해외	해외/NNG
탈출이	탈출/NNG+이/JKS
잇따르는	잇따르/VV+는/ETM
상황에서	상황/NNG+에서/JKB
“공장을	“/SS+공장/NNG+을/JKO
돌리지	돌리/VV+지/EC
말라는	말/VX+라는/ETM
말이냐”는	말/NNG+이/VCP+냐/EF+”/SS+는/ETM
재계의	재계/NNG+의/JKG
비명이	비명/NNG+이/JKS
엄살은	엄살/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.289.7.1
일본의 또 다른 고민은 원자력을 줄이면 화석연료 의존도가 증가한다는 점이다.

일본의	일본/NNP+의/JKG
또	또/MAG
다른	다른/MMD
고민은	고민/NNG+은/JX
원자력을	원자력/NNG+을/JKO
줄이면	줄이/VV+면/EC
화석연료	화석/NNG+연료/NNG
의존도가	의존도/NNG+가/JKS
증가한다는	증가/NNG+하/XSV+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.289.7.2
일본은 온실가스 의무감축 국가로 2012년 말까지 온실가스를 1990년 대비 6% 감축해야 한다.

일본은	일본/NNP+은/JX
온실가스	온실가스/NNG
의무감축	의무/NNG+감축/NNG
국가로	국가/NNG+로/JKB
2012년	2012/SN+년/NNB
말까지	말/NNB+까지/JX
온실가스를	온실가스/NNG+를/JKO
1990년	1990/SN+년/NNB
대비	대비/NNG
6%	6/SN+%/SW
감축해야	감축/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.289.7.3
온실가스 배출을 줄이려면 석탄 석유보다는 액화천연가스(LNG) 비중을 늘려야 하는데 일본이 수입량을 늘릴 경우 전 세계 LNG 가격이 상승해 세계 경제까지 타격을 입는다.

온실가스	온실가스/NNG
배출을	배출/NNG+을/JKO
줄이려면	줄이/VV+려면/EC
석탄	석탄/NNG
석유보다는	석유/NNG+보다/JKB+는/JX
액화천연가스(LNG)	액화/NNG+천연가스/NNG+(/SS+LNG/SL+)/SS
비중을	비중/NNG+을/JKO
늘려야	늘리/VV+어야/EC
하는데	하/VX+는데/EC
일본이	일본/NNP+이/JKS
수입량을	수입량/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
경우	경우/NNG
전	전/MMN
세계	세계/NNG
LNG	LNG/SL
가격이	가격/NNG+이/JKS
상승해	상승/NNG+하/XSV+아/EC
경제까지	경제/NNG+까지/JX
타격을	타격/NNG+을/JKO
입는다.	입/VV+는다/EF+./SF


# id : NWRW1800000033.289.7.4
여기에다 원전산업의 위축을 우려한 미국과 프랑스의 반발까지 겹쳐 민주당 정부는 백기를 들었다.

여기에다	여기/NP+에다/JKB
원전산업의	원전/NNG+산업/NNG+의/JKG
위축을	위축/NNG+을/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
미국과	미국/NNP+과/JC
프랑스의	프랑스/NNP+의/JKG
반발까지	반발/NNG+까지/JX
겹쳐	겹치/VV+어/EC
민주당	민주당/NNP
정부는	정부/NNG+는/JX
백기를	백기/NNG+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.289.8.1
전력요금 뛰고 산업경쟁력 약화

전력요금	전력/NNG+요금/NNG
뛰고	뛰/VV+고/EC
산업경쟁력	산업/NNG+경쟁력/NNG
약화	약화/NNG


# id : NWRW1800000033.289.9.1
최근 방한한 일본에너지경제연구소 무라카미 도모코 연구원은 “일본에 어떤 정부가 들어서건 15∼25%의 원자력을 유지할 것”이라고 전망했다.

최근	최근/NNG
방한한	방한/NNG+하/XSV+ㄴ/ETM
일본에너지경제연구소	일본에너지경제연구소/NNP
무라카미	무라카미/NNP
도모코	도모코/NNP
연구원은	연구원/NNG+은/JX
“일본에	“/SS+일본/NNP+에/JKB
어떤	어떤/MMD
정부가	정부/NNG+가/JKS
들어서건	들어서/VV+건/EC
15∼25%의	15/SN+∼/SO+25/SN+%/SW+의/JKG
원자력을	원자력/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.289.9.2
그 말대로 세계 유일의 원폭 피해 국가로 방사능이라면 몸서리를 치는 일본이 초유의 원전사고를 겪고도 원자력을 버리지 못했다.

그	그/MMD
말대로	말/NNG+대로/JX
세계	세계/NNG
유일의	유일/NNG+의/JKG
원폭	원폭/NNG
피해	피해/NNG
국가로	국가/NNG+로/JKB
방사능이라면	방사능/NNG+이/VCP+라면/EC
몸서리를	몸서리/NNG+를/JKO
치는	치/VV+는/ETM
일본이	일본/NNP+이/JKS
초유의	초유/NNG+의/JKG
원전사고를	원전/NNG+사고/NNG+를/JKO
겪고도	겪/VV+고/EC+도/JX
원자력을	원자력/NNG+을/JKO
버리지	버리/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.289.9.3
탈핵이 단순한 에너지 전환 문제가 아니라 국가 경제, 국가 생존과 직결되기 때문이다.

탈핵이	탈핵/NNG+이/JKS
단순한	단순/NNG+하/XSA+ㄴ/ETM
에너지	에너지/NNG
전환	전환/NNG
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
국가	국가/NNG
경제,	경제/NNG+,/SP
생존과	생존/NNG+과/JKB
직결되기	직결/NNG+되/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.289.10.1
지난해 반(反)원전 분위기가 최고조에 이르렀을 때 미콜라 아자로프 우크라이나 총리는 “오로지 부유한 나라만이 탈원자력 논의가 가능하다”고 말했다.

지난해	지난해/NNG
반(反)원전	반/XPN+(/SS+反/SH+)/SS+원전/NNG
분위기가	분위기/NNG+가/JKS
최고조에	최/XPN+고조/NNG+에/JKB
이르렀을	이르/VV+었/EP+을/ETM
때	때/NNG
미콜라	미콜라/NNP
아자로프	아자로프/NNP
우크라이나	우크라이나/NNP
총리는	총리/NNG+는/JX
“오로지	“/SS+오로지/MAG
부유한	부유/NNG+하/XSA+ㄴ/ETM
나라만이	나라/NNG+만/JX+이/JKS
탈원자력	탈/XPN+원자력/NNG
논의가	논의/NNG+가/JKS
가능하다”고	가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.289.10.2
후쿠시마 사고 이후 국내에서도 높아지고 있는 반원전 움직임에 ‘5일천하’로 끝난 일본의 원전 제로 정책이 시사하는 바는 크다.

후쿠시마	후쿠시마/NNP
사고	사고/NNG
이후	이후/NNG
국내에서도	국내/NNG+에서/JKB+도/JX
높아지고	높아지/VV+고/EC
있는	있/VX+는/ETM
반원전	반/XPN+원전/NNG
움직임에	움직임/NNG+에/JKB
‘5일천하’로	‘/SS+5/SN+일/NNB+천하/NNG+’/SS+로/JKB
끝난	끝나/VV+ㄴ/ETM
일본의	일본/NNP+의/JKG
원전	원전/NNG
제로	제로/NNG
정책이	정책/NNG+이/JKS
시사하는	시사/NNG+하/XSV+는/ETM
바는	바/NNB+는/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000033.289.10.3
우리나라가 어떤 선택을 하게 되느냐도 경제에 달렸다.

우리나라가	우리나라/NNG+가/JKS
어떤	어떤/MMD
선택을	선택/NNG+을/JKO
하게	하/VV+게/EC
되느냐도	되/VV+느냐/EF+도/JX
경제에	경제/NNG+에/JKB
달렸다.	달리/VV+었/EP+다/EF+./SF


