# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.345
metadata : {}


# id : NWRW1800000056.345.1.1
“문형표가 장관인지 안종범이 장관인지”

“문형표가	“/SS+문형표/NNP+가/JKS
장관직에서	장관직/NNG+에서/JKB
물러난	물러나/VV+ㄴ/ETM
지	지/NNB
불과	불과/MAG
4개월	4/SN+개월/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
12월	12/SN+월/NNB
국민연금공단	국민연금공단/NNP
이사장으로	이사장/NNG+으로/JKB
화려하게	화려하/VA+게/EC
복귀했다.	복귀/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.6.6
특검팀은 문 전 장관이 삼성물산 합병 과정에 힘쓴 ‘포상’으로 이사장직을 얻었는지 주목하고 있다.

특검팀은	특검/NNG+팀/NNG+은/JX
문	문/NNP
전	전/MMD
장관이	장관/NNG+이/JKS
삼성물산	삼성물산/NNP
합병	합병/NNG
과정에	과정/NNG+에/JKB
힘쓴	힘쓰/VV+ㄴ/ETM
‘포상’으로	‘/SS+포상/NNG+’/SS+으로/JKB
이사장직을	이사장/NNG+직/NNG+을/JKO
얻었는지	얻/VV+었/EP+는지/EF
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.345.6.7
이 전 실장은 “복지부 산하기관인 공단 이사장이 장관보다 좋은 자리라고 표현하는 걸 보고, 내가 모신 장관이 산하기관장보다 못한 자리였나 싶어 자괴감을 느꼈다”고 했다.

이	이/NNP
전	전/MMD
실장은	실장/NNG+은/JX
“복지부	“/SS+복지부/NNG
산하기관인	산하/NNG+기관/NNG+이/VCP+ㄴ/ETM
공단	공단/NNG
이사장이	이사장/NNG+이/JKS
장관보다	장관/NNG+보다/JKB
좋은	좋/VA+은/ETM
자리라고	자리/NNG+이/VCP+라고/EC
표현하는	표현/NNG+하/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
보고,	보/VV+고/EC+,/SP
내가	내/NP+가/JKS
모신	모시/VV+ㄴ/ETM
장관이	장관/NNG+이/JKS
산하기관장보다	산하/NNG+기관장/NNG+보다/JKB
못한	못/MAG+하/XSA+ㄴ/ETM
자리였나	자리/NNG+이/VCP+었/EP+나/EF
싶어	싶/VX+어/EC
자괴감을	자괴감/NNG+을/JKO
느꼈다”고	느끼/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.7.1
이날 재판엔 조남권 전 복지부 연금정책국장이 나와 문 전 장관이 국민연금공단의 삼성물산 합병 찬성을 직접 지시했다고 증언했다.

이날	이날/NNG
재판엔	재판/NNG+에/JKB+ㄴ/JX
조남권	조남권/NNP
전	전/MMD
복지부	복지부/NNG
연금정책국장이	연금/NNG+정책국장/NNG+이/JKS
나와	나오/VV+아/EC
문	문/NNP
장관이	장관/NNG+이/JKS
국민연금공단의	국민연금공단/NNP+의/JKG
삼성물산	삼성물산/NNP
합병	합병/NNG
찬성을	찬성/NNG+을/JKO
직접	직접/MAG
지시했다고	지시/NNG+하/XSV+았/EP+다고/EC
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.7.2
그는 “2015년 6월 문 전 장관이 ‘삼성 합병 건은 성사되는 게 좋겠다’고 했다”고 증언했다.

그는	그/NP+는/JX
“2015년	“/SS+2015/SN+년/NNB
6월	6/SN+월/NNB
문	문/NNP
전	전/MMD
장관이	장관/NNG+이/JKS
‘삼성	‘/SS+삼성/NNP
합병	합병/NNG
건은	건/NNG+은/JX
성사되는	성사/NNG+되/XSV+는/ETM
게	거/NNB+이/JKS
좋겠다’고	좋/VA+겠/EP+다/EF+’/SS+고/JKQ
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.7.3
조 전 국장은 이후 홍완선 당시 공단 기금운용본부장을 찾아 “삼성 합병 건을 (합병 찬성을 설득하기 어려운 전문위원회가 아닌) 투자위원회에서 결정하라”고 주문했다.

조	조/NNP
전	전/MMD
국장은	국장/NNG+은/JX
이후	이후/NNG
홍완선	홍완선/NNP
당시	당시/NNG
공단	공단/NNG
기금운용본부장을	기금/NNG+운용/NNG+본부장/NNG+을/JKO
찾아	찾/VV+아/EC
“삼성	“/SS+삼성/NNP
합병	합병/NNG
건을	건/NNG+을/JKO
(합병	(/SS+합병/NNG
찬성을	찬성/NNG+을/JKO
설득하기	설득/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
전문위원회가	전문/NNG+위원회/NNG+가/JKC
아닌)	아니/VCN+ㄴ/ETM+)/SS
투자위원회에서	투자/NNG+위원회/NNG+에서/JKB
결정하라”고	결정/NNG+하/XSV+라/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.7.4
그는 또 “문 전 장관이 삼성 합병 건이 전문위원회에 부의되더라도 찬성 의결될 수 있도록 대응방안을 마련하라고 지시해 위원 성향을 중간중간에 보고했다.

그는	그/NP+는/JX
또	또/MAG
“문	“/SS+문/NNP
전	전/MMD
장관이	장관/NNG+이/JKS
삼성	삼성/NNP
합병	합병/NNG
건이	건/NNG+이/JKS
전문위원회에	전문/NNG+위원회/NNG+에/JKB
부의되더라도	부의/NNG+되/XSV+더라도/EC
찬성	찬성/NNG
의결될	의결/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
대응방안을	대응/NNG+방안/NNG+을/JKO
마련하라고	마련/NNG+하/XSV+라고/EC
지시해	지시/NNG+하/XSV+아/EC
위원	위원/NNG
성향을	성향/NNG+을/JKO
중간중간에	중간중간/NNG+에/JKB
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.7.5
찬성 여부가 불투명한 위원에 대해선 문 전 장관이 ‘내가 아는 사람이다.

찬성	찬성/NNG
여부가	여부/NNG+가/JKS
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
위원에	위원/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
문	문/NNP
전	전/MMD
장관이	장관/NNG+이/JKS
‘내가	‘/SS+내/NP+가/JKS
아는	알/VV+는/ETM
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.345.7.6
직접 확인해보겠다’고 말한 걸로 기억한다”고도 했다.

직접	직접/MAG
확인해보겠다’고	확인/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+’/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
기억한다”고도	기억/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.345.7.7
하지만 문 전 장관 쪽은 ‘복지부 공무원들이 청와대에 잘 보이기 위해 합병 건을 찬성했던 것’이라는 취지로 혐의를 줄곧 부인하고 있다.

하지만	하지만/MAJ
문	문/NNP
전	전/MMD
장관	장관/NNG
쪽은	쪽/NNB+은/JX
‘복지부	‘/SS+복지부/NNG
공무원들이	공무원/NNG+들/XSN+이/JKS
청와대에	청와대/NNP+에/JKB
잘	잘/MAG
보이기	보이/VV+기/ETN
위해	위하/VV+아/EC
합병	합병/NNG
건을	건/NNG+을/JKO
찬성했던	찬성/NNG+하/XSV+았/EP+던/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
취지로	취지/NNG+로/JKB
혐의를	혐의/NNG+를/JKO
줄곧	줄곧/MAG
부인하고	부인/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


