# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.83
metadata : {}


# id : NWRW1800000044.83.1.1
끝내 타협 택한 공명당…‘집단적 자위권’ 통과 임박

끝내	끝내/MAG
문제를	문제/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
양당	양당/NNG
간의	간/NNB+의/JKG
공식	공식/NNG
합의가	합의/NNG+가/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.83.6.3
이렇게 되면 아베 총리는 다음달 1일 또는 4일께 집단적 자위권 행사를 위한 ‘각의 결정’을 단행할 수 있게 된다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
아베	아베/NNP
총리는	총리/NNG+는/JX
다음달	다음/NNG+달/NNG
1일	1/SN+일/NNB
또는	또는/MAG
4일께	4/SN+일/NNB+께/XSN
집단적	집단/NNG+적/XSN
자위권	자위/NNG+권/XSN
행사를	행사/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘각의	‘/SS+각의/NNG
결정’을	결정/NNG+’/SS+을/JKO
단행할	단행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.83.7.1
자민당이 제시한 수정안은 지난 13일 제시했던 원안에서 무력행사를 위한 조건을 좀더 엄격하게 바꾼 것이다.

자민당이	자민당/NNP+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
수정안은	수정안/NNG+은/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
제시했던	제시/NNG+하/XSV+았/EP+던/ETM
원안에서	원안/NNG+에서/JKB
무력행사를	무력행사/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
조건을	조건/NNG+을/JKO
좀더	좀/MAG+더/MAG
엄격하게	엄격/NNG+하/XSA+게/EC
바꾼	바꾸/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.83.7.2
원안에는 자위대가 무력을 사용할 수 있는 상황을 “일본 또는 타국”에 대한 무력 공격이 발생해 국민의 생명과 자유 등의 권리가 “근본부터 흔들릴 우려가 있을 때”로 표현했지만, 24일 수정안에는 “일본 또는 일본과 ‘밀접한 관계’에 있는 타국”이 공격을 받아 국민의 권리가 “근본부터 흔들릴 ‘명확한 위험’”이 있을 때로 조건이 강화됐다.

원안에는	원안/NNG+에/JKB+는/JX
자위대가	자위대/NNG+가/JKS
무력을	무력/NNG+을/JKO
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황을	상황/NNG+을/JKO
“일본	“/SS+일본/NNP
또는	또는/MAG
타국”에	타국/NNG+”/SS+에/JKB
대한	대하/VV+ㄴ/ETM
무력	무력/NNG
공격이	공격/NNG+이/JKS
발생해	발생/NNG+하/XSV+아/EC
국민의	국민/NNG+의/JKG
생명과	생명/NNG+과/JC
자유	자유/NNG
등의	등/NNB+의/JKG
권리가	권리/NNG+가/JKS
“근본부터	“/SS+근본/NNG+부터/JX
흔들릴	흔들리/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있을	있/VA+을/ETM
때”로	때/NNG+”/SS+로/JKB
표현했지만,	표현/NNG+하/XSV+았/EP+지만/EC+,/SP
24일	24/SN+일/NNB
수정안에는	수정안/NNG+에/JKB+는/JX
일본과	일본/NNP+과/JKB
‘밀접한	‘/SS+밀접/NNG+하/XSA+ㄴ/ETM
관계’에	관계/NNG+’/SS+에/JKB
타국”이	타국/NNG+”/SS+이/JKS
공격을	공격/NNG+을/JKO
받아	받/VV+아/EC
‘명확한	‘/SS+명확하/VA+ㄴ/ETM
위험’”이	위험/NNG+’/SS+”/SS+이/JKS
때로	때/NNG+로/JKB
조건이	조건/NNG+이/JKS
강화됐다.	강화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.83.8.1
그러나 일본 언론들은 우려의 시선을 거두지 않고 있다.

그러나	그러나/MAJ
일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
우려의	우려/NNG+의/JKG
시선을	시선/NNG+을/JKO
거두지	거두/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.83.8.2
<마이니치신문>은 “무력행사의 범위가 제약 없이 확산될 우려가 커지고 있다”고 짚었고, <아사히신문>은 두 당이 “헌법 9조 아래서 전수방위에 철저해 온 일본의 안보정책을 대전환하고 있다”고 지적했다.

<마이니치신문>은	</SS+마이니치신문/NNP+>/SS+은/JX
“무력행사의	“/SS+무력행사/NNG+의/JKG
범위가	범위/NNG+가/JKS
제약	제약/NNG
없이	없이/MAG
확산될	확산/NNG+되/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
커지고	커지/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
짚었고,	짚/VV+었/EP+고/EC+,/SP
<아사히신문>은	</SS+아사히신문/NNP+>/SS+은/JX
두	두/MMN
당이	당/NNG+이/JKS
“헌법	“/SS+헌법/NNG
9조	9/SN+조/NNB
아래서	아래/NNG+서/JKB
전수방위에	전수/NNG+방위/NNG+에/JKB
철저해	철저/NNG+하/XSA+아/EC
온	오/VX+ㄴ/ETM
일본의	일본/NNP+의/JKG
안보정책을	안보/NNG+정책/NNG+을/JKO
대전환하고	대/XPN+전환/NNG+하/XSV+고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.83.8.3
수정안이 원안에 견줘 무력 행사 조건이 다소 강화된 것은 사실이지만, 표현이 애매해 정권의 뜻에 따라 얼마든지 확대 해석이 가능하기 때문이다.

수정안이	수정안/NNG+이/JKS
원안에	원안/NNG+에/JKB
견줘	견주/VV+어/EC
무력	무력/NNG
행사	행사/NNG
조건이	조건/NNG+이/JKS
다소	다소/MAG
강화된	강화/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
사실이지만,	사실/NNG+이/VCP+지만/EC+,/SP
표현이	표현/NNG+이/JKS
애매해	애매/NNG+하/XSA+아/EC
정권의	정권/NNG+의/JKG
뜻에	뜻/NNG+에/JKB
따라	따르/VV+아/EC
얼마든지	얼마/NNG+든지/JX
확대	확대/NNG
해석이	해석/NNG+이/JKS
가능하기	가능/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.83.9.1
일본 언론의 예상대로 7월 초 집단적 자위권 행사에 대한 각의 결정이 이뤄지면 올 가을 열리는 임시국회에서 자위대법이나 주변사태법 등 관련법 개정이 이뤄지고 이런 내용이 올해 말까지 개정되는 미-일 방위협력지침에 반영된다.

일본	일본/NNP
언론의	언론/NNG+의/JKG
예상대로	예상/NNG+대로/JX
7월	7/SN+월/NNB
초	초/NNB
집단적	집단/NNG+적/XSN
자위권	자위/NNG+권/XSN
행사에	행사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
각의	각의/NNG
결정이	결정/NNG+이/JKS
이뤄지면	이뤄지/VV+면/EC
올	올/NNG
가을	가을/NNG
열리는	열리/VV+는/ETM
임시국회에서	임시/NNG+국회/NNG+에서/JKB
자위대법이나	자위대법/NNG+이나/JC
주변사태법	주변/NNG+사태/NNG+법/NNG
등	등/NNB
관련법	관련/NNG+법/NNG
개정이	개정/NNG+이/JKS
이뤄지고	이뤄지/VV+고/EC
이런	이런/MMD
내용이	내용/NNG+이/JKS
올해	올해/NNG
말까지	말/NNB+까지/JX
개정되는	개정/NNG+되/XSV+는/ETM
미-일	미/NNP+-/SO+일/NNP
방위협력지침에	방위/NNG+협력/NNG+지침/NNG+에/JKB
반영된다.	반영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.83.9.2
집단적 자위권 행사를 막아 온 마지막 안전판이었던 공명당이 결국 타협을 택하면서, 아베 정권의 폭주를 견제할 세력은 사실상 사라지게 됐다.

집단적	집단/NNG+적/XSN
자위권	자위/NNG+권/XSN
행사를	행사/NNG+를/JKO
막아	막/VV+아/EC
온	오/VX+ㄴ/ETM
마지막	마지막/NNG
안전판이었던	안전판/NNG+이/VCP+었/EP+던/ETM
공명당이	공명당/NNP+이/JKS
결국	결국/NNG
타협을	타협/NNG+을/JKO
택하면서,	택하/VV+면서/EC+,/SP
아베	아베/NNP
정권의	정권/NNG+의/JKG
폭주를	폭주/NNG+를/JKO
견제할	견제/NNG+하/XSV+ㄹ/ETM
세력은	세력/NNG+은/JX
사실상	사실/NNG+상/XSN
사라지게	사라지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.83.9.3
일본이 전후 69년 만에 ‘전쟁할 수 있는 국가’로 거듭나게 된 것이다.

일본이	일본/NNP+이/JKS
전후	전후/NNG
69년	69/SN+년/NNB
만에	만/NNB+에/JKB
‘전쟁할	‘/SS+전쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
국가’로	국가/NNG+’/SS+로/JKB
거듭나게	거듭나/VV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


