# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.321
metadata : {}


# id : NWRW1800000028.321.1.1
민주, 15년만에 ‘중도개혁’ 삭제

민주,	민주/NNP+,/SP
# id : NWRW1800000028.321.4.3
새정치국민회의는 1995년 창당선언문에서 ‘중산층과 서민의 이익을 대변하고 복리를 증진하는 중도정당’으로 정체성을 표현했다.

새정치국민회의는	새정치국민회의/NNP+는/JX
1995년	1995/SN+년/NNB
창당선언문에서	창당/NNG+선언문/NNG+에서/JKB
‘중산층과	‘/SS+중산/NNG+층/XSN+과/JC
서민의	서민/NNG+의/JKG
이익을	이익/NNG+을/JKO
대변하고	대변/NNG+하/XSV+고/EC
복리를	복리/NNG+를/JKO
증진하는	증진/NNG+하/XSV+는/ETM
중도정당’으로	중도/NNG+정당/NNG+’/SS+으로/JKB
정체성을	정체/NNG+성/XSN+을/JKO
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.321.5.1
지난해 5월 발표된 ‘뉴민주당 플랜’부터 변화가 생겼다.

지난해	지난해/NNG
5월	5/SN+월/NNB
발표된	발표/NNG+되/XSV+ㄴ/ETM
‘뉴민주당	‘/SS+뉴/NNG+민주당/NNP
플랜’부터	플랜/NNG+’/SS+부터/JX
변화가	변화/NNG+가/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.321.5.2
당시 민주당 민주정책연구원은 “중도개혁은 민주당의 오랜 가치이자 목표였다”며 “이제 진보적 가치를 바탕으로 시대정신을 투영한 새로운 해법을 제시해야 한다”고 지적했다.

당시	당시/NNG
민주당	민주당/NNP
민주정책연구원은	민주/NNG+정책/NNG+연구원/NNG+은/JX
“중도개혁은	“/SS+중도/NNG+개혁/NNG+은/JX
민주당의	민주당/NNP+의/JKG
오랜	오랜/MMA
가치이자	가치/NNG+이/VCP+자/EC
목표였다”며	목표/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
진보적	진보/NNG+적/XSN
가치를	가치/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
시대정신을	시대정신/NNG+을/JKO
투영한	투영/NNG+하/XSV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
해법을	해법/NNG+을/JKO
제시해야	제시/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.321.5.3
뉴민주당플랜에 남아 있는 ‘중도개혁 꼬리표’마저 떼내겠다는 게 이번 강령·정책 개정의 취지다.

뉴민주당플랜에	뉴/NNG+민주당/NNP+플랜/NNG+에/JKB
남아	남/VV+아/EC
있는	있/VX+는/ETM
‘중도개혁	‘/SS+중도/NNG+개혁/NNG
꼬리표’마저	꼬리표/NNG+’/SS+마저/JX
떼내겠다는	떼/VV+어/EC+내/VX+겠/EP+다는/ETM
게	거/NNB+이/JKS
이번	이번/NNG
강령·정책	강령/NNG+·/SP+정책/NNG
개정의	개정/NNG+의/JKG
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.321.6.1
새 강령·정책 초안에는 △조세의 적극적 역할 강조 △무상교육 확대 △실질적 무상의료 현실화 등 복지분야 정책을 강화했다.

새	새/MMA
강령·정책	강령/NNG+·/SP+정책/NNG
초안에는	초안/NNG+에/JKB+는/JX
△조세의	△/SW+조세/NNG+의/JKG
적극적	적극/NNG+적/XSN
역할	역할/NNG
강조	강조/NNG
△무상교육	△/SW+무상/NNG+교육/NNG
확대	확대/NNG
△실질적	△/SW+실질/NNG+적/XSN
무상의료	무상/NNG+의료/NNG
현실화	현실/NNG+화/XSN
등	등/NNB
복지분야	복지/NNG+분야/NNG
정책을	정책/NNG+을/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.321.6.2
‘구조와 개념도’, ‘100대 기본 정책’을 대폭 삭제해 ‘전문’과 ‘31개 강령’으로 정비했다.

‘구조와	‘/SS+구조/NNG+와/JC
개념도’,	개념도/NNG+’/SS+,/SP
‘100대	‘/SS+100/SN+대/NNG
기본	기본/NNG
정책’을	정책/NNG+’/SS+을/JKO
대폭	대폭/MAG
삭제해	삭제/NNG+하/XSV+아/EC
‘전문’과	‘/SS+전문/NNG+’/SS+과/JC
‘31개	‘/SS+31/SN+개/NNB
강령’으로	강령/NNG+’/SS+으로/JKB
정비했다.	정비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.321.7.1
문 의원은 “무상급식 공약이 유권자들에게 인상적으로 받아들여진 점 등 올 6·2 지방선거에 드러난 민심을 반영했다”고 설명했다.

문	문/NNP
의원은	의원/NNG+은/JX
“무상급식	“/SS+무상/NNG+급식/NNG
공약이	공약/NNG+이/JKS
유권자들에게	유권자/NNG+들/XSN+에게/JKB
인상적으로	인상/NNG+적/XSN+으로/JKB
받아들여진	받아들이/VV+어/EC+지/VX+ㄴ/ETM
점	점/NNG
등	등/NNB
올	올/NNG
6·2	6/SN+·/SP+2/SN
지방선거에	지방/NNG+선거/NNG+에/JKB
드러난	드러나/VV+ㄴ/ETM
민심을	민심/NNG+을/JKO
반영했다”고	반영/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.321.7.2
문 의원은 “다만 강령·정책에 ‘진보’라는 단어를 명시할 경우 당의 발목을 잡을 수 있어 ‘중산층과 서민을 위한 정당’으로 표현하기로 했다”고 덧붙였다.

문	문/NNP
의원은	의원/NNG+은/JX
“다만	“/SS+다만/MAG
강령·정책에	강령/NNG+·/SP+정책/NNG+에/JKB
‘진보’라는	‘/SS+진보/NNG+’/SS+이/VCP+라는/ETM
단어를	단어/NNG+를/JKO
명시할	명시/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
당의	당/NNG+의/JKG
발목을	발목/NNG+을/JKO
잡을	잡/VV+을/ETM
수	수/NNB
있어	있/VA+어/EC
‘중산층과	‘/SS+중산/NNG+층/XSN+과/JC
서민을	서민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정당’으로	정당/NNG+’/SS+으로/JKB
표현하기로	표현/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.321.7.3
‘진보’를 명기하면 복지재원 마련을 위한 증세 도입을 시도하는 것 아니냐는 역공을 받을 수 있다는 의견이 작용한 것으로 알려졌다.

‘진보’를	‘/SS+진보/NNG+’/SS+를/JKO
명기하면	명기/NNG+하/XSV+면/EC
복지재원	복지/NNG+재원/NNG
마련을	마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
증세	증세/NNG
도입을	도입/NNG+을/JKO
시도하는	시도/NNG+하/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
역공을	역공/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
의견이	의견/NNG+이/JKS
작용한	작용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.321.8.1
강령 초안은 오는 16일 전당대회준비위원회 전체회의에서 심의·의결한 뒤 비상대책위 보고를 거쳐, 10월3일 전당대회에서 의결되면 정식 강령으로 채택된다.

강령	강령/NNG
초안은	초안/NNG+은/JX
오는	오/VV+는/ETM
16일	16/SN+일/NNB
전당대회준비위원회	전당/NNG+대회/NNG+준비/NNG+위원회/NNG
전체회의에서	전체/NNG+회의/NNG+에서/JKB
심의·의결한	심의/NNG+·/SP+의결/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
비상대책위	비상/NNG+대책위/NNG
보고를	보고/NNG+를/JKO
거쳐,	거치/VV+어/EC+,/SP
10월3일	10/SN+월/NNB+3/SN+일/NNB
전당대회에서	전당/NNG+대회/NNG+에서/JKB
의결되면	의결/NNG+되/XSV+면/EC
정식	정식/NNG
강령으로	강령/NNG+으로/JKB
채택된다.	채택/NNG+되/XSV+ㄴ다/EF+./SF


