# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.181
metadata : {}


# id : NWRW1800000025.181.1.1
현대상선, 최첨단 부산신항터미널 개장

현대상선,	현대상선/NNP+,/SP
# id : NWRW1800000025.181.4.1
현대상선 측은 “최첨단 항만기술과 정보기술(IT) 시스템을 적용해 선박이 항만에 머무는 시간을 최소화해 부산항에서 단일 선사로서는 가장 많은 연간 200만 TEU의 물동량을 처리할 수 있다”고 설명했다.

현대상선	현대상선/NNP
측은	측/NNB+은/JX
“최첨단	“/SS+최/XPN+첨단/NNG
항만기술과	항만/NNG+기술/NNG+과/JC
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
시스템을	시스템/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
선박이	선박/NNG+이/JKS
항만에	항만/NNG+에/JKB
머무는	머물/VV+는/ETM
시간을	시간/NNG+을/JKO
최소화해	최소/NNG+화/XSN+하/XSV+아/EC
부산항에서	부산항/NNP+에서/JKB
단일	단일/NNG
선사로서는	선사/NNG+로서/JKB+는/JX
가장	가장/MAG
많은	많/VA+은/ETM
연간	연간/NNG
200만	200/SN+만/NR
TEU의	TEU/SW+의/JKG
물동량을	물동량/NNG+을/JKO
처리할	처리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.181.5.1
개장식에는 현정은 현대그룹 회장을 비롯해 정운찬 국무총리, 최장현 국토해양부 차관, 허남식 부산시장, 김태호 경남도지사 등 국내외 주요 인사와 화주 1000여 명이 참석했다.

개장식에는	개장식/NNG+에/JKB+는/JX
현정은	현정은/NNP
현대그룹	현대그룹/NNP
회장을	회장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
정운찬	정운찬/NNP
국무총리,	국무총리/NNG+,/SP
최장현	최장현/NNP
국토해양부	국토/NNG+해양부/NNG
차관,	차관/NNG+,/SP
허남식	허남식/NNP
부산시장,	부산시장/NNG+,/SP
김태호	김태호/NNP
경남도지사	경남/NNP+도지사/NNG
등	등/NNB
국내외	국내외/NNG
주요	주요/NNG
인사와	인사/NNG+와/JC
화주	화주/NNG
1000여	1000/SN+여/XSN
명이	명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.181.6.1
현대상선은 미국 ‘워싱턴 유나이티드 터미널(WUT)’과 ‘캘리포니아 유나이티드 터미널(CUT)’, 대만 ‘카오슝 현대 터미널(KHT)’ 등에 자영터미널을 운영하고 있으며, 이번 부산신항터미널 개장을 계기로 항만물류 사업을 신성장 동력으로 키워 나갈 계획이다.

현대상선은	현대상선/NNP+은/JX
미국	미국/NNP
‘워싱턴	‘/SS+워싱턴/NNP
유나이티드	유나이티드/NNP
터미널(WUT)’과	터미널/NNG+(/SS+WUT/SL+)/SS+’/SS+과/JC
‘캘리포니아	‘/SS+캘리포니아/NNP
터미널(CUT)’,	터미널/NNG+(/SS+CUT/SL+)/SS+’/SS+,/SP
대만	대만/NNP
‘카오슝	‘/SS+카오슝/NNP
현대	현대/NNP
터미널(KHT)’	터미널/NNG+(/SS+KHT/SL+)/SS+’/SS
등에	등/NNB+에/JKB
자영터미널을	자영/NNG+터미널/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
이번	이번/NNG
부산신항터미널	부산신항터미널/NNP
개장을	개장/NNG+을/JKO
계기로	계기/NNG+로/JKB
항만물류	항만/NNG+물류/NNG
사업을	사업/NNG+을/JKO
신성장	신/XPN+성장/NNG
동력으로	동력/NNG+으로/JKB
키워	키우/VV+어/EC
나갈	나가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.181.7.1
현 회장은 “1974년 부산에 첫 컨테이너 항만이 생긴 지 36년 만에 부산항이 세계 5대 항만으로 성장했다”며 “현대상선 부산신항터미널도 동북아물류의 허브, 세계의 중심 항만이 되도록 최선을 다할 것”이라고 말했다.

현	현/MMD
회장은	회장/NNG+은/JX
“1974년	“/SS+1974/SN+년/NNB
부산에	부산/NNP+에/JKB
첫	첫/MMN
컨테이너	컨테이너/NNG
항만이	항만/NNG+이/JKC
생긴	생기/VV+ㄴ/ETM
지	지/NNB
36년	36/SN+년/NNB
만에	만/NNB+에/JKB
부산항이	부산항/NNP+이/JKS
세계	세계/NNG
5대	5/SN+대/NNG
항만으로	항만/NNG+으로/JKB
성장했다”며	성장/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“현대상선	“/SS+현대상선/NNP
부산신항터미널도	부산신항터미널/NNP+도/JX
동북아물류의	동북아/NNP+물류/NNG+의/JKG
허브,	허브/NNG+,/SP
세계의	세계/NNG+의/JKG
중심	중심/NNG
되도록	되/VV+도록/EC
최선을	최선/NNG+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


