# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.79
metadata : {}


# id : NWRW1800000052.79.1.1
납치 아니었다?

납치	납치/NNG
4명은	4/SN+명/NNB+은/JX
하루	하루/NNG
전	전/NNG
같은	같/VA+은/ETM
방송에서	방송/NNG+에서/JKB
무허가	무/XPN+허가/NNG
도서	도서/NNG
밀반입	밀반입/NNG
혐의를	혐의/NNG+를/JKO
인정하고,	인정/NNG+하/XSV+고/EC+,/SP
이	이/NP
때문에	때문/NNB+에/JKB
중국에	중국/NNP+에/JKB
구금돼	구금/NNG+되/XSV+어/EC
있다고	있/VX+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.79.7.1
그동안 연락이 닿지 않은 데 대해, 리보는 “대륙에 와서 합법적 조사를 받는 가운데 다른 이들에게 불리한 증언을 하게 되면 그들과 그들의 가족이 화가 나 나와 내 가족에 좋지 않은 일이 생길 것이 걱정돼, 안전을 위해 밀입경을 선택했다”고 말했다.

그동안	그동안/NNG
연락이	연락/NNG+이/JKS
닿지	닿/VV+지/EC
않은	않/VX+은/ETM
데	데/NNB
대해,	대하/VV+아/EC+,/SP
리보는	리보/NNP+는/JX
“대륙에	“/SS+대륙/NNG+에/JKB
와서	오/VV+아서/EC
합법적	합법/NNG+적/XSN
조사를	조사/NNG+를/JKO
받는	받/VV+는/ETM
가운데	가운데/NNG
다른	다른/MMD
이들에게	이/NNB+들/XSN+에게/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
증언을	증언/NNG+을/JKO
하게	하/VV+게/EC
되면	되/VV+면/EC
그들과	그/NP+들/XSN+과/JKB
그들의	그/NP+들/XSN+의/JKG
가족이	가족/NNG+이/JKS
화가	화/NNG+가/JKS
나	나/VV+아/EC
나와	나/NP+와/JC
내	나/NP+의/JKG
가족에	가족/NNG+에/JKB
좋지	좋/VA+지/EC
일이	일/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
것이	것/NNB+이/JKS
걱정돼,	걱정/NNG+되/XSV+어/EC+,/SP
안전을	안전/NNG+을/JKO
위해	위하/VV+아/EC
밀입경을	밀입경/NNG+을/JKO
선택했다”고	선택/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.79.7.2
그는 일을 복잡하게 만드는 자신의 영국 거주권을 포기했다고 말했다.

그는	그/NP+는/JX
일을	일/NNG+을/JKO
복잡하게	복잡하/VA+게/EC
만드는	만들/VV+는/ETM
자신의	자신/NNG+의/JKG
영국	영국/NNP
거주권을	거주/NNG+권/XSN+을/JKO
포기했다고	포기/NNG+하/XSV+았/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.79.8.1
구이민하이 등 4명은 전날 방송 인터뷰에서 중국 대륙의 고객 380명에게 무허가 서적 4000권을 판매했다고 말했다.

구이민하이	구이민하이/NNP
등	등/NNB
4명은	4/SN+명/NNB+은/JX
전날	전날/NNG
방송	방송/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
중국	중국/NNP
대륙의	대륙/NNG+의/JKG
고객	고객/NNG
380명에게	380/SN+명/NNB+에게/JKB
무허가	무/XPN+허가/NNG
서적	서적/NNG
4000권을	4000/SN+권/NNB+을/JKO
판매했다고	판매/NNG+하/XSV+았/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.79.8.2
이들이 운영에 직·간접적으로 관여했던 코즈웨이베이 서점은 중국을 비판하거나 중국에서 판매 금지된 책을 출판해왔다.

이들이	이/NP+들/XSN+이/JKS
운영에	운영/NNG+에/JKB
직·간접적으로	직·간접/NNG+적/XSN+으로/JKB
관여했던	관여/NNG+하/XSV+았/EP+던/ETM
코즈웨이베이	코즈웨이베이/NNP
서점은	서점/NNG+은/JX
중국을	중국/NNP+을/JKO
비판하거나	비판/NNG+하/XSV+거나/EC
중국에서	중국/NNP+에서/JKB
판매	판매/NNG
금지된	금지/NNG+되/XSV+ㄴ/ETM
책을	책/NNG+을/JKO
출판해왔다.	출판/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.79.9.1
<비비시>(BBC) 방송은 “홍콩에서는 그들이 시진핑 중국 국가주석에 대한 책 때문에 구금됐다고 믿는 이들도 있다”고 전했다.

<비비시>(BBC)	</SS+비비시/NNP+>/SS+(/SS+BBC/SL+)/SS
방송은	방송/NNG+은/JX
“홍콩에서는	“/SS+홍콩/NNP+에서/JKB+는/JX
그들이	그/NP+들/XSN+이/JKS
시진핑	시진핑/NNP
중국	중국/NNP
국가주석에	국가주석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책	책/NNG
때문에	때문/NNB+에/JKB
구금됐다고	구금/NNG+되/XSV+었/EP+다고/EC
믿는	믿/VV+는/ETM
이들도	이/NNB+들/XSN+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.79.9.2
앞서 지난달 ‘시눠’라는 필명의 재미 화교 작가는 자신이 공동저자로 참여한 <시진핑과 그의 연인들>이 실종 사건의 배경이라고 주장하기도 했다.

앞서	앞서/MAG
지난달	지난달/NNG
‘시눠’라는	‘/SS+시눠/NNP+’/SS+이/VCP+라는/ETM
필명의	필명/NNG+의/JKG
재미	재미/NNG
화교	화교/NNG
작가는	작가/NNG+는/JX
자신이	자신/NNG+이/JKS
공동저자로	공동/NNG+저자/NNG+로/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
<시진핑과	</SS+시진핑/NNP+과/JC
그의	그/NP+의/JKG
연인들>이	연인/NNG+들/XSN+>/SS+이/JKS
실종	실종/NNG
사건의	사건/NNG+의/JKG
배경이라고	배경/NNG+이/VCP+라고/EC
주장하기도	주장/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


