# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.55
metadata : {}


# id : NWRW1800000052.55.1.1
금융당국, 자살보험금 지급 거부땐 보험사 문닫는다 제재 예고

금융당국,	금융/NNG+당국/NNG+,/SP
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.55.9.4
이에 대해 금감원 관계자는 “사전 통보 형식으로 제재의 범위를 알려주는 절차다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
금감원	금감원/NNG
관계자는	관계자/NNG+는/JX
“사전	“/SS+사전/NNG
통보	통보/NNG
형식으로	형식/NNG+으로/JKB
제재의	제재/NNG+의/JKG
범위를	범위/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
절차다.	절차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.55.9.5
소명 자료를 받은 뒤 향후 열리는 금감원 제재심의위원회 심의 등을 거쳐 최종 수위를 확정한다”고 말했다.

소명	소명/NNG
자료를	자료/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
향후	향후/NNG
열리는	열리/VV+는/ETM
금감원	금감원/NNG
제재심의위원회	제재/NNG+심의/NNG+위원회/NNG
심의	심의/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
최종	최종/NNG
수위를	수위/NNG+를/JKO
확정한다”고	확정/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.55.10.1
만약 이들 보험사가 영업 일부 정지를 받을 경우 특정 상품을 팔지 못하거나 일부 지역에서 영업이 제한된다.

만약	만약/MAG
이들	이/NP+들/XSN
보험사가	보험사/NNG+가/JKS
영업	영업/NNG
일부	일부/NNG
정지를	정지/NNG+를/JKO
받을	받/VV+을/ETM
경우	경우/NNG
특정	특정/NNG
상품을	상품/NNG+을/JKO
팔지	팔/VV+지/EC
못하거나	못하/VX+거나/EC
지역에서	지역/NNG+에서/JKB
영업이	영업/NNG+이/JKS
제한된다.	제한/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.55.10.2
또 영업권을 반납할 경우 사실상 문을 닫아야 하는 처지다.

또	또/MAG
영업권을	영업/NNG+권/XSN+을/JKO
반납할	반납/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
사실상	사실/NNG+상/XSN
문을	문/NNG+을/JKO
닫아야	닫/VV+아야/EC
하는	하/VX+는/ETM
처지다.	처지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.55.10.3
여기에 최고경영자에 대한 제재로 해임 권고가 내려지면 교보생명은 총수이자 대표이사인 신창재 회장이 경영에서 손을 떼야 하는 상황까지 벌어질 수 있다.

여기에	여기/NP+에/JKB
최고경영자에	최고/NNG+경영자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제재로	제재/NNG+로/JKB
해임	해임/NNG
권고가	권고/NNG+가/JKS
내려지면	내려지/VV+면/EC
교보생명은	교보생명/NNP+은/JX
총수이자	총수/NNG+이/VCP+자/EC
대표이사인	대표/NNG+이사/NNG+이/VCP+ㄴ/ETM
신창재	신창재/NNP
회장이	회장/NNG+이/JKS
경영에서	경영/NNG+에서/JKB
손을	손/NNG+을/JKO
떼야	떼/VV+어야/EC
하는	하/VX+는/ETM
상황까지	상황/NNG+까지/JX
벌어질	벌어지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.55.11.1
보험업계에서는 금감원의 이번 중징계 예정 통보에 대해 한마디로 ‘괘씸죄’를 물은 것이라는 해석이 나온다.

보험업계에서는	보험업/NNG+계/XSN+에서/JKB+는/JX
금감원의	금감원/NNG+의/JKG
이번	이번/NNG
중징계	중징계/NNG
예정	예정/NNG
통보에	통보/NNG+에/JKB
대해	대하/VV+아/EC
한마디로	한마디/NNG+로/JKB
‘괘씸죄’를	‘/SS+괘씸죄/NNG+’/SS+를/JKO
물은	묻/VV+은/ETM
것이라는	것/NNB+이/VCP+라는/ETM
해석이	해석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.55.11.2
‘소멸시효가 지난 자살보험금은 지급할 필요가 없다고 결정한 대법원 판결과 관계없이 무조건 자살보험금을 지급하라’는 금감원의 요구에 버티기로 일관한 데 대한 본보기성 징계라는 것이다.

‘소멸시효가	‘/SS+소멸/NNG+시효/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
자살보험금은	자살/NNG+보험금/NNG+은/JX
지급할	지급/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다고	없/VA+다고/EC
결정한	결정/NNG+하/XSV+ㄴ/ETM
대법원	대/XPN+법원/NNG
판결과	판결/NNG+과/JKB
관계없이	관계없이/MAG
무조건	무/XPN+조건/NNG
자살보험금을	자살/NNG+보험금/NNG+을/JKO
지급하라’는	지급/NNG+하/XSV+라/EF+’/SS+는/ETM
금감원의	금감원/NNG+의/JKG
요구에	요구/NNG+에/JKB
버티기로	버티기/NNG+로/JKB
일관한	일관/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
본보기성	본보기/NNG+성/XSN
징계라는	징계/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.55.11.3
앞서 금감원은 자살보험금을 지급하기로 결정한 5개 보험사에 대해선 100만~700만원 정도의 과징금만 부과했다.

앞서	앞서/MAG
금감원은	금감원/NNG+은/JX
자살보험금을	자살/NNG+보험금/NNG+을/JKO
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
5개	5/SN+개/NNB
보험사에	보험사/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
100만~700만원	100/SN+만/NR+~/SO+700/SN+만/NR+원/NNB
정도의	정도/NNG+의/JKG
과징금만	과징금/NNG+만/JX
부과했다.	부과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.55.12.1
자살보험금 분쟁은 자살해도 보험 가입 뒤 2년이 지났다면 일반사망보험금뿐 아니라 특약에 보장된 재해사망금까지 주도록 하는 약관을 보험사들이 넣었기 때문에 발생했다.

자살보험금	자살/NNG+보험금/NNG
분쟁은	분쟁/NNG+은/JX
자살해도	자살/NNG+하/XSV+아도/EC
보험	보험/NNG
가입	가입/NNG
뒤	뒤/NNG
2년이	2/SN+년/NNB+이/JKS
지났다면	지나/VV+았/EP+다면/EC
일반사망보험금뿐	일반/NNG+사망/NNG+보험금/NNG+뿐/JX
아니라	아니/VCN+라/EC
특약에	특약/NNG+에/JKB
보장된	보장/NNG+되/XSV+ㄴ/ETM
재해사망금까지	재해/NNG+사망금/NNG+까지/JX
주도록	주/VV+도록/EC
하는	하/VX+는/ETM
약관을	약관/NNG+을/JKO
보험사들이	보험사/NNG+들/XSN+이/JKS
넣었기	넣/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.55.12.2
보험사들은 이를 ‘단순 실수’라고 주장하며, 재해사망금을 지급하지 않았다.

보험사들은	보험사/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
‘단순	‘/SS+단순/NNG
실수’라고	실수/NNG+’/SS+라고/JKQ
주장하며,	주장/NNG+하/XSV+며/EC+,/SP
재해사망금을	재해/NNG+사망금/NNG+을/JKO
지급하지	지급/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.55.12.3
하지만 보험금 분쟁이 법정으로 옮아간 뒤 대법원은 지난 5월에 “자살보험금을 약관대로 지급하라”고 가입자 쪽 손을 들어줬다.

하지만	하지만/MAJ
보험금	보험금/NNG
분쟁이	분쟁/NNG+이/JKS
법정으로	법정/NNG+으로/JKB
옮아간	옮아가/VV+ㄴ/ETM
뒤	뒤/NNG
대법원은	대/XPN+법원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월에	5/SN+월/NNB+에/JKB
“자살보험금을	“/SS+자살/NNG+보험금/NNG+을/JKO
약관대로	약관/NNG+대로/JX
지급하라”고	지급/NNG+하/XSV+라/EF+”/SS+고/JKQ
가입자	가입자/NNG
쪽	쪽/NNB
손을	손/NNG+을/JKO
들어줬다.	들어주/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.55.12.4
하지만 삼성생명(1500억원), 교보생명(1000억원) 등은 소멸시효가 지나간 자살보험금에 대해서는 지급을 미루거나 거부했다.

하지만	하지만/MAJ
삼성생명(1500억원),	삼성생명/NNP+(/SS+1500/SN+억/NR+원/NNB+)/SS+,/SP
교보생명(1000억원)	교보생명/NNP+(/SS+1000/SN+억/NR+원/NNB+)/SS
등은	등/NNB+은/JX
소멸시효가	소멸/NNG+시효/NNG+가/JKS
지나간	지나가/VV+ㄴ/ETM
자살보험금에	자살/NNG+보험금/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
지급을	지급/NNG+을/JKO
미루거나	미루/VV+거나/EC
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.55.12.5
이에 금감원은 금융소비자 보호 차원에서 이를 전액 지급하라고 요구해왔으며, 지난 9월말에 대법원이 “소멸시효가 지난 보험금은 지급할 필요가 없다”는 판결을 추가로 내린 이후에도 이런 방침을 바꾸지 않았다.

이에	이/NP+에/JKB
금감원은	금감원/NNG+은/JX
금융소비자	금융/NNG+소비자/NNG
보호	보호/NNG
차원에서	차원/NNG+에서/JKB
이를	이/NP+를/JKO
전액	전액/NNG
지급하라고	지급/NNG+하/XSV+라고/EC
요구해왔으며,	요구/NNG+하/XSV+아/EC+오/VX+았/EP+으며/EC+,/SP
지난	지나/VV+ㄴ/ETM
9월말에	9/SN+월/NNB+말/NNB+에/JKB
대법원이	대/XPN+법원/NNG+이/JKS
“소멸시효가	“/SS+소멸/NNG+시효/NNG+가/JKS
보험금은	보험금/NNG+은/JX
지급할	지급/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
판결을	판결/NNG+을/JKO
추가로	추가/NNG+로/JKB
내린	내리/VV+ㄴ/ETM
이후에도	이후/NNG+에/JKB+도/JX
이런	이런/MMD
방침을	방침/NNG+을/JKO
바꾸지	바꾸/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.55.13.1
중징계 통보를 받은 생보사의 한 관계자는 “금융당국이 이 문제를 보험사들과 당국의 힘겨루기로 바라보는 것 같아 답답하다”고 말했다.

중징계	중징계/NNG
통보를	통보/NNG+를/JKO
받은	받/VV+은/ETM
생보사의	생보사/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“금융당국이	“/SS+금융/NNG+당국/NNG+이/JKS
이	이/MMD
문제를	문제/NNG+를/JKO
보험사들과	보험사/NNG+들/XSN+과/JC
당국의	당국/NNG+의/JKG
힘겨루기로	힘겨루기/NNG+로/JKB
바라보는	바라보/VV+는/ETM
것	것/NNB
같아	같/VA+아/EC
답답하다”고	답답하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.55.13.2
반면 금감원 관계자는 “금융소비자 권익을 보호하기 위해 이들에게 필요한 제재를 할 것”이라고 밝혔다.

반면	반면/NNG
금감원	금감원/NNG
관계자는	관계자/NNG+는/JX
“금융소비자	“/SS+금융/NNG+소비자/NNG
권익을	권익/NNG+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이들에게	이/NP+들/XSN+에게/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
제재를	제재/NNG+를/JKO
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


