# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.198
metadata : {}


# id : NWRW1800000049.198.1.1
“좌편향 판결-변론 감시” 민간조직 출범

“좌편향	“/SS+좌편향/NNG
또한 사법정의 감시센터 내에 진보 성향의 ‘민주사회를 위한 변호사 모임’(민변)의 활동을 감시·대응하기 위한 ‘민변 감시단’과 ‘민변 척결 태스크포스(TF)’를 두고 매년 ‘민변 활동 백서’를 발간하기로 했다.

또한	또한/MAG
사법정의	사법/NNG+정의/NNG
감시센터	감시/NNG+센터/NNG
내에	내/NNB+에/JKB
진보	진보/NNG
성향의	성향/NNG+의/JKG
‘민주사회를	‘/SS+민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사	변호사/NNG
모임’(민변)의	모임/NNG+’/SS+(/SS+민변/NNP+)/SS+의/JKG
활동을	활동/NNG+을/JKO
감시·대응하기	감시/NNG+·/SP+대응/NNG+하/XSV+기/ETN
‘민변	‘/SS+민변/NNP
감시단’과	감시단/NNG+’/SS+과/JC
척결	척결/NNG
태스크포스(TF)’를	태스크포스/NNG+(/SS+TF/SL+)/SS+’/SS+를/JKO
두고	두/VV+고/EC
매년	매년/MAG
활동	활동/NNG
백서’를	백서/NNG+’/SS+를/JKO
발간하기로	발간/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


