# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.60
metadata : {}


# id : NWRW1800000053.60.1.1
지속가능한 일자리 찾는 유럽… ‘고용절벽’ 위기 한국은?

지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
유로파운드는 지속 가능성의 질을 따지는 기준으로 임금(수입), 향후 일자리 전망, 직무 성격, 근로시간 등 4개 항목을 제시했다.

유로파운드는	유로파운드/NNP+는/JX
지속	지속/NNG
가능성의	가능/NNG+성/XSN+의/JKG
질을	질/NNG+을/JKO
따지는	따지/VV+는/ETM
기준으로	기준/NNG+으로/JKB
임금(수입),	임금/NNG+(/SS+수입/NNG+)/SS+,/SP
향후	향후/NNG
일자리	일자리/NNG
전망,	전망/NNG+,/SP
직무	직무/NNG
성격,	성격/NNG+,/SP
근로시간	근로/NNG+시간/NNG
등	등/NNB
4개	4/SN+개/NNB
항목을	항목/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.60.6.3
그러나 유럽은 물론이고 한국 등 많은 국가가 경제 침체와 이에 따른 실업 사태를 겪으면서 일자리의 질보다는 양에 집중하고 있다고 진단했다.

그러나	그러나/MAJ
유럽은	유럽/NNP+은/JX
물론이고	물론/NNG+이/VCP+고/EC
한국	한국/NNP
등	등/NNB
많은	많/VA+은/ETM
국가가	국가/NNG+가/JKS
경제	경제/NNG
침체와	침체/NNG+와/JC
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
실업	실업/NNG
사태를	사태/NNG+를/JKO
겪으면서	겪/VV+으면서/EC
일자리의	일자리/NNG+의/JKG
질보다는	질/NNG+보다/JKB+는/JX
양에	양/NNG+에/JKB
집중하고	집중/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.60.6.4
특히 청년과 여성, 노년층은 이런 상황에서 질이 높고, 지속 가능한 일자리에 접근하기 더욱 어려워진다.

특히	특히/MAG
청년과	청년/NNG+과/JC
여성,	여성/NNG+,/SP
노년층은	노년/NNG+층/XSN+은/JX
이런	이런/MMD
상황에서	상황/NNG+에서/JKB
질이	질/NNG+이/JKS
높고,	높/VA+고/EC+,/SP
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리에	일자리/NNG+에/JKB
접근하기	접근/NNG+하/XSV+기/ETN
더욱	더욱/MAG
어려워진다.	어렵/VA+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.60.7.1
이에 유로파운드는 지속 가능한 일자리를 EU 회원국들이 정책의제로 과감히 도입하라고 권고했다.

이에	이/NP+에/JKB
유로파운드는	유로파운드/NNP+는/JX
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
EU	EU/SL
회원국들이	회원국/NNG+들/XSN+이/JKS
정책의제로	정책/NNG+의제/NNG+로/JKB
과감히	과감히/MAG
도입하라고	도입/NNG+하/XSV+라고/EC
권고했다.	권고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.60.7.2
지속 가능한 일자리를 모든 정책의 기반으로 삼으면 모든 정책 역시 지속 가능해진다는 것이다.

지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
모든	모든/MMN
정책의	정책/NNG+의/JKG
기반으로	기반/NNG+으로/JKB
삼으면	삼/VV+으면/EC
정책	정책/NNG
역시	역시/MAG
가능해진다는	가능/NNG+하/XSA+아/EC+지/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.60.7.3
관료들과 정책 결정자들의 적극적 조율, 관련 부처의 협력 역시 당부했다.

관료들과	관료/NNG+들/XSN+과/JC
정책	정책/NNG
결정자들의	결정자/NNG+들/XSN+의/JKG
적극적	적극/NNG+적/XSN
조율,	조율/NNG+,/SP
관련	관련/NNG
부처의	부처/NNG+의/JKG
협력	협력/NNG
역시	역시/MAG
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.60.7.4
저출산 고령화 대책, 청년 일자리 창출, 노년층 복지 등 각각의 정책이 일자리 정책을 매개로 상호 유기적으로 작동할 수 있도록 일관성 있는 정책 모델이 필요하다는 의미다.

저출산	저/XPN+출산/NNG
고령화	고령/NNG+화/XSN
대책,	대책/NNG+,/SP
청년	청년/NNG
일자리	일자리/NNG
창출,	창출/NNG+,/SP
노년층	노년/NNG+층/XSN
복지	복지/NNG
등	등/NNB
각각의	각각/NNG+의/JKG
정책이	정책/NNG+이/JKS
정책을	정책/NNG+을/JKO
매개로	매개/NNG+로/JKB
상호	상호/NNG
유기적으로	유기/NNG+적/XSN+으로/JKB
작동할	작동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
일관성	일관/NNG+성/XSN
있는	있/VA+는/ETM
정책	정책/NNG
모델이	모델/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.60.8.1
한국은 고용절벽 위기를 맞아 일자리의 절대적인 양이 떨어지고 있다.

한국은	한국/NNP+은/JX
고용절벽	고용/NNG+절벽/NNG
위기를	위기/NNG+를/JKO
맞아	맞/VV+아/EC
일자리의	일자리/NNG+의/JKG
절대적인	절대/NNG+적/XSN+이/VCP+ㄴ/ETM
양이	양/NNG+이/JKS
떨어지고	떨어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.60.8.2
연간 취업자 수 증가폭도 20만 명대로 추락했다.

연간	연간/NNG
취업자	취업자/NNG
수	수/NNG
증가폭도	증가/NNG+폭/NNG+도/JX
20만	20/SN+만/NR
명대로	명/NNB+대/XSN+로/JKB
추락했다.	추락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.60.8.3
이 때문에 지속 가능성을 따지는 것은 사치라고 여길 수도 있겠다.

이	이/MMD
때문에	때문/NNB+에/JKB
지속	지속/NNG
가능성을	가능/NNG+성/XSN+을/JKO
따지는	따지/VV+는/ETM
것은	것/NNB+은/JX
사치라고	사치/NNG+이/VCP+라고/EC
여길	여기/VV+ㄹ/ETM
수도	수/NNB+도/JX
있겠다.	있/VA+겠/EP+다/EF+./SF


# id : NWRW1800000053.60.8.4
대선 후보들 역시 일자리의 질보다는 양에 치중한 공약을 내놓고 있다.

대선	대선/NNG
후보들	후보/NNG+들/XSN
역시	역시/MAG
일자리의	일자리/NNG+의/JKG
질보다는	질/NNG+보다/JKB+는/JX
양에	양/NNG+에/JKB
치중한	치중/NNG+하/XSV+ㄴ/ETM
공약을	공약/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.60.8.5
하지만 질 낮고 지속 가능하지 않은 일자리만 만들면 미래가 없다.

하지만	하지만/MAJ
질	질/NNG
낮고	낮/VA+고/EC
지속	지속/NNG
가능하지	가능/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
일자리만	일자리/NNG+만/JX
만들면	만들/VV+면/EC
미래가	미래/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.60.8.6
우리도 고용절벽과 저출산 고령화를 해결할 ‘지속 가능한 일자리’ 연구를 지금 시작해야 한다.

우리도	우리/NP+도/JX
고용절벽과	고용/NNG+절벽/NNG+과/JC
저출산	저/XPN+출산/NNG
고령화를	고령/NNG+화/XSN+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
‘지속	‘/SS+지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리’	일자리/NNG+’/SS
연구를	연구/NNG+를/JKO
지금	지금/MAG
시작해야	시작/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


