# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.351
metadata : {}


# id : NWRW1800000037.351.1.1
보폭 넓히는 安 보폭 줄이는 文

보폭	보폭/NNG
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.351.4.5
주변에선 그가 민주당과의 야권 주도권 경쟁에 본격적인 시동을 걸었다는 해석이 나온다.

주변에선	주변/NNG+에서/JKB+ㄴ/JX
그가	그/NP+가/JKS
민주당과의	민주당/NNP+과/JKB+의/JKG
야권	야권/NNG
주도권	주도/NNG+권/XSN
경쟁에	경쟁/NNG+에/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
시동을	시동/NNG+을/JKO
걸었다는	걸/VV+었/EP+다는/ETM
해석이	해석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.351.5.1
민주당은 바짝 긴장하고 있다.

민주당은	민주당/NNP+은/JX
바짝	바짝/MAG
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.351.5.2
지난해 4·11총선과 18대 대선에 이어 4·24 재·보선을 거치며 멀어진 민심을 확인한 민주당으로서는 국민의 신뢰를 회복할 수 있는 마지막 기회로 여기는 10월 재·보선이 ‘안철수 변수’로 어려워질 수 있기 때문이다.

지난해	지난해/NNG
4·11총선과	4/SN+·/SP+11/SN+총선/NNG+과/JC
18대	18/SN+대/NNB
대선에	대선/NNG+에/JKB
이어	잇/VV+어/EC
4·24	4/SN+·/SP+24/SN
재·보선을	재·보선/NNG+을/JKO
거치며	거치/VV+며/EC
멀어진	멀어지/VV+ㄴ/ETM
민심을	민심/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
민주당으로서는	민주당/NNP+으로서/JKB+는/JX
국민의	국민/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
마지막	마지막/NNG
기회로	기회/NNG+로/JKB
여기는	여기/VV+는/ETM
10월	10/SN+월/NNB
재·보선이	재·보선/NNG+이/JKS
‘안철수	‘/SS+안철수/NNP
변수’로	변수/NNG+’/SS+로/JKB
어려워질	어렵/VA+어/EC+지/VX+ㄹ/ETM
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.351.5.3
우원식 최고위원은 14일 라디오 인터뷰에서 “내년 지방선거에서 어느 쪽이 주도권을 쥘지는 10월 재·보선에서 결정될 것”이라고 말했다.

우원식	우원식/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
14일	14/SN+일/NNB
라디오	라디오/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“내년	“/SS+내년/NNG
지방선거에서	지방/NNG+선거/NNG+에서/JKB
어느	어느/MMD
쪽이	쪽/NNB+이/JKS
주도권을	주도/NNG+권/XSN+을/JKO
쥘지는	쥐/VV+ㄹ지/EF+는/JX
10월	10/SN+월/NNB
재·보선에서	재·보선/NNG+에서/JKB
결정될	결정/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.351.6.1
민주당은 16일 광주 5·18민주묘지를 참배하고 앞으로의 혁신 방안을 담은 ‘광주 선언’을 발표한다.

민주당은	민주당/NNP+은/JX
16일	16/SN+일/NNB
광주	광주/NNP
5·18민주묘지를	5·18민주묘지/NNP+를/JKO
참배하고	참배/NNG+하/XSV+고/EC
앞으로의	앞/NNG+으로/JKB+의/JKG
혁신	혁신/NNG
방안을	방안/NNG+을/JKO
담은	담/VV+은/ETM
‘광주	‘/SS+광주/NNP
선언’을	선언/NNG+’/SS+을/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.351.6.2
그러나 민주당 대선후보였던 문재인 의원은 불참한다.

그러나	그러나/MAJ
민주당	민주당/NNP
대선후보였던	대선/NNG+후보/NNG+이/VCP+었/EP+던/ETM
문재인	문재인/NNP
의원은	의원/NNG+은/JX
불참한다.	불참/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.351.6.3
문 의원 측 관계자는 “문 의원은 이미 12일 홀로 5·18민주묘지를 다녀왔다”고 설명했다.

문	문/NNP
의원	의원/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
“문	“/SS+문/NNP
의원은	의원/NNG+은/JX
이미	이미/MAG
12일	12/SN+일/NNB
홀로	홀로/MAG
5·18민주묘지를	5·18민주묘지/NNP+를/JKO
다녀왔다”고	다녀오/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.351.6.4
문 의원은 지도부를 선출한 5·4전당대회 때도 불참했다.

문	문/NNP
의원은	의원/NNG+은/JX
지도부를	지도부/NNG+를/JKO
선출한	선출/NNG+하/XSV+ㄴ/ETM
5·4전당대회	5/SN+·/SP+4/SN+전당/NNG+대회/NNG
때도	때/NNG+도/JX
불참했다.	불참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.351.6.5
안 의원과는 달리 조용한 행보를 이어가고 있는 셈이다.

안	안/NNP
의원과는	의원/NNG+과/JKB+는/JX
달리	달리/MAG
조용한	조용하/VA+ㄴ/ETM
행보를	행보/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


