# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.9
metadata : {}


# id : NWRW1800000049.9.1.1
[세계로 뛰는 금융]신한금융투자, 증권사 지분 100% 인수베트남 투자시장 선도

[세계로	[/SS+세계/NNG+로/JKB
시장에서	시장/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
성장동력을	성장/NNG+동력/NNG+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
거점으로	거점/NNG+으로/JKB
베트남을	베트남/NNP+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.9.3.3
지난해 베트남 증권사를 인수했고 올 2월 ’신한금융투자 베트남‘ 법인을 공식 출범시켰다.

지난해	지난해/NNG
베트남	베트남/NNP
증권사를	증권사/NNG+를/JKO
인수했고	인수/NNG+하/XSV+았/EP+고/EC
올	올/NNG
2월	2/SN+월/NNB
’신한금융투자	’/SS+신한금융투자/NNP
베트남‘	베트남/NNP+‘/SS
법인을	법인/NNG+을/JKO
공식	공식/NNG
출범시켰다.	출범/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.9.3.4
이는 국내 증권사 가운데 베트남 현지 업체의 지분을 100% 인수한 첫 사례다.

이는	이/NP+는/JX
국내	국내/NNG
증권사	증권사/NNG
가운데	가운데/NNG
베트남	베트남/NNP
현지	현지/NNG
업체의	업체/NNG+의/JKG
지분을	지분/NNG+을/JKO
100%	100/SN+%/SW
인수한	인수/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.9.3.5
신한금융투자 베트남 법인은 현지 유망 투자자산을 찾아내고 구조화해 국내 투자자들에게 공급할 예정이다.

신한금융투자	신한금융투자/NNP
베트남	베트남/NNP
법인은	법인/NNG+은/JX
현지	현지/NNG
유망	유망/NNG
투자자산을	투자/NNG+자산/NNG+을/JKO
찾아내고	찾아내/VV+고/EC
구조화해	구조/NNG+화/XSN+하/XSV+아/EC
국내	국내/NNG
투자자들에게	투자자/NNG+들/XSN+에게/JKB
공급할	공급/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.9.3.6
달러 표시 베트남 국채 등 현지 고금리 채권이나 베트남 증시 상장지수채권(ETN) 등 경쟁력 있는 상품을 개발해 수익률 높은 해외상품을 설계하는 데 중점을 두고 있다.

달러	달러/NNG
표시	표시/NNG
베트남	베트남/NNP
국채	국채/NNG
등	등/NNB
현지	현지/NNG
고금리	고/XPN+금리/NNG
채권이나	채권/NNG+이나/JC
증시	증시/NNG
상장지수채권(ETN)	상장/NNG+지수/NNG+채권/NNG+(/SS+ETN/SL+)/SS
경쟁력	경쟁력/NNG
있는	있/VA+는/ETM
상품을	상품/NNG+을/JKO
개발해	개발/NNG+하/XSV+아/EC
수익률	수익/NNG+률/XSN
높은	높/VA+은/ETM
해외상품을	해외/NNG+상품/NNG+을/JKO
설계하는	설계/NNG+하/XSV+는/ETM
데	데/NNB
중점을	중점/NNG+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.9.4.1
신한금융그룹의 글로벌 거점인 베트남 현지에서의 사업 전략도 눈에 띈다.

신한금융그룹의	신한금융그룹/NNP+의/JKG
글로벌	글로벌/NNG
거점인	거점/NNG+이/VCP+ㄴ/ETM
베트남	베트남/NNP
현지에서의	현지/NNG+에서/JKB+의/JKG
사업	사업/NNG
전략도	전략/NNG+도/JX
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.9.4.2
먼저 한국 기업의 베트남 진출이나 인수합병(M&A), 기업공개(IPO) 등 투자은행 사업을 병행할 예정이다.

먼저	먼저/MAG
한국	한국/NNP
기업의	기업/NNG+의/JKG
베트남	베트남/NNP
진출이나	진출/NNG+이나/JC
인수합병(M&A),	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS+,/SP
기업공개(IPO)	기업/NNG+공개/NNG+(/SS+IPO/SL+)/SS
등	등/NNB
투자은행	투자/NNG+은행/NNG
사업을	사업/NNG+을/JKO
병행할	병행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.9.4.3
또 14개의 신한은행 지점과 신한카드 신한생명 등의 계열사와 협업해 모바일·스마트·금융복합채널을 활용한 차별적인 금융 서비스도 준비하고 있다.

또	또/MAG
14개의	14/SN+개/NNB+의/JKG
신한은행	신한은행/NNP
지점과	지점/NNG+과/JC
신한카드	신한카드/NNP
신한생명	신한생명/NNP
등의	등/NNB+의/JKG
계열사와	계열사/NNG+와/JKB
협업해	협업/NNG+하/XSV+아/EC
모바일·스마트·금융복합채널을	모바일/NNG+·/SP+스마트/NNG+·/SP+금융/NNG+복합/NNG+채널/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
차별적인	차별/NNG+적/XSN+이/VCP+ㄴ/ETM
금융	금융/NNG
서비스도	서비스/NNG+도/JX
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.9.4.4
신한금융투자 관계자는 “철저한 현지화와 그룹 시너지를 통해 조기에 영업 기반을 확보하고 지속적인 성장이 예상되는 베트남 자본시장의 성장에 발맞춰 사업을 확장시켜 나갈 계획”이라고 말했다.

신한금융투자	신한금융투자/NNP
관계자는	관계자/NNG+는/JX
“철저한	“/SS+철저/NNG+하/XSA+ㄴ/ETM
현지화와	현지/NNG+화/XSN+와/JC
그룹	그룹/NNG
시너지를	시너지/NNG+를/JKO
통해	통하/VV+아/EC
조기에	조기/NNG+에/JKB
영업	영업/NNG
기반을	기반/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
성장이	성장/NNG+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
베트남	베트남/NNP
자본시장의	자본/NNG+시장/NNG+의/JKG
성장에	성장/NNG+에/JKB
발맞춰	발맞추/VV+어/EC
사업을	사업/NNG+을/JKO
확장시켜	확장/NNG+시키/XSV+어/EC
나갈	나가/VX+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.9.4.5
장기적으로는 베트남이 성장 한계를 맞은 국내 시장을 대체하는 미래 시장을 개척하기 위한 글로벌 사업의 전초기지 역할을 할 것으로 기대하고 있다.

장기적으로는	장기/NNG+적/XSN+으로/JKB+는/JX
베트남이	베트남/NNP+이/JKS
성장	성장/NNG
한계를	한계/NNG+를/JKO
맞은	맞/VV+은/ETM
국내	국내/NNG
시장을	시장/NNG+을/JKO
대체하는	대체/NNG+하/XSV+는/ETM
미래	미래/NNG
개척하기	개척/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
글로벌	글로벌/NNG
사업의	사업/NNG+의/JKG
전초기지	전초/NNG+기지/NNG
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.9.5.1
신한금융투자에 전략적 가치가 큰 또 다른 아시아 시장이 인도네시아다.

신한금융투자에	신한금융투자/NNP+에/JKB
전략적	전략/NNG+적/XSN
가치가	가치/NNG+가/JKS
큰	크/VA+ㄴ/ETM
또	또/MAG
다른	다른/MMD
아시아	아시아/NNP
시장이	시장/NNG+이/JKS
인도네시아다.	인도네시아/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000049.9.5.2
풍부한 천연자원과 2억5000만 명이 넘는 인구를 가진 인도네시아를 공략하기 위해 신한금융투자는 지난해 말 현지 증권사를 인수했다.

풍부한	풍부하/VA+ㄴ/ETM
천연자원과	천연자원/NNG+과/JC
2억5000만	2/SN+억/NR+5000/SN+만/NR
명이	명/NNB+이/JKS
넘는	넘/VV+는/ETM
인구를	인구/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
인도네시아를	인도네시아/NNP+를/JKO
공략하기	공략/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
신한금융투자는	신한금융투자/NNP+는/JX
지난해	지난해/NNG
말	말/NNB
현지	현지/NNG
증권사를	증권사/NNG+를/JKO
인수했다.	인수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.9.5.3
올해 안으로 현지 법인을 설립하고 현지의 수익률 높은 고금리 채권 등 투자 자산을 발굴해 동남아시아 지역을 포괄하는 글로벌 상품 공급 채널을 구축하는 게 목표다.

올해	올해/NNG
안으로	안/NNG+으로/JKB
현지	현지/NNG
법인을	법인/NNG+을/JKO
설립하고	설립/NNG+하/XSV+고/EC
현지의	현지/NNG+의/JKG
수익률	수익/NNG+률/XSN
높은	높/VA+은/ETM
고금리	고/XPN+금리/NNG
채권	채권/NNG
등	등/NNB
투자	투자/NNG
자산을	자산/NNG+을/JKO
발굴해	발굴/NNG+하/XSV+아/EC
동남아시아	동남아시아/NNP
지역을	지역/NNG+을/JKO
포괄하는	포괄/NNG+하/XSV+는/ETM
글로벌	글로벌/NNG
상품	상품/NNG
공급	공급/NNG
채널을	채널/NNG+을/JKO
구축하는	구축/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.9.6.1
신한금융투자 측은 “보다 경쟁력 있는 투자 상품을 제공하고 회사의 장기적인 성장을 확보하기 위해 글로벌사업은 필수”라고 설명한다.

신한금융투자	신한금융투자/NNP
측은	측/NNB+은/JX
“보다	“/SS+보다/MAG
경쟁력	경쟁력/NNG
있는	있/VA+는/ETM
투자	투자/NNG
상품을	상품/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
회사의	회사/NNG+의/JKG
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
성장을	성장/NNG+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
글로벌사업은	글로벌/NNG+사업/NNG+은/JX
필수”라고	필수/NNG+”/SS+라고/JKQ
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.9.6.2
앞으로 해외투자 인프라를 더욱 확대하고 글로벌 자산배분팀 운영을 통해 글로벌 사업 강화에 나설 계획이다.

앞으로	앞/NNG+으로/JKB
해외투자	해외/NNG+투자/NNG
인프라를	인프라/NNG+를/JKO
더욱	더욱/MAG
확대하고	확대/NNG+하/XSV+고/EC
글로벌	글로벌/NNG
자산배분팀	자산/NNG+배분/NNG+팀/NNG
운영을	운영/NNG+을/JKO
통해	통하/VV+아/EC
사업	사업/NNG
강화에	강화/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


