# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.193
metadata : {}


# id : NWRW1800000025.193.1.1
中 ‘안보리 천안함 입장발표’ 동의

中	中/SH
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.193.6.3
하지만 미국이 마카오 은행인 방코델타아시아(BDA)에서 북한 자금 2400만 달러를 동결한 것과 같은 방식의 제재와는 거리가 있다고 덧붙였다.

하지만	하지만/MAJ
미국이	미국/NNP+이/JKS
마카오	마카오/NNP
은행인	은행/NNG+이/VCP+ㄴ/ETM
방코델타아시아(BDA)에서	방코델타아시아/NNP+(/SS+BDA/SL+)/SS+에서/JKB
북한	북한/NNP
자금	자금/NNG
2400만	2400/SN+만/NR
달러를	달러/NNB+를/JKO
동결한	동결/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
방식의	방식/NNG+의/JKG
제재와는	제재/NNG+와/JKB+는/JX
거리가	거리/NNG+가/JKS
있다고	있/VA+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.193.7.1
한편 이 당국자는 미국 고위 당국자들과의 면담 뒷얘기를 전하면서 “한국 내에서 전시작전통제권과 자유무역협정(FTA) 사이에 정치적 거래가 있는 것으로 보는 것을 두고 미국은 (이 같은 주장을) 아주 의아하게 생각하며 이해하지 못하겠다는 반응을 보였다”고 말했다.

한편	한편/MAG
이	이/MMD
당국자는	당국자/NNG+는/JX
미국	미국/NNP
고위	고위/NNG
당국자들과의	당국자/NNG+들/XSN+과/JKB+의/JKG
면담	면담/NNG
뒷얘기를	뒷얘기/NNG+를/JKO
전하면서	전하/VV+면서/EC
“한국	“/SS+한국/NNP
내에서	내/NNB+에서/JKB
전시작전통제권과	전시/NNG+작전/NNG+통제/NNG+권/XSN+과/JC
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
사이에	사이/NNG+에/JKB
정치적	정치/NNG+적/XSN
거래가	거래/NNG+가/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
보는	보/VV+는/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
미국은	미국/NNP+은/JX
(이	(/SS+이/NP
같은	같/VA+은/ETM
주장을)	주장/NNG+을/JKO+)/SS
아주	아주/MAG
의아하게	의아/NNG+하/XSA+게/EC
생각하며	생각/NNG+하/XSV+며/EC
이해하지	이해/NNG+하/XSV+지/EC
못하겠다는	못하/VX+겠/EP+다는/ETM
반응을	반응/NNG+을/JKO
보였다”고	보이/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


