# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.33
metadata : {}


# id : NWRW1800000041.33.1.1
제주항공, 낮은 가격으로 높게 날았다

제주항공,	제주항공/NNP+,/SP
덕분”이라고	덕분/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.33.6.2
제주항공은 보잉 737-800 항공기를 올해 1대 더 도입할 계획이며, 12월 일본 오키나와와 베트남 하노이 노선을 신규 취항할 계획이다.

제주항공은	제주항공/NNP+은/JX
보잉	보잉/NNP
737-800	737/SN+-/SO+800/SN
항공기를	항공기/NNG+를/JKO
올해	올해/NNG
1대	1/SN+대/NNB
더	더/MAG
도입할	도입/NNG+하/XSV+ㄹ/ETM
계획이며,	계획/NNG+이/VCP+며/EC+,/SP
12월	12/SN+월/NNB
일본	일본/NNP
오키나와와	오키나와/NNP+와/JC
베트남	베트남/NNP
하노이	하노이/NNP
노선을	노선/NNG+을/JKO
신규	신규/NNG
취항할	취항/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.33.6.3
화물과 기내식품 판매 등 기타 매출은 지난해 3분기 28억 원에서 올해 71억 원으로 늘었다.

화물과	화물/NNG+과/JC
기내식품	기내/NNG+식품/NNG
판매	판매/NNG
등	등/NNB
기타	기타/NNG
매출은	매출/NNG+은/JX
지난해	지난해/NNG
3분기	3/SN+분기/NNG
28억	28/SN+억/NR
원에서	원/NNB+에서/JKB
올해	올해/NNG
71억	71/SN+억/NR
원으로	원/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.33.7.1
원가 절감은 ‘규모의 경제’가 실현되고 유가가 낮아진 것이 큰 영향을 미쳤다.

원가	원가/NNG
절감은	절감/NNG+은/JX
‘규모의	‘/SS+규모/NNG+의/JKG
경제’가	경제/NNG+’/SS+가/JKS
실현되고	실현/NNG+되/XSV+고/EC
유가가	유가/NNG+가/JKS
낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
것이	것/NNB+이/JKS
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.33.7.2
항공기가 12대에서 16대로 늘면서 매출원가율이 84%에서 83%로 낮아졌다.

항공기가	항공기/NNG+가/JKS
12대에서	12/SN+대/NNB+에서/JKB
16대로	16/SN+대/NNB+로/JKB
늘면서	늘/VV+면서/EC
매출원가율이	매출/NNG+원가/NNG+율/XSN+이/JKS
84%에서	84/SN+%/SW+에서/JKB
83%로	83/SN+%/SW+로/JKB
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.33.7.3
싱가포르 항공유 가격을 기준으로 33단계로 나뉘는 유류할증료는 항공유 가격이 내려가면서 다음 달에는 3년 7개월 만에 가장 낮은 11단계가 적용된다.

싱가포르	싱가포르/NNP
항공유	항공유/NNG
가격을	가격/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
33단계로	33/SN+단계/NNG+로/JKB
나뉘는	나뉘/VV+는/ETM
유류할증료는	유류/NNG+할증료/NNG+는/JX
가격이	가격/NNG+이/JKS
내려가면서	내려가/VV+면서/EC
다음	다음/NNG
달에는	달/NNG+에/JKB+는/JX
3년	3/SN+년/NNB
7개월	7/SN+개월/NNB
만에	만/NNB+에/JKB
가장	가장/MAG
낮은	낮/VA+은/ETM
11단계가	11/SN+단계/NNG+가/JKS
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.33.7.4
제주항공은 2005년 1월 창립 후 9년 8개월 만인 올해 9월 임직원 수 1000명을 돌파했다.

제주항공은	제주항공/NNP+은/JX
2005년	2005/SN+년/NNB
1월	1/SN+월/NNB
창립	창립/NNG
후	후/NNG
9년	9/SN+년/NNB
8개월	8/SN+개월/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
올해	올해/NNG
9월	9/SN+월/NNB
임직원	임직원/NNG
수	수/NNG
1000명을	1000/SN+명/NNB+을/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.33.8.1
다른 저비용항공사들은 매출액 등 실적을 공개하지 않고 있지만 국내선과 단거리 국제선을 중심으로 점유율을 높이고 있는 추세다.

다른	다른/MMD
저비용항공사들은	저/XPN+비용/NNG+항공사/NNG+들/XSN+은/JX
매출액	매출액/NNG
등	등/NNB
실적을	실적/NNG+을/JKO
공개하지	공개/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있지만	있/VX+지만/EC
국내선과	국내선/NNG+과/JC
단거리	단거리/NNG
국제선을	국제선/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
점유율을	점유/NNG+율/XSN+을/JKO
높이고	높이/VV+고/EC
있는	있/VX+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.33.8.2
김미숙 한국항공진흥협회 연구원은 “저비용항공사들이 올해 4월 국내선 점유율 50.0%를 기록한 뒤 계속 월별 점유율이 절반을 넘고 있다”며 “9월까지 누적 점유율은 49.9%로 연간 기준으로 올해 처음 50% 돌파가 거의 확실한 상황”이라고 설명했다.

김미숙	김미숙/NNP
한국항공진흥협회	한국항공진흥협회/NNP
연구원은	연구원/NNG+은/JX
“저비용항공사들이	“/SS+저/XPN+비용/NNG+항공사/NNG+들/XSN+이/JKS
올해	올해/NNG
4월	4/SN+월/NNB
국내선	국내선/NNG
점유율	점유/NNG+율/XSN
50.0%를	50/SN+./SP+0/SN+%/SW+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
계속	계속/MAG
월별	월/NNG+별/XSN
점유율이	점유/NNG+율/XSN+이/JKS
절반을	절반/NNG+을/JKO
넘고	넘/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“9월까지	“/SS+9/SN+월/NNB+까지/JX
누적	누적/NNG
점유율은	점유/NNG+율/XSN+은/JX
49.9%로	49/SN+./SP+9/SN+%/SW+로/JKB
연간	연간/NNG
기준으로	기준/NNG+으로/JKB
처음	처음/NNG
50%	50/SN+%/SW
돌파가	돌파/NNG+가/JKS
거의	거의/MAG
확실한	확실하/VA+ㄴ/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


