# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.278
metadata : {}


# id : NWRW1800000032.278.1.1
종편 첫날 간판상품은 ‘박근혜’

종편	종편/NNG
기존의	기존/NNG+의/JKG
발언을	발언/NNG+을/JKO
재확인하는	재/XPN+확인/NNG+하/XSV+는/ETM
수준에	수준/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.278.5.2
박 전 대표는 자신이 신당을 창당할 뜻이 있느냐는 물음에 “확실히 아니라고 말할 수 있다”고 말했다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
자신이	자신/NNG+이/JKS
신당을	신당/NNG+을/JKO
창당할	창당/NNG+하/XSV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
있느냐는	있/VA+느냐는/ETM
물음에	물음/NNG+에/JKB
“확실히	“/SS+확실히/MAG
아니라고	아니/VCN+라고/EC
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.278.5.3
최근 논란이 된 한나라당의 소득세 최고구간 신설 문제에 관해선 “실효성이 있는지 신중하게 검토해야 한다”며 “대주주의 자본·주식 같은 금융자산에 대한 양도소득세는 강화할 필요가 있다”고 말했다.

최근	최근/MAG
논란이	논란/NNG+이/JKC
된	되/VV+ㄴ/ETM
한나라당의	한나라당/NNP+의/JKG
소득세	소득세/NNG
최고구간	최고/NNG+구간/NNG
신설	신설/NNG
문제에	문제/NNG+에/JKB
관해선	관하/VV+아서/EC+ㄴ/JX
“실효성이	“/SS+실효/NNG+성/XSN+이/JKS
있는지	있/VA+는지/EF
신중하게	신중/NNG+하/XSA+게/EC
검토해야	검토/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“대주주의	“/SS+대/XPN+주주/NNG+의/JKG
자본·주식	자본/NNG+·/SP+주식/NNG
같은	같/VA+은/ETM
금융자산에	금융/NNG+자산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
양도소득세는	양도/NNG+소득세/NNG+는/JX
강화할	강화/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.278.5.4
안철수 서울대 융합과학기술대학원장에 대해선 “(소개팅에서 만났다면) 참 인상 좋은 분이어서 소개팅 잘 나왔다고 생각했을 것“이라고 말하기도 했다.

안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장에	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“(소개팅에서	“/SS+(/SS+소개팅/NNG+에서/JKB
만났다면)	만나/VV+았/EP+다면/EC+)/SS
참	참/MAG
인상	인상/NNG
좋은	좋/VA+은/ETM
분이어서	분/NNB+이/VCP+어서/EC
소개팅	소개팅/NNG
잘	잘/MAG
나왔다고	나오/VV+았/EP+다고/EC
생각했을	생각/NNG+하/XSV+았/EP+을/ETM
것“이라고	것/NNB+“/SS+이라고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.278.6.1
앞서 <제이티비시>는 박 전 대표와의 인터뷰를 녹화하며 오디오 녹음 장치를 켜지 않아 재녹화를 하는 실수를 했다.

앞서	앞서/MAG
<제이티비시>는	</SS+제이티비시/NNP+>/SS+는/JX
박	박/NNP
전	전/MMD
대표와의	대표/NNG+와/JKB+의/JKG
인터뷰를	인터뷰/NNG+를/JKO
녹화하며	녹화/NNG+하/XSV+며/EC
오디오	오디오/NNG
녹음	녹음/NNG
장치를	장치/NNG+를/JKO
켜지	켜/VV+지/EC
않아	않/VX+아/EC
재녹화를	재/XPN+녹화/NNG+를/JKO
하는	하/VV+는/ETM
실수를	실수/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.278.6.2
박 전 대표의 한 측근은 “정말 황당했다.

박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
한	한/MMN
측근은	측근/NNG+은/JX
“정말	“/SS+정말/MAG
황당했다.	황당하/VA+았/EP+다/EF+./SF


# id : NWRW1800000032.278.6.3
기본이 안 되어 있어 모두 놀랐다”며 “박 전 대표도 ‘세상에 어떻게 그런 일이 벌어질 수 있느냐’고 말했다”고 전했다.

기본이	기본/NNG+이/JKC
안	안/MAG
되어	되/VV+어/EC
있어	있/VX+어/EC
모두	모두/MAG
놀랐다”며	놀라/VV+았/EP+다/EF+”/SS+며/EC
“박	“/SS+박/NNP
전	전/MMD
대표도	대표/NNG+도/JX
‘세상에	‘/SS+세상/NNG+에/JKB
어떻게	어떻/VA+게/EC
그런	그런/MMD
일이	일/NNG+이/JKS
벌어질	벌어지/VV+ㄹ/ETM
수	수/NNB
있느냐’고	있/VA+느냐/EF+’/SS+고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


