# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.398
metadata : {}


# id : NWRW1800000028.398.1.1
여자농구 대표팀 가까스로 12명

여자농구	여자/NNG+농구/NNG
그러나 김지윤이 직접 구단을 설득해 동의를 이끌어 낸 것으로 알려졌다.

그러나	그러나/MAJ
김지윤이	김지윤/NNP+이/JKS
직접	직접/MAG
구단을	구단/NNG+을/JKO
설득해	설득/NNG+하/XSV+아/EC
동의를	동의/NNG+를/JKO
이끌어	이끌/VV+어/EC
낸	내/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.398.3.4
정인교 신세계 감독은 “김지윤이 부상 정도가 나아졌다고 판단해 구단에 광저우로 가겠다는 의사를 밝힌 것으로 안다”고 말했다.

정인교	정인교/NNP
신세계	신세계/NNP
감독은	감독/NNG+은/JX
“김지윤이	“/SS+김지윤/NNP+이/JKS
부상	부상/NNG
정도가	정도/NNG+가/JKS
나아졌다고	나아지/VV+었/EP+다고/EC
판단해	판단/NNG+하/XSV+아/EC
구단에	구단/NNG+에/JKB
광저우로	광저우/NNP+로/JKB
가겠다는	가/VV+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.398.3.5
정 감독은 “보름 정도 운동을 쉰 상태라 김지윤이 당장 경기를 뛰기엔 힘든 상태”라면서도 “중국이나 일본 같은 중요한 상대와의 경기 때엔 코트에 나서 맡은 역할을 잘할 수 있을 것”이라고 기대했다.

정	정/NNP
감독은	감독/NNG+은/JX
“보름	“/SS+보름/NNG
정도	정도/NNG
운동을	운동/NNG+을/JKO
쉰	쉬/VV+ㄴ/ETM
상태라	상태/NNG+이/VCP+라/EC
김지윤이	김지윤/NNP+이/JKS
당장	당장/NNG
경기를	경기/NNG+를/JKO
뛰기엔	뛰/VV+기/ETN+에/JKB+ㄴ/JX
힘든	힘들/VA+ㄴ/ETM
상태”라면서도	상태/NNG+”/SS+이/VCP+라면서/EC+도/JX
“중국이나	“/SS+중국/NNP+이나/JC
일본	일본/NNP
같은	같/VA+은/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
상대와의	상대/NNG+와/JKB+의/JKG
경기	경기/NNG
때엔	때/NNG+에/JKB+ㄴ/JX
코트에	코트/NNG+에/JKB
나서	나/VV+아서/EC
맡은	맡/VV+은/ETM
역할을	역할/NNG+을/JKO
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.398.4.1
이로써 이날 김지윤 없이 11명의 선수들만 데리고 광저우에 도착한 임달식 대표팀 감독은 한시름 놓게 됐다.

이로써	이/NP+로써/JKB
이날	이날/NNG
김지윤	김지윤/NNP
없이	없이/MAG
11명의	11/SN+명/NNB+의/JKG
선수들만	선수/NNG+들/XSN+만/JX
데리고	데리/VV+고/EC
광저우에	광저우/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
임달식	임달식/NNP
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
한시름	한시름/NNG
놓게	놓/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.398.4.2
여자대표팀은 정선민(36), 최윤아(25·이상 신한은행), 김정은(23·신세계) 등 주력 선수들이 부상으로 빠져 전력 공백이 큰 상태다.

여자대표팀은	여자/NNG+대표/NNG+팀/NNG+은/JX
정선민(36),	정선민/NNP+(/SS+36/SN+)/SS+,/SP
최윤아(25·이상	최윤아/NNP+(/SS+25/SN+·/SP+이상/NNG
신한은행),	신한은행/NNP+)/SS+,/SP
김정은(23·신세계)	김정은/NNP+(/SS+23/SN+·/SP+신세계/NNP+)/SS
등	등/NNB
주력	주력/NNG
선수들이	선수/NNG+들/XSN+이/JKS
부상으로	부상/NNG+으로/JKB
빠져	빠지/VV+어/EC
전력	전력/NNG
공백이	공백/NNG+이/JKS
큰	크/VA+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.398.4.3
또 18~25일 1주일 동안 5경기를 치러야 하는데, 포인트 가드가 이미선(31·삼성생명), 이경은(23·kdb생명) 두명뿐이어서 체력 부담이 우려됐다.

또	또/MAG
18~25일	18/SN+~/SO+25/SN+일/NNB
1주일	1/SN+주일/NNB
동안	동안/NNG
5경기를	5/SN+경기/NNG+를/JKO
치러야	치르/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
포인트	포인트/NNG
가드가	가드/NNG+가/JKS
이미선(31·삼성생명),	이미선/NNP+(/SS+31/SN+·/SP+삼성생명/NNP+)/SS+,/SP
이경은(23·kdb생명)	이경은/NNP+(/SS+23/SN+·/SP+kdb생명/NNP+)/SS
두명뿐이어서	두/MMN+명/NNB+뿐/JX+이/VCP+어서/EC
체력	체력/NNG
부담이	부담/NNG+이/JKS
우려됐다.	우려/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.398.4.4
오가 유코(28), 요시다 아사미(23) 등 작고 빠른 가드진을 앞세운 일본을 상대하기 위해서도 가드진 보강은 필요했다.

오가	오가/NNP
유코(28),	유코/NNP+(/SS+28/SN+)/SS+,/SP
요시다	요시다/NNP
아사미(23)	아사미/NNP+(/SS+23/SN+)/SS
등	등/NNB
작고	작/VA+고/EC
빠른	빠르/VA+ㄴ/ETM
가드진을	가드진/NNG+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
일본을	일본/NNP+을/JKO
상대하기	상대/NNG+하/XSV+기/ETN
위해서도	위하/VV+아서/EC+도/JX
가드진	가드진/NNG
보강은	보강/NNG+은/JX
필요했다.	필요/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000028.398.5.1
임달식 대표팀 감독은 “세계선수권대회 8강 진출로 한껏 고조됐던 분위기를 아시아경기대회로 이어가고 싶다”며 “최선을 다해 중국을 꺾고 금메달에 도전하겠다”고 밝혔다.

임달식	임달식/NNP
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
“세계선수권대회	“/SS+세계/NNG+선수/NNG+권/XSN+대회/NNG
8강	8/SN+강/NNB
진출로	진출/NNG+로/JKB
한껏	한껏/MAG
고조됐던	고조/NNG+되/XSV+었/EP+던/ETM
분위기를	분위기/NNG+를/JKO
아시아경기대회로	아시아/NNP+경기/NNG+대회/NNG+로/JKB
이어가고	잇/VV+어/EC+가/VX+고/EC
싶다”며	싶/VX+다/EF+”/SS+며/EC
“최선을	“/SS+최선/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
중국을	중국/NNP+을/JKO
꺾고	꺾/VV+고/EC
금메달에	금메달/NNG+에/JKB
도전하겠다”고	도전/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


