# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.265
metadata : {}


# id : NWRW1800000026.265.1.1
막말 토해내는 '인강(인터넷 강의)';"으아! ○○○ 도지사 죽여버리고 싶어요" "여학생들 재수할 돈으로 쌍꺼풀 수술해라"

막말	막말/NNG
나온	나오/VV+ㄴ/ETM
신문을	신문/NNG+을/JKO
구겨	구기/VV+어/EC
찢어버리면서	찢/VV+어/EC+버리/VX+면서/EC
"으아,	"/SS+으아/IC+,/SP
○○○지사	○○○/SW+지사/NNG
죽여버리고	죽이/VV+어/EC+버리/VX+고/EC
싶어요!"라고	싶/VX+어요/EF+!/SF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.265.3.2
최씨가 일제강점기와 관련해 단체장이 한 발언을 과장 보도한 신문을 인용하면서 과격하게 비판하자 학생들은 깔깔깔 소리 내며 웃었다.

최씨가	최/NNP+씨/NNB+가/JKS
일제강점기와	일제/NNG+강점기/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
단체장이	단체장/NNG+이/JKS
한	하/VV+ㄴ/ETM
발언을	발언/NNG+을/JKO
과장	과장/NNG
보도한	보도/NNG+하/XSV+ㄴ/ETM
신문을	신문/NNG+을/JKO
인용하면서	인용/NNG+하/XSV+면서/EC
과격하게	과격/NNG+하/XSA+게/EC
비판하자	비판/NNG+하/XSV+자/EC
학생들은	학생/NNG+들/XSN+은/JX
깔깔깔	깔깔깔/MAG
소리	소리/NNG
내며	내/VV+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.265.4.1
이 강의는 인강용으로 촬영돼 고등학생 수만명이 시청했다.

이	이/MMD
강의는	강의/NNG+는/JX
인강용으로	인강/NNG+용/XSN+으로/JKB
촬영돼	촬영/NNG+되/XSV+어/EC
고등학생	고등학생/NNG
수만명이	수만/NR+명/NNB+이/JKS
시청했다.	시청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.265.4.2
그는 수업 중에 "이명박 대통령이 K장관을 내치지 않는 이유요? 복잡하게 생각할 것 없어요. 이 대통령이 ○○교회에서 만났거든요"라고 말하기도 했다.

그는	그/NP+는/JX
수업	수업/NNG
중에	중/NNB+에/JKB
"이명박	"/SS+이명박/NNP
대통령이	대통령/NNG+이/JKS
K장관을	K/SL+장관/NNG+을/JKO
내치지	내치/VV+지/EC
않는	않/VX+는/ETM
이유요?	이유/NNG+요/JX+?/SF
복잡하게	복잡하/VA+게/EC
생각할	생각/NNG+하/XSV+ㄹ/ETM
것	것/NNB
없어요.	없/VA+어요/EF+./SF
이	이/NNP
○○교회에서	○○/SW+교회/NNG+에서/JKB
만났거든요"라고	만나/VV+았/EP+거든/EF+요/JX+"/SS+라고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.265.5.1
'인강'에서 절대적 영향력을 행사하고 있는 스타 강사들이 편향적인 발언과 막말을 쏟아내고 있다.

'인강'에서	'/SS+인강/NNG+'/SS+에서/JKB
절대적	절대/NNG+적/XSN
영향력을	영향력/NNG+을/JKO
행사하고	행사/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
스타	스타/NNG
강사들이	강사/NNG+들/XSN+이/JKS
편향적인	편향/NNG+적/XSN+이/VCP+ㄴ/ETM
발언과	발언/NNG+과/JC
막말을	막말/NNG+을/JKO
쏟아내고	쏟/VV+아/EC+내/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.265.5.2
그러나 학생들은 무방비 상태로 노출돼 수업을 듣고 있다.

그러나	그러나/MAJ
학생들은	학생/NNG+들/XSN+은/JX
무방비	무/XPN+방비/NNG
상태로	상태/NNG+로/JKB
노출돼	노출/NNG+되/XSV+어/EC
수업을	수업/NNG+을/JKO
듣고	듣/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.265.5.3
국내 최대 인터넷 강의업체 '메가스터디'에 따르면, 인강은 전국의 2225개 고등학교 중 단 세 군데를 빼고 전부 수강생이 있을 정도로 대표적 학습 수단으로 자리 잡았다.

국내	국내/NNG
최대	최대/NNG
인터넷	인터넷/NNG
강의업체	강의/NNG+업체/NNG
'메가스터디'에	'/SS+메가스터디/NNP+'/SS+에/JKB
따르면,	따르/VV+면/EC+,/SP
인강은	인강/NNG+은/JX
전국의	전국/NNG+의/JKG
2225개	2225/SN+개/NNB
고등학교	고등학교/NNG
중	중/NNB
단	단/MMA
세	세/MMN
군데를	군데/NNB+를/JKO
빼고	빼/VV+고/EC
전부	전부/MAG
수강생이	수강/NNG+생/XSN+이/JKS
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
대표적	대표/NNG+적/XSN
학습	학습/NNG
수단으로	수단/NNG+으로/JKB
자리	자리/NNG
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.265.5.4
그러나 인강에 대한 법적 규제나 가이드라인은 전혀 없다.

그러나	그러나/MAJ
인강에	인강/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법적	법/NNG+적/XSN
규제나	규제/NNG+나/JC
가이드라인은	가이드라인/NNG+은/JX
전혀	전혀/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.265.5.5
이 때문에 강사들이 무책임하게 내뱉는 정치적 불만이나 폭언, 욕설은 인터넷을 타고 학생들에게 가감없이 전달되고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
강사들이	강사/NNG+들/XSN+이/JKS
무책임하게	무/XPN+책임/NNG+하/XSA+게/EC
내뱉는	내뱉/VV+는/ETM
정치적	정치/NNG+적/XSN
불만이나	불만/NNG+이나/JC
폭언,	폭언/NNG+,/SP
욕설은	욕설/NNG+은/JX
인터넷을	인터넷/NNG+을/JKO
타고	타/VV+고/EC
학생들에게	학생/NNG+들/XSN+에게/JKB
가감없이	가감/NNG+없이/MAG
전달되고	전달/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.265.5.6
정제되지 않은 수업을 통해 정치 사상을 주입받고 언어 폭력의 피해자가 되는 것은 학생들이다.

정제되지	정제/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
수업을	수업/NNG+을/JKO
통해	통하/VV+아/EC
정치	정치/NNG
사상을	사상/NNG+을/JKO
주입받고	주입/NNG+받/XSV+고/EC
언어	언어/NNG
폭력의	폭력/NNG+의/JKG
피해자가	피해자/NNG+가/JKC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
학생들이다.	학생/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.265.6.1
386세대로 서울 강남 대치동에서 학원강사를 하다 그만둔 서모(43)씨는 "언어·사회 쪽에는 좌파 강사들이 널렸다"며 '대학 졸업 후 취업이 어려웠던 운동권 출신들이 대거 학원가로 몰리면서 자신의 이념을 학생들에게 주입하는 경우도 많다"고 말했다.

386세대로	386/SN+세대/NNG+로/JKB
서울	서울/NNP
강남	강남/NNP
대치동에서	대치동/NNP+에서/JKB
학원강사를	학원/NNG+강사/NNG+를/JKO
하다	하/VV+다/EC
그만둔	그만두/VV+ㄴ/ETM
서모(43)씨는	서/NNP+모/NP+(/SS+43/SN+)/SS+씨/NNB+는/JX
"언어·사회	"/SS+언어/NNG+·/SP+사회/NNG
쪽에는	쪽/NNB+에/JKB+는/JX
좌파	좌파/NNG
강사들이	강사/NNG+들/XSN+이/JKS
널렸다"며	널리/VV+었/EP+다/EF+"/SS+며/EC
'대학	'/SS+대학/NNG
졸업	졸업/NNG
후	후/NNG
취업이	취업/NNG+이/JKS
어려웠던	어렵/VA+었/EP+던/ETM
운동권	운동/NNG+권/XSN
출신들이	출신/NNG+들/XSN+이/JKS
대거	대거/MAG
학원가로	학원가/NNG+로/JKB
몰리면서	몰리/VV+면서/EC
자신의	자신/NNG+의/JKG
이념을	이념/NNG+을/JKO
학생들에게	학생/NNG+들/XSN+에게/JKB
주입하는	주입/NNG+하/XSV+는/ETM
경우도	경우/NNG+도/JX
많다"고	많/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


