# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.394
metadata : {}


# id : NWRW1800000037.394.1.1
[수도권]한강에 모래톱 - 생태숲 되살린다

[수도권]한강에	[/SS+수도/NNG+권/XSN+]/SS+한강/NNP+에/JKB
공존하는	공존/NNG+하/XSV+는/ETM
생태계로	생태/NNG+계/XSN+로/JKB
복원하기	복원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
‘8대	‘/SS+8/SN+대/NNG
핵심과제’를	핵심/NNG+과제/NNG+’/SS+를/JKO
시행한다는	시행/NNG+하/XSV+ㄴ다는/ETM
‘한강	‘/SS+한강/NNP
자연성	자연/NNG+성/XSN
회복	회복/NNG
기본	기본/NNG
구상’을	구상/NNG+’/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.394.5.1
시는 우선 한강의 신곡수중보와 잠실수중보로 인해 수질이 오염되고 동식물 이동이 제한된다고 보고 수중보 철거나 구조 변경 등의 조치를 연구용역을 통해 검토할 계획이다.

시는	시/NNG+는/JX
우선	우선/MAG
한강의	한강/NNP+의/JKG
신곡수중보와	신곡수중보/NNP+와/JC
잠실수중보로	잠실수중보/NNP+로/JKB
인해	인/NNG+하/XSV+아/EC
수질이	수질/NNG+이/JKS
오염되고	오염/NNG+되/XSV+고/EC
동식물	동식물/NNG
이동이	이동/NNG+이/JKS
제한된다고	제한/NNG+되/XSV+ㄴ다고/EC
보고	보/VV+고/EC
수중보	수중보/NNG
철거나	철거/NNG+나/JC
구조	구조/NNG
변경	변경/NNG
등의	등/NNB+의/JKG
조치를	조치/NNG+를/JKO
연구용역을	연구/NNG+용역/NNG+을/JKO
통해	통하/VV+아/EC
검토할	검토/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.394.5.2
한강의 수질은 대부분 구간에서 ‘약간 좋음(Ⅱ)’에 그치고 있다.

한강의	한강/NNP+의/JKG
수질은	수질/NNG+은/JX
대부분	대/XPN+부분/NNG
구간에서	구간/NNG+에서/JKB
‘약간	‘/SS+약간/MAG
좋음(Ⅱ)’에	좋/VA+음/ETN+(/SS+Ⅱ/SL+)/SS+’/SS+에/JKB
그치고	그치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.394.6.1
생물서식처 복원에도 주력하기로 했다.

생물서식처	생물/NNG+서식처/NNG
복원에도	복원/NNG+에/JKB+도/JX
주력하기로	주력/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.394.6.2
시는 보호 동식물이 살고 있지만 인공구조물이 많은 안양천과 홍제천 합류부, 중랑천 합류부, 탄천 합류부, 여의도샛강과 밤섬 등 4곳을 복원 후보지로 정하고 자연호안 및 모래톱 등을 조성할 방침이다.

시는	시/NNG+는/JX
보호	보호/NNG
동식물이	동식물/NNG+이/JKS
살고	살/VV+고/EC
있지만	있/VX+지만/EC
인공구조물이	인공/NNG+구조물/NNG+이/JKS
많은	많/VA+은/ETM
안양천과	안양천/NNP+과/JC
홍제천	홍제천/NNP
합류부,	합류부/NNG+,/SP
중랑천	중랑천/NNP
탄천	탄천/NNP
여의도샛강과	여의도샛강/NNP+과/JC
밤섬	밤섬/NNP
등	등/NNB
4곳을	4/SN+곳/NNG+을/JKO
복원	복원/NNG
후보지로	후보지/NNG+로/JKB
정하고	정하/VV+고/EC
자연호안	자연/NNG+호안/NNG
및	및/MAG
모래톱	모래톱/NNG
등을	등/NNB+을/JKO
조성할	조성/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.394.6.3
먹이사슬 유지 및 영양 물질 순환 기능을 하는 천변 습지를 조성하기 위한 후보지로 홍제천 안양천 중랑천 탄천 합류부와 노들섬 등을 검토 중이다.

먹이사슬	먹이/NNG+사슬/NNG
유지	유지/NNG
및	및/MAG
영양	영양/NNG
물질	물질/NNG
순환	순환/NNG
기능을	기능/NNG+을/JKO
하는	하/VV+는/ETM
천변	천변/NNG
습지를	습지/NNG+를/JKO
조성하기	조성/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
후보지로	후보지/NNG+로/JKB
홍제천	홍제천/NNP
안양천	안양천/NNP
중랑천	중랑천/NNP
탄천	탄천/NNP
합류부와	합류부/NNG+와/JC
노들섬	노들섬/NNP
등을	등/NNB+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.394.7.1
이 밖에도 하천에 어울리는 버드나무, 물푸레나무 등을 심어 한강 광장과 자연 사이의 완충 지역을 확보하는 방식으로 한강 숲도 조성한다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
하천에	하천/NNG+에/JKB
어울리는	어울리/VV+는/ETM
버드나무,	버드나무/NNG+,/SP
물푸레나무	물푸레나무/NNG
등을	등/NNB+을/JKO
심어	심/VV+어/EC
한강	한강/NNP
광장과	광장/NNG+과/JC
자연	자연/NNG
사이의	사이/NNG+의/JKG
완충	완충/NNG
지역을	지역/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
숲도	숲/NNG+도/JX
조성한다.	조성/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.394.7.2
후보지는 강서습지 하류, 여의도샛강 합류부 등 9곳이다.

후보지는	후보지/NNG+는/JX
강서습지	강서습지/NNP
하류,	하류/NNG+,/SP
여의도샛강	여의도샛강/NNP
합류부	합류부/NNG
등	등/NNB
9곳이다.	9/SN+곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.394.7.3
녹지 확보를 통해 단절된 생태축을 연결하는 방안도 추진한다.

녹지	녹지/NNG
확보를	확보/NNG+를/JKO
통해	통하/VV+아/EC
단절된	단절/NNG+되/XSV+ㄴ/ETM
생태축을	생태축/NNG+을/JKO
연결하는	연결/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.394.7.4
연결이 추진될 생태축은 ‘북한산∼북악산∼용산∼한강(이촌지구)∼현충원’, 강변북로와 올림픽대로 건설로 단절된 ‘덕양산∼개화산’, ‘아차산∼청량산∼고덕근린공원’이다.

연결이	연결/NNG+이/JKS
추진될	추진/NNG+되/XSV+ㄹ/ETM
생태축은	생태축/NNG+은/JX
‘북한산∼북악산∼용산∼한강(이촌지구)∼현충원’,	‘/SS+북한산/NNP+∼/SO+북악산/NNP+∼/SO+용산/NNP+∼/SO+한강/NNP+(/SS+이촌지구/NNP+)/SS+∼/SO+현충원/NNP+’/SS+,/SP
강변북로와	강변북로/NNP+와/JC
올림픽대로	올림픽대로/NNP
건설로	건설/NNG+로/JKB
단절된	단절/NNG+되/XSV+ㄴ/ETM
‘덕양산∼개화산’,	‘/SS+덕양산/NNP+∼/SO+개화산/NNP+’/SS+,/SP
‘아차산∼청량산∼고덕근린공원’이다.	‘/SS+아차산/NNP+∼/SO+청량산/NNP+∼/SO+고덕근린공원/NNP+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.394.7.5
시는 연구와 의견수렴 과정을 거쳐 올해 말 구체적인 생태계 회복 방안을 담은 ‘2030 한강 자연성 회복 기본 계획’을 발표할 계획이다.

시는	시/NNG+는/JX
연구와	연구/NNG+와/JC
의견수렴	의견/NNG+수렴/NNG
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
올해	올해/NNG
말	말/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
생태계	생태/NNG+계/XSN
회복	회복/NNG
방안을	방안/NNG+을/JKO
담은	담/VV+은/ETM
‘2030	‘/SS+2030/SN
한강	한강/NNP
자연성	자연/NNG+성/XSN
기본	기본/NNG
계획’을	계획/NNG+’/SS+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


