# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.18
metadata : {}


# id : NWRW1800000021.18.1.1
겨울이라 건조해?

겨울이라	겨울/NNG+이/VCP+라/EC
# id : NWRW1800000021.18.5.2
유기농으로 재배된 프랑스 장미와 한국 야생초인 백리향 추출물을 함유했다.

유기농으로	유기농/NNG+으로/JKB
재배된	재배/NNG+되/XSV+ㄴ/ETM
프랑스	프랑스/NNP
장미와	장미/NNG+와/JC
한국	한국/NNP
야생초인	야생초/NNG+이/VCP+ㄴ/ETM
백리향	백리향/NNG
추출물을	추출물/NNG+을/JKO
함유했다.	함유/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.18.5.3
물 대신 100% 대나무 추출물을 활용해 피부 보습 강화에 효과적이다.

물	물/NNG
대신	대신/NNG
100%	100/SN+%/SW
대나무	대나무/NNG
추출물을	추출물/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
피부	피부/NNG
보습	보습/NNG
강화에	강화/NNG+에/JKB
효과적이다.	효과/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.18.6.1
뉴트로지나의 ‘릴랙싱 바디 모이스춰라이저’는 라벤더 향의 천연 아로마 복합 성분이 건조한 피부를 완화시키고 기분도 함께 안정시켜 준다.

뉴트로지나의	뉴트로지나/NNP+의/JKG
‘릴랙싱	‘/SS+릴랙싱/NNP
바디	바디/NNP
모이스춰라이저’는	모이스춰라이저/NNP+’/SS+는/JX
라벤더	라벤더/NNG
향의	향/NNG+의/JKG
천연	천연/NNG
아로마	아로마/NNG
복합	복합/NNG
성분이	성분/NNG+이/JKS
건조한	건조/NNG+하/XSA+ㄴ/ETM
피부를	피부/NNG+를/JKO
완화시키고	완화/NNG+시키/XSV+고/EC
기분도	기분/NNG+도/JX
함께	함께/MAG
안정시켜	안정/NNG+시키/XSV+어/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.18.7.1
유니레버코리아는 최근 기존 제품들보다 25% 이상 많은 보습 성분을 함유한 ‘바세린 인텐시브 레스큐’ 라인을 선보였다.

유니레버코리아는	유니레버코리아/NNP+는/JX
최근	최근/MAG
기존	기존/NNG
제품들보다	제품/NNG+들/XSN+보다/JKB
25%	25/SN+%/SW
이상	이상/NNG
많은	많/VA+은/ETM
보습	보습/NNG
성분을	성분/NNG+을/JKO
함유한	함유/NNG+하/XSV+ㄴ/ETM
‘바세린	‘/SS+바세린/NNP
인텐시브	인텐시브/NNP
레스큐’	레스큐/NNP+’/SS
라인을	라인/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.18.8.1
보디로션과 핸드크림, 풋크림 모두 끈적임과 유분기가 거의 없는 저자극성 제품으로 피부가 약하고 향에 민감한 사람들도 무리 없이 사용할 수 있다.

보디로션과	보디로션/NNG+과/JC
핸드크림,	핸드크림/NNG+,/SP
풋크림	풋크림/NNG
모두	모두/MAG
끈적임과	끈적이/VV+ㅁ/ETN+과/JC
유분기가	유분기/NNG+가/JKS
거의	거의/MAG
없는	없/VA+는/ETM
저자극성	저/XPN+자극/NNG+성/XSN
제품으로	제품/NNG+으로/JKB
피부가	피부/NNG+가/JKS
약하고	약하/VA+고/EC
향에	향/NNG+에/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
사람들도	사람/NNG+들/XSN+도/JX
무리	무리/NNG
없이	없이/MAG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


