# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.78
metadata : {}


# id : NWRW1800000036.78.1.1
일 ‘원전 주민투표’ 정치권 거부로 무산

일	일/NNP
제1원전	제/XPN+1/SN+원전/NNG
2호기의	2/SN+호기/NNB+의/JKG
격납용기	격납/NNG+용기/NNG
안의	안/NNG+의/JKG
방사선량을	방사선량/NNG+을/JKO
처음	처음/NNG
측정한	측정/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
최고	최고/NNG
시간당	시간/NNG+당/XSN
73시버트에	73/SN+시버트/NNP+에/JKB
이르렀다고	이르/VV+었/EP+다고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.78.8.2
약 6분간 쬐면 사람이 사망할 정도의 고선량으로, 사람은 물론이고 기계 작업조차 쉽지 않은 수준이다.

약	약/MMA
6분간	6/SN+분/NNB+간/XSN
쬐면	쬐/VV+면/EC
사람이	사람/NNG+이/JKS
사망할	사망/NNG+하/XSV+ㄹ/ETM
정도의	정도/NNG+의/JKG
고선량으로,	고/XPN+선량/NNG+으로/JKB+,/SP
사람은	사람/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
기계	기계/NNG
작업조차	작업/NNG+조차/JX
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


