# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.77
metadata : {}


# id : NWRW1800000029.77.1.1
삼성 올 임원인사 어떻게… “실적 청렴 비전 모두 갖춘 인재 발탁”

삼성	삼성/NNP
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.77.4.4
이 회장은 당시 “잘나가던 회사가 나태와 부정으로 주저앉은 사례가 많다.

이	이/NNP
회장은	회장/NNG+은/JX
당시	당시/NNG
“잘나가던	“/SS+잘나가/VV+던/ETM
회사가	회사/NNG+가/JKS
나태와	나태/NNG+와/JC
부정으로	부정/NNG+으로/JKB
주저앉은	주저앉/VV+은/ETM
사례가	사례/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.77.4.5
부정을 저지르면 큰일 난다는 생각을 심어줘야 한다”면서 일벌백계를 예고한 바 있다.

부정을	부정/NNG+을/JKO
저지르면	저지르/VV+면/EC
큰일	큰일/NNG
난다는	나/VV+ㄴ다는/ETM
생각을	생각/NNG+을/JKO
심어줘야	심/VV+어/EC+주/VX+어야/EC
한다”면서	하/VX+ㄴ다/EF+”/SS+면서/EC
일벌백계를	일벌백계/NNG+를/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.77.5.1
건설과 상사 부문을 합친 삼성물산은 가뜩이나 건설 경기가 나빠서 해외 자원 개발 등에서 활로를 찾는 상황에서 임직원의 아파트 편법 분양이 문제가 되자 건설 부문 임직원들이 바짝 긴장하고 있다.

건설과	건설/NNG+과/JC
상사	상사/NNG
부문을	부문/NNG+을/JKO
합친	합치/VV+ㄴ/ETM
삼성물산은	삼성물산/NNP+은/JX
가뜩이나	가뜩이나/MAG
건설	건설/NNG
경기가	경기/NNG+가/JKS
나빠서	나쁘/VA+아서/EC
해외	해외/NNG
자원	자원/NNG
개발	개발/NNG
등에서	등/NNB+에서/JKB
활로를	활로/NNG+를/JKO
찾는	찾/VV+는/ETM
상황에서	상황/NNG+에서/JKB
임직원의	임직원/NNG+의/JKG
아파트	아파트/NNG
편법	편법/NNG
분양이	분양/NNG+이/JKS
문제가	문제/NNG+가/JKC
되자	되/VV+자/EC
부문	부문/NNG
임직원들이	임직원/NNG+들/XSN+이/JKS
바짝	바짝/MAG
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.77.6.1
글로벌 위기의 전면에 선 금융 계열사 임원들도 안팎의 악재를 우려하고 있다.

글로벌	글로벌/NNG
위기의	위기/NNG+의/JKG
전면에	전면/NNG+에/JKB
선	서/VV+ㄴ/ETM
금융	금융/NNG
계열사	계열사/NNG
임원들도	임원/NNG+들/XSN+도/JX
안팎의	안팎/NNG+의/JKG
악재를	악재/NNG+를/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.77.6.2
삼성증권과 삼성카드는 실적은 좋지만 최근 고객정보 관리에서 잇달아 문제를 일으켰다.

삼성증권과	삼성증권/NNP+과/JC
삼성카드는	삼성카드/NNP+는/JX
실적은	실적/NNG+은/JX
좋지만	좋/VA+지만/EC
최근	최근/NNG
고객정보	고객/NNG+정보/NNG
관리에서	관리/NNG+에서/JKB
잇달아	잇달/VV+아/EC
문제를	문제/NNG+를/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.77.6.3
삼성카드는 마케팅팀 직원이 고객정보 80만 건을 대부중개업체에 넘긴 사실이 지난달 경찰에 적발돼 시민단체가 최치훈 사장을 고발하는 지경에 이르렀다.

삼성카드는	삼성카드/NNP+는/JX
마케팅팀	마케팅/NNG+팀/NNG
직원이	직원/NNG+이/JKS
고객정보	고객/NNG+정보/NNG
80만	80/SN+만/NR
건을	건/NNB+을/JKO
대부중개업체에	대부/NNG+중개업체/NNG+에/JKB
넘긴	넘기/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
지난달	지난달/NNG
경찰에	경찰/NNG+에/JKB
적발돼	적발/NNG+되/XSV+어/EC
시민단체가	시민/NNG+단체/NNG+가/JKS
최치훈	최치훈/NNP
사장을	사장/NNG+을/JKO
고발하는	고발/NNG+하/XSV+는/ETM
지경에	지경/NNB+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.77.6.4
삼성증권은 계열사(삼성중공업) 채권을 매입한 사실을 숨기고, 고객의 채권 매매 정보를 팀 간에 공유했다가 자본시장법 위반으로 금융감독원의 제재를 받았다.

삼성증권은	삼성증권/NNP+은/JX
계열사(삼성중공업)	계열사/NNG+(/SS+삼성중공업/NNP+)/SS
채권을	채권/NNG+을/JKO
매입한	매입/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
숨기고,	숨기/VV+고/EC+,/SP
고객의	고객/NNG+의/JKG
채권	채권/NNG
매매	매매/NNG
정보를	정보/NNG+를/JKO
팀	팀/NNG
간에	간/NNB+에/JKB
공유했다가	공유/NNG+하/XSV+았/EP+다가/EC
자본시장법	자본/NNG+시장법/NNG
위반으로	위반/NNG+으로/JKB
금융감독원의	금융/NNG+감독원/NNG+의/JKG
제재를	제재/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.77.6.5
이 때문에 금융 계열사에서는 ‘실적이 좋아도 CEO를 비롯한 임원이 경질될 수 있다’는 전례를 남기는 게 아닌지 긴장하고 있다.

이	이/NP
때문에	때문/NNB+에/JKB
금융	금융/NNG
계열사에서는	계열사/NNG+에서/JKB+는/JX
‘실적이	‘/SS+실적/NNG+이/JKS
좋아도	좋/VA+아도/EC
CEO를	CEO/SL+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
임원이	임원/NNG+이/JKS
경질될	경질/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
전례를	전례/NNG+를/JKO
남기는	남기/VV+는/ETM
게	거/NNB+이/JKC
아닌지	아니/VCN+ㄴ지/EC
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.77.7.1
정부 관계자는 “최근 1, 2년간 삼성의 금융 계열사들이 고객정보와 관련한 문제를 일으켜 금감원 등에 적발되는 일이 적지 않았다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
“최근	“/SS+최근/NNG
1,	1/SN+,/SP
2년간	2/SN+년/NNB+간/XSN
삼성의	삼성/NNP+의/JKG
금융	금융/NNG
계열사들이	계열사/NNG+들/XSN+이/JKS
고객정보와	고객/NNG+정보/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
문제를	문제/NNG+를/JKO
일으켜	일으키/VV+어/EC
금감원	금감원/NNG
등에	등/NNB+에/JKB
적발되는	적발/NNG+되/XSV+는/ETM
일이	일/NNG+이/JKS
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.77.7.2
삼성이 이번 감사에서 사고 이유가 시스템 문제인지, 임원의 관리역량 문제인지 등을 집중적으로 점검한 것으로 알고 있다”고 전했다.

삼성이	삼성/NNP+이/JKS
이번	이번/NNG
감사에서	감사/NNG+에서/JKB
사고	사고/NNG
이유가	이유/NNG+가/JKS
시스템	시스템/NNG
문제인지,	문제/NNG+이/VCP+ㄴ지/EC+,/SP
임원의	임원/NNG+의/JKG
관리역량	관리/NNG+역량/NNG
문제인지	문제/NNG+이/VCP+ㄴ지/EC
등을	등/NNB+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
점검한	점검/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.77.8.1
건설과 금융 이외의 부문에서는 ‘젊은 삼성’을 위한 쇄신성 인사가 있을 것으로 점쳐진다.

건설과	건설/NNG+과/JC
금융	금융/NNG
이외의	이외/NNG+의/JKG
부문에서는	부문/NNG+에서/JKB+는/JX
‘젊은	‘/SS+젊/VA+은/ETM
삼성’을	삼성/NNP+’/SS+을/JKO
위한	위하/VV+ㄴ/ETM
쇄신성	쇄신/NNG+성/XSN
인사가	인사/NNG+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
점쳐진다.	점치/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.77.8.2
특히 그룹의 신성장동력을 발굴하기 위한 발탁 인사가 과감히 이뤄질 것으로 보인다.

특히	특히/MAG
그룹의	그룹/NNG+의/JKG
신성장동력을	신/XPN+성장/NNG+동력/NNG+을/JKO
발굴하기	발굴/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
발탁	발탁/NNG
인사가	인사/NNG+가/JKS
과감히	과감히/MAG
이뤄질	이뤄지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.77.8.3
이 회장은 지난달 미국 출장길에 오르기에 앞서 그룹 차원의 신성장동력 사업 발굴이 부진하다는 점을 지적한 것으로 전해졌다.

이	이/NNP
회장은	회장/NNG+은/JX
지난달	지난달/NNG
미국	미국/NNP
출장길에	출장길/NNG+에/JKB
오르기에	오르/VV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
그룹	그룹/NNG
차원의	차원/NNG+의/JKG
신성장동력	신/XPN+성장/NNG+동력/NNG
사업	사업/NNG
발굴이	발굴/NNG+이/JKS
부진하다는	부진/NNG+하/XSA+다는/ETM
점을	점/NNG+을/JKO
지적한	지적/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.77.9.1
전자 계열사는 이미 7월에 실적이 부진한 액정표시장치(LCD) 사업부장이 사실상 경질되는 등 한 차례 임원인사가 있었던 점을 감안해 대규모 인사는 없을 것으로 보고 있다.

전자	전자/NNG
계열사는	계열사/NNG+는/JX
이미	이미/MAG
7월에	7/SN+월/NNB+에/JKB
실적이	실적/NNG+이/JKS
부진한	부진/NNG+하/XSA+ㄴ/ETM
액정표시장치(LCD)	액정/NNG+표시/NNG+장치/NNG+(/SS+LCD/SL+)/SS
사업부장이	사업부장/NNG+이/JKS
사실상	사실/NNG+상/XSN
경질되는	경질/NNG+되/XSV+는/ETM
등	등/NNB
한	한/MMN
차례	차례/NNG
임원인사가	임원/NNG+인사/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
대규모	대/XPN+규모/NNG
인사는	인사/NNG+는/JX
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


