# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.20
metadata : {}


# id : NWRW1800000026.20.1.1
[수도권I][이슈 앤 현장] 학교 밖으로 진출하는 '꿈나무 안심학교';사교육비 절감·일자리 창출 '일석이조'

[수도권I][이슈	[/SS+수도/NNG+권/XSN+I/SL+]/SS+[/SS+이슈/NNG
밖에	밖/NNG+에/JKB
둘	두/VV+ㄹ/ETM
수도	수/NNB+도/JX
없고,	없/VA+고/EC+,/SP
마냥	마냥/MAG
'학원	'/SS+학원/NNG
순례'를	순례/NNG+'/SS+를/JKO
하도록	하/VV+도록/EC
내버려	내버리/VV+어/EC
두자니	두/VX+자니/EC
늘어가는	늘/VV+어/EC+가/VX+는/ETM
사교육비	사교육비/NNG
부담이	부담/NNG+이/JKS
천근만근이다.	천근만근/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.2.4
그래서 경기도가 내놓은 것이 '꿈나무 안심학교'였다.

그래서	그래서/MAJ
경기도가	경기도/NNP+가/JKS
내놓은	내놓/VV+은/ETM
것이	것/NNB+이/JKS
'꿈나무	'/SS+꿈나무/NNG
안심학교'였다.	안심/NNG+학교/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.20.2.5
주로 학교 교실을 빌려 오후 내내 아이들을 돌보며 컴퓨터·한자·논술·미술·체육 등을 가르치는 형식으로 운영했다.

주로	주로/MAG
학교	학교/NNG
교실을	교실/NNG+을/JKO
빌려	빌리/VV+어/EC
오후	오후/NNG
내내	내내/MAG
아이들을	아이/NNG+들/XSN+을/JKO
돌보며	돌보/VV+며/EC
컴퓨터·한자·논술·미술·체육	컴퓨터/NNG+·/SP+한자/NNG+·/SP+논술/NNG+·/SP+미술/NNG+·/SP+체육/NNG
등을	등/NNB+을/JKO
가르치는	가르치/VV+는/ETM
형식으로	형식/NNG+으로/JKB
운영했다.	운영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.20.3.1
하지만 언제까지고 학교 교실에만 의존할 수는 없는 일.

하지만	하지만/MAJ
언제까지고	언제/NP+까지/JX+이/VCP+고/EC
학교	학교/NNG
교실에만	교실/NNG+에/JKB+만/JX
의존할	의존/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없는	없/VA+는/ETM
일.	일/NNG+./SF


# id : NWRW1800000026.20.3.2
올해는 '학교밖 꿈나무 안심학교'를 증설하는 것이 목표다.

올해는	올해/NNG+는/JX
'학교밖	'/SS+학교/NNG+밖/NNG
꿈나무	꿈나무/NNG
안심학교'를	안심/NNG+학교/NNG+'/SS+를/JKO
증설하는	증설/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.3.3
공공도서관·대학에 교실을 열면 학교에서 전문적으로 파고 들기 힘든 분야까지 다양하게 가르칠 수 있다는 점도 고려됐다.

공공도서관·대학에	공공/NNG+도서관/NNG+·/SP+대학/NNG+에/JKB
교실을	교실/NNG+을/JKO
열면	열/VV+면/EC
학교에서	학교/NNG+에서/JKB
전문적으로	전문/NNG+적/XSN+으로/JKB
파고	파/VV+고/EC
들기	들/VX+기/ETN
힘든	힘들/VA+ㄴ/ETM
분야까지	분야/NNG+까지/JX
다양하게	다양/NNG+하/XSA+게/EC
가르칠	가르치/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점도	점/NNG+도/JX
고려됐다.	고려/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.20.3.4
남양주 와부도서관, 성남 도립도서관, 수원여자대학, 경인교육대학이 학교밖 꿈나무 안심학교의 전진기지로 꼽히고 있다.

남양주	남양주/NNP
와부도서관,	와부도서관/NNP+,/SP
성남	성남/NNP
도립도서관,	도립/NNG+도서관/NNG+,/SP
수원여자대학,	수원여자대학/NNP+,/SP
경인교육대학이	경인교육대학/NNP+이/JKS
학교밖	학교/NNG+밖/NNG
꿈나무	꿈나무/NNG
안심학교의	안심/NNG+학교/NNG+의/JKG
전진기지로	전진/NNG+기지/NNG+로/JKB
꼽히고	꼽히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.20.4.1
◆공공도서관·대학에 연내 8곳 증설

◆공공도서관·대학에	◆/SW+공공/NNG+도서관/NNG+·/SP+대학/NNG+에/JKB
연내	연내/NNG
8곳	8/SN+곳/NNG
증설	증설/NNG


# id : NWRW1800000026.20.5.1
그동안 꿈나무 안심학교는 학교가 교실을 열고 아이들을 관리하는 방식으로 이뤄져 왔다.

그동안	그동안/NNG
꿈나무	꿈나무/NNG
안심학교는	안심/NNG+학교/NNG+는/JX
학교가	학교/NNG+가/JKS
교실을	교실/NNG+을/JKO
열고	열/VV+고/EC
아이들을	아이/NNG+들/XSN+을/JKO
관리하는	관리/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
이뤄져	이뤄지/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.20.5.2
그러나 '방과후 보육'이 학교의 본업은 아니다 보니, 과외의 일을 맡는 데 대한 부담이 있었다.

그러나	그러나/MAJ
'방과후	'/SS+방과/NNG+후/NNG
보육'이	보육/NNG+'/SS+이/JKS
학교의	학교/NNG+의/JKG
본업은	본업/NNG+은/JX
아니다	아니/VCN+다/EC
보니,	보/VX+니/EC+,/SP
과외의	과외/NNG+의/JKG
일을	일/NNG+을/JKO
맡는	맡/VV+는/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
부담이	부담/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.20.5.3
아이들에게 제공할 수 있는 교육 프로그램에도 한계가 있었다.

아이들에게	아이/NNG+들/XSN+에게/JKB
제공할	제공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
교육	교육/NNG
프로그램에도	프로그램/NNG+에/JKB+도/JX
한계가	한계/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.20.6.1
학교밖 꿈나무 안심학교는 그런 문제에 대한 해결책으로 떠올랐다.

학교밖	학교/NNG+밖/NNG
꿈나무	꿈나무/NNG
안심학교는	안심/NNG+학교/NNG+는/JX
그런	그런/MMD
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
해결책으로	해결책/NNG+으로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.20.6.2
맞벌이 부모, 한부모 가족이 많은 지역에 이미 구축돼 있는 시설을 활용한다면 학교 부담도 덜고 아이들에게도 다양한 프로그램을 제공할 수 있기 때문이다.

맞벌이	맞벌이/NNG
부모,	부모/NNG+,/SP
한부모	한/MMN+부모/NNG
가족이	가족/NNG+이/JKS
많은	많/VA+은/ETM
지역에	지역/NNG+에/JKB
이미	이미/MAG
구축돼	구축/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
시설을	시설/NNG+을/JKO
활용한다면	활용/NNG+하/XSV+ㄴ다면/EC
학교	학교/NNG
부담도	부담/NNG+도/JX
덜고	덜/VV+고/EC
아이들에게도	아이/NNG+들/XSN+에게/JKB+도/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.6.3
그런 의미에서 공공도서관은 최적의 대안 중 하나였다.

그런	그런/MMD
의미에서	의미/NNG+에서/JKB
공공도서관은	공공/NNG+도서관/NNG+은/JX
최적의	최적/NNG+의/JKG
대안	대안/NNG
중	중/NNB
하나였다.	하나/NR+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.20.6.4
대개 생활 근거지 주변에 있어 접근성이 좋고 '어린이 독서프로그램'처럼 미리 마련된 학습 인프라도 있어서다.

대개	대개/MAG
생활	생활/NNG
근거지	근거지/NNG
주변에	주변/NNG+에/JKB
있어	있/VA+어/EC
접근성이	접근/NNG+성/XSN+이/JKS
좋고	좋/VA+고/EC
'어린이	'/SS+어린이/NNG
독서프로그램'처럼	독서/NNG+프로그램/NNG+'/SS+처럼/JKB
미리	미리/MAG
마련된	마련/NNG+되/XSV+ㄴ/ETM
학습	학습/NNG
인프라도	인프라/NNG+도/JX
있어서다.	있/VA+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.6.5
그 다음 대안으로는 아동교육 전문인력과 연구시설이 있는 대학이 꼽혔다.

그	그/MMD
다음	다음/NNG
대안으로는	대안/NNG+으로/JKB+는/JX
아동교육	아동/NNG+교육/NNG
전문인력과	전문/NNG+인력/NNG+과/JC
연구시설이	연구/NNG+시설/NNG+이/JKS
있는	있/VA+는/ETM
대학이	대학/NNG+이/JKS
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.20.6.6
대학은 이미 보유한 인력·시설을 활용할 수 있고 학부모는 믿고 교육을 맡길 수 있어 '윈윈'(win―win)이 가능하다.

대학은	대학/NNG+은/JX
이미	이미/MAG
보유한	보유/NNG+하/XSV+ㄴ/ETM
인력·시설을	인력/NNG+·/SP+시설/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
학부모는	학부모/NNG+는/JX
믿고	믿/VV+고/EC
교육을	교육/NNG+을/JKO
맡길	맡기/VV+ㄹ/ETM
있어	있/VA+어/EC
'윈윈'(win―win)이	'/SS+윈윈/NNG+'/SS+(/SS+win/SL+―/SS+win/SL+)/SS+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.20.7.1
올해 안에 8곳의 학교밖 꿈나무 안심학교를 여는 것이 경기도의 계획인데, 우선 4곳이 3월 초쯤 문을 연다.

올해	올해/NNG
안에	안/NNG+에/JKB
8곳의	8/SN+곳/NNG+의/JKG
학교밖	학교/NNG+밖/NNG
꿈나무	꿈나무/NNG
안심학교를	안심/NNG+학교/NNG+를/JKO
여는	열/VV+는/ETM
것이	것/NNB+이/JKS
경기도의	경기도/NNP+의/JKG
계획인데,	계획/NNG+이/VCP+ㄴ데/EC+,/SP
우선	우선/MAG
4곳이	4/SN+곳/NNG+이/JKS
3월	3/SN+월/NNB
초쯤	초/NNB+쯤/XSN
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.20.7.2
남양주시 와부도서관과 성남시 도립도서관이 1개 교실씩을 확보해 각각 20명을 모집할 예정이다.

남양주시	남양주시/NNP
와부도서관과	와부도서관/NNP+과/JC
성남시	성남시/NNP
도립도서관이	도립/NNG+도서관/NNG+이/JKS
1개	1/SN+개/NNB
교실씩을	교실/NNG+씩/XSN+을/JKO
확보해	확보/NNG+하/XSV+아/EC
각각	각각/MAG
20명을	20/SN+명/NNB+을/JKO
모집할	모집/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.7.3
와부도서관은 읍주민센터·체육관·수영장 같은 편의시설과 인접해 있고, 주변 2㎞ 안에 7만명이 살고 있다.

와부도서관은	와부도서관/NNP+은/JX
읍주민센터·체육관·수영장	읍/NNG+주민/NNG+센터/NNG+·/SP+체육관/NNG+·/SP+수영장/NNG
같은	같/VA+은/ETM
편의시설과	편의/NNG+시설/NNG+과/JKB
인접해	인접/NNG+하/XSV+아/EC
있고,	있/VX+고/EC+,/SP
주변	주변/NNG
2㎞	2/SN+㎞/SW
안에	안/NNG+에/JKB
7만명이	7/SN+만/NR+명/NNB+이/JKS
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.20.7.4
성남도립도서관 역시 주변에 공원·청소년수련관·수영장 등이 있고 가까이 있는 초등학교도 여러 곳이다.

성남도립도서관	성남도립도서관/NNP
역시	역시/MAG
주변에	주변/NNG+에/JKB
공원·청소년수련관·수영장	공원/NNG+·/SP+청소년/NNG+수련관/NNG+·/SP+수영장/NNG
등이	등/NNB+이/JKS
있고	있/VA+고/EC
가까이	가까이/MAG
있는	있/VA+는/ETM
초등학교도	초등학교/NNG+도/JX
여러	여러/MMN
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.8.1
수원여대와 경인교대도 각각 2개 교실 40명을 모집할 준비 중이다.

수원여대와	수원여대/NNP+와/JC
경인교대도	경인교대/NNP+도/JX
각각	각각/MAG
2개	2/SN+개/NNB
교실	교실/NNG
40명을	40/SN+명/NNB+을/JKO
모집할	모집/NNG+하/XSV+ㄹ/ETM
준비	준비/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.8.2
수원여대는 교육과학기술부가 2004년도에 '아동특성화대학'으로 지정한 곳이다.

수원여대는	수원여대/NNP+는/JX
교육과학기술부가	교육/NNG+과학/NNG+기술부/NNG+가/JKS
2004년도에	2004/SN+년도/NNB+에/JKB
'아동특성화대학'으로	'/SS+아동/NNG+특성/NNG+화/XSN+대학/NNG+'/SS+으로/JKB
지정한	지정/NNG+하/XSV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.8.3
아동보육의 전문성을 인정받아 도청 어린이집도 수탁 운영하고 있다.

아동보육의	아동/NNG+보육/NNG+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
인정받아	인정/NNG+받/XSV+아/EC
도청	도청/NNG
어린이집도	어린이집/NNG+도/JX
수탁	수탁/NNG
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.20.8.4
'아이웰센터' 같은 인프라도 구축돼 있다.

'아이웰센터'	'/SS+아이웰센터/NNP+'/SS
같은	같/VA+은/ETM
인프라도	인프라/NNG+도/JX
구축돼	구축/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.20.8.5
경인교대는 대학 자체 유아교육연구소에서 개발한 여러 가지 아동지도 프로그램을 보유하고 있고, 예비교사인 교대생들이 지도 교사로 참여한다.

경인교대는	경인교대/NNP+는/JX
대학	대학/NNG
자체	자체/NNG
유아교육연구소에서	유아/NNG+교육/NNG+연구소/NNG+에서/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
여러	여러/MMN
가지	가지/NNB
아동지도	아동/NNG+지도/NNG
프로그램을	프로그램/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
예비교사인	예비/NNG+교사/NNG+이/VCP+ㄴ/ETM
교대생들이	교대/NNG+생/XSN+들/XSN+이/JKS
지도	지도/NNG
교사로	교사/NNG+로/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.20.9.1
◆현재 수혜아동 20개 시·군에 958명

◆현재	◆/SW+현재/MAG
수혜아동	수혜/NNG+아동/NNG
20개	20/SN+개/NNB
시·군에	시/NNG+·/SP+군/NNG+에/JKB
958명	958/SN+명/NNB


# id : NWRW1800000026.20.10.1
지금 경기도 내엔 모두 32곳의 꿈나무 안심학교가 있다.

지금	지금/MAG
경기도	경기도/NNP
내엔	내/NNB+에/JKB+ㄴ/JX
모두	모두/MAG
32곳의	32/SN+곳/NNG+의/JKG
꿈나무	꿈나무/NNG
안심학교가	안심/NNG+학교/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.20.10.2
그중 '학교내'에 있는 것이 대다수로 20개 시·군 31개 학교에 퍼져있다.

그중	그중/NNG
'학교내'에	'/SS+학교/NNG+내/NNB+'/SS+에/JKB
있는	있/VA+는/ETM
것이	것/NNB+이/JKS
대다수로	대/XPN+다수/NNG+로/JKB
20개	20/SN+개/NNB
시·군	시/NNG+·/SP+군/NNG
31개	31/SN+개/NNB
학교에	학교/NNG+에/JKB
퍼져있다.	퍼지/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000026.20.10.3
보통 1교실에 20명 안팎을 배치하는데, 44개 교실에 다니며 특기·적성 교육을 받는 학생 수가 898명에 이른다.

보통	보통/MAG
1교실에	1/SN+교실/NNG+에/JKB
20명	20/SN+명/NNB
안팎을	안팎/NNG+을/JKO
배치하는데,	배치/NNG+하/XSV+는데/EC+,/SP
44개	44/SN+개/NNB
교실에	교실/NNG+에/JKB
다니며	다니/VV+며/EC
특기·적성	특기/NNG+·/SP+적성/NNG
교육을	교육/NNG+을/JKO
받는	받/VV+는/ETM
학생	학생/NNG
수가	수/NNG+가/JKS
898명에	898/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.20.10.4
'학교밖'에 있는 것은 작년 6월 경기도 화성시에서 문을 연 유앤아이센터가 유일하다.

'학교밖'에	'/SS+학교/NNG+밖/NNG+'/SS+에/JKB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
작년	작년/NNG
6월	6/SN+월/NNB
경기도	경기도/NNP
화성시에서	화성시/NNP+에서/JKB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
유앤아이센터가	유앤아이센터/NNP+가/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.20.10.5
교실 3개에서 보호하는 학생 수가 60명이다.

교실	교실/NNG
3개에서	3/SN+개/NNB+에서/JKB
보호하는	보호/NNG+하/XSV+는/ETM
학생	학생/NNG
수가	수/NNG+가/JKS
60명이다.	60/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.20.11.1
보통 방과 후 학교와 꿈나무 안심학교의 차이는 '보호 시간'에 있다.

보통	보통/NNG
방과	방과/NNG
후	후/NNG
학교와	학교/NNG+와/JC
꿈나무	꿈나무/NNG
안심학교의	안심/NNG+학교/NNG+의/JKG
차이는	차이/NNG+는/JX
'보호	'/SS+보호/NNG
시간'에	시간/NNG+'/SS+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.20.11.2
방과 후 학교가 대체로 정규수업 뒤 오후 5시 정도까지만 운영되는 데 비해, 꿈나무 안심학교는 오후 9시까지 열려있다.

방과	방과/NNG
후	후/NNG
학교가	학교/NNG+가/JKS
대체로	대체로/MAG
정규수업	정규/NNG+수업/NNG
뒤	뒤/NNG
오후	오후/NNG
5시	5/SN+시/NNB
정도까지만	정도/NNG+까지/JX+만/JX
운영되는	운영/NNG+되/XSV+는/ETM
데	데/NNB
비해,	비/NNG+하/XSV+아/EC+,/SP
꿈나무	꿈나무/NNG
안심학교는	안심/NNG+학교/NNG+는/JX
9시까지	9/SN+시/NNB+까지/JX
열려있다.	열리/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000026.20.11.3
간식·저녁식사를 챙겨주는 것은 물론이고 숙제를 봐주고 준비물을 챙겨주기도 한다.

간식·저녁식사를	간식/NNG+·/SP+저녁/NNG+식사/NNG+를/JKO
챙겨주는	챙기/VV+어/EC+주/VX+는/ETM
것은	것/NNB+은/JX
물론이고	물론/NNG+이/VCP+고/EC
숙제를	숙제/NNG+를/JKO
봐주고	보/VV+아/EC+주/VX+고/EC
준비물을	준비물/NNG+을/JKO
챙겨주기도	챙기/VV+어/EC+주/VX+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.20.11.4
학교·학원·가정의 역할을 모두 해주는 셈이라, 맞벌이 부부들의 호응이 좋았다.

학교·학원·가정의	학교/NNG+·/SP+학원/NNG+·/SP+가정/NNG+의/JKG
역할을	역할/NNG+을/JKO
모두	모두/MAG
해주는	하/VV+아/EC+주/VX+는/ETM
셈이라,	셈/NNB+이/VCP+라/EC+,/SP
맞벌이	맞벌이/NNG
부부들의	부부/NNG+들/XSN+의/JKG
호응이	호응/NNG+이/JKS
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.20.11.5
저소득층 부모는 별 부담 없이 아이에게 특기·적성 교육을 시킬 수 있게 됐다.

저소득층	저/XPN+소득/NNG+층/XSN
부모는	부모/NNG+는/JX
별	별/MMA
부담	부담/NNG
없이	없이/MAG
아이에게	아이/NNG+에게/JKB
특기·적성	특기/NNG+·/SP+적성/NNG
교육을	교육/NNG+을/JKO
시킬	시키/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.20.11.6
정부도 이런 점을 높이 평가해 꿈나무 안심학교를 모델로 한 '종일돌봄교실' 사업을 전국적으로 시행하기로 했다.

정부도	정부/NNG+도/JX
이런	이런/MMD
점을	점/NNG+을/JKO
높이	높이/MAG
평가해	평가/NNG+하/XSV+아/EC
꿈나무	꿈나무/NNG
안심학교를	안심/NNG+학교/NNG+를/JKO
모델로	모델/NNG+로/JKB
한	하/VV+ㄴ/ETM
'종일돌봄교실'	'/SS+종일/NNG+돌봄/NNG+교실/NNG+'/SS
사업을	사업/NNG+을/JKO
전국적으로	전국/NNG+적/XSN+으로/JKB
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.20.12.1
경기도 교육정책과의 노진승씨는 "꿈나무 안심학교가 학교 밖으로까지 확대되면 사교육비를 줄이면서 일자리를 창출하는 효과도 낳는다"면서 "다양한 공공장소에 꿈나무 안심학교를 들여 학교·지자체·지역사회가 함께 아이를 기르는 새로운 모델을 만들어 가겠다"고 말했다.

경기도	경기도/NNP
교육정책과의	교육/NNG+정책/NNG+과/NNG+의/JKG
노진승씨는	노진승/NNP+씨/NNB+는/JX
"꿈나무	"/SS+꿈나무/NNG
안심학교가	안심/NNG+학교/NNG+가/JKS
학교	학교/NNG
밖으로까지	밖/NNG+으로/JKB+까지/JX
확대되면	확대/NNG+되/XSV+면/EC
사교육비를	사교육비/NNG+를/JKO
줄이면서	줄이/VV+면서/EC
일자리를	일자리/NNG+를/JKO
창출하는	창출/NNG+하/XSV+는/ETM
효과도	효과/NNG+도/JX
낳는다"면서	낳/VV+는다/EF+"/SS+면서/EC
"다양한	"/SS+다양/NNG+하/XSA+ㄴ/ETM
공공장소에	공공장소/NNG+에/JKB
꿈나무	꿈나무/NNG
안심학교를	안심/NNG+학교/NNG+를/JKO
들여	들이/VV+어/EC
학교·지자체·지역사회가	학교/NNG+·/SP+지자체/NNG+·/SP+지역/NNG+사회/NNG+가/JKS
함께	함께/MAG
아이를	아이/NNG+를/JKO
기르는	기르/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
모델을	모델/NNG+을/JKO
만들어	만들/VV+어/EC
가겠다"고	가/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


