# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.309
metadata : {}


# id : NWRW1800000022.309.1.1
환매사태 속… 작은 자산운용사들이 매웠다;설정액 3000억 미만 11곳 시장 평균수익률 상회 펀드 수 적어 관리 쉬워

환매사태	환매/NNG+사태/NNG
운용사별	운용사/NNG+별/XSN
수익률을	수익/NNG+률/XSN+을/JKO
살펴보면	살펴보/VV+면/EC
규모가	규모/NNG+가/JKS
작은	작/VA+은/ETM
운용사들의	운용사/NNG+들/XSN+의/JKG
수익률이	수익/NNG+률/XSN+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.309.5.1
펀드평가사 제로인에 의뢰해 전체 국내 주식형펀드 설정액이 300억원 이상인 자산운용사들의 올해 수익률을 조사해 봤다.

펀드평가사	펀드/NNG+평가사/NNG
제로인에	제로인/NNP+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
전체	전체/NNG
국내	국내/NNG
주식형펀드	주식/NNG+형/XSN+펀드/NNG
설정액이	설정액/NNG+이/JKS
300억원	300/SN+억/NR+원/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
자산운용사들의	자산/NNG+운용사/NNG+들/XSN+의/JKG
올해	올해/NNG
수익률을	수익/NNG+률/XSN+을/JKO
조사해	조사/NNG+하/XSV+아/EC
봤다.	보/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.309.5.2
자산규모 1조원 이상인 16개 대형 운용사 중 한국투신운용, 하이자산운용, KB자산운용, 삼성투신운용 등 4곳만 올해 주식형펀드 평균 수익률(46.22%)보다 좋은 성적을 냈다.

자산규모	자산/NNG+규모/NNG
1조원	1/SN+조/NR+원/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
16개	16/SN+개/NNB
대형	대형/NNG
운용사	운용사/NNG
중	중/NNB
한국투신운용,	한국투신운용/NNP+,/SP
하이자산운용,	하이자산운용/NNP+,/SP
KB자산운용,	KB자산운용/NNP+,/SP
삼성투신운용	삼성투신운용/NNP
등	등/NNB
4곳만	4/SN+곳/NNG+만/JX
올해	올해/NNG
주식형펀드	주식/NNG+형/XSN+펀드/NNG
평균	평균/NNG
수익률(46.22%)보다	수익/NNG+률/XSN+(/SS+46/SN+./SP+22/SN+%/SW+)/SS+보다/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.309.5.3
국내 주식형펀드 설정액이 총 28조2000억원 정도로 전체 주식형펀드 자금의 3분의 1 정도를 차지하는 미래에셋자산운용의 수익률은 평균보다 1%포인트 정도 낮은 45.29%를 기록했다.

국내	국내/NNG
주식형펀드	주식/NNG+형/XSN+펀드/NNG
설정액이	설정액/NNG+이/JKS
총	총/MMA
28조2000억원	28/SN+조/NR+2000/SN+억/NR+원/NNB
정도로	정도/NNG+로/JKB
전체	전체/NNG
자금의	자금/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1	1/SN
정도를	정도/NNG+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
미래에셋자산운용의	미래에셋자산운용/NNP+의/JKG
수익률은	수익/NNG+률/XSN+은/JX
평균보다	평균/NNG+보다/JKB
1%포인트	1/SN+%/SW+포인트/NNG
정도	정도/NNG
낮은	낮/VA+은/ETM
45.29%를	45/SN+./SP+29/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.309.5.4
대형사 가운데서는 마이다스자산운용과 한국밸류자산운용의 올 수익률이 각각 41.32%를 기록해 가장 저조했다.

대형사	대형사/NNG
가운데서는	가운데/NNG+서/JKB+는/JX
마이다스자산운용과	마이다스자산운용/NNP+과/JC
한국밸류자산운용의	한국밸류자산운용/NNP+의/JKG
올	올/NNG
수익률이	수익/NNG+률/XSN+이/JKS
각각	각각/MAG
41.32%를	41/SN+./SP+32/SN+%/SW+를/JKO
기록해	기록/NNG+하/XSV+아/EC
가장	가장/MAG
저조했다.	저조/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.309.6.1
설정액 3000억~1조원 미만 중형 운용사들의 성적도 좋지 않았다.

설정액	설정액/NNG
3000억~1조원	3000/SN+억/NR+~/SO+1/SN+조/NR+원/NNB
미만	미만/NNG
중형	중형/NNG
운용사들의	운용사/NNG+들/XSN+의/JKG
성적도	성적/NNG+도/JX
좋지	좋/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.309.6.2
여기에 해당하는 9개 운용사 중 5군데의 올해 수익률이 평균 이하였다.

여기에	여기/NP+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
9개	9/SN+개/NNB
운용사	운용사/NNG
중	중/NNB
5군데의	5/SN+군데/NNB+의/JKG
올해	올해/NNG
수익률이	수익/NNG+률/XSN+이/JKS
평균	평균/NNG
이하였다.	이하/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.309.6.3
프랭클린템플턴투신운용이 56.23%의 수익률로 가장 양호했고 SEI에셋자산운용은 42.3%로 가장 나빴다.

프랭클린템플턴투신운용이	프랭클린템플턴투신운용/NNP+이/JKS
56.23%의	56/SN+./SP+23/SN+%/SW+의/JKG
수익률로	수익/NNG+률/XSN+로/JKB
가장	가장/MAG
양호했고	양호/NNG+하/XSA+았/EP+고/EC
SEI에셋자산운용은	SEI에셋자산운용/NNP+은/JX
42.3%로	42/SN+./SP+3/SN+%/SW+로/JKB
나빴다.	나쁘/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.309.7.1
이에 비해 설정액 3000억원 미만인 소형 운용사들은 선전했다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
설정액	설정액/NNG
3000억원	3000/SN+억/NR+원/NNB
미만인	미만/NNG+이/VCP+ㄴ/ETM
소형	소형/NNG
운용사들은	운용사/NNG+들/XSN+은/JX
선전했다.	선전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.309.7.2
여기에 해당하는 13개 자산운용사 가운데 11곳이 시장 평균수익률을 상회했다.

여기에	여기/NP+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
13개	13/SN+개/NNB
자산운용사	자산/NNG+운용사/NNG
가운데	가운데/NNG
11곳이	11/SN+곳/NNG+이/JKS
시장	시장/NNG
평균수익률을	평균/NNG+수익/NNG+률/XSN+을/JKO
상회했다.	상회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.309.7.3
트러스톤자산운용이 63.06%의 수익률로 전체 자산운용사 가운데 가장 좋은 성적을 거뒀고 아이투신운용, 알리안츠GI자산운용, 현대인베스트먼트자산운용, 유진자산운용 등이 올해 50% 이상의 수익률을 올렸다.

트러스톤자산운용이	트러스톤자산운용/NNP+이/JKS
63.06%의	63/SN+./SP+06/SN+%/SW+의/JKG
수익률로	수익/NNG+률/XSN+로/JKB
전체	전체/NNG
자산운용사	자산/NNG+운용사/NNG
가운데	가운데/NNG
가장	가장/MAG
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
거뒀고	거두/VV+었/EP+고/EC
아이투신운용,	아이투신운용/NNP+,/SP
알리안츠GI자산운용,	알리안츠GI자산운용/NNP+,/SP
현대인베스트먼트자산운용,	현대인베스트먼트자산운용/NNP+,/SP
유진자산운용	유진자산운용/NNP
등이	등/NNB+이/JKS
올해	올해/NNG
50%	50/SN+%/SW
이상의	이상/NNG+의/JKG
수익률을	수익/NNG+률/XSN+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.309.8.1
◆환매 집중된 대형 운용사 맥 못 춰, 펀드 수 적고 관리 편한 소형사 유리

◆환매	◆/SW+환매/NNG
집중된	집중/NNG+되/XSV+ㄴ/ETM
대형	대형/NNG
운용사	운용사/NNG
맥	맥/NNG
못	못/MAG
춰,	추/VV+어/EC+,/SP
펀드	펀드/NNG
수	수/NNG
적고	적/VA+고/EC
관리	관리/NNG
편한	편하/VA+ㄴ/ETM
소형사	소형사/NNG
유리	유리/NNG


# id : NWRW1800000022.309.9.1
올 들어 운용사 규모별로 수익률이 대비되는 것은 일차적으로 환매와 연관이 깊은 것으로 펀드 전문가들은 분석한다.

올	올/NNG
들어	들/VV+어/EC
운용사	운용사/NNG
규모별로	규모/NNG+별/XSN+로/JKB
수익률이	수익/NNG+률/XSN+이/JKS
대비되는	대비/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
일차적으로	일차/NNG+적/XSN+으로/JKB
환매와	환매/NNG+와/JKB
연관이	연관/NNG+이/JKS
깊은	깊/VA+은/ETM
것으로	것/NNB+으로/JKB
펀드	펀드/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.309.9.2
올 들어 국내 주식형펀드에서 약 3조4000억원이 환매를 통해 빠져나갔고 환매가 많이 일어난 펀드들은 대부분 대형사 펀드들이었다.

올	올/NNG
들어	들/VV+어/EC
국내	국내/NNG
주식형펀드에서	주식/NNG+형/XSN+펀드/NNG+에서/JKB
약	약/MMA
3조4000억원이	3/SN+조/NR+4000/SN+억/NR+원/NNB+이/JKS
환매를	환매/NNG+를/JKO
통해	통하/VV+아/EC
빠져나갔고	빠져나가/VV+았/EP+고/EC
환매가	환매/NNG+가/JKS
많이	많이/MAG
일어난	일어나/VV+ㄴ/ETM
펀드들은	펀드/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
대형사	대형사/NNG
펀드들이었다.	펀드/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.309.9.3
올해 자금 유출 상위 20개 펀드에서만 약 2조6000억원의 돈이 이탈했는데, 이 중 19개가 대형사 펀드였다.

올해	올해/NNG
자금	자금/NNG
유출	유출/NNG
상위	상위/NNG
20개	20/SN+개/NNB
펀드에서만	펀드/NNG+에서/JKB+만/JX
약	약/MMA
2조6000억원의	2/SN+조/NR+6000/SN+억/NR+원/NNB+의/JKG
돈이	돈/NNG+이/JKS
이탈했는데,	이탈/NNG+하/XSV+았/EP+는데/EC+,/SP
이	이/MMD
중	중/NNB
19개가	19/SN+개/NNB+가/JKS
대형사	대형사/NNG
펀드였다.	펀드/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.309.9.4
미래에셋자산운용의 경우 디스커버리, 인디펜던스 같은 대표 펀드를 포함해 11개 주식형펀드가 자금 유출 상위 20위에 포함됐다.

미래에셋자산운용의	미래에셋자산운용/NNP+의/JKG
경우	경우/NNG
디스커버리,	디스커버리/NNP+,/SP
인디펜던스	인디펜던스/NNP
같은	같/VA+은/ETM
대표	대표/NNG
펀드를	펀드/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
11개	11/SN+개/NNB
주식형펀드가	주식/NNG+형/XSN+펀드/NNG+가/JKS
자금	자금/NNG
유출	유출/NNG
상위	상위/NNG
20위에	20/SN+위/NNB+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.309.10.1
이에 비해 운용사 수익률이 가장 좋았던 트러스톤 자산운용의 '트러스톤칭기스칸증권투자신탁[주식]A클래스'의 경우 올해 약 416억원의 자금이 유입돼 소형 운용사임에도 올해 가장 자금이 많이 들어온 주식형펀드 7위에 올랐다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
운용사	운용사/NNG
수익률이	수익/NNG+률/XSN+이/JKS
가장	가장/MAG
좋았던	좋/VA+았/EP+던/ETM
트러스톤	트러스톤/NNP
자산운용의	자산/NNG+운용/NNG+의/JKG
'트러스톤칭기스칸증권투자신탁[주식]A클래스'의	'/SS+트러스톤칭기스칸증권투자신탁[주식]A클래스/NNP+'/SS+의/JKG
경우	경우/NNG
올해	올해/NNG
약	약/MMA
416억원의	416/SN+억/NR+원/NNB+의/JKG
자금이	자금/NNG+이/JKS
유입돼	유입/NNG+되/XSV+어/EC
소형	소형/NNG
운용사임에도	운용사/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
많이	많이/MAG
들어온	들어오/VV+ㄴ/ETM
주식형펀드	주식/NNG+형/XSN+펀드/NNG
7위에	7/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.309.10.2
대형사 가운데 수익이 가장 좋았던 한국투신운용의 경우 회사 전체적으로 미래에셋 다음으로 많은 약 5400억원의 자금유출이 일어났지만, 이 중 '한국투자삼성그룹적립식증권투자신탁1(주식)(A)'에만 4600억원 정도가 집중됐다.

대형사	대형사/NNG
가운데	가운데/NNG
수익이	수익/NNG+이/JKS
가장	가장/MAG
좋았던	좋/VA+았/EP+던/ETM
한국투신운용의	한국투신운용/NNP+의/JKG
경우	경우/NNG
회사	회사/NNG
전체적으로	전체/NNG+적/XSN+으로/JKB
미래에셋	미래에셋/NNP
다음으로	다음/NNG+으로/JKB
많은	많/VA+은/ETM
약	약/MMA
5400억원의	5400/SN+억/NR+원/NNB+의/JKG
자금유출이	자금/NNG+유출/NNG+이/JKS
일어났지만,	일어나/VV+았/EP+지만/EC+,/SP
이	이/MMD
중	중/NNB
'한국투자삼성그룹적립식증권투자신탁1(주식)(A)'에만	'/SS+한국투자삼성그룹적립식증권투자신탁1/NNG+(/SS+주식/NNG+)/SS+(/SS+A/SL+)/SS+'/SS+에/JKB+만/JX
4600억원	4600/SN+억/NR+원/NNB
정도가	정도/NNG+가/JKS
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.309.10.3
올해 삼성그룹 계열사들의 성과가 좋다 보니 엄청난 환매에도 펀드 성과는 견조했던 것으로 해석된다.

올해	올해/NNG
삼성그룹	삼성그룹/NNP
계열사들의	계열사/NNG+들/XSN+의/JKG
성과가	성과/NNG+가/JKS
좋다	좋/VA+다/EC
보니	보/VX+니/EC
엄청난	엄청나/VA+ㄴ/ETM
환매에도	환매/NNG+에/JKB+도/JX
펀드	펀드/NNG
성과는	성과/NNG+는/JX
견조했던	견조/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.309.10.4
이계웅 신한금융투자 펀드리서치팀장은 "돈이 계속 나가는 상황에서 펀드매니저들은 어떤 종목을 살지 보다 무엇을 팔지에 골몰하기 마련"이라며 "이렇게 되면 시장이 오르더라도 상승 트렌드를 좇아가기 어렵다"고 말했다.

이계웅	이계웅/NNP
신한금융투자	신한금융투자/NNP
펀드리서치팀장은	펀드/NNG+리서치/NNG+팀장/NNG+은/JX
"돈이	"/SS+돈/NNG+이/JKS
계속	계속/MAG
나가는	나가/VV+는/ETM
상황에서	상황/NNG+에서/JKB
펀드매니저들은	펀드/NNG+매니저/NNG+들/XSN+은/JX
어떤	어떤/MMD
종목을	종목/NNG+을/JKO
살지	사/VV+ㄹ지/EF
보다	보다/JKB
무엇을	무엇/NP+을/JKO
팔지에	팔/VV+지/EF+에/JKB
골몰하기	골몰/NNG+하/XSV+기/ETN
마련"이라며	마련/NNB+"/SS+이/VCP+라며/EC
"이렇게	"/SS+이렇/VA+게/EC
되면	되/VV+면/EC
시장이	시장/NNG+이/JKS
오르더라도	오르/VV+더라도/EC
상승	상승/NNG
트렌드를	트렌드/NNG+를/JKO
좇아가기	좇아가/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.309.11.1
작은 운용사일수록 운용하는 펀드 수가 적다는 점도 최근 장세에서 유리한 점으로 꼽힌다.

작은	작/VA+은/ETM
운용사일수록	운용사/NNG+이/VCP+ㄹ수록/EC
운용하는	운용/NNG+하/XSV+는/ETM
펀드	펀드/NNG
수가	수/NNG+가/JKS
적다는	적/VA+다는/ETM
점도	점/NNG+도/JX
최근	최근/NNG
장세에서	장세/NNG+에서/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
점으로	점/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.309.11.2
소수에 집중하기 때문에 펀드를 관리하기가 쉽고, 특히 최근엔 주도주가 IT·자동차·은행 등에 한정됐기 때문에 시장을 좇아가기도 상대적으로 쉬웠다는 평가다.

소수에	소수/NNG+에/JKB
집중하기	집중/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
펀드를	펀드/NNG+를/JKO
관리하기가	관리/NNG+하/XSV+기/ETN+가/JKS
쉽고,	쉽/VA+고/EC+,/SP
특히	특히/MAG
최근엔	최근/NNG+에/JKB+ㄴ/JX
주도주가	주도주/NNG+가/JKS
IT·자동차·은행	IT/SL+·/SP+자동차/NNG+·/SP+은행/NNG
등에	등/NNB+에/JKB
한정됐기	한정/NNG+되/XSV+었/EP+기/ETN
시장을	시장/NNG+을/JKO
좇아가기도	좇아가/VV+기/ETN+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
쉬웠다는	쉽/VA+었/EP+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.309.11.3
실제로 운용사 가운데 올해 수익률이 가장 좋았던 트러스톤 자산운용과 아이투신운용의 경우 운용 펀드 수가 각각 2개에 불과하다.

실제로	실제로/MAG
운용사	운용사/NNG
가운데	가운데/NNG
올해	올해/NNG
수익률이	수익/NNG+률/XSN+이/JKS
가장	가장/MAG
좋았던	좋/VA+았/EP+던/ETM
트러스톤	트러스톤/NNP
자산운용과	자산/NNG+운용/NNG+과/JC
아이투신운용의	아이투신운용/NNP+의/JKG
경우	경우/NNG
운용	운용/NNG
펀드	펀드/NNG
수가	수/NNG+가/JKS
각각	각각/MAG
2개에	2/SN+개/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


