# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.386
metadata : {}


# id : NWRW1800000049.386.1.1
견제 나선 문재인, 손짓하는 국민의당… 반기문의 선택은

견제	견제/NNG
절하하는	절하/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
발언을	발언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.386.5.2
또 “한국민들이 새로운 형태의 포용적 리더십을 원한다”는 반 총장의 최근 발언에 대해서는 “4년 내내 ‘박근혜 리더십’을 칭송하다 갑자기 포용적 리더십을 말하니 어리둥절하다”고 했다.

또	또/MAG
“한국민들이	“/SS+한국민/NNG+들/XSN+이/JKS
새로운	새롭/VA+ㄴ/ETM
형태의	형태/NNG+의/JKG
포용적	포용/NNG+적/XSN
리더십을	리더십/NNG+을/JKO
원한다”는	원/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
반	반/NNP
총장의	총장/NNG+의/JKG
최근	최근/NNG
발언에	발언/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“4년	“/SS+4/SN+년/NNB
내내	내내/MAG
‘박근혜	‘/SS+박근혜/NNP
리더십’을	리더십/NNG+’/SS+을/JKO
칭송하다	칭송/NNG+하/XSV+다/EC
갑자기	갑자기/MAG
말하니	말/NNG+하/XSV+니/EC
어리둥절하다”고	어리둥절하/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.386.6.1
문 전 대표는 새누리당 비박(비박근혜)계에 대해서도 “호박에 줄 긋는다고 수박 되는 게 아니다”고 비판했다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
새누리당	새누리당/NNP
비박(비박근혜)계에	비/XPN+박/NNP+(/SS+비/XPN+박근혜/NNP+)/SS+계/XSN+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“호박에	“/SS+호박/NNG+에/JKB
줄	줄/NNG
긋는다고	긋/VV+는다고/EC
수박	수박/NNG
되는	되/VV+는/ETM
게	거/NNB+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.386.6.2
비박계도 ‘박근혜 정부 책임론’에서 자유로울 수 없다는 점을 강조해 힘을 빼놓고, 박 대통령과 우호적 관계를 유지해온 것은 ‘오점(汚點)’이라는 뉘앙스를 풍기며 반 총장을 겨냥한 것이다.

비박계도	비/XPN+박/NNP+계/XSN+도/JX
‘박근혜	‘/SS+박근혜/NNP
정부	정부/NNG
책임론’에서	책임/NNG+론/XSN+’/SS+에서/JKB
자유로울	자유/NNG+롭/XSA+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
점을	점/NNG+을/JKO
강조해	강조/NNG+하/XSV+아/EC
힘을	힘/NNG+을/JKO
빼놓고,	빼놓/VV+고/EC+,/SP
박	박/NNP
대통령과	대통령/NNG+과/JKB
우호적	우호/NNG+적/XSN
관계를	관계/NNG+를/JKO
유지해온	유지/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것은	것/NNB+은/JX
‘오점(汚點)’이라는	‘/SS+오점/NNG+(/SS+汚點/SH+)/SS+’/SS+이/VCP+라는/ETM
뉘앙스를	뉘앙스/NNG+를/JKO
풍기며	풍기/VV+며/EC
반	반/NNP
총장을	총장/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.386.7.1
문 전 대표는 정계 개편 움직임에 대해 “큰 관심을 두지 않고 있다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
정계	정계/NNG
개편	개편/NNG
움직임에	움직임/NNG+에/JKB
대해	대하/VV+아/EC
“큰	“/SS+크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
두지	두/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.386.7.2
복안도 따로 없다”며 “우리끼리 힘을 모으면 어떤 후보를 상대해도 이길 것”이라고 말했다.

복안도	복안/NNG+도/JX
따로	따로/MAG
없다”며	없/VA+다/EF+”/SS+며/EC
“우리끼리	“/SS+우리/NP+끼리/XSN
힘을	힘/NNG+을/JKO
모으면	모으/VV+면/EC
어떤	어떤/MMD
후보를	후보/NNG+를/JKO
상대해도	상대/NNG+하/XSV+아도/EC
이길	이기/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.386.7.3
이는 ‘신(新)보수론’ ‘제3지대론’ 등 정계 개편 시나리오는 신경 쓰지 않고 ‘민주당 대 비(非)민주당’ 또는 ‘문재인 대 비문재인’ 구도로 대선을 치르겠다는 전략이다.

이는	이/NP+는/JX
‘신(新)보수론’	‘/SS+신/XPN+(/SS+新/SH+)/SS+보수/NNG+론/XSN+’/SS
‘제3지대론’	‘/SS+제/XPN+3/SN+지대/NNG+론/XSN+’/SS
등	등/NNB
정계	정계/NNG
개편	개편/NNG
시나리오는	시나리오/NNG+는/JX
신경	신경/NNG
쓰지	쓰/VV+지/EC
않고	않/VX+고/EC
‘민주당	‘/SS+민주당/NNP
대	대/NNB
비(非)민주당’	비/XPN+(/SS+非/SH+)/SS+민주당/NNP+’/SS
또는	또는/MAG
‘문재인	‘/SS+문재인/NNP
비문재인’	비/XPN+문재인/NNP+’/SS
구도로	구도/NNG+로/JKB
대선을	대선/NNG+을/JKO
치르겠다는	치르/VV+겠/EP+다는/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.386.8.1
문 전 대표는 이날 조기 대선이 치러진다면 ‘섀도 캐비닛(예비 내각)’을 제시하겠다는 뜻도 밝혔다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이날	이날/NNG
조기	조기/NNG
대선이	대선/NNG+이/JKS
치러진다면	치르/VV+어/EC+지/VX+ㄴ다면/EC
‘섀도	‘/SS+섀도/NNG
캐비닛(예비	캐비닛/NNG+(/SS+예비/NNG
내각)’을	내각/NNG+)/SS+’/SS+을/JKO
제시하겠다는	제시/NNG+하/XSV+겠/EP+다는/ETM
뜻도	뜻/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.386.8.2
“(내가) 집권한다면 대통령 집무실을 광화문 정부청사로 옮기고 출퇴근하는 대통령이 되겠다”고도 했다.

“(내가)	“/SS+(/SS+내/NP+가/JKS+)/SS
집권한다면	집권/NNG+하/XSV+ㄴ다면/EC
대통령	대통령/NNG
집무실을	집무실/NNG+을/JKO
광화문	광화문/NNP
정부청사로	정부/NNG+청사/NNG+로/JKB
옮기고	옮기/VV+고/EC
출퇴근하는	출퇴근/NNG+하/XSV+는/ETM
대통령이	대통령/NNG+이/JKC
되겠다”고도	되/VV+겠/EP+다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.386.9.1
○ 연대 움직임 빨라진 安

○	○/SW
연대	연대/NNG
움직임	움직임/NNG
빨라진	빠르/VA+아/EC+지/VX+ㄴ/ETM
安	安/SH


# id : NWRW1800000049.386.10.1
국민의당은 반 총장은 물론이고 손학규 전 민주당 대표, 정운찬 전 국무총리 등 중량감 있는 인사들을 끌어안아야 집권이 가능하다고 보고 있다.

국민의당은	국민의당/NNP+은/JX
반	반/NNP
총장은	총장/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
손학규	손학규/NNP
전	전/MMD
민주당	민주당/NNP
대표,	대표/NNG+,/SP
정운찬	정운찬/NNP
국무총리	국무총리/NNG
등	등/NNB
중량감	중량감/NNG
있는	있/VA+는/ETM
인사들을	인사/NNG+들/XSN+을/JKO
끌어안아야	끌어안/VV+아야/EC
집권이	집권/NNG+이/JKS
가능하다고	가능/NNG+하/XSA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.386.10.2
박지원 원내대표는 이날 기자와 만나 “최근 반 총장 측 인사가 ‘반 총장이 국민의당에 관심이 있다.

박지원	박지원/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
기자와	기자/NNG+와/JKB
만나	만나/VV+아/EC
“최근	“/SS+최근/NNG
반	반/NNP
총장	총장/NNG
측	측/NNB
인사가	인사/NNG+가/JKS
‘반	‘/SS+반/NNP
총장이	총장/NNG+이/JKS
국민의당에	국민의당/NNP+에/JKB
관심이	관심/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.386.10.3
민주당과 새누리당엔 안 간다’고 말했다”고 밝혔다.

민주당과	민주당/NNP+과/JC
새누리당엔	새누리당/NNP+에/JKB+ㄴ/JX
안	안/MAG
간다’고	가/VV+ㄴ다/EF+’/SS+고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.386.10.4
국민의당이 반 총장과 손잡고 제3지대 확장에 나설 가능성을 시사한 것이다.

국민의당이	국민의당/NNP+이/JKS
반	반/NNP
총장과	총장/NNG+과/JKB
손잡고	손잡/VV+고/EC
제3지대	제/XPN+3/SN+지대/NNG
확장에	확장/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
시사한	시사/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.386.11.1
박 원내대표는 또 “손 전 대표가 ‘개헌에 대한 분명한 당의 입장을 밝혀 달라’고 요구해 논의하고 있다”고 말했다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
또	또/MAG
“손	“/SS+손/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
‘개헌에	‘/SS+개헌/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분명한	분명/MAG+하/XSA+ㄴ/ETM
당의	당/NNG+의/JKG
입장을	입장/NNG+을/JKO
밝혀	밝히/VV+어/EC
달라’고	달/VX+라/EF+’/SS+고/JKQ
요구해	요구/NNG+하/XSV+아/EC
논의하고	논의/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.386.11.2
안철수 전 상임공동대표도 “큰 방향에서 우리 정치가 재편돼야 한다는 것에 (손 전 대표와) 서로 공감하고 있다”고 거들었다.

안철수	안철수/NNP
전	전/MMD
상임공동대표도	상임/NNG+공동/NNG+대표/NNG+도/JX
“큰	“/SS+크/VA+ㄴ/ETM
방향에서	방향/NNG+에서/JKB
우리	우리/NP
정치가	정치/NNG+가/JKS
재편돼야	재편/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것에	것/NNB+에/JKB
(손	(/SS+손/NNP
대표와)	대표/NNG+와/JKB+)/SS
서로	서로/MAG
공감하고	공감/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
거들었다.	거들/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.386.12.1
이런 움직임에 대해 국민의당 이태규 의원은 “안 전 대표가 기득권을 버리고 기존 정치 구도를 깨야 된다”고 주장했다.

이런	이런/MMD
움직임에	움직임/NNG+에/JKB
대해	대하/VV+아/EC
국민의당	국민의당/NNP
이태규	이태규/NNP
의원은	의원/NNG+은/JX
“안	“/SS+안/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
기득권을	기득/NNG+권/XSN+을/JKO
버리고	버리/VV+고/EC
기존	기존/NNG
정치	정치/NNG
구도를	구도/NNG+를/JKO
깨야	깨/VV+어야/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.386.12.2
안 전 대표가 제3지대에서 반 총장, 손 전 대표, 정 전 총리 등과 경쟁해서 이겨야 본선에서 승리할 가능성이 보인다는 얘기다.

안	안/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
제3지대에서	제/XPN+3/SN+지대/NNG+에서/JKB
반	반/NNP
총장,	총장/NNG+,/SP
손	손/NNP
대표,	대표/NNG+,/SP
정	정/NNP
총리	총리/NNG
등과	등/NNB+과/JKB
경쟁해서	경쟁/NNG+하/XSV+아서/EC
이겨야	이기/VV+어야/EC
본선에서	본선/NNG+에서/JKB
승리할	승리/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
보인다는	보이/VV+ㄴ다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.386.12.3
이럴 경우 중량급 인사들의 경선 참여를 위해 완전국민경선 등의 방식이 채택될 가능성이 높다.

이럴	이렇/VA+ㄹ/ETM
경우	경우/NNG
중량급	중량급/NNG
인사들의	인사/NNG+들/XSN+의/JKG
경선	경선/NNG
참여를	참여/NNG+를/JKO
위해	위하/VV+아/EC
완전국민경선	완전/NNG+국민/NNG+경선/NNG
등의	등/NNB+의/JKG
방식이	방식/NNG+이/JKS
채택될	채택/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.386.13.1
○ 1월 귀국 潘의 선택은

○	○/SW
1월	1/SN+월/NNB
귀국	귀국/NNG
潘의	潘/SH+의/JKG
선택은	선택/NNG+은/JX


# id : NWRW1800000049.386.14.1
반 총장은 내년 1월 중순 귀국한다는 계획 외에는 구체적인 정치 행보를 언급하지 않고 있다.

반	반/NNP
총장은	총장/NNG+은/JX
내년	내년/NNG
1월	1/SN+월/NNB
중순	중순/NNG
귀국한다는	귀국/NNG+하/XSV+ㄴ다는/ETM
계획	계획/NNG
외에는	외/NNB+에/JKB+는/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
정치	정치/NNG
행보를	행보/NNG+를/JKO
언급하지	언급/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.386.14.2
다만 20일(현지 시간) 미국 뉴욕에서 특파원 간담회를 열고 구체적인 대권 도전 계획을 내비칠 수 있다고 예고해 놓은 상태다.

다만	다만/MAG
20일(현지	20/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국	미국/NNP
뉴욕에서	뉴욕/NNP+에서/JKB
특파원	특파원/NNG
간담회를	간담회/NNG+를/JKO
열고	열/VV+고/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
대권	대권/NNG
도전	도전/NNG
계획을	계획/NNG+을/JKO
내비칠	내비치/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
예고해	예고/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.386.14.3
여권 관계자는 “반 총장이 당분간은 독자적으로 움직이다가 여권의 역학구도 변화나 제3지대의 양상에 따라 최종 행선지를 결정하지 않겠느냐”고 전망했다.

여권	여권/NNG
관계자는	관계자/NNG+는/JX
“반	“/SS+반/NNP
총장이	총장/NNG+이/JKS
당분간은	당분간/NNG+은/JX
독자적으로	독자/NNG+적/XSN+으로/JKB
움직이다가	움직이/VV+다가/EC
여권의	여권/NNG+의/JKG
역학구도	역학/NNG+구도/NNG
변화나	변화/NNG+나/JC
제3지대의	제/XPN+3/SN+지대/NNG+의/JKG
양상에	양상/NNG+에/JKB
따라	따르/VV+아/EC
최종	최종/NNG
행선지를	행선지/NNG+를/JKO
결정하지	결정/NNG+하/XSV+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


