# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.308
metadata : {}


# id : NWRW1800000038.308.1.1
[김태익의 태평로] '대한민국 부정하는 史觀'의 이력서

[김태익의	[/SS+김태익/NNP+의/JKG
100호를	100/SN+호/NNB+를/JKO
맞아	맞/VV+아/EC
14명의	14/SN+명/NNB+의/JKG
역사학자에게	역사학자/NNG+에게/JKB
'당신의	'/SS+당신/NP+의/JKG
사관(史觀)은	사관/NNG+(/SS+史觀/SH+)/SS+은/JX
무엇인가'	무엇/NP+이/VCP+ㄴ가/EF+'/SS
묻는	묻/VV+는/ETM
특집을	특집/NNG+을/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.308.4.2
어떤 학자는 "민중만이 역사 발전의 주체가 될 수 있다는 생각에 동의하지 않는다"고 했다.

어떤	어떤/MMD
학자는	학자/NNG+는/JX
"민중만이	"/SS+민중/NNG+만/JX+이/JKS
역사	역사/NNG
발전의	발전/NNG+의/JKG
주체가	주체/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
생각에	생각/NNG+에/JKB
동의하지	동의/NNG+하/XSV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.308.4.3
다른 학자는 "역사학이 현실을 변화시키는 데 기여할 수 있다고 자신하는 것은 역사학을 과대평가하는 것"이라고 했다.

다른	다른/MMD
학자는	학자/NNG+는/JX
"역사학이	"/SS+역사학/NNG+이/JKS
현실을	현실/NNG+을/JKO
변화시키는	변화/NNG+시키/XSV+는/ETM
데	데/NNB
기여할	기여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
자신하는	자신/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
역사학을	역사학/NNG+을/JKO
과대평가하는	과대평가/NNG+하/XSV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.308.4.4
그동안 무슨 일이 있었길래 역사가들에게 이런 변화가 일어났던 것일까.

그동안	그동안/NNG
무슨	무슨/MMD
일이	일/NNG+이/JKS
있었길래	있/VA+었/EP+길래/EC
역사가들에게	역사가/NNG+들/XSN+에게/JKB
이런	이런/MMD
변화가	변화/NNG+가/JKS
일어났던	일어나/VV+았/EP+던/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000038.308.4.5
응답자들이 공통적으로 털어놓은 계기가 있었다.

응답자들이	응답자/NNG+들/XSN+이/JKS
공통적으로	공통/NNG+적/XSN+으로/JKB
털어놓은	털어놓/VV+은/ETM
계기가	계기/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.308.4.6
하나는 '소련 및 동구권 공산주의의 몰락', 하나는 '대한민국의 발전'이었다.

하나는	하나/NR+는/JX
'소련	'/SS+소련/NNP
및	및/MAG
동구권	동구/NNP+권/XSN
공산주의의	공산주의/NNG+의/JKG
몰락',	몰락/NNG+'/SS+,/SP
'대한민국의	'/SS+대한민국/NNP+의/JKG
발전'이었다.	발전/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.308.5.1
E H 카는 "역사가도 그가 몸담고 있는 사회의 산물"이라고 했다.

E	E/SL
H	H/SL
카는	카/NNP+는/JX
"역사가도	"/SS+역사가/NNG+도/JX
그가	그/NP+가/JKS
몸담고	몸담/VV+고/EC
있는	있/VX+는/ETM
사회의	사회/NNG+의/JKG
산물"이라고	산물/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.308.5.2
역사는 '움직이는 행렬(moving process)'이며 역사가의 역할은 '행렬과 함께 터벅터벅 걸으며 자신이 속한 일행의 생각과 가치를 대변해 걸어온 길을 돌아보는 일'이라는 것이다.

역사는	역사/NNG+는/JX
'움직이는	'/SS+움직이/VV+는/ETM
행렬(moving	행렬/NNG+(/SS+moving/SL
process)'이며	process/SL+)/SS+'/SS+이/VCP+며/EC
역사가의	역사가/NNG+의/JKG
역할은	역할/NNG+은/JX
'행렬과	'/SS+행렬/NNG+과/JKB
함께	함께/MAG
터벅터벅	터벅터벅/MAG
걸으며	걷/VV+으며/EC
자신이	자신/NNG+이/JKS
속한	속하/VV+ㄴ/ETM
일행의	일행/NNG+의/JKG
생각과	생각/NNG+과/JC
가치를	가치/NNG+를/JKO
대변해	대변/NNG+하/XSV+아/EC
걸어온	걸어오/VV+ㄴ/ETM
길을	길/NNG+을/JKO
돌아보는	돌아보/VV+는/ETM
일'이라는	일/NNG+'/SS+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.308.5.3
'역사 비평'에 글을 쓴 역사학자들의 고백은 누가 시켜서 나온 것이 아니었을 것이다.

'역사	'/SS+역사/NNG
비평'에	비평/NNG+'/SS+에/JKB
글을	글/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
역사학자들의	역사학자/NNG+들/XSN+의/JKG
고백은	고백/NNG+은/JX
누가	누구/NP+가/JKS
시켜서	시키/VV+어서/EC
나온	나오/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니었을	아니/VCN+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.308.5.4
한 사람의 역사학자이자 생활인으로서 세계사와 한국 현대사의 변화를 동시대인들과 함께 겪으며 도달한 깨달음의 결과였을 것이다.

한	한/MMN
사람의	사람/NNG+의/JKG
역사학자이자	역사학자/NNG+이/VCP+자/EC
생활인으로서	생활인/NNG+으로서/JKB
세계사와	세계사/NNG+와/JC
한국	한국/NNP
현대사의	현대사/NNG+의/JKG
변화를	변화/NNG+를/JKO
동시대인들과	동시대인/NNG+들/XSN+과/JKB
함께	함께/MAG
겪으며	겪/VV+으며/EC
도달한	도달/NNG+하/XSV+ㄴ/ETM
깨달음의	깨달음/NNG+의/JKG
결과였을	결과/NNG+이/VCP+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.308.6.1
'좌편향'으로 논란을 빚고 있는 고교 역사 교과서들 가운데 하나를 다시 들춰본다.

'좌편향'으로	'/SS+좌편향/NNG+'/SS+으로/JKB
논란을	논란/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
고교	고교/NNG
역사	역사/NNG
교과서들	교과서/NNG+들/XSN
가운데	가운데/NNG
하나를	하나/NR+를/JKO
다시	다시/MAG
들춰본다.	들추/VV+어/EC+보/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.308.6.2
'냉전의 해체'를 얘기하는 부분에서 공산주의의 '몰락'이나 '실패' '붕괴'라는 말을 찾아볼 수 없다.

'냉전의	'/SS+냉전/NNG+의/JKG
해체'를	해체/NNG+'/SS+를/JKO
얘기하는	얘기/NNG+하/XSV+는/ETM
부분에서	부분/NNG+에서/JKB
공산주의의	공산주의/NNG+의/JKG
'몰락'이나	'/SS+몰락/NNG+'/SS+이나/JC
'실패'	'/SS+실패/NNG+'/SS
'붕괴'라는	'/SS+붕괴/NNG+'/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.308.6.3
그 대신 사용한 말이 '소련의 개혁·개방'과 그로 인한 '소련의 해체'다.

그	그/MMD
대신	대신/NNG
사용한	사용/NNG+하/XSV+ㄴ/ETM
말이	말/NNG+이/JKS
'소련의	'/SS+소련/NNP+의/JKG
개혁·개방'과	개혁/NNG+·/SP+개방/NNG+'/SS+과/JC
그로	그/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
해체'다.	해체/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.308.6.4
교과서 내용만 본다면 공산주의는 아직도 실패하지 않았고 몰락한 것도 아니다.

교과서	교과서/NNG
내용만	내용/NNG+만/JX
본다면	보/VV+ㄴ다면/EC
공산주의는	공산주의/NNG+는/JX
아직도	아직/MAG+도/JX
실패하지	실패/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
몰락한	몰락/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.308.6.5
대한민국의 건국과 발전을 서술한 부분은 '독재' '군림' '탄압' '협박' '공포' '폭력' '강압' 같은 부정적인 말들이 여기저기 널려 있다.

대한민국의	대한민국/NNP+의/JKG
건국과	건국/NNG+과/JC
발전을	발전/NNG+을/JKO
서술한	서술/NNG+하/XSV+ㄴ/ETM
부분은	부분/NNG+은/JX
'독재'	'/SS+독재/NNG+'/SS
'군림'	'/SS+군림/NNG+'/SS
'탄압'	'/SS+탄압/NNG+'/SS
'협박'	'/SS+협박/NNG+'/SS
'공포'	'/SS+공포/NNG+'/SS
'폭력'	'/SS+폭력/NNG+'/SS
'강압'	'/SS+강압/NNG+'/SS
같은	같/VA+은/ETM
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
말들이	말/NNG+들/XSN+이/JKS
여기저기	여기저기/NNG
널려	널리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.308.7.1
80년대 말 혁명의 방법을 놓고 벌였던 이른바 '사회 구성체 논쟁'에 관한 수백 종의 책들은 이제 헌책방 구석에서도 보기 힘들다.

80년대	80/SN+년대/NNB
말	말/NNB
혁명의	혁명/NNG+의/JKG
방법을	방법/NNG+을/JKO
놓고	놓/VV+고/EC
벌였던	벌이/VV+었/EP+던/ETM
이른바	이른바/MAG
'사회	'/SS+사회/NNG
구성체	구성체/NNG
논쟁'에	논쟁/NNG+'/SS+에/JKB
관한	관하/VV+ㄴ/ETM
수백	수백/NR
종의	종/NNG+의/JKG
책들은	책/NNG+들/XSN+은/JX
이제	이제/MAG
헌책방	헌책방/NNG
구석에서도	구석/NNG+에서/JKB+도/JX
보기	보/VV+기/ETN
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000038.308.7.2
한때 혁명에 열정적이었던 학자들조차 외면하는 철 지난 사관을 자라나는 아이들에게 심어주려 하는 게 좌편향 역사 교과서들이다.

한때	한때/MAG
혁명에	혁명/NNG+에/JKB
열정적이었던	열정/NNG+적/XSN+이/VCP+었/EP+던/ETM
학자들조차	학자/NNG+들/XSN+조차/JX
외면하는	외면/NNG+하/XSV+는/ETM
철	철/NNG
지난	지나/VV+ㄴ/ETM
사관을	사관/NNG+을/JKO
자라나는	자라나/VV+는/ETM
아이들에게	아이/NNG+들/XSN+에게/JKB
심어주려	심/VV+어/EC+주/VX+려/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKS
좌편향	좌편향/NNG
역사	역사/NNG
교과서들이다.	교과서/NNG+들/XSN+이/VCP+다/EF+./SF


