# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.16
metadata : {}


# id : NWRW1800000022.16.1.1
[뉴스 블로그] 달아오른 부동산 경매… 낙찰가는 '싸늘'

[뉴스	[/SS+뉴스/NNG
'원정'에	'/SS+원정/NNG+'/SS+에/JKB
나선	나서/VV+ㄴ/ETM
경우도	경우/NNG+도/JX
부쩍	부쩍/MAG
늘었다고	늘/VV+었/EP+다고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.16.4.3
세계 금융 위기와 주택 경기 침체로 집값이 급락하자 부동산에 투자할 시기가 다가오고 있다고 생각하는 사람들이 몸 풀기에 나선 셈입니다.

세계	세계/NNG
금융	금융/NNG
위기와	위기/NNG+와/JC
주택	주택/NNG
경기	경기/NNG
침체로	침체/NNG+로/JKB
집값이	집값/NNG+이/JKS
급락하자	급락/NNG+하/XSV+자/EC
부동산에	부동산/NNG+에/JKB
투자할	투자/NNG+하/XSV+ㄹ/ETM
시기가	시기/NNG+가/JKS
다가오고	다가오/VV+고/EC
있다고	있/VX+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
몸	몸/NNG
풀기에	풀/VV+기/ETN+에/JKB
나선	나서/VV+ㄴ/ETM
셈입니다.	셈/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.16.5.1
하지만 주택경기를 비롯한 경매시장 역시 가격이 다시 크게 오르거나 대세 상승으로 반전하는 모습은 당분간 보기 힘들 것이라는 관측이 지배적입니다.

하지만	하지만/MAJ
주택경기를	주택/NNG+경기/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
경매시장	경매/NNG+시장/NNG
역시	역시/MAG
가격이	가격/NNG+이/JKS
다시	다시/MAG
크게	크/VA+게/EC
오르거나	오르/VV+거나/EC
대세	대세/NNG
상승으로	상승/NNG+으로/JKB
반전하는	반전/NNG+하/XSV+는/ETM
모습은	모습/NNG+은/JX
당분간	당분간/MAG
보기	보/VV+기/ETN
힘들	힘들/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
지배적입니다.	지배/NNG+적/XSN+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.16.5.2
부동산경매 정보업체 '지지옥션' 강은 팀장은 "사람들이 몰려도 가격이 올라가지 않는 것은 가격 회복이 더딜 것을 우려하는 투자자들의 불안한 심리를 보여주는 것"이라며 "앞으로 기업 구조조정도 본격화할 전망이어서 부동산 시장이 회복되는 데는 더 시간이 필요할 것 같다"고 말했습니다.

부동산경매	부동산/NNG+경매/NNG
정보업체	정보업체/NNG
'지지옥션'	'/SS+지지옥션/NNP+'/SS
강은	강은/NNP
팀장은	팀장/NNG+은/JX
"사람들이	"/SS+사람/NNG+들/XSN+이/JKS
몰려도	몰리/VV+어도/EC
가격이	가격/NNG+이/JKS
올라가지	올라가/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
가격	가격/NNG
회복이	회복/NNG+이/JKS
더딜	더디/VA+ㄹ/ETM
것을	것/NNB+을/JKO
우려하는	우려/NNG+하/XSV+는/ETM
투자자들의	투자자/NNG+들/XSN+의/JKG
불안한	불안/NNG+하/XSA+ㄴ/ETM
심리를	심리/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
기업	기업/NNG
구조조정도	구조/NNG+조정/NNG+도/JX
본격화할	본격/NNG+화/XSN+하/XSV+ㄹ/ETM
전망이어서	전망/NNG+이/VCP+어서/EC
부동산	부동산/NNG
시장이	시장/NNG+이/JKS
회복되는	회복/NNG+되/XSV+는/ETM
데는	데/NNB+는/JX
더	더/MAG
시간이	시간/NNG+이/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했습니다.	말/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.16.5.3
'법정에 사람이 몰리면 낙찰가가 뛴다'는 경매 법정의 속설이 깨지고 있는 것은 주택 경기 침체의 골이 얼마나 깊은지를 보여주는 한 단면인 것 같습니다.

'법정에	'/SS+법정/NNG+에/JKB
사람이	사람/NNG+이/JKS
몰리면	몰리/VV+면/EC
낙찰가가	낙찰/NNG+가/XSN+가/JKS
뛴다'는	뛰/VV+ㄴ다/EF+'/SS+는/ETM
경매	경매/NNG
법정의	법정/NNG+의/JKG
속설이	속설/NNG+이/JKS
깨지고	깨지/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
주택	주택/NNG
경기	경기/NNG
침체의	침체/NNG+의/JKG
골이	골/NNG+이/JKS
얼마나	얼마나/MAG
깊은지를	깊/VA+은지/EF+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
한	한/MMN
단면인	단면/NNG+이/VCP+ㄴ/ETM
것	것/NNB
같습니다.	같/VA+습니다/EF+./SF


