# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.324
metadata : {}


# id : NWRW1800000046.324.1.1
공무원勞組(노조) 일부, 연금개혁 필요성 공식 인정

공무원勞組(노조)	공무원/NNG+勞組/SH+(/SS+노조/NNG+)/SS
형평성을	형평/NNG+성/XSN+을/JKO
고려하고,	고려/NNG+하/XSV+고/EC+,/SP
연금	연금/NNG
재정의	재정/NNG+의/JKG
지속	지속/NNG
가능성	가능/NNG+성/XSN
제고	제고/NNG
공무원의	공무원/NNG+의/JKG
적정한	적정/NNG+하/XSA+ㄴ/ETM
노후	노후/NNG
소득	소득/NNG
보장을	보장/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
방향에서	방향/NNG+에서/JKB
개혁이	개혁/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
상황이라는	상황/NNG+이/VCP+라는/ETM
데	데/NNB
대해	대하/VV+아/EC
인식을	인식/NNG+을/JKO
같이한다"고	같이/MAG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.324.5.1
발표문을 만드는 과정에서 공무원노조 일각에서 반발이 있었던 것으로 알려졌다.

발표문을	발표문/NNG+을/JKO
만드는	만들/VV+는/ETM
과정에서	과정/NNG+에서/JKB
공무원노조	공무원/NNG+노조/NNG
일각에서	일각/NNG+에서/JKB
반발이	반발/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.324.5.2
공무원노조 중 강성으로 분류되는 전국공무원노조(전공노)는 발표문을 만드는 데 동의했지만, 전교조 등이 막판에 "어떤 형식이든 합의문 작성은 절대 안 된다"고 버티면서 발표 무산 위기까지 갔었다.

공무원노조	공무원/NNG+노조/NNG
중	중/NNB
강성으로	강성/NNG+으로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
전국공무원노조(전공노)는	전국공무원노조/NNP+(/SS+전공노/NNP+)/SS+는/JX
발표문을	발표문/NNG+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
동의했지만,	동의/NNG+하/XSV+았/EP+지만/EC+,/SP
전교조	전교조/NNP
등이	등/NNB+이/JKS
막판에	막판/NNG+에/JKB
"어떤	"/SS+어떤/MMD
형식이든	형식/NNG+이/VCP+든/EC
합의문	합의문/NNG
작성은	작성/NNG+은/JX
절대	절대/MAG
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
버티면서	버티/VV+면서/EC
발표	발표/NNG
무산	무산/NNG
위기까지	위기/NNG+까지/JX
갔었다.	가/VV+았었/EP+다/EF+./SF


# id : NWRW1800000046.324.5.3
공무원노조 관계자는 "내부 회의에서 욕설이 오갔고, 한때 강경파를 중심으로 공투본(공적연금 강화를 위한 공동투쟁본부)이 대타협기구에서 빠져야 한다는 얘기도 나왔다"고 했다.

공무원노조	공무원/NNG+노조/NNG
관계자는	관계자/NNG+는/JX
"내부	"/SS+내부/NNG
회의에서	회의/NNG+에서/JKB
욕설이	욕설/NNG+이/JKS
오갔고,	오가/VV+았/EP+고/EC+,/SP
한때	한때/MAG
강경파를	강경파/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
공투본(공적연금	공투본/NNG+(/SS+공/NNG+적/XSN+연금/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동투쟁본부)이	공동/NNG+투쟁/NNG+본부/NNG+)/SS+이/JKS
대타협기구에서	대/XPN+타협/NNG+기구/NNG+에서/JKB
빠져야	빠지/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
얘기도	얘기/NNG+도/JX
나왔다"고	나오/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.324.5.4
그러나 대타협기구에 소속된 여야 의원들이 "정치권과 공무원노조 지도부가 합의한 발표문을 강경파의 반발로 없앨 수는 없다"고 버텼다.

그러나	그러나/MAJ
대타협기구에	대/XPN+타협/NNG+기구/NNG+에/JKB
소속된	소속/NNG+되/XSV+ㄴ/ETM
여야	여야/NNG
의원들이	의원/NNG+들/XSN+이/JKS
"정치권과	"/SS+정치/NNG+권/XSN+과/JC
공무원노조	공무원/NNG+노조/NNG
지도부가	지도부/NNG+가/JKS
합의한	합의/NNG+하/XSV+ㄴ/ETM
발표문을	발표문/NNG+을/JKO
강경파의	강경파/NNG+의/JKG
반발로	반발/NNG+로/JKB
없앨	없애/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
버텼다.	버티/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.324.5.5
결국 일부 문구를 수정한 뒤 발표하게 됐다.

결국	결국/MAG
일부	일부/NNG
문구를	문구/NNG+를/JKO
수정한	수정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
발표하게	발표/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.324.6.1
현재 공무원연금 개혁은 두 갈래로 진행되고 있다.

현재	현재/MAG
공무원연금	공무원/NNG+연금/NNG
개혁은	개혁/NNG+은/JX
두	두/MMN
갈래로	갈래/NNG+로/JKB
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.324.6.2
지난해 12월 29일부터 시작된 국회 특위(활동시한 5월 2일)와 대타협기구(3월 28일)가 함께 활동하고 있다.

지난해	지난해/NNG
12월	12/SN+월/NNB
29일부터	29/SN+일/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
국회	국회/NNG
특위(활동시한	특위/NNG+(/SS+활동/NNG+시한/NNG
5월	5/SN+월/NNB
2일)와	2/SN+일/NNB+)/SS+와/JC
대타협기구(3월	대/XPN+타협/NNG+기구/NNG+(/SS+3/SN+월/NNB
28일)가	28/SN+일/NNB+)/SS+가/JKS
함께	함께/MAG
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.324.6.3
대타협기구가 이달 28일까지 단수 또는 복수의 합의안을 연금특위에 제시하면, 연금특위가 이를 바탕으로 5월 2일까지 최종안을 만들게 된다.

대타협기구가	대/XPN+타협/NNG+기구/NNG+가/JKS
이달	이달/NNG
28일까지	28/SN+일/NNB+까지/JX
단수	단수/NNG
또는	또는/MAG
복수의	복수/NNG+의/JKG
합의안을	합의안/NNG+을/JKO
연금특위에	연금/NNG+특위/NNG+에/JKB
제시하면,	제시/NNG+하/XSV+면/EC+,/SP
연금특위가	연금/NNG+특위/NNG+가/JKS
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
5월	5/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
최종안을	최종안/NNG+을/JKO
만들게	만들/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.324.7.1
새누리당 유승민 원내대표와 새정치연합 우윤근 원내대표는 이날 주례 회동에서 "공무원연금 개혁안을 특위 활동 종료 시점(5월 2일)까지 원만히 처리하기 위해 '국민대타협기구'와 '국회특위'가 3월 중에 실질적인 협의를 진행한다"는 데 합의했다.

새누리당	새누리당/NNP
유승민	유승민/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
새정치연합	새정치연합/NNP
우윤근	우윤근/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
주례	주례/NNG
회동에서	회동/NNG+에서/JKB
"공무원연금	"/SS+공무원/NNG+연금/NNG
개혁안을	개혁안/NNG+을/JKO
특위	특위/NNG
활동	활동/NNG
종료	종료/NNG
시점(5월	시점/NNG+(/SS+5/SN+월/NNB
2일)까지	2/SN+일/NNB+)/SS+까지/JX
원만히	원만히/MAG
처리하기	처리/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
'국민대타협기구'와	'/SS+국민/NNG+대/XPN+타협/NNG+기구/NNG+'/SS+와/JC
'국회특위'가	'/SS+국회/NNG+특위/NNG+'/SS+가/JKS
3월	3/SN+월/NNB
중에	중/NNB+에/JKB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
협의를	협의/NNG+를/JKO
진행한다"는	진행/NNG+하/XSV+ㄴ다/EF+"/SS+는/ETM
데	데/NNB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.324.8.1
대타협기구는 이날 오후 연금개혁 분과 회의를 열었고, 11일 재정추계 분과, 12일 노후소득 분과 회의를 잇달아 연다.

대타협기구는	대/XPN+타협/NNG+기구/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
연금개혁	연금/NNG+개혁/NNG
분과	분과/NNG
회의를	회의/NNG+를/JKO
열었고,	열/VV+었/EP+고/EC+,/SP
11일	11/SN+일/NNB
재정추계	재정/NNG+추계/NNG
분과,	분과/NNG+,/SP
12일	12/SN+일/NNB
노후소득	노후/NNG+소득/NNG
잇달아	잇달/VV+아/EC
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.324.8.2
대타협기구 공동위원장인 새누리당 조원진 의원은 "남은 기간 매일 회의를 해서라도 합의안을 만들어낼 것"이라고 했다.

대타협기구	대/XPN+타협/NNG+기구/NNG
공동위원장인	공동/NNG+위원장/NNG+이/VCP+ㄴ/ETM
새누리당	새누리당/NNP
조원진	조원진/NNP
의원은	의원/NNG+은/JX
"남은	"/SS+남/VV+은/ETM
기간	기간/NNG
매일	매일/MAG
회의를	회의/NNG+를/JKO
해서라도	하/VV+아서/EC+라도/JX
합의안을	합의안/NNG+을/JKO
만들어낼	만들/VV+어/EC+내/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.324.9.1
그러나 새정치연합은 공무원연금 개혁에 전략적으로 모호한 입장을 취하고 있다.

그러나	그러나/MAJ
새정치연합은	새정치연합/NNP+은/JX
공무원연금	공무원/NNG+연금/NNG
개혁에	개혁/NNG+에/JKB
전략적으로	전략/NNG+적/XSN+으로/JKB
모호한	모호하/VA+ㄴ/ETM
입장을	입장/NNG+을/JKO
취하고	취하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.324.9.2
새정치연합은 대타협기구에서 야당의 자체 개혁안을 내진 않되 사안에 따라 의견을 개진키로 했다.

새정치연합은	새정치연합/NNP+은/JX
대타협기구에서	대/XPN+타협/NNG+기구/NNG+에서/JKB
야당의	야당/NNG+의/JKG
자체	자체/NNG
개혁안을	개혁안/NNG+을/JKO
내진	내/VV+지/EC+ㄴ/JX
않되	않/VX+되/EC
사안에	사안/NNG+에/JKB
따라	따르/VV+아/EC
의견을	의견/NNG+을/JKO
개진키로	개진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.324.9.3
또 본격적인 협상에 들어가면 공무원노조가 집단 반발할 가능성이 크다.

또	또/MAG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
협상에	협상/NNG+에/JKB
들어가면	들어가/VV+면/EC
공무원노조가	공무원/NNG+노조/NNG+가/JKS
집단	집단/NNG
반발할	반발/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000046.324.9.4
새누리당 관계자는 "공무원연금 개혁안을 4월 임시국회에서 처리하지 못할 경우, 야당의 원내지도부가 교체돼 협상을 처음부터 다시 할 수 있다"며 "5월 이후로 처리를 미루면 연금 개혁은 물 건너갈 수 있다"고 했다.

새누리당	새누리당/NNP
관계자는	관계자/NNG+는/JX
"공무원연금	"/SS+공무원/NNG+연금/NNG
개혁안을	개혁안/NNG+을/JKO
4월	4/SN+월/NNB
임시국회에서	임시/NNG+국회/NNG+에서/JKB
처리하지	처리/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
경우,	경우/NNG+,/SP
야당의	야당/NNG+의/JKG
원내지도부가	원내/NNG+지도부/NNG+가/JKS
교체돼	교체/NNG+되/XSV+어/EC
협상을	협상/NNG+을/JKO
처음부터	처음/NNG+부터/JX
다시	다시/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"5월	"/SS+5/SN+월/NNB
이후로	이후/NNG+로/JKB
처리를	처리/NNG+를/JKO
미루면	미루/VV+면/EC
연금	연금/NNG
개혁은	개혁/NNG+은/JX
물	물/NNG
건너갈	건너가/VV+ㄹ/ETM
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.324.9.5
이 때문에 정치권 일각에서는 현실적으로 '파격적인 빅딜'밖에 방법이 없다는 얘기가 나온다.

이	이/MMD
때문에	때문/NNB+에/JKB
정치권	정치/NNG+권/XSN
일각에서는	일각/NNG+에서/JKB+는/JX
현실적으로	현실/NNG+적/XSN+으로/JKB
'파격적인	'/SS+파격/NNG+적/XSN+이/VCP+ㄴ/ETM
빅딜'밖에	빅딜/NNG+'/SS+밖에/JX
방법이	방법/NNG+이/JKS
없다는	없/VA+다는/ETM
얘기가	얘기/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


