# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.315
metadata : {}


# id : NWRW1800000048.315.1.1
새누리 박상은도 의원직 잃었다

새누리	새누리/NNP
국회의원의 경우 본인의 선거 범죄로 벌금 100만원 이상을 확정받거나 다른 형사 사건으로 금고 이상의 형을 확정받으면 의원직을 상실하게 된다.

국회의원의	국회/NNG+의원/NNG+의/JKG
경우	경우/NNG
본인의	본인/NNG+의/JKG
선거	선거/NNG
범죄로	범죄/NNG+로/JKB
벌금	벌금/NNG
100만원	100/SN+만/NR+원/NNB
이상을	이상/NNG+을/JKO
확정받거나	확정/NNG+받/XSV+거나/EC
다른	다른/MMD
형사	형사/NNG
사건으로	사건/NNG+으로/JKB
금고	금고/NNG
이상의	이상/NNG+의/JKG
형을	형/NNG+을/JKO
확정받으면	확정/NNG+받/XSV+으면/EC
의원직을	의원직/NNG+을/JKO
상실하게	상실/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.315.7.1
올해 처음으로 의원직을 상실한 것은 안덕수(69) 전 새누리당 의원이다.

올해	올해/NNG
처음으로	처음/NNG+으로/JKB
의원직을	의원직/NNG+을/JKO
상실한	상실/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
안덕수(69)	안덕수/NNP+(/SS+69/SN+)/SS
전	전/MMD
새누리당	새누리당/NNP
의원이다.	의원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.315.7.2
안 전 의원의 선거 당시 회계책임자인 허아무개(43)씨는 2013년 총선 때 불법선거운동을 벌인 사실이 인정돼 올해 3월 징역형을 확정받았다.

안	안/NNP
전	전/MMD
의원의	의원/NNG+의/JKG
선거	선거/NNG
당시	당시/NNG
회계책임자인	회계/NNG+책임자/NNG+이/VCP+ㄴ/ETM
허아무개(43)씨는	허/NNP+아무개/NP+(/SS+43/SN+)/SS+씨/NNB+는/JX
2013년	2013/SN+년/NNB
총선	총선/NNG
때	때/NNG
불법선거운동을	불법/NNG+선거/NNG+운동/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
인정돼	인정/NNG+되/XSV+어/EC
올해	올해/NNG
3월	3/SN+월/NNB
징역형을	징역형/NNG+을/JKO
확정받았다.	확정/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.315.7.3
한명숙(71) 전 총리는 건설업자에게 9억여원을 받은 혐의로 기소된 지 5년만인 올해 8월 징역 2년형이 확정돼 의원직을 잃었다.

한명숙(71)	한명숙/NNP+(/SS+71/SN+)/SS
전	전/MMD
총리는	총리/NNG+는/JX
건설업자에게	건설업자/NNG+에게/JKB
9억여원을	9/SN+억/NR+여/XSN+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
지	지/NNB
5년만인	5/SN+년/NNB+만/NNB+이/VCP+ㄴ/ETM
올해	올해/NNG
8월	8/SN+월/NNB
징역	징역/NNG
2년형이	2/SN+년/NNB+형/NNG+이/JKS
확정돼	확정/NNG+되/XSV+어/EC
의원직을	의원직/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.315.7.4
지난달에는 서울종합예술실용학교의 김민성 이사장한테 입법로비를 받은 김재윤(50) 전 새정치민주연합 의원과 철도비리에 연루된 송광호(73)·조현룡(70) 전 새누리당 의원 등 3명이 동시에 의원직을 잃었다.

지난달에는	지난달/NNG+에/JKB+는/JX
서울종합예술실용학교의	서울종합예술실용학교/NNP+의/JKG
김민성	김민성/NNP
이사장한테	이사장/NNG+한테/JKB
입법로비를	입법/NNG+로비/NNG+를/JKO
받은	받/VV+은/ETM
김재윤(50)	김재윤/NNP+(/SS+50/SN+)/SS
전	전/MMD
새정치민주연합	새정치민주연합/NNP
의원과	의원/NNG+과/JC
철도비리에	철도/NNG+비리/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
송광호(73)·조현룡(70)	송광호/NNP+(/SS+73/SN+)/SS+·/SP+조현룡/NNP+(/SS+70/SN+)/SS
새누리당	새누리당/NNP
의원	의원/NNG
등	등/NNB
3명이	3/SN+명/NNB+이/JKS
동시에	동시/NNG+에/JKB
의원직을	의원직/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.315.8.1
박지원(73) 새정치민주연합 의원도 위태롭다.

박지원(73)	박지원/NNP+(/SS+73/SN+)/SS
새정치민주연합	새정치민주연합/NNP
의원도	의원/NNG+도/JX
위태롭다.	위태롭/VA+다/EF+./SF


# id : NWRW1800000048.315.8.2
저축은행 등에서 금품을 받은 혐의로 기소된 박 의원은 올해 7월 열린 항소심에서 징역1년에 집행유예 2년을 선고 받았다.

저축은행	저축/NNG+은행/NNG
등에서	등/NNB+에서/JKB
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
박	박/NNP
의원은	의원/NNG+은/JX
올해	올해/NNG
7월	7/SN+월/NNB
열린	열리/VV+ㄴ/ETM
항소심에서	항소심/NNG+에서/JKB
징역1년에	징역/NNG+1/SN+년/NNB+에/JKB
집행유예	집행/NNG+유예/NNG
2년을	2/SN+년/NNB+을/JKO
선고	선고/NNG
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.315.8.3
이 판결이 확정되면 의원직을 잃는다.

이	이/MMD
판결이	판결/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
의원직을	의원직/NNG+을/JKO
잃는다.	잃/VV+는다/EF+./SF


# id : NWRW1800000048.315.8.4
신계륜(61)·신학용(63) 새정치민주연합 의원은 서울종합예술실용학교 입법 로비 혐의로 1심에서 각각 징역 2년·징역 2년6개월의 실형을 선고받았다.

신계륜(61)·신학용(63)	신계륜/NNP+(/SS+61/SN+)/SS+·/SP+신학용/NNP+(/SS+63/SN+)/SS
새정치민주연합	새정치민주연합/NNP
의원은	의원/NNG+은/JX
서울종합예술실용학교	서울종합예술실용학교/NNP
입법	입법/NNG
로비	로비/NNG
혐의로	혐의/NNG+로/JKB
1심에서	1심/NNG+에서/JKB
각각	각각/MAG
징역	징역/NNG
2년·징역	2/SN+년/NNB+·/SP+징역/NNG
2년6개월의	2/SN+년/NNB+6/SN+개월/NNB+의/JKG
실형을	실형/NNG+을/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.315.8.5
이들은 1심을 마친 지 얼마되지 않아 내년 4월 총선 전에 대법원 확정 판결이 나올지는 미지수다.

이들은	이/NP+들/XSN+은/JX
1심을	1심/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
지	지/NNB
얼마되지	얼마/NNG+되/XSV+지/EC
않아	않/VX+아/EC
내년	내년/NNG
4월	4/SN+월/NNB
총선	총선/NNG
전에	전/NNG+에/JKB
대법원	대/XPN+법원/NNG
확정	확정/NNG
판결이	판결/NNG+이/JKS
나올지는	나오/VV+ㄹ지/EF+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


