# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.11
metadata : {}


# id : NWRW1800000037.11.1.1
안철수, 1000억원대 주식부자 재등극

안철수,	안철수/NNP+,/SP
사장과	사장/NNG+과/JC
조현상	조현상/NNP
부사장의	부사장/NNG+의/JKG
지분	지분/NNG
평가액도	평가액/NNG+도/JX
각각	각각/MAG
17.03%,	17/SN+./SP+03/SN+%/SW+,/SP
16.59%	16/SN+./SP+59/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


