# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.337
metadata : {}


# id : NWRW1800000056.337.1.1
특검서 공 넘겨받은 검찰, 우병우 수사 전담팀 꾸려

특검서	특검/NNG+서/JKB
1톤	1/SN+톤/NNB
분량의	분량/NNG+의/JKG
수사기록을	수사/NNG+기록/NNG+을/JKO
넘겨받아	넘겨받/VV+아/EC
주말	주말/NNG
내내	내내/MAG
검토	검토/NNG
작업을	작업/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.337.7.1
검찰은 특검팀에서 넘겨받은 과제 중 박 대통령 수사와 우 전 수석 관련 의혹, 롯데·에스케이 등의 뇌물공여 의혹, 최순실씨 딸 정유라씨 수사 등을 주요 과제로 삼고 우선순위 등을 조율하고 있다.

검찰은	검찰/NNG+은/JX
특검팀에서	특검/NNG+팀/NNG+에서/JKB
넘겨받은	넘겨받/VV+은/ETM
과제	과제/NNG
중	중/NNB
박	박/NNP
대통령	대통령/NNG
수사와	수사/NNG+와/JC
우	우/NNP
전	전/MMD
수석	수석/NNG
관련	관련/NNG
의혹,	의혹/NNG+,/SP
롯데·에스케이	롯데/NNP+·/SP+에스케이/NNP
등의	등/NNB+의/JKG
뇌물공여	뇌물/NNG+공여/NNG
최순실씨	최순실/NNP+씨/NNB
딸	딸/NNG
정유라씨	정유라/NNP+씨/NNB
수사	수사/NNG
등을	등/NNB+을/JKO
주요	주요/NNG
과제로	과제/NNG+로/JKB
삼고	삼/VV+고/EC
우선순위	우선순위/NNG
조율하고	조율/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.337.7.2
검찰 관계자는 “아직 수사에 구체적으로 착수하진 않았다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“아직	“/SS+아직/MAG
수사에	수사/NNG+에/JKB
구체적으로	구체/NNG+적/XSN+으로/JKB
착수하진	착수/NNG+하/XSV+지/EC+ㄴ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.337.7.3
6일 특검팀의 최종 수사결과 발표와 곧이어 있을 탄핵심판 등을 지켜본 뒤 수사 순서와 방향 등을 결정하게 될 것”이라고 말했다.

6일	6/SN+일/NNB
특검팀의	특검/NNG+팀/NNG+의/JKG
최종	최종/NNG
수사결과	수사/NNG+결과/NNG
발표와	발표/NNG+와/JC
곧이어	곧이어/MAG
있을	있/VA+을/ETM
탄핵심판	탄핵/NNG+심판/NNG
등을	등/NNB+을/JKO
지켜본	지켜보/VV+ㄴ/ETM
뒤	뒤/NNG
수사	수사/NNG
순서와	순서/NNG+와/JC
방향	방향/NNG
결정하게	결정/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.337.8.1
박 대통령 수사의 경우 탄핵심판 결과는 물론 인용 때 전개될 대선 정국까지 고려해야 하는 등 변수가 적지 않다.

박	박/NNP
대통령	대통령/NNG
수사의	수사/NNG+의/JKG
경우	경우/NNG
탄핵심판	탄핵/NNG+심판/NNG
결과는	결과/NNG+는/JX
물론	물론/MAG
인용	인용/NNG
때	때/NNG
전개될	전개/NNG+되/XSV+ㄹ/ETM
대선	대선/NNG
정국까지	정국/NNG+까지/JX
고려해야	고려/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
등	등/NNB
변수가	변수/NNG+가/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000056.337.8.2
반면 우 전 수석 수사는 전담수사팀을 꾸려 강도 높게 진행할 것으로 보인다.

반면	반면/NNG
우	우/NNP
전	전/MMD
수석	수석/NNG
수사는	수사/NNG+는/JX
전담수사팀을	전담/NNG+수사/NNG+팀/NNG+을/JKO
꾸려	꾸리/VV+어/EC
강도	강도/NNG
높게	높/VA+게/EC
진행할	진행/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.337.8.3
수사 대상인 우 전 수석이 지난해 7~10월 김수남 검찰총장은 물론 2기 특수본부장을 맡은 이영렬 서울중앙지검장과 통화한 사실이 특검 수사에서 드러난 바 있어, 의혹의 시선을 떨치기 위해서라도 수사 강도를 높일 수밖에 없다.

수사	수사/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
우	우/NNP
전	전/MMD
수석이	수석/NNG+이/JKS
지난해	지난해/NNG
7~10월	7/SN+~/SO+10/SN+월/NNB
김수남	김수남/NNP
검찰총장은	검찰/NNG+총장/NNG+은/JX
물론	물론/MAG
2기	2/SN+기/NNG
특수본부장을	특수본부장/NNG+을/JKO
맡은	맡/VV+은/ETM
이영렬	이영렬/NNP
서울중앙지검장과	서울중앙지검장/NNG+과/JKB
통화한	통화/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
특검	특검/NNG
수사에서	수사/NNG+에서/JKB
드러난	드러나/VV+ㄴ/ETM
바	바/NNB
있어,	있/VA+어/EC+,/SP
의혹의	의혹/NNG+의/JKG
시선을	시선/NNG+을/JKO
떨치기	떨치/VV+기/ETN
위해서라도	위하/VV+아서라도/EC
강도를	강도/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.337.8.4
법조계에서는 우 전 수석 수사를 기존 검찰 조직이 아닌 독립성이 보장된 ‘특임검사’를 임명해 수사해야 한다는 목소리도 나온다.

법조계에서는	법조/NNG+계/XSN+에서/JKB+는/JX
우	우/NNP
전	전/MMD
수석	수석/NNG
수사를	수사/NNG+를/JKO
기존	기존/NNG
검찰	검찰/NNG
조직이	조직/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
독립성이	독립/NNG+성/XSN+이/JKS
보장된	보장/NNG+되/XSV+ㄴ/ETM
‘특임검사’를	‘/SS+특임/NNG+검사/NNG+’/SS+를/JKO
임명해	임명/NNG+하/XSV+아/EC
수사해야	수사/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.337.8.5
김 총장은 지난해 7월 진경준 전 검사장 비리 의혹이 불거지자 이금로 인천지검장을 특임검사에 임명해 수사한 뒤 구속기소한 바 있다.

김	김/NNP
총장은	총장/NNG+은/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
진경준	진경준/NNP
전	전/MMD
검사장	검사장/NNG
비리	비리/NNG
의혹이	의혹/NNG+이/JKS
불거지자	불거지/VV+자/EC
이금로	이금로/NNP
인천지검장을	인천지검장/NNG+을/JKO
특임검사에	특임/NNG+검사/NNG+에/JKB
임명해	임명/NNG+하/XSV+아/EC
수사한	수사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
구속기소한	구속/NNG+기소/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


