# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.259
metadata : {}


# id : NWRW1800000044.259.1.1
경기도, ‘이케아 상륙’ 대비 가구업계 구하기

경기도,	경기도/NNP+,/SP
중·장기적으로	중·장기/NNG+적/XSN+으로/JKB
가구학교를	가구/NNG+학교/NNG+를/JKO
설립하거나	설립/NNG+하/XSV+거나/EC
폴리텍대학에	폴리텍대학/NNP+에/JKB
가구학과를	가구학과/NNG+를/JKO
만들기로	만들/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.259.7.2
2016년 완공 예정인 ‘케이(K)패션 디자인 빌리지’에 가구 분야 디자인과 마케팅을 포함하는 방안도 검토하기로 했다.

2016년	2016/SN+년/NNB
완공	완공/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
‘케이(K)패션	‘/SS+케이/NNG+(/SS+K/SL+)/SS+패션/NNG
디자인	디자인/NNP
빌리지’에	빌리지/NNP+’/SS+에/JKB
가구	가구/NNG
분야	분야/NNG
디자인과	디자인/NNG+과/JC
마케팅을	마케팅/NNG+을/JKO
포함하는	포함/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.259.8.1
경기도는 지난 3월 도내 15개 협동조합, 1천여개의 가구 판매·제조업체가 참여하는 경기도가구산업연합회를 결성하고, 가구산업 발전계획(2014~2018년)을 세웠다.

경기도는	경기도/NNP+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
도내	도내/NNG
15개	15/SN+개/NNB
협동조합,	협동조합/NNG+,/SP
1천여개의	1/SN+천/NR+여/XSN+개/NNB+의/JKG
가구	가구/NNG
판매·제조업체가	판매/NNG+·/SP+제조업체/NNG+가/JKS
참여하는	참여/NNG+하/XSV+는/ETM
경기도가구산업연합회를	경기도가구산업연합회/NNP+를/JKO
결성하고,	결성/NNG+하/XSV+고/EC+,/SP
가구산업	가구/NNG+산업/NNG
발전계획(2014~2018년)을	발전/NNG+계획/NNG+(/SS+2014/SN+~/SO+2018/SN+년/NNB+)/SS+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.259.8.2
이케아는 지난해 국내 1호인 광명점을 착공한 데 이어 올해 고양에 2호점을 내기 위해 5만1천㎡의 터를 매입하는 등 7개 매장을 열 것으로 알려졌다.

이케아는	이케아/NNP+는/JX
지난해	지난해/NNG
국내	국내/NNG
1호인	1/SN+호/NNB+이/VCP+ㄴ/ETM
광명점을	광명점/NNG+을/JKO
착공한	착공/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
올해	올해/NNG
고양에	고양/NNP+에/JKB
2호점을	2/SN+호점/NNB+을/JKO
내기	내/VV+기/ETN
위해	위하/VV+아/EC
5만1천㎡의	5/SN+만/NR+1/SN+천/NR+㎡/SW+의/JKG
터를	터/NNG+를/JKO
매입하는	매입/NNG+하/XSV+는/ETM
등	등/NNB
7개	7/SN+개/NNB
매장을	매장/NNG+을/JKO
열	열/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


