# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.102
metadata : {}


# id : NWRW1800000021.102.1.1
[이 주일의 추천 신상품]삼성증권 ‘슈퍼스텝 ELS 2365회’

[이	[/SS+이/MMD
지점에서	지점/NNG+에서/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
최소	최소/NNG
가입금액은	가입/NNG+금액/NNG+은/JX
100만	100/SN+만/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


