# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.340
metadata : {}


# id : NWRW1800000038.340.1.1
[朴정부 경제 정책] 재벌 규제_대기업 금융사 지분 합쳐 5%까지만 의결권… 순환출자기업 증자 금지

[朴정부	[/SS+朴/SH+정부/NNG
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
갖고	갖/VV+고/EC
"산업화	"/SS+산업/NNG+화/XSN
논리,	논리/NNG+,/SP
성장	성장/NNG
지상주의	지상주의/NNG
담론으로	담론/NNG+으로/JKB
회귀한	회귀/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.340.3.1
그러나 기업들의 반응은 달랐다.

그러나	그러나/MAJ
기업들의	기업/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.340.3.2
용어만 빠져 있을 뿐, 대기업 규제 등 당선인의 관련 공약이 세부 과제에 모두 구체화돼 들어갔다는 것이다.

용어만	용어/NNG+만/JX
빠져	빠지/VV+어/EC
있을	있/VX+을/ETM
뿐,	뿐/NNB+,/SP
대기업	대/XPN+기업/NNG
규제	규제/NNG
등	등/NNB
당선인의	당선인/NNG+의/JKG
관련	관련/NNG
공약이	공약/NNG+이/JKS
세부	세부/NNG
과제에	과제/NNG+에/JKB
모두	모두/MAG
구체화돼	구체/NNG+화/XSN+되/XSV+어/EC
들어갔다는	들어가/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.340.3.3
전경련 관계자는 "처음 용어 삭제 얘기를 듣고 크게 기대했지만, 내용을 자세히 보니 실질적으론 우려가 크다"고 말했다.

전경련	전경련/NNP
관계자는	관계자/NNG+는/JX
"처음	"/SS+처음/NNG
용어	용어/NNG
삭제	삭제/NNG
얘기를	얘기/NNG+를/JKO
듣고	듣/VV+고/EC
크게	크/VA+게/EC
기대했지만,	기대/NNG+하/XSV+았/EP+지만/EC+,/SP
내용을	내용/NNG+을/JKO
자세히	자세히/MAG
보니	보/VV+니/EC
실질적으론	실질/NNG+적/XSN+으로/JKB+ㄴ/JX
우려가	우려/NNG+가/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.340.4.1
예를 들어 재벌 금융회사의 비금융 계열사에 대한 지분 행사 제한과 관련해, 대선 공약에선 '단독' 금융회사 기준으로 5% 이상 의결권 행사를 금지하겠다고 돼 있었다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
재벌	재벌/NNG
금융회사의	금융/NNG+회사/NNG+의/JKG
비금융	비/XPN+금융/NNG
계열사에	계열사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지분	지분/NNG
행사	행사/NNG
제한과	제한/NNG+과/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
대선	대선/NNG
공약에선	공약/NNG+에서/JKB+ㄴ/JX
'단독'	'/SS+단독/NNG+'/SS
금융회사	금융/NNG+회사/NNG
기준으로	기준/NNG+으로/JKB
5%	5/SN+%/SW
이상	이상/NNG
의결권	의결/NNG+권/XSN
행사를	행사/NNG+를/JKO
금지하겠다고	금지/NNG+하/XSV+겠/EP+다고/EC
돼	되/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.340.4.2
그런데 이번 국정 과제에는 '계열 금융회사 전체 지분'을 합쳐 5% 이상 행사를 금지하겠다고 바꿨다.

그런데	그런데/MAJ
이번	이번/NNG
국정	국정/NNG
과제에는	과제/NNG+에/JKB+는/JX
'계열	'/SS+계열/NNG
금융회사	금융/NNG+회사/NNG
전체	전체/NNG
지분'을	지분/NNG+'/SS+을/JKO
합쳐	합치/VV+어/EC
5%	5/SN+%/SW
이상	이상/NNG
행사를	행사/NNG+를/JKO
금지하겠다고	금지/NNG+하/XSV+겠/EP+다고/EC
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.340.4.3
그 결과 삼성 금융 계열사들이 보유 중인 삼성전자 지분 8.79%(삼성생명 7.53%+삼성화재 1.26%) 중 5%를 넘는 3.79%포인트에 대해 의결권을 행사할 수 없게 된다.

그	그/MMD
결과	결과/NNG
삼성	삼성/NNP
금융	금융/NNG
계열사들이	계열사/NNG+들/XSN+이/JKS
보유	보유/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
삼성전자	삼성전자/NNP
지분	지분/NNG
8.79%(삼성생명	8/SN+./SP+79/SN+%/SW+(/SS+삼성생명/NNP
7.53%+삼성화재	7/SN+./SP+53/SN+%/SW++/SW+삼성화재/NNP
1.26%)	1/SN+./SP+26/SN+%/SW+)/SS
중	중/NNB
5%를	5/SN+%/SW+를/JKO
넘는	넘/VV+는/ETM
3.79%포인트에	3/SN+./SP+79/SN+%포인트/NNG+에/JKB
대해	대하/VV+아/EC
의결권을	의결/NNG+권/XSN+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.340.4.4
시행 시기는 구체적으로 밝히지 않았다.

시행	시행/NNG
시기는	시기/NNG+는/JX
구체적으로	구체/NNG+적/XSN+으로/JKB
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.340.5.1
또 신규 순환출자를 금지하면서 기존 순환출자 기업들의 증자(增資)를 막겠다는 방침도 나왔다.

또	또/MAG
신규	신규/NNG
순환출자를	순환/NNG+출자/NNG+를/JKO
금지하면서	금지/NNG+하/XSV+면서/EC
기존	기존/NNG
순환출자	순환/NNG+출자/NNG
기업들의	기업/NNG+들/XSN+의/JKG
증자(增資)를	증자/NNG+(/SS+增資/SH+)/SS+를/JKO
막겠다는	막/VV+겠/EP+다는/ETM
방침도	방침/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.340.5.2
이는 원래 공약에 없던 내용으로, 이번에 새로 추가된 것이다.

이는	이/NP+는/JX
원래	원래/MAG
공약에	공약/NNG+에/JKB
없던	없/VA+던/ETM
내용으로,	내용/NNG+으로/JKB+,/SP
이번에	이번/NNG+에/JKB
새로	새로/MAG
추가된	추가/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.340.5.3
기존 순환출자 구조로 돼 있는 기업 중 하나가 유상증자를 하면 기존 주주들이 지분 비율대로 증자에 참여할 수 있어야 하는데, 앞으로는 지분을 갖고 있는 계열사가 증자에 참여할 수 없게 된다는 의미다.

기존	기존/NNG
순환출자	순환/NNG+출자/NNG
구조로	구조/NNG+로/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
기업	기업/NNG
중	중/NNB
하나가	하나/NR+가/JKS
유상증자를	유상/NNG+증자/NNG+를/JKO
하면	하/VV+면/EC
주주들이	주주/NNG+들/XSN+이/JKS
지분	지분/NNG
비율대로	비율/NNG+대로/JX
증자에	증자/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
하는데,	하/VX+는데/EC+,/SP
앞으로는	앞/NNG+으로/JKB+는/JX
지분을	지분/NNG+을/JKO
갖고	갖/VV+고/EC
계열사가	계열사/NNG+가/JKS
없게	없/VA+게/EC
된다는	되/VV+ㄴ다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.340.5.4
전경련 관계자는 "기업들이 본연의 경영 활동보다 경영권 방어에만 매달리는 부작용이 우려된다"고 말했다.

전경련	전경련/NNP
관계자는	관계자/NNG+는/JX
"기업들이	"/SS+기업/NNG+들/XSN+이/JKS
본연의	본연/NNG+의/JKG
경영	경영/NNG
활동보다	활동/NNG+보다/JKB
경영권	경영/NNG+권/XSN
방어에만	방어/NNG+에/JKB+만/JX
매달리는	매달리/VV+는/ETM
부작용이	부작용/NNG+이/JKS
우려된다"고	우려/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


