# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.282
metadata : {}


# id : NWRW1800000044.282.1.1
황재균 악송구에…롯데 6연패 수렁

황재균	황재균/NNP
이때 교체 등판한 롯데의 마무리 투수 김승회가 엘지 채은성에게 유도한 내야땅볼이 다시 황재균에게 갔다.

이때	이때/NNG
교체	교체/NNG
등판한	등판/NNG+하/XSV+ㄴ/ETM
롯데의	롯데/NNP+의/JKG
마무리	마무리/NNG
투수	투수/NNG
김승회가	김승회/NNP+가/JKS
엘지	엘지/NNP
채은성에게	채은성/NNP+에게/JKB
유도한	유도/NNG+하/XSV+ㄴ/ETM
내야땅볼이	내야/NNG+땅볼/NNG+이/JKS
다시	다시/MAG
황재균에게	황재균/NNP+에게/JKB
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.282.3.6
살짝 불규칙 바운드가 일어나긴 했지만 안정적으로 공을 잡은 황재균은 1루로 강하게 송구했다.

살짝	살짝/MAG
불규칙	불/XPN+규칙/NNG
바운드가	바운드/NNG+가/JKS
일어나긴	일어나/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
안정적으로	안정/NNG+적/XSN+으로/JKB
공을	공/NNG+을/JKO
잡은	잡/VV+은/ETM
황재균은	황재균/NNP+은/JX
1루로	1루/NNG+로/JKB
강하게	강하/VA+게/EC
송구했다.	송구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.282.3.7
하지만 공은 원바운드되며 1루수 박종윤 뒤로 빠졌고 주자 2명이 홈으로 들어왔다.

하지만	하지만/MAJ
공은	공/NNG+은/JX
원바운드되며	원바운드/NNG+되/XSV+며/EC
1루수	1루수/NNG
박종윤	박종윤/NNP
뒤로	뒤/NNG+로/JKB
빠졌고	빠지/VV+었/EP+고/EC
주자	주자/NNG
2명이	2/SN+명/NNB+이/JKS
홈으로	홈/NNG+으로/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.282.4.1
동점을 허용하는 순간 허탈한 표정을 지은 김승회는 박경수에게 볼넷을 내준 뒤 다시 이어진 만루 위기에서 최경철에게 밀어내기 볼넷으로 5-6 역전을 허용하고 말았다.

동점을	동점/NNG+을/JKO
허용하는	허용/NNG+하/XSV+는/ETM
순간	순간/NNG
허탈한	허탈/NNG+하/XSA+ㄴ/ETM
표정을	표정/NNG+을/JKO
지은	짓/VV+은/ETM
김승회는	김승회/NNP+는/JX
박경수에게	박경수/NNP+에게/JKB
볼넷을	볼넷/NNG+을/JKO
내준	내주/VV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
이어진	이어지/VV+ㄴ/ETM
만루	만루/NNG
위기에서	위기/NNG+에서/JKB
최경철에게	최경철/NNP+에게/JKB
밀어내기	밀어내기/NNG
볼넷으로	볼넷/NNG+으로/JKB
5-6	5/SN+-/SO+6/SN
역전을	역전/NNG+을/JKO
허용하고	허용/NNG+하/XSV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.282.4.2
경기는 이대로 끝났고 롯데는 6연패 수렁에 빠졌다.

경기는	경기/NNG+는/JX
이대로	이대로/MAG
끝났고	끝나/VV+았/EP+고/EC
롯데는	롯데/NNP+는/JX
6연패	6/SN+연패/NNG
수렁에	수렁/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.282.4.3
극적인 역전승을 거둔 4위 엘지는 3연승을 달리며 이날 엔씨(NC)에 패한 5위 두산과의 승차를 2경기로 벌렸다.

극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
역전승을	역전승/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
4위	4/SN+위/NNB
엘지는	엘지/NNP+는/JX
3연승을	3/SN+연승/NNG+을/JKO
달리며	달리/VV+며/EC
이날	이날/NNG
엔씨(NC)에	엔씨/NNP+(/SS+NC/SL+)/SS+에/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
5위	5/SN+위/NNB
두산과의	두산/NNP+과/JKB+의/JKG
승차를	승차/NNG+를/JKO
2경기로	2/SN+경기/NNG+로/JKB
벌렸다.	벌리/VV+었/EP+다/EF+./SF


