# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.7
metadata : {}


# id : NWRW1800000022.7.1.1
태극마크 새내기 김동찬 "우선 살아남아야죠"

태극마크	태극/NNG+마크/NNG
2008년 7골3도움(25경기)을 기록하며 화려하게 성장했다.

2008년	2008/SN+년/NNB
7골3도움(25경기)을	7/SN+골/NNG+3/SN+도움/NNG+(/SS+25/SN+경기/NNG+)/SS+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
화려하게	화려하/VA+게/EC
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.7.3.7
조 감독은 "당장 국가대표 경기에 뛰어도 전혀 손색이 없을 정도"라고 했다.

조	조/NNP
감독은	감독/NNG+은/JX
"당장	"/SS+당장/NNG
국가대표	국가/NNG+대표/NNG
경기에	경기/NNG+에/JKB
뛰어도	뛰/VV+어도/EC
전혀	전혀/MAG
손색이	손색/NNG+이/JKS
없을	없/VA+을/ETM
정도"라고	정도/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.7.4.1
지난 12월 김동찬은 서귀포에서 열렸던 FA컵 준결승에서 네 골을 몰아넣으며 팀을 준우승으로 이끌었다.

지난	지나/VV+ㄴ/ETM
12월	12/SN+월/NNB
김동찬은	김동찬/NNP+은/JX
서귀포에서	서귀포/NNP+에서/JKB
열렸던	열리/VV+었/EP+던/ETM
FA컵	FA/SL+컵/NNG
준결승에서	준/XPN+결승/NNG+에서/JKB
네	네/MMN
골을	골/NNG+을/JKO
몰아넣으며	몰아넣/VV+으며/EC
팀을	팀/NNG+을/JKO
준우승으로	준/XPN+우승/NNG+으로/JKB
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.7.4.2
직접 경기장에서 그 모습을 지켜 봤던 허정무 대표팀 감독은 "평소부터 눈여겨보던 선수였다"며 대표팀 명단에 그의 이름을 올렸다.

직접	직접/MAG
경기장에서	경기장/NNG+에서/JKB
그	그/MMD
모습을	모습/NNG+을/JKO
지켜	지키/VV+어/EC
봤던	보/VX+았/EP+던/ETM
허정무	허정무/NNP
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
"평소부터	"/SS+평소/NNG+부터/JX
눈여겨보던	눈여겨보/VV+던/ETM
선수였다"며	선수/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
명단에	명단/NNG+에/JKB
그의	그/NP+의/JKG
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.7.5.1
그는 첫날 대표팀 훈련이 별로 만족스럽지 않았다고 했다.

그는	그/NP+는/JX
첫날	첫날/NNG
대표팀	대표/NNG+팀/NNG
훈련이	훈련/NNG+이/JKS
별로	별로/MAG
만족스럽지	만족/NNG+스럽/XSA+지/EC
않았다고	않/VX+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.7.5.2
몸이 덜 풀린 데다가 긴장감까지 더해 자기의 본모습을 제대로 보여주지 못했다는 것이다.

몸이	몸/NNG+이/JKS
덜	덜/MAG
풀린	풀리/VV+ㄴ/ETM
데다가	데/NNB+다가/JX
긴장감까지	긴장감/NNG+까지/JX
더해	더/MAG+하/XSV+아/EC
자기의	자기/NNG+의/JKG
본모습을	본모습/NNG+을/JKO
제대로	제대로/MAG
보여주지	보이/VV+어/EC+주/VX+지/EC
못했다는	못하/VX+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.7.5.3
하지만 김동찬은 주눅들 생각은 전혀 없다.

하지만	하지만/MAJ
김동찬은	김동찬/NNP+은/JX
주눅들	주눅/NNG+들/VV+ㄹ/ETM
생각은	생각/NNG+은/JX
전혀	전혀/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.7.5.4
그는 "모든 것을 처음부터 다시 시작한다는 마음"이라며 "전지훈련 동안 전부를 쏟아 붓고 월드컵 무대에 당당히 서고 싶다"고 말했다.

그는	그/NP+는/JX
"모든	"/SS+모든/MMN
것을	것/NNB+을/JKO
처음부터	처음/NNG+부터/JX
다시	다시/MAG
시작한다는	시작/NNG+하/XSV+ㄴ다는/ETM
마음"이라며	마음/NNG+"/SS+이/VCP+라며/EC
"전지훈련	"/SS+전지훈련/NNG
동안	동안/NNG
전부를	전부/NNG+를/JKO
쏟아	쏟/VV+아/EC
붓고	붓/VV+고/EC
월드컵	월드컵/NNG
무대에	무대/NNG+에/JKB
당당히	당당히/MAG
서고	서/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


