# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.347
metadata : {}


# id : NWRW1800000022.347.1.1
[인천·부천] [현장] 꼭 영어로 써야 국제화인가

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
아트센터,	아트센터/NNG+,/SP
센트럴파크역	센트럴파크역/NNP
….	…/SE+./SF


# id : NWRW1800000022.347.4.3
그냥 '영어사용 음식점', 미래도시관, 예술회관, 중앙공원역이라 하면 될 것을 꼭 영어로 이름 붙여놓아야 '국제화'가 된다고 인천시는 생각하는 모양이다.

그냥	그냥/MAG
'영어사용	'/SS+영어/NNP+사용/NNG
음식점',	음식점/NNG+'/SS+,/SP
미래도시관,	미래/NNG+도시관/NNG+,/SP
예술회관,	예술/NNG+회관/NNG+,/SP
중앙공원역이라	중앙공원역/NNP+이/VCP+라/EC
하면	하/VV+면/EC
될	되/VV+ㄹ/ETM
것을	것/NNB+을/JKO
꼭	꼭/MAG
영어로	영어/NNP+로/JKB
이름	이름/NNG
붙여놓아야	붙이/VV+어/EC+놓/VX+아야/EC
'국제화'가	'/SS+국제/NNG+화/XSN+'/SS+가/JKC
된다고	되/VV+ㄴ다고/EC
인천시는	인천시/NNP+는/JX
생각하는	생각/NNG+하/XSV+는/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.347.5.1
하지만 불행하게도 이런 행태는 인천시가 왜 국제도시 또는 명품도시가 될 수 없는지를 보여주고 있다.

하지만	하지만/MAJ
불행하게도	불행/NNG+하/XSA+게/EC+도/JX
이런	이런/MMD
행태는	행태/NNG+는/JX
인천시가	인천시/NNP+가/JKS
왜	왜/MAG
국제도시	국제도시/NNG
또는	또는/MAG
명품도시가	명품/NNG+도시/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없는지를	없/VA+는지/EF+를/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.347.5.2
국제화·세계화란 서로가 다른 언어와 문화를 각자 잘 발전시키고 존중하면서 조화롭게 섞여 사는 것이지 내 것을 버리고 남의 것을 흉내내는 것이 아니기 때문이다.

국제화·세계화란	국제/NNG+화/XSN+·/SP+세계/NNG+화/XSN+란/JX
서로가	서로/NNG+가/JKS
다른	다른/MMD
언어와	언어/NNG+와/JC
문화를	문화/NNG+를/JKO
각자	각자/MAG
잘	잘/MAG
발전시키고	발전/NNG+시키/XSV+고/EC
존중하면서	존중/NNG+하/XSV+면서/EC
조화롭게	조화/NNG+롭/XSA+게/EC
섞여	섞이/VV+어/EC
사는	살/VV+는/ETM
것이지	것/NNB+이/VCP+지/EC
내	나/NP+의/JKG
것을	것/NNB+을/JKO
버리고	버리/VV+고/EC
남의	남/NNG+의/JKG
흉내내는	흉내/NNG+내/VV+는/ETM
것이	것/NNB+이/JKC
아니기	아니/VCN+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.347.5.3
문화도시라면 더더욱 자신의 정체성을 지켜야 한다.

문화도시라면	문화/NNG+도시/NNG+이/VCP+라면/EC
더더욱	더더욱/MAG
자신의	자신/NNG+의/JKG
정체성을	정체/NNG+성/XSN+을/JKO
지켜야	지키/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.347.5.4
외국어는 필요할 때 우리말 이름 뒤에 달아주어 외국인들이 알 수 있게만 해주면 된다.

외국어는	외국어/NNG+는/JX
필요할	필요/NNG+하/XSA+ㄹ/ETM
때	때/NNG
우리말	우리말/NNG
이름	이름/NNG
뒤에	뒤/NNG+에/JKB
달아주어	달/VV+아/EC+주/VX+어/EC
외국인들이	외국인/NNG+들/XSN+이/JKS
알	알/VV+ㄹ/ETM
수	수/NNB
있게만	있/VA+게/EC+만/JX
해주면	하/VX+아/EC+주/VX+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.347.6.1
한글의 우수성과 과학성은 세계가 인정하고 있다.

한글의	한글/NNG+의/JKG
우수성과	우수/NNG+성/XSN+과/JC
과학성은	과학/NNG+성/XSN+은/JX
세계가	세계/NNG+가/JKS
인정하고	인정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.347.6.2
한글의 소중함과 국제화의 진정한 의미를 다시 한번 생각하게 된다.

한글의	한글/NNG+의/JKG
소중함과	소중하/VA+ㅁ/ETN+과/JC
국제화의	국제/NNG+화/XSN+의/JKG
진정한	진정하/VA+ㄴ/ETM
의미를	의미/NNG+를/JKO
다시	다시/MAG
한번	한/MMN+번/NNB
생각하게	생각/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


