# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.439
metadata : {}


# id : NWRW1800000054.439.1.1
"靑이 미는 감사위원 후보라도 중립성 검토한 후에 제청할 것"

"靑이	"/SS+靑/SH+이/JKS
않았다'는	않/VX+았/EP+다/EF+'/SS+는/ETM
지적에는	지적/NNG+에/JKB+는/JX
"감사원이	"/SS+감사원/NNG+이/JKS
상당히	상당히/MAG
오랫동안	오랫동안/NNG
감사	감사/NNG
시도조차	시도/NNG+조차/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
아쉬운	아쉽/VA+ㄴ/ETM
점"이라고	점/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.439.6.3
그는 국정원 특수활동비 논란에 대해 "전체 예산을 특수활동비로 편성하는 것에 대해 근본적인 재검토를 해야 하고 정말 공개하기 어려운 비용을 제외한 나머지 비용은 감사원이 회계감사를 해야 한다고 생각한다"고 했다.

그는	그/NP+는/JX
국정원	국정원/NNG
특수활동비	특수/NNG+활동비/NNG
논란에	논란/NNG+에/JKB
대해	대하/VV+아/EC
"전체	"/SS+전체/NNG
예산을	예산/NNG+을/JKO
특수활동비로	특수/NNG+활동비/NNG+로/JKB
편성하는	편성/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
재검토를	재/XPN+검토/NNG+를/JKO
해야	하/VV+아야/EC
하고	하/VX+고/EC
정말	정말/MAG
공개하기	공개/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
비용을	비용/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
비용은	비용/NNG+은/JX
감사원이	감사원/NNG+이/JKS
회계감사를	회계/NNG+감사/NNG+를/JKO
한다고	하/VX+ㄴ다고/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.439.7.1
최 후보자는 1994년과 1995년 자녀 학교 배정을 위해 두 차례 위장 전입을 한 데 대해 "자녀의 통학 편의를 위해 짧은 생각에 위장 전입을 한 점에 대해 국민 여러분께 죄송하고 공직 후보자로서 부끄럽다"고 했다.

최	최/NNP
후보자는	후보자/NNG+는/JX
1994년과	1994/SN+년/NNB+과/JC
1995년	1995/SN+년/NNB
자녀	자녀/NNG
학교	학교/NNG
배정을	배정/NNG+을/JKO
위해	위하/VV+아/EC
두	두/MMN
차례	차례/NNG
위장	위장/NNG
전입을	전입/NNG+을/JKO
한	하/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
"자녀의	"/SS+자녀/NNG+의/JKG
통학	통학/NNG
편의를	편의/NNG+를/JKO
짧은	짧/VA+은/ETM
생각에	생각/NNG+에/JKB
점에	점/NNG+에/JKB
국민	국민/NNG
여러분께	여러분/NP+께/JKB
죄송하고	죄송하/VA+고/EC
공직	공직/NNG
후보자로서	후보자/NNG+로서/JKB
부끄럽다"고	부끄럽/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


