# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.349
metadata : {}


# id : NWRW1800000038.349.1.1
政府조직법 타결… 47일 헛돌다 대통령 原案대로

政府조직법	政府/SH+조직법/NNG
마지막까지	마지막/NNG+까지/JX
쟁점이	쟁점/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
SO(종합유선방송사업자)	SO/SL+(/SS+종합/NNG+유선/NNG+방송/NNG+사업자/NNG+)/SS
등	등/NNB
방송·통신	방송/NNG+·/SP+통신/NNG
관련	관련/NNG
업무는	업무/NNG+는/JX
대부분	대/XPN+부분/NNG
미래부가	미래부/NNG+가/JKS
관할하는	관할/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
정리됐다.	정리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.349.6.2
다만 방송 공정성을 담보하기 위해 뉴미디어 관련 사업의 허가·재허가 때 방통위의 동의를 얻게 하는 등 미래부 권한에 대한 견제권을 일부 방통위에 부여했다.

다만	다만/MAG
방송	방송/NNG
공정성을	공정/NNG+성/XSN+을/JKO
담보하기	담보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
뉴미디어	뉴미디어/NNG
관련	관련/NNG
사업의	사업/NNG+의/JKG
허가·재허가	허가/NNG+·/SP+재/XPN+허가/NNG
때	때/NNG
방통위의	방통위/NNG+의/JKG
동의를	동의/NNG+를/JKO
얻게	얻/VV+게/EC
하는	하/VX+는/ETM
등	등/NNB
미래부	미래부/NNG
권한에	권한/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
견제권을	견제/NNG+권/XSN+을/JKO
일부	일부/NNG
방통위에	방통위/NNG+에/JKB
부여했다.	부여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.349.6.3
이와 함께 상설 특검제 도입, 대검 중수부 폐지, 공정위의 담합 고발에 대한 독점 권한 폐지, 중소기업청 권한 강화 등에도 합의했다.

이와	이/NP+와/JKB
함께	함께/MAG
상설	상설/NNG
특검제	특검/NNG+제/XSN
도입,	도입/NNG+,/SP
대검	대검/NNG
중수부	중수부/NNG
폐지,	폐지/NNG+,/SP
공정위의	공정위/NNG+의/JKG
담합	담합/NNG
고발에	고발/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
독점	독점/NNG
권한	권한/NNG
중소기업청	중소기업청/NNG
강화	강화/NNG
등에도	등/NNB+에/JKB+도/JX
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.349.6.4
또 공영방송 지배 구조 개선과 방송 보도의 자율성 보장 방안 등을 논의하기 위해, 여야 동수(同數)의 '방송 공정성 특별위원회'를 이번 국회에서 설치하기로 합의했다.

또	또/MAG
공영방송	공영/NNG+방송/NNG
지배	지배/NNG
구조	구조/NNG
개선과	개선/NNG+과/JC
방송	방송/NNG
보도의	보도/NNG+의/JKG
자율성	자율/NNG+성/XSN
보장	보장/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위해,	위하/VV+아/EC+,/SP
여야	여야/NNG
동수(同數)의	동수/NNG+(/SS+同數/SH+)/SS+의/JKG
'방송	'/SS+방송/NNG
공정성	공정/NNG+성/XSN
특별위원회'를	특별/NNG+위원회/NNG+'/SS+를/JKO
이번	이번/NNG
국회에서	국회/NNG+에서/JKB
설치하기로	설치/NNG+하/XSV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.349.7.1
여야는 이같은 내용을 오는 20일 국회 본회의서 처리키로 했다.

여야는	여야/NNG+는/JX
이같은	이/NP+같/VA+은/ETM
내용을	내용/NNG+을/JKO
오는	오/VV+는/ETM
20일	20/SN+일/NNB
국회	국회/NNG
본회의서	본회의/NNG+서/JKB
처리키로	처리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.349.7.2
그 직후 신설되는 미래부와 해양수산부 장관에 대한 인사청문 요청서가 국회에 제출될 예정이다.

그	그/MMD
직후	직후/NNG
신설되는	신설/NNG+되/XSV+는/ETM
미래부와	미래부/NNG+와/JC
해양수산부	해양/NNG+수산부/NNG
장관에	장관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인사청문	인사/NNG+청문/NNG
요청서가	요청서/NNG+가/JKS
국회에	국회/NNG+에/JKB
제출될	제출/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.349.7.3
야당의 협조가 있다면 이달 말에는 새 정부가 제 모습을 갖출 수 있게 된다.

야당의	야당/NNG+의/JKG
협조가	협조/NNG+가/JKS
있다면	있/VA+다면/EC
이달	이달/NNG
말에는	말/NNB+에/JKB+는/JX
새	새/MMA
정부가	정부/NNG+가/JKS
제	저/NP+의/JKG
모습을	모습/NNG+을/JKO
갖출	갖추/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.349.8.1
양당은 이와 함께 △인사청문회법 개정 △국정원 여직원 댓글 의혹의 검찰 수사 후 국정조사 △4대강 사업에 대한 국정조사 실시 노력 △작년 총선 비례대표 공천 경선에서 여론조사 조작 등의 부정선거로 선출됐다는 의혹이 있는 통합진보당 이석기·김재연 의원의 국회의원 자격 심사안 발의 등을 골자로 하는 11개 항의 '국회 운영 관련 합의 사항'도 발표했다.

양당은	양당/NNG+은/JX
이와	이/NP+와/JKB
함께	함께/MAG
△인사청문회법	△/SW+인사/NNG+청문회/NNG+법/NNG
개정	개정/NNG
△국정원	△/SW+국정원/NNG
여직원	여직원/NNG
댓글	댓글/NNG
의혹의	의혹/NNG+의/JKG
검찰	검찰/NNG
수사	수사/NNG
후	후/NNG
국정조사	국정/NNG+조사/NNG
△4대강	△/SW+4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실시	실시/NNG
노력	노력/NNG
△작년	△/SW+작년/NNG
총선	총선/NNG
비례대표	비례/NNG+대표/NNG
공천	공천/NNG
경선에서	경선/NNG+에서/JKB
여론조사	여론/NNG+조사/NNG
조작	조작/NNG
등의	등/NNB+의/JKG
부정선거로	부정/NNG+선거/NNG+로/JKB
선출됐다는	선출/NNG+되/XSV+었/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
있는	있/VA+는/ETM
통합진보당	통합진보당/NNP
이석기·김재연	이석기/NNP+·/SP+김재연/NNP
의원의	의원/NNG+의/JKG
국회의원	국회/NNG+의원/NNG
자격	자격/NNG
심사안	심사/NNG+안/NNG
발의	발의/NNG
등을	등/NNB+을/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
11개	11/SN+개/NNB
항의	항/NNG+의/JKG
'국회	'/SS+국회/NNG
운영	운영/NNG
관련	관련/NNG
합의	합의/NNG
사항'도	사항/NNG+'/SS+도/JX
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.349.9.1
대통령직인수위원회에서 만든 정부조직법 개정안은 지난 1월 30일 국회에 제출됐다.

대통령직인수위원회에서	대통령직/NNG+인수/NNG+위원회/NNG+에서/JKB
만든	만들/VV+ㄴ/ETM
정부조직법	정부/NNG+조직법/NNG
개정안은	개정안/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
30일	30/SN+일/NNB
국회에	국회/NNG+에/JKB
제출됐다.	제출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.349.9.2
이 원안과 비교해 이번 합의안에서 달라졌다고 할 만한 것은 △뉴미디어와 관련된 미래부 권한의 일부 조정 △농림축산부 명칭을 농림축산식품부로 변경 △원자력안전위원회의 독립성 강화 △산학 협력 관련 교육부 업무의 일부 조정 정도다.

이	이/MMD
원안과	원안/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
이번	이번/NNG
합의안에서	합의안/NNG+에서/JKB
달라졌다고	달라지/VV+었/EP+다고/EC
할	하/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
△뉴미디어와	△/SW+뉴미디어/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
미래부	미래부/NNG
권한의	권한/NNG+의/JKG
일부	일부/NNG
조정	조정/NNG
△농림축산부	△/SW+농림/NNG+축산부/NNG
명칭을	명칭/NNG+을/JKO
농림축산식품부로	농림/NNG+축산/NNG+식품부/NNG+로/JKB
변경	변경/NNG
△원자력안전위원회의	△/SW+원자력/NNG+안전/NNG+위원회/NNG+의/JKG
독립성	독립/NNG+성/XSN
강화	강화/NNG
△산학	△/SW+산학/NNG
협력	협력/NNG
관련	관련/NNG
교육부	교육부/NNG
업무의	업무/NNG+의/JKG
정도다.	정도/NNG+이/VCP+다/EF+./SF


