# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.41
metadata : {}


# id : NWRW1800000038.41.1.1
벌써 힘빠지는 오바마, 그 뒤에서 웃는 힐러리

벌써	벌써/MAG
게다가 클린턴은 아직까지 출마 의사조차 명확히 밝히지 않은 상태다.

게다가	게다가/MAG
클린턴은	클린턴/NNP+은/JX
아직까지	아직/MAG+까지/JX
출마	출마/NNG
의사조차	의사/NNG+조차/JX
명확히	명확히/MAG
밝히지	밝히/VV+지/EC
않은	않/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.41.4.3
하지만 최근 국가안보국(NSA)의 민간인 정보 수집 논란, 국세청(IRS) 표적 세무조사 의혹 등 잇단 악재로 오바마의 국정지지율이 추락하면서 '조기 레임덕' 얘기까지 나오고 있는 가운데 클린턴에 대한 대선 지지 선언이 잇따르면서 '미래 권력 클린턴'의 위세가 그 어느 때보다 높아지고 있는 것이다.

하지만	하지만/MAJ
최근	최근/MAG
국가안보국(NSA)의	국가/NNG+안보국/NNG+(/SS+NSA/SL+)/SS+의/JKG
민간인	민간인/NNG
정보	정보/NNG
수집	수집/NNG
논란,	논란/NNG+,/SP
국세청(IRS)	국세청/NNG+(/SS+IRS/SL+)/SS
표적	표적/NNG
세무조사	세무/NNG+조사/NNG
의혹	의혹/NNG
등	등/NNB
잇단	잇달/VV+ㄴ/ETM
악재로	악재/NNG+로/JKB
오바마의	오바마/NNP+의/JKG
국정지지율이	국정/NNG+지지/NNG+율/XSN+이/JKS
추락하면서	추락/NNG+하/XSV+면서/EC
'조기	'/SS+조기/NNG
레임덕'	레임덕/NNG+'/SS
얘기까지	얘기/NNG+까지/JX
나오고	나오/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
클린턴에	클린턴/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
대선	대선/NNG
지지	지지/NNG
선언이	선언/NNG+이/JKS
잇따르면서	잇따르/VV+면서/EC
'미래	'/SS+미래/NNG
권력	권력/NNG
클린턴'의	클린턴/NNP+'/SS+의/JKG
위세가	위세/NNG+가/JKS
그	그/MMD
어느	어느/MMD
때보다	때/NNG+보다/JKB
높아지고	높아지/VV+고/EC
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.41.5.1
특히 여성 정치인들이 적극적으로 클린턴의 차기 대선 도전을 기정사실화하면서 불을 지피고 있다.

특히	특히/MAG
여성	여성/NNG
정치인들이	정치인/NNG+들/XSN+이/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
클린턴의	클린턴/NNP+의/JKG
차기	차기/NNG
대선	대선/NNG
도전을	도전/NNG+을/JKO
기정사실화하면서	기정사실/NNG+화/XSN+하/XSV+면서/EC
불을	불/NNG+을/JKO
지피고	지피/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.41.5.2
클레어 매카스킬(민주·미주리) 상원의원은 최근 클린턴에 대한 공식 지지 선언을 하면서 이른바 '힐러리 사단'이 건재하다는 것을 보여주기 위해 지지자들이 정치 자금을 기부해야 한다고 촉구했다.

클레어	클레어/NNP
매카스킬(민주·미주리)	매카스킬/NNP+(/SS+민주/NNP+·/SP+미주리/NNP+)/SS
상원의원은	상원/NNG+의원/NNG+은/JX
최근	최근/MAG
클린턴에	클린턴/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
공식	공식/NNG
지지	지지/NNG
선언을	선언/NNG+을/JKO
하면서	하/VV+면서/EC
이른바	이른바/MAG
'힐러리	'/SS+힐러리/NNP
사단'이	사단/NNG+'/SS+이/JKS
건재하다는	건재/NNG+하/XSA+다는/ETM
것을	것/NNB+을/JKO
보여주기	보이/VV+어/EC+주/VX+기/ETN
위해	위하/VV+아/EC
지지자들이	지지자/NNG+들/XSN+이/JKS
정치	정치/NNG
자금을	자금/NNG+을/JKO
기부해야	기부/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.41.5.3
그는 20일(현지 시각) MSNBC 방송에 출연해 "내가 지지 선언을 한 뒤 클린턴이 전화를 걸어와 많은 얘기를 나눴다. 대화 내용을 공개할 순 없지만 그는 '큰 결심'을 곧 할 것 같다"고 했다.

그는	그/NP+는/JX
20일(현지	20/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
MSNBC	MSNBC/SL
방송에	방송/NNG+에/JKB
출연해	출연/NNG+하/XSV+아/EC
"내가	"/SS+내/NP+가/JKS
지지	지지/NNG
선언을	선언/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
클린턴이	클린턴/NNP+이/JKS
전화를	전화/NNG+를/JKO
걸어와	걸어오/VV+아/EC
많은	많/VA+은/ETM
얘기를	얘기/NNG+를/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF
대화	대화/NNG
내용을	내용/NNG+을/JKO
공개할	공개/NNG+하/XSV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없지만	없/VA+지만/EC
'큰	'/SS+크/VA+ㄴ/ETM
결심'을	결심/NNG+'/SS+을/JKO
곧	곧/MAG
할	하/VV+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.41.5.4
그러면서 "클린턴은 차기 대선 후보로 거론되는 사람 중 압도적으로 강하고 능력 있고 자격 있는 후보다. 난 그의 출마를 원하는 거대한 그룹의 일원일 뿐이고 이런 의사를 공개적으로 밝히는 게 지금 중요하다"고 했다.

그러면서	그러/VV+면서/EC
"클린턴은	"/SS+클린턴/NNP+은/JX
차기	차기/NNG
대선	대선/NNG
후보로	후보/NNG+로/JKB
거론되는	거론/NNG+되/XSV+는/ETM
사람	사람/NNG
중	중/NNB
압도적으로	압도/NNG+적/XSN+으로/JKB
강하고	강하/VA+고/EC
능력	능력/NNG
있고	있/VA+고/EC
자격	자격/NNG
있는	있/VA+는/ETM
후보다.	후보/NNG+이/VCP+다/EF+./SF
난	나/NP+ㄴ/JX
그의	그/NP+의/JKG
출마를	출마/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
거대한	거대/NNG+하/XSA+ㄴ/ETM
그룹의	그룹/NNG+의/JKG
일원일	일원/NNG+이/VCP+ㄹ/ETM
뿐이고	뿐/NNB+이/VCP+고/EC
이런	이런/MMD
의사를	의사/NNG+를/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
밝히는	밝히/VV+는/ETM
게	거/NNB+이/JKS
지금	지금/MAG
중요하다"고	중요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.41.6.1
2008년 뉴욕 상원의원이던 클린턴이 국무장관에 발탁된 뒤 지역구를 넘겨받았던 커스틴 길리브랜드(민주·뉴욕) 상원의원도 "개인적으로 클린턴에게 출마를 촉구하고 있다"고 했다.

2008년	2008/SN+년/NNB
뉴욕	뉴욕/NNP
상원의원이던	상원/NNG+의원/NNG+이/VCP+던/ETM
클린턴이	클린턴/NNP+이/JKS
국무장관에	국무/NNG+장관/NNG+에/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
지역구를	지역구/NNG+를/JKO
넘겨받았던	넘겨받/VV+았/EP+던/ETM
커스틴	커스틴/NNP
길리브랜드(민주·뉴욕)	길리브랜드/NNP+(/SS+민주/NNP+·/SP+뉴욕/NNP+)/SS
상원의원도	상원/NNG+의원/NNG+도/JX
"개인적으로	"/SS+개인/NNG+적/XSN+으로/JKB
클린턴에게	클린턴/NNP+에게/JKB
출마를	출마/NNG+를/JKO
촉구하고	촉구/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.41.7.1
클린턴의 열렬한 지지자로 알려진 에드 렌델 전 펜실베이니아 주지사는 이날 언론 인터뷰에서 "민주당의 정치적 초점은 힐러리로 옮아갈 것이고, 이미 그런 분위기가 나타나고 있다"고 했다.

클린턴의	클린턴/NNP+의/JKG
열렬한	열렬하/VA+ㄴ/ETM
지지자로	지지자/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
에드	에드/NNP
렌델	렌델/NNP
전	전/MMD
펜실베이니아	펜실베이니아/NNP
주지사는	주지사/NNG+는/JX
이날	이날/NNG
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"민주당의	"/SS+민주당/NNP+의/JKG
정치적	정치/NNG+적/XSN
초점은	초점/NNG+은/JX
힐러리로	힐러리/NNP+로/JKB
옮아갈	옮아가/VV+ㄹ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
이미	이미/MAG
그런	그런/MMD
분위기가	분위기/NNG+가/JKS
나타나고	나타나/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.41.7.2
그는 "민주당 내부에서 차기 지도자로의 조기 권력 이동이 나타날 수 있다"고도 했다.

그는	그/NP+는/JX
"민주당	"/SS+민주당/NNP
내부에서	내부/NNG+에서/JKB
차기	차기/NNG
지도자로의	지도자/NNG+로/JKB+의/JKG
조기	조기/NNG
권력	권력/NNG
이동이	이동/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
있다"고도	있/VA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.41.8.1
특히 내년 말 중간선거에 출마하는 민주당 의원들이 오바마 대통령보다 대중적 인기가 높은 클린턴에게 지지 유세를 요청하는 것도 이런 '조기 권력이동' 흐름을 반영한다.

특히	특히/MAG
내년	내년/NNG
말	말/NNB
중간선거에	중간/NNG+선거/NNG+에/JKB
출마하는	출마/NNG+하/XSV+는/ETM
민주당	민주당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
오바마	오바마/NNP
대통령보다	대통령/NNG+보다/JKB
대중적	대중/NNG+적/XSN
인기가	인기/NNG+가/JKS
높은	높/VA+은/ETM
클린턴에게	클린턴/NNP+에게/JKB
지지	지지/NNG
유세를	유세/NNG+를/JKO
요청하는	요청/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
이런	이런/MMD
'조기	'/SS+조기/NNG
권력이동'	권력/NNG+이동/NNG+'/SS
흐름을	흐름/NNG+을/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.41.8.2
민주당 하원선거위원회(DCCC) 회장인 스티브 이스라엘(뉴욕) 의원은 "거의 모든 의원이 클린턴에게 지지 유세 요청을 하고 있다"고 말했다.

민주당	민주당/NNP
하원선거위원회(DCCC)	하원/NNG+선거/NNG+위원회/NNG+(/SS+DCCC/SL+)/SS
회장인	회장/NNG+이/VCP+ㄴ/ETM
스티브	스티브/NNP
이스라엘(뉴욕)	이스라엘/NNP+(/SS+뉴욕/NNP+)/SS
의원은	의원/NNG+은/JX
"거의	"/SS+거의/MAG
모든	모든/MMN
의원이	의원/NNG+이/JKS
클린턴에게	클린턴/NNP+에게/JKB
지지	지지/NNG
유세	유세/NNG
요청을	요청/NNG+을/JKO
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.41.9.1
반면 오바마 대통령은 가장 힘 있게 국정 이슈를 주도해야 할 2기 취임 초에 예상 밖의 악재가 줄줄이 터지면서 고난의 시기를 겪고 있다.

반면	반면/NNG
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
가장	가장/MAG
힘	힘/NNG
있게	있/VA+게/EC
국정	국정/NNG
이슈를	이슈/NNG+를/JKO
주도해야	주도/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
2기	2/SN+기/NNG
취임	취임/NNG
초에	초/NNB+에/JKB
예상	예상/NNG
밖의	밖/NNG+의/JKG
악재가	악재/NNG+가/JKS
줄줄이	줄줄이/MAG
터지면서	터지/VV+면서/EC
고난의	고난/NNG+의/JKG
시기를	시기/NNG+를/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.41.9.2
CNN의 국정지지율 여론조사에서는 한 달 새 8%포인트가 하락해 45%를 기록했다.

CNN의	CNN/SL+의/JKG
국정지지율	국정/NNG+지지/NNG+율/XSN
여론조사에서는	여론/NNG+조사/NNG+에서/JKB+는/JX
한	한/MMN
달	달/NNB
새	새/NNG
8%포인트가	8/SN+%포인트/NNG+가/JKS
하락해	하락/NNG+하/XSV+아/EC
45%를	45/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.41.9.3
특히 핵심 지지층인 젊은 층의 지지가 급감한 것이 충격으로 받아들여지고 있다.

특히	특히/MAG
핵심	핵심/NNG
지지층인	지지/NNG+층/XSN+이/VCP+ㄴ/ETM
젊은	젊/VA+은/ETM
층의	층/NNG+의/JKG
지지가	지지/NNG+가/JKS
급감한	급감/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
충격으로	충격/NNG+으로/JKB
받아들여지고	받아들이/VV+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.41.9.4
월스트리트저널은 "아직 임기가 40개월 넘게 남은 대통령을 '레임덕'이라고 할 순 없지만, 오바마가 절뚝거리고 있는 것은 분명하다"고 했다.

월스트리트저널은	월스트리트저널/NNP+은/JX
"아직	"/SS+아직/MAG
임기가	임기/NNG+가/JKS
40개월	40/SN+개월/NNB
넘게	넘/VV+게/EC
남은	남/VV+은/ETM
대통령을	대통령/NNG+을/JKO
'레임덕'이라고	'/SS+레임덕/NNG+'/SS+이라고/JKQ
할	하/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없지만,	없/VA+지만/EC+,/SP
오바마가	오바마/NNP+가/JKS
절뚝거리고	절뚝거리/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
분명하다"고	분명/MAG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


